"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_party_independence","rank_independent_all","rank_independent_R","rank_independent_D","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_SEN","pct_D_22_GOV","pct_D_24_PRES","pct_D_24_SEN","pct_R_20_PRES","pct_R_22_SEN","pct_R_22_GOV","pct_R_24_PRES","pct_R_24_SEN","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
1749,"R","Don Gaetz","Gaetz","http://ballotpedia.org/Don_Gaetz",1,"Senate",NA,"partisan_cross",0.937125748502994,334,313,3462,21,186,130,1,0.0316070994407975,2,1,NA,25,NA,312129,22538,66719,13501,6479,433,423806,0.736490280930426,0.0531799927325238,0.157428162885849,0.0318565570095751,0.01630934908897,"CVAP",24,0.308018985488523,0.676618763670489,"R",36.9,36.9,0.347275723590606,0.287690214029445,0.28107320206537,0.324586871426327,0.303105632951819,0.633272714245258,0.699413584065322,0.710650492872495,0.66084859580689,0.676551521742883,1749,3,37
16763,"R","Jay Trumbull","Trumbull","http://ballotpedia.org/Jay_Trumbull",2,"Senate",NA,"partisan_cross",0.984008528784648,938,923,5078,15,385,15,0,0.00233790523690773,24,12,NA,14,NA,332670,24994,46540,11128,6320,356,424373,0.783909438159355,0.0588963011313161,0.109667674427921,0.0262222148911453,0.0157314438006188,"CVAP",24,0.234195465424382,0.751148120049776,"R",51.7,51.7,0.270489478562831,0.213146169692905,0.207364304020197,0.250198355757381,0.230998443558517,0.712548940938836,0.774766444689312,0.78614734345714,0.736117629184462,0.747839413467315,16763,1,40
23325,"R","Corey Simon","Simon","http://ballotpedia.org/Corey_Simon",3,"Senate",NA,"partisan_cross",0.959302325581395,344,330,2847,14,131,1,0,0.000300932891965092,39,27,NA,19,NA,270721,26814,120396,7948,5307,276,431599,0.627251221620069,0.0621271133621718,0.27895338033684,0.0184152419259544,0.0129356184791902,"CVAP",24,0.46288581784927,0.523570121529466,"R",6.1,6.1,0.508870859664134,0.466128441727572,0.445990259515011,0.471362727132846,0.449263392224144,0.478830551632424,0.522669867591104,0.546961070435824,0.514523213361496,0.532236338371664,23325,27,14
19070,"R","Clay Yarborough","Yarborough","http://ballotpedia.org/Clay_Yarborough",4,"Senate",NA,"partisan_cross",0.985176738882554,877,864,5196,13,406,66,0,0.0100840336134454,8,2,NA,12,NA,298336,40306,56999,23157,3217,451,424046,0.703546313371663,0.0950510086169897,0.134417020794914,0.0546096414068285,0.00865000495229291,"CVAP",24,0.360487120523035,0.6259937734885,"R",26.6,26.6,0.389835373630424,0.336294768927339,0.326352077363897,0.373226041034858,0.368786261613408,0.595058925606626,0.653063785915998,0.667232270773639,0.611439078065309,0.614344415873057,19070,10,31
19218,"D","Tracie Davis","Davis","http://ballotpedia.org/Tracie_Davis",5,"Senate",NA,"partisan_cross",0.827667057444314,853,706,4965,147,435,169,28,0.0262015503875969,4,NA,3,NA,10,182447,34558,167412,14426,3247,251,402971,0.452754664727735,0.0857580322157178,0.415444287554191,0.0357991021686424,0.00868052539760926,"CVAP",24,0.565530526765612,0.418148584551424,"D",14.7,-14.7,0.602876442785565,0.546419529719563,0.532880570897003,0.574860494553493,0.571888889898834,0.380907560297787,0.440297293251677,0.455930472343111,0.408648446274803,0.407491569484716,19218,36,5
22852,"R","Jennifer Bradley","Bradley","http://ballotpedia.org/Jennifer_Bradley",6,"Senate",NA,"partisan_cross",0.91875,480,441,3583,39,55,9,1,0.00218023255813953,26,14,NA,26,NA,306295,37488,60287,13097,4778,296,423037,0.724038322889014,0.0886163621621749,0.142509993215723,0.0309594669024222,0.0119942227275628,"CVAP",24,0.345461730150432,0.640580718666291,"R",29.5,29.5,0.376232537960954,0.325549450549451,0.316219584053785,0.35544924410498,0.351349470857135,0.609464642082429,0.663118131868132,0.67699931416207,0.630552445583114,0.629189482546287,22852,9,32
19047,"R","Tom Leek","Leek","http://ballotpedia.org/Tom_Leek",7,"Senate",NA,"partisan_cross",0.991784037558685,852,845,4047,7,165,7,0,0.00138039834352199,31,19,NA,8,NA,370255,36015,36078,12282,3464,106,458581,0.807392805196901,0.0785357439579921,0.0786731242681228,0.0267826185559367,0.00778488424073392,"CVAP",24,0.329309581820777,0.658972059918326,"R",33,33,0.364963940330295,0.31574577266454,0.302278074466893,0.33595825087459,0.333318401218461,0.623564567897172,0.674522285846795,0.692310565037159,0.651603438357559,0.650734100097432,19047,7,34
19954,"R","Tommy Wright","Wright","http://ballotpedia.org/Tom_Wright_(Florida)",8,"Senate",NA,"partisan_cross",0.974409448818898,508,495,4123,13,46,6,0,0.00128122998078155,33,21,NA,16,NA,325991,61345,48682,8141,3262,210,448091,0.727510706530593,0.136902995150539,0.108643110439621,0.0181681845875057,0.00774842610094824,"CVAP",24,0.382071319681354,0.603967468147289,"R",22.2,22.2,0.419328523379984,0.3717209370992,0.351905523275906,0.383481836874572,0.391802393052943,0.568277711282439,0.617635660702917,0.641182894294258,0.603937101281173,0.586528072351835,19954,14,27
19069,"R","Stan McClain","McClain","http://ballotpedia.org/Stan_McClain",9,"Senate",NA,"partisan_cross",0.993281075027996,893,887,4412,6,162,9,0,0.00164353542731921,28,16,NA,3,NA,307284,55654,61674,10528,3617,201,439849,0.69861247837326,0.1265297863585,0.140216301503471,0.0239354869512037,0.00868025163181001,"CVAP",24,0.371878705085009,0.615823958410853,"R",24.4,24.4,0.413515795398579,0.356031499366009,0.341252124079566,0.377259319586359,0.378319183055766,0.575297263069021,0.633738833646357,0.652364927579001,0.611092480683288,0.603732063395095,19069,13,28
12366,"R","Jason Brodeur","Brodeur","http://ballotpedia.org/Jason_Brodeur",10,"Senate",NA,"partisan_cross",0.986830553116769,1139,1124,6559,15,272,11,1,0.00137810072663493,32,20,NA,10,NA,254878,84838,48231,18231,2284,170,409840,0.621896349795042,0.207002732773765,0.117682510247902,0.0444832129611556,0.00598770251805583,"CVAP",24,0.476222641897073,0.508601276181123,"R",3.2,3.2,0.514972846136972,0.465748783632445,0.446046684444946,0.483111911731592,0.480025228372216,0.470552848662913,0.523466247564912,0.546776158292533,0.499542827509502,0.49993762215661,12366,28,13
