"bill_number","bill_id","session_id","session","session_name","bill_url","state_link","bill_title","type","bill_desc","status","status_date","session_year","two_year_period"
"H0001",1941841,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0001/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/1A","Combatting Illegal Immigration, Terrorist Organizations, and Transnational Organized Crime and Their Illegal Immigrant Participants",NA,"Revises definition of term ""criminal gang"" & defines term ""transnational criminal organization""; authorizes penalty enhancement of certain offenses upon finding by factfinder that defendant committed charged offense for specified purposes; specifies that all profits, proceeds, & instrumentalities of hate group activity, terrorist organization activity, & transnational criminal organization activity & all property used or intended or attempted to be used to facilitate such criminal activity are subject to seizure & forfeiture under Florida Contraband Forfeiture Act; provides criminal penalties for persons who knowingly initiate, organize, plan, finance, direct, manage, or supervise hate group's activities, terrorist organization's activities, or transnational criminal organization's activities.",6,"2025-01-27",2025,"2025-2026"
"H0003",1941840,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0003/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/3A","Combatting Illegal Immigration",NA,"Establishes Office of Secure Florida within DOC; provides duties & responsibilities of office; & provides appropriation.",6,"2025-01-27",2025,"2025-2026"
"H0005",1941845,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0005/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/5A","Combatting Illegal Immigration",NA,"Prohibits licensed money services businesses from initiating foreign remittance transfers unless they have verified that sender is not unauthorized alien; defines ""foreign remittance transfer""; requires licensees to submit certain forms & penalties to Office of Financial Regulation of FSC; requires office to deposit such penalties into certain fund; requires that licensees make, keep, & preserve for 5 years records of certain documentation & penalties paid; authorizes office to request, & requires licensees to provide, records of certain documentation; authorizes filing of complaints; provides criminal penalties for knowingly filing false or frivolous complaints; imposes requirements on office upon receipt of valid complaint substantiated by evidence of violation; specifies that failure to comply with certain provisions constitutes grounds for suspension of all licenses issued by office.",6,"2025-01-27",2025,"2025-2026"
"H0007",1941844,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0007/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/7A","Combatting Illegal Immigration",NA,"Requires penalty reclassification of certain crimes committed after unlawful reentry into United States.",6,"2025-01-27",2025,"2025-2026"
"H0009",1941853,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0009/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/9A","Combatting Illegal Immigration",NA,"Requiring law enforcement agencies to support enforcement of federal immigration law; requires, rather than authorizing, law enforcement agencies to transport certain persons securely to federal facility in this state or to another point of transfer to federal custody outside jurisdiction of law enforcement agency; specifies that certain provisions do not require state entity, local governmental entity, or law enforcement agency to provide federal immigration agency with information related to victim of or witness to criminal offense that occurred in this state & for which there is ongoing investigation or prosecution.",6,"2025-01-27",2025,"2025-2026"
"H0011",1941839,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0011/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/11A","Combatting Illegal Immigration",NA,"Requires each state & county law enforcement agency, & any other law enforcement agency with more than 25 sworn or certified law enforcement officers, to enter into written agreement with United States Immigration & Customs Enforcement to participate in certain immigration program; requires all state & county law enforcement agencies, & any other law enforcement agency with more than 25 sworn or certified law enforcement officers, to ensure at least certain percent of their sworn law enforcement officers are available to perform or exercise powers, privileges, or duties of immigration officer; authorizes Division of Emergency Management, in coordination with State Immigration Enforcement Officer, to adopt rules; creates Unauthorized Alien Transport Program within division; specifies that program is to be run by State Immigration Enforcement Officer; requires National Guard & State Guard to assist State Immigration Enforcement Officer in implementation of program; authorizes division, in coordination with State Immigration Enforcement Officer, to adopt rules; provides that all payments made pursuant to specified provisions are deemed approved; removes provisions relating to Unauthorized Alien Transport Program; provides appropriation.",6,"2025-01-27",2025,"2025-2026"
"H0013",1941852,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0013/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/13A","Combatting Illegal Immigration",NA,"Requires presumption that no conditions of release will secure appearance at trial of unauthorized alien; requires state attorney or court to move for pretrial detention if court makes certain determinations; authorizes defendants to rebut presumption.",6,"2025-01-27",2025,"2025-2026"
"H0015",1941835,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0015/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/15A","Combatting Illegal Immigration",NA,"Revises oath person subscribes to upon registering to vote; provides criminal penalties for unauthorized aliens who willfully swear or affirm to any oath or affirmation in connection with or arising out of voting or elections & for persons who have knowledge that such registrant is unauthorized alien; provides criminal penalties for unauthorized aliens who willfully submit false voter registration information & for persons who have knowledge that such registrant is unauthorized alien; provides criminal penalties for unauthorized aliens who, knowing that they are not qualified electors, willfully vote at any election & for persons who aid or solicit another person who is unauthorized alien to such action.",6,"2025-01-27",2025,"2025-2026"
"H0017",1941846,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0017/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/17A","Combatting Illegal Immigration",NA,"Provides that specified persons & entities are immune from liability for certain actions; creates civil cause of action for victims of crime committed by aliens against any person who knowingly & willfully aided or assisted alien in entering state; provides criminal penalties for adult aliens who knowingly enter or attempt to enter state after entering US by eluding or avoiding examination or inspection by immigration officers; requires arresting law enforcement agency to notify certain entities; provides criminal penalties for an adult alien who, after having been denied admission, excluded, deported, or removed or having departed US thereafter enters, attempts to enter, or is at any time found in this state; provides criminal penalties for persons who knowingly & willfully assist certain aliens who illegally entered or reentered US; provides affirmative defenses; authorizes defendant who is an alien to have any term of defendant's probationary sentence converted to administrative probation by DOC; requires department to be responsible for coordinating with defendant to arrange transportation; authorizes public funds to be used to procure transportation; requires court to verify certain information in hearing before defendant's departure from US.",6,"2025-01-27",2025,"2025-2026"
"H0019",1941834,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0019/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/19A","Postsecondary Out-of-State Fee Waivers",NA,"Removes provisions relating to waiver of out-of-state fees for certain students, including students who are undocumented for federal immigration purposes.",6,"2025-01-27",2025,"2025-2026"
"H0021",1941843,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/H0021/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/21A","Petition Process",NA,"Revising provisions related to constitutional amendments, signature verifications, filing fees, candidate petitions, citizen initiatives, fiscal impact, and petition forms.",6,"2025-01-27",2025,"2025-2026"
"S0002",1941850,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0002/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/2A","Combatting Illegal Immigration",NA,"Requiring the presumption that no conditions of release will secure the appearance at trial of an unauthorized alien; requiring the state attorney or the court to move for pretrial detention if the court makes certain determinations; authorizing defendants to rebut the presumption, etc.",6,"2025-01-27",2025,"2025-2026"
"S0004",1941842,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0004/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/4A","Combatting Illegal Immigration",NA,"Requiring law enforcement agencies to support the enforcement of federal immigration law; requiring, rather than authorizing, law enforcement agencies to transport certain persons securely to a federal facility in this state or to another point of transfer to federal custody outside the jurisdiction of the law enforcement agency, etc.",6,"2025-01-27",2025,"2025-2026"
"S0006",1941836,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0006/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/6A","Combatting Illegal Immigration, Terrorist Organizations, and Transnational Organized Crime and Their Illegal Immigrant Participants",NA,"Revising the definition of the term ""criminal gang"" and defining the term ""transnational criminal organization""; authorizing the penalty enhancement of certain offenses upon a finding by the factfinder that the defendant committed the charged offense for specified purposes; specifying that all profits, proceeds, and instrumentalities of hate group activity, terrorist organization activity, and transnational criminal organization activity and all property used or intended or attempted to be used to facilitate such criminal activity are subject to seizure and forfeiture under the Florida Contraband Forfeiture Act; providing criminal penalties for persons who knowingly initiate, organize, plan, finance, direct, manage, or supervise a hate group's activities, terrorist organization's activities, or transnational criminal organization's activities, etc.",6,"2025-01-27",2025,"2025-2026"
"S0008",1941851,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0008/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/8A","Combatting Illegal Immigration",NA,"Requiring the penalty reclassification of certain crimes committed after unlawful reentry into the United States, etc.",6,"2025-01-27",2025,"2025-2026"
"S0010",1941848,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0010/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/10A","Combatting Illegal Immigration",NA,"Establishing the Office of Secure Florida within the Department of Commerce, etc.",6,"2025-01-27",2025,"2025-2026"
"S0012",1941854,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0012/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/12A","Combatting Illegal Immigration",NA,"Revising the oath a person subscribes to upon registering to vote; providing criminal penalties for unauthorized aliens who willfully swear or affirm to any oath or affirmation in connection with or arising out of voting or elections and for persons who have knowledge that such a registrant is an unauthorized alien, etc.",6,"2025-01-27",2025,"2025-2026"
"S0014",1941855,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0014/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/14A","Combatting Illegal Immigration",NA,"Requiring each state and county law enforcement agency, and any other law enforcement agency with more than 25 sworn or certified law enforcement officers, to enter into a written agreement with the United States Immigration and Customs Enforcement to participate in a certain immigration program; creating the Unauthorized Alien Transport Program within the Division of Emergency Management, etc.",6,"2025-01-27",2025,"2025-2026"
"S0016",1941837,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0016/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/16A","Combatting Illegal Immigration",NA,"Prohibiting licensed money services businesses from initiating foreign remittance transfers unless they have verified that the sender is not an unauthorized alien; defining the term ""foreign remittance transfer""; requiring the Financial Services Commission to adopt certain rules; requiring that licensees make, keep, and preserve for 5 years records of certain documentation and penalties paid; authorizing the Office of Financial Regulation of the commission to request, and requiring licensees to provide, records of certain documentation, etc.",6,"2025-01-27",2025,"2025-2026"
"S0018",1941847,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0018/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/18A","Petition Process",NA,"Revising the criteria that the Attorney General uses when petitioning the Supreme Court for an advisory opinion related to a proposed revision or amendment to the State Constitution; requiring the Division of Elections to create a uniform petition form for candidates to gather signatures for a candidate petition; authorizing a supervisor of elections to verify certain signatures only if a certain petition form is used; requiring sponsors of an initiative amendment to register as political committees before circulating any initiative petition forms to voters; requiring the division to assign initiative petitions a petition number and create a certain form; authorizing that initiative petition forms approved by the Secretary of State may continue to be circulated, etc.",6,"2025-01-27",2025,"2025-2026"
