"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","bio","district_number","chamber","session_id","termination_date","member_id","leg_party_loyalty","leg_party_independence","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_n_votes_missing","setting_party_loyalty","rank_independent_all","rank_independent_R","rank_independent_D","rank_partisan_leg_R","rank_partisan_leg_D"
1749,"ljqrakg6",9,"R","Don Gaetz","Don","","Gaetz","","",333757,67756,"",249063,"http://ballotpedia.org/Don_Gaetz","","850-487-5001",1,"Senate",2220,NA,1,0.937125748502994,0.0316070994407975,334,313,3462,21,186,130,1,3,"partisan_cross",2,1,NA,25,NA
16763,"un7eu4cm",9,"R","Jay Trumbull","Jay","","Trumbull","","",25005017,149501,"",484526,"http://ballotpedia.org/Jay_Trumbull","","850-487-5002",2,"Senate",2220,NA,2,0.984008528784648,0.00233790523690773,938,923,5078,15,385,15,0,8,"partisan_cross",24,12,NA,14,NA
23325,"5ozxwl83",9,"R","Corey Simon","Corey","","Simon","","",55866636,209207,"",0,"http://ballotpedia.org/Corey_Simon","","850-487-5003",3,"Senate",2220,NA,3,0.959302325581395,0.000300932891965092,344,330,2847,14,131,1,0,12,"partisan_cross",39,27,NA,19,NA
19070,"wu9jigw3",9,"R","Clay Yarborough","Clay","","Yarborough","","",40769504,172816,"",571636,"http://ballotpedia.org/Clay_Yarborough","","850-487-5004",4,"Senate",2220,NA,4,0.985176738882554,0.0100840336134454,877,864,5196,13,406,66,0,9,"partisan_cross",8,2,NA,12,NA
19218,"qkwsblm5",9,"D","Tracie Davis","Tracie","","Davis","","",41612514,172818,"",588925,"http://ballotpedia.org/Tracie_Davis","","850-487-5005",5,"Senate",2220,NA,5,0.827667057444314,0.0262015503875969,853,706,4965,147,435,169,28,4,"partisan_cross",4,NA,3,NA,10
22852,"mbdmyqln",9,"R","Jennifer Bradley","Jennifer","E.","Bradley","","",15935119,194419,"",739824,"http://ballotpedia.org/Jennifer_Bradley","","850-487-5006",6,"Senate",2220,NA,6,0.91875,0.00218023255813953,480,441,3583,39,55,9,1,6,"partisan_cross",26,14,NA,26,NA
19047,"hnpdabk8",9,"R","Tom Leek","Thomas","J.","Leek","","Tom",42540514,172855,"",571685,"http://ballotpedia.org/Tom_Leek","","850-487-5007",7,"Senate",2220,NA,7,0.991784037558685,0.00138039834352199,852,845,4047,7,165,7,0,1,"partisan_cross",31,19,NA,8,NA
19954,"anwx5kes",9,"R","Tommy Wright","Tommy","A.","Wright","","",46608083,185832,"",686432,"http://ballotpedia.org/Tom_Wright_(Florida)","","850-487-5008",8,"Senate",2220,NA,8,0.974409448818898,0.00128122998078155,508,495,4123,13,46,6,0,8,"partisan_cross",33,21,NA,16,NA
19069,"w19mozra",9,"R","Stan McClain","Stan","","McClain","","",41676728,81346,"",571677,"http://ballotpedia.org/Stan_McClain","","850-487-5009",9,"Senate",2220,NA,9,0.993281075027996,0.00164353542731921,893,887,4412,6,162,9,0,1,"partisan_cross",28,16,NA,3,NA
12366,"ix4l0t68",9,"R","Jason Brodeur","Jason","T.","Brodeur","","",67542,117042,"",289456,"http://ballotpedia.org/Jason_Brodeur","","850-487-5010",10,"Senate",2220,NA,10,0.986830553116769,0.00137810072663493,1139,1124,6559,15,272,11,1,11,"partisan_cross",32,20,NA,10,NA
18056,"sqqbfqmh",9,"R","Ralph Massullo","Ralph","","Massullo","","",433409,172870,"",571718,"http://ballotpedia.org/Ralph_Massullo_Jr.","","850-487-5011",11,"Senate",2220,NA,NA,0.994858611825193,0.00302375809935205,778,774,3777,4,61,14,0,0,"partisan_cross",18,7,NA,1,NA
16389,"dtxflghv",9,"R","Colleen Burton","Colleen","","Burton","","",24949083,149396,"",484631,"http://ballotpedia.org/Colleen_Burton_(Florida)","","850-487-5012",12,"Senate",2220,NA,12,0.989130434782609,0.00144092219020173,1012,1001,5804,11,114,10,0,9,"partisan_cross",30,18,NA,9,NA
22415,"yw2fxy0m",9,"R","Keith Truenow","Keith","","Truenow","","",49845600,194608,"",739988,"http://ballotpedia.org/Keith_Truenow","","850-487-5013",13,"Senate",2220,NA,13,0.992076069730586,0.00243249817562637,631,626,3310,5,159,10,1,1,"partisan_cross",23,11,NA,6,NA
23324,"7sbfgcvb",9,"R","Jay Collins","Jay","","Collins","","",55866465,209220,"",0,"http://ballotpedia.org/Jay_Collins","","850-487-5014",14,"Senate",2212,NA,14,0.985849056603774,0.0010136847440446,212,209,1636,3,123,2,0,1,"partisan_cross",34,22,NA,11,NA
23323,"0qjv5htj",9,"D","LaVon Bracy Davis","LaVon","","Bracy Davis","","",55866452,209432,"",0,"http://ballotpedia.org/LaVon_Bracy_Davis","","850-487-5015",15,"Senate",2220,NA,NA,0.981382978723404,0.0184147317854283,376,369,1962,7,105,46,9,0,"partisan_cross",5,NA,4,NA,1
1706,"sk3rdyfd",9,"D","Darryl Rouson","Darryl","Ervin","Rouson","","",157259,104952,"",264391,"http://ballotpedia.org/Darryl_Rouson","","850-487-5016",16,"Senate",2220,NA,16,0.857913669064748,0.00843881856540084,1112,954,7150,158,407,74,26,7,"partisan_cross",11,NA,8,NA,9
19337,"fa7mchib",9,"D","Carlos Smith","Carlos","Guillermo","Smith","","",11029300,172901,"",571758,"http://ballotpedia.org/Carlos_Guillermo_Smith","","850-487-5017",17,"Senate",2220,NA,17,0.962441314553991,0.0374458874458874,639,615,3504,24,286,173,18,4,"partisan_cross",1,NA,1,NA,3
21025,"m8fyzly3",9,"R","Nick DiCeglie","Nicola","G.","DiCeglie","","Nick",336255,184438,"",652515,"http://ballotpedia.org/Nick_DiCeglie","","850-487-5018",18,"Senate",2220,NA,18,0.994666666666667,0.000900414190527643,750,746,4634,4,164,5,0,8,"partisan_cross",35,23,NA,2,NA
