"roll_call_id","bill_id","session","roll_call_date","roll_call_desc","yea","nay","nv","absent","n_total","passed","roll_call_chamber","bill_title","bill_number","session_year","bill_url","pct_of_total","n_present","pct_of_present","final_vote","R_pct_of_present","D_pct_of_present","rc_unity_D","rc_unity_R","rc_mean_partisanship"
1078429,1509412,"2021-2021_1st_Special_Session","2021-05-17","House Select Subcommittee on Gaming Regulation",13,0,0,0,13,1,"H","Pub. Records and Meetings/Florida Gaming Control Commission","H0005",2021,"https://legiscan.com/FL/bill/H0005/2021/X1",1,13,1,"N",1,1,1,1,1
1078473,1509421,"2021-2021_1st_Special_Session","2021-05-17","House Select Subcommittee on Gaming Regulation",9,4,0,0,13,1,"H","Gaming Enforcement","H0003",2021,"https://legiscan.com/FL/bill/H0003/2021/X1",0.692307692307692,13,0.692307692307692,"N",1,0,1,1,1
1078474,1509419,"2021-2021_1st_Special_Session","2021-05-17","Senate Appropriations",18,1,0,1,20,1,"S","Implementation of the 2021 Gaming Compact Between the Seminole Tribe of Florida and the State of Florida","S0002",2021,"https://legiscan.com/FL/bill/S0002/2021/X1",0.9,19,0.947368421052632,"N",0.909090909090909,1,1,0.909090909090909,0.947368421052632
1078486,1509416,"2021-2021_1st_Special_Session","2021-05-17","Senate Appropriations",16,2,0,2,20,1,"S","Fantasy Sports Contest Amusement Act","S0016",2021,"https://legiscan.com/FL/bill/S0016/2021/X1",0.8,18,0.888888888888889,"N",0.909090909090909,0.857142857142857,0.857142857142857,0.909090909090909,0.888888888888889
1078487,1509420,"2021-2021_1st_Special_Session","2021-05-17","House Select Subcommittee on Authorized Gaming Activity",12,6,0,0,18,1,"H","Fantasy Sports Contests","H0009",2021,"https://legiscan.com/FL/bill/H0009/2021/X1",0.666666666666667,18,0.666666666666667,"N",0.916666666666667,0.166666666666667,0.833333333333333,0.916666666666667,0.888888888888889
1078490,1509411,"2021-2021_1st_Special_Session","2021-05-17","Senate Appropriations",16,3,0,1,20,1,"S","Gaming Enforcement","S0004",2021,"https://legiscan.com/FL/bill/S0004/2021/X1",0.8,19,0.842105263157895,"N",0.909090909090909,0.75,0.75,0.909090909090909,0.842105263157895
1078546,1509408,"2021-2021_1st_Special_Session","2021-05-17","Senate Appropriations",19,0,0,1,20,1,"S","Gaming","S0008",2021,"https://legiscan.com/FL/bill/S0008/2021/X1",0.95,19,1,"N",1,1,1,1,1
1078554,1509422,"2021-2021_1st_Special_Session","2021-05-17","Senate Appropriations",16,2,0,2,20,1,"S","Fees/Fantasy Contest Operator License","S0018",2021,"https://legiscan.com/FL/bill/S0018/2021/X1",0.8,18,0.888888888888889,"N",0.909090909090909,0.857142857142857,0.857142857142857,0.909090909090909,0.888888888888889
1078555,1509414,"2021-2021_1st_Special_Session","2021-05-17","House Select Subcommittee on Authorized Gaming Activity",13,5,0,0,18,1,"H","Gaming","H0007",2021,"https://legiscan.com/FL/bill/H0007/2021/X1",0.722222222222222,18,0.722222222222222,"N",0.916666666666667,0.333333333333333,0.666666666666667,0.916666666666667,0.833333333333333
1078578,1509415,"2021-2021_1st_Special_Session","2021-05-17","Senate Appropriations",17,2,0,1,20,1,"S","Public Records and Public Meetings/Florida Gaming Control Commission","S0006",2021,"https://legiscan.com/FL/bill/S0006/2021/X1",0.85,19,0.894736842105263,"N",0.909090909090909,0.875,0.875,0.909090909090909,0.894736842105263
