stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url
AK,2018,40,lower,Districts for the 2018 Lower State House,AK 2018 Lower State House,5ab284b5-6786-4494-b4b4-19c8dce4daec,401ebf8c-15e5-45dd-b8b4-0c7c290b59d7.png,NA,https://davesredistricting.org/maps#viewmap::5ab284b5-6786-4494-b4b4-19c8dce4daec
AK,2018,20,upper,Districts for the 2018 Upper State House,AK 2018 Upper State House,bdba735e-167f-4bb9-80e4-e27c2b294263,f1ca771c-99c5-4c1e-bbb0-a47102487f90.png,NA,https://davesredistricting.org/maps#viewmap::bdba735e-167f-4bb9-80e4-e27c2b294263
AK,2020,40,lower,AK 2020 State House,AK 2020 State House,221a3b4c-750b-4ff6-a3a9-34a1f5b77e9f,NA,NA,https://davesredistricting.org/maps#viewmap::221a3b4c-750b-4ff6-a3a9-34a1f5b77e9f
AK,2020,20,upper,AK 2020 State Senate,AK 2020 State Senate,4ab6f5a0-0c30-4fc4-9b2d-706e9026d87f,NA,NA,https://davesredistricting.org/maps#viewmap::4ab6f5a0-0c30-4fc4-9b2d-706e9026d87f
AK,2022,40,lower,AK 2022 State House,AK 2022 State House,00c40e22-b9d4-4be4-b83c-0fe653360f1c,NA,FALSE,https://davesredistricting.org/maps#viewmap::00c40e22-b9d4-4be4-b83c-0fe653360f1c
AK,2022,20,upper,AK 2022 State Senate,AK 2022 State Senate,bdb0da36-3ec9-42ab-8971-643d667dbf6b,NA,FALSE,https://davesredistricting.org/maps#viewmap::bdb0da36-3ec9-42ab-8971-643d667dbf6b
AL,115,7,congress,Districts for the 116th US Congress,AL 116th Congressional,a3df66fd-3cb8-4c76-ba40-04a804c80a20,14d34dc8-a4eb-46be-9add-62d291444b73.png,NA,https://davesredistricting.org/maps#viewmap::a3df66fd-3cb8-4c76-ba40-04a804c80a20
AL,116,7,congress,Districts for the 116th US Congress,AL 116th Congressional,a3df66fd-3cb8-4c76-ba40-04a804c80a20,14d34dc8-a4eb-46be-9add-62d291444b73.png,NA,https://davesredistricting.org/maps#viewmap::a3df66fd-3cb8-4c76-ba40-04a804c80a20
AL,2018,105,lower,Districts for the 2018 Lower State House,AL 2018 Lower State House,2f8b0500-89c0-4850-a322-6bbca01ef671,bb60f99c-5ec4-4df9-8bf0-cebcc3c839ea.png,NA,https://davesredistricting.org/maps#viewmap::2f8b0500-89c0-4850-a322-6bbca01ef671
AL,2018,35,upper,Districts for the 2018 Upper State House,AL 2018 Upper State House,dbd4c81b-34c4-4e41-8b1f-da634a6d9a6e,6372268f-f089-4fc9-9af9-2dfc9de973bf.png,NA,https://davesredistricting.org/maps#viewmap::dbd4c81b-34c4-4e41-8b1f-da634a6d9a6e
AL,2020,7,congress,AL 2020 Congressional,AL 2020 Congressional,f025ff76-e268-4033-971d-d7d755ea01bb,NA,NA,https://davesredistricting.org/maps#viewmap::f025ff76-e268-4033-971d-d7d755ea01bb
AL,2020,105,lower,AL 2020 State House,AL 2020 State House,344dad94-a85c-4a55-8961-39d88e8835d0,NA,NA,https://davesredistricting.org/maps#viewmap::344dad94-a85c-4a55-8961-39d88e8835d0
AL,2020,35,upper,AL 2020 State Senate,AL 2020 State Senate,d68ce671-e1a9-4806-9eac-ba7478189558,NA,NA,https://davesredistricting.org/maps#viewmap::d68ce671-e1a9-4806-9eac-ba7478189558
AL,2022,7,congress,AL 2022 Congressional,AL 2022 Congressional,b1cfc3f6-27df-498d-a147-0664d75fea88,NA,NA,https://davesredistricting.org/maps#viewmap::b1cfc3f6-27df-498d-a147-0664d75fea88
AL,2022,105,lower,AL 2022 State House,AL 2022 State House,642e8d2a-248c-4191-a88a-a6cdad508cdb,NA,NA,https://davesredistricting.org/maps#viewmap::642e8d2a-248c-4191-a88a-a6cdad508cdb
AL,2022,35,upper,AL 2022 State Senate,AL 2022 State Senate,b694ea80-20d6-45fb-a0e2-09ddaa2880d5,NA,NA,https://davesredistricting.org/maps#viewmap::b694ea80-20d6-45fb-a0e2-09ddaa2880d5
AL,2024,7,congress,AL 2024 Congressional,AL 2024 Congressional,e164e6f9-b758-4c9e-b6bb-332a1386c0cd,NA,NA,https://davesredistricting.org/maps#viewmap::e164e6f9-b758-4c9e-b6bb-332a1386c0cd
AR,115,4,congress,Districts for the 116th US Congress,AR 116th Congress,362b215a-ca8d-4796-b024-afb1b2144472,0373168a-2bd9-4f5c-b605-cc77da6b3942.png,NA,https://davesredistricting.org/maps#viewmap::362b215a-ca8d-4796-b024-afb1b2144472
AR,116,4,congress,Districts for the 116th US Congress,AR 116th Congress,362b215a-ca8d-4796-b024-afb1b2144472,0373168a-2bd9-4f5c-b605-cc77da6b3942.png,NA,https://davesredistricting.org/maps#viewmap::362b215a-ca8d-4796-b024-afb1b2144472
AR,2018,100,lower,Districts for the 2018 Lower State House,AR 2018 Lower State House,6a179e3d-0f5a-4d37-b22e-aedb1180891b,d740c29d-6089-4d5e-829e-3b592f5da886.png,NA,https://davesredistricting.org/maps#viewmap::6a179e3d-0f5a-4d37-b22e-aedb1180891b
AR,2018,35,upper,Districts for the 2018 Upper State House,AR 2018 Upper State House,23f3b195-d111-449c-afdc-1dab33556c20,56875461-3cef-415d-9eaa-2b9b0c1699c5.png,NA,https://davesredistricting.org/maps#viewmap::23f3b195-d111-449c-afdc-1dab33556c20
AR,2020,4,congress,AR 2020 Congressional,AR 2020 Congressional,1db11e90-c162-4363-847c-a0d34a8864e8,NA,NA,https://davesredistricting.org/maps#viewmap::1db11e90-c162-4363-847c-a0d34a8864e8
AR,2020,100,lower,AR 2020 State House,AR 2020 State House,5ae54dad-eff3-4691-a70a-93a6c4c7d54f,NA,NA,https://davesredistricting.org/maps#viewmap::5ae54dad-eff3-4691-a70a-93a6c4c7d54f
AR,2020,35,upper,AR 2020 State Senate,AR 2020 State Senate,675350c0-88b5-4e21-bc75-72ebd663f484,NA,NA,https://davesredistricting.org/maps#viewmap::675350c0-88b5-4e21-bc75-72ebd663f484
