legislator_name,last_name,district_number,member_id,party,counties,chamber
"Abbott, Shane G.",Abbott,5,4864,,,House
"Albert, Jon",Albert,48,4917,,,House
"Alvarez, Daniel Antonio ""Danny""",Alvarez,69,4889,,,House
"Alvarez, Jose",Alvarez,46,4916,,,House
"Anderson, Adam",Anderson,57,4885,,,House
"Andrade, Robert Alexander ""Alex""",Andrade,2,4710,,,House
"Antone, Bruce Hadley",Antone,41,4269,,,House
"Aristide, Wallace",Aristide,107,4928,,,House
"Baker, Jessica",Baker,17,4866,,,House
"Bankson, Douglas Michael ""Doug""",Bankson,39,4873,,,House
"Barnaby, Webster",Barnaby,29,4770,,,House
"Bartleman, Robin",Bartleman,103,4793,,,House
"Basabe, Fabián",Basabe,106,4900,,,House
"Benarroch, Yvette",Benarroch,81,4923,,,House
"Berfield, Kimberly",Berfield,58,4210,,,House
"Black, Dean",Black,15,4865,,,House
"Blanco, Omar",Blanco,115,4929,,,House
"Booth, Erika",Booth,35,4914,,,House
"Borrero, David",Borrero,111,4794,,,House
"Botana, Adam",Botana,80,4782,,,House
"Boyles, Nathan",Boyles,3,5063,,,House
"Brackett, Robert A. ""Robbie""",Brackett,34,4870,,,House
"Bracy Davis, LaVon",Bracy Davis,40,4874,,,House
"Brannan III, Robert Charles ""Chuck""",Brannan III,10,4708,,,House
"Buchanan, James",Buchanan,74,4731,,,House
"Busatta, Demi",Busatta,114,4800,,,House
"Campbell, Daryl",Campbell,99,4843,,,House
"Canady, Jennifer",Canady,50,4879,,,House
"Caruso, Michael A. ""Mike""",Caruso,87,4754,,,House
"Casello, Joe",Casello,90,4750,,,House
"Cassel, Hillary",Cassel,101,4895,,,House
"Chamberlin, Ryan",Chamberlin,24,4901,,,House
"Chambliss, Kevin D.",Chambliss,117,4798,,,House
"Chaney, Linda",Chaney,61,4778,,,House
"Cobb, Nan",Cobb,26,4910,,,House
"Conerly, William ""Bill""",Conerly,72,4920,,,House
"Cross, Lindsay",Cross,60,4887,,,House
"Daley, Dan",Daley,96,4757,,,House
"Daniels, Kimberly",Daniels,14,4652,,,House
"Driskell, Fentrice",Driskell,67,4745,,,House
"Duggan, Wyman",Duggan,12,4712,,,House
"Dunkley, Lisa",Dunkley,97,4893,,,House
"Edmonds, Jervonte ""Tae""",Edmonds,88,4842,,,House
"Eskamani, Dr. Anna  V.",Eskamani,42,4746,,,House
"Esposito, Tiffany",Esposito,77,4892,,,House
"Fabricio, Tom",Fabricio,110,4792,,,House
"Franklin II, Gallop",Franklin II,8,4863,,,House
"Gantt, Ashley Viola",Gantt,109,4897,,,House
"Garrison, Sam",Garrison,11,4767,,,House
"Gentry, Richard",Gentry,27,4911,,,House
"Gerwig, Anne",Gerwig,93,4925,,,House
"Giallombardo, Mike",Giallombardo,79,4783,,,House
"Gonzalez Pittman, Karen",Gonzalez Pittman,65,4888,,,House
"Gossett-Seidman, Peggy",Gossett-Seidman,91,4891,,,House
"Gottlieb, Michael ""Mike""",Gottlieb,102,4724,,,House
"Greco, Sam",Greco,19,4906,,,House
"Griffitts, Jr., Philip Wayne ""Griff""",Griffitts,6,4862,,,House
"Grow, J.J.",Grow,23,4909,,,House
"Harris, Jennifer ""Rita""",Harris,44,4877,,,House
"Hart, Dianne ""Ms Dee""",Hart,63,4736,,,House
"Hinson, Yvonne Hayes",Hinson,21,4768,,,House
"Hodgers, Brian",Hodgers,32,5064,,,House
"Holcomb, Jeff",Holcomb,53,4890,,,House
"Hunschofsky, Christine",Hunschofsky,95,4799,,,House
"Jacques, Berny",Jacques,59,4886,,,House
"Johnson, Chad",Johnson,22,4908,,,House
"Joseph, Dotie",Joseph,108,4716,,,House
"Kendall, Kim",Kendall,18,4905,,,House
"Kincart Jonsson, Jennifer",Kincart Jonsson,49,4918,,,House
"Koster, Traci",Koster,66,4779,,,House
"LaMarca, Chip",LaMarca,100,4722,,,House
"López, Johanna",López,43,4875,,,House
"Lopez, Vicki L.",Lopez,113,4896,,,House
"Maggard, Randall Scott ""Randy""",Maggard,54,4758,,,House
"Maney, Patt",Maney,4,4764,,,House
"McClure, Lawrence",McClure,68,4686,,,House
"McFarland, Fiona",McFarland,73,4780,,,House
"Melo, Lauren",Melo,82,4784,,,House
"Michael, Kiyan",Michael,16,4869,,,House
"Miller, Monique",Miller,33,4913,,,House
"Mooney, Jr., James Vernon ""Jim""",Mooney,120,4797,,,House
"Nix , Jr., Danny",Nix ,75,4921,,,House
"Nixon, Angela ""Angie""",Nixon,13,4766,,,House
"Oliver, Vanessa",Oliver,76,4922,,,House
"Overdorf, Tobin Rogers ""Toby""",Overdorf,85,4728,,,House
"Owen, Michael",Owen,70,4919,,,House
"Partington, Bill",Partington,28,4912,,,House
"Perez, Daniel",Perez,116,4690,,,House
"Persons-Mulicka, Jenna",Persons-Mulicka,78,4785,,,House
"Plakon, Rachel Saunders",Plakon,36,4871,,,House
"Plasencia, Susan",Plasencia,37,4872,,,House
"Porras, Juan Carlos",Porras,119,4898,,,House
"Rayner, Michele K.",Rayner,62,4781,,,House
"Redondo, Mike",Redondo,118,4902,,,House
"Rizo, Alex",Rizo,112,4796,,,House
"Robinson, Felicia Simone",Robinson,104,4791,,,House
"Robinson , Jr., William Cloud ""Will""",Robinson ,71,4733,,,House
"Rosenwald, Mitch",Rosenwald,98,4927,,,House
"Salzman, Michelle",Salzman,1,4763,,,House
"Sapp, Judson",Sapp,20,4907,,,House
"Shoaf, Jason",Shoaf,7,4756,,,House
"Sirois, Tyler I.",Sirois,31,4748,,,House
"Skidmore, Kelly",Skidmore,92,4786,,,House
"Smith, David",Smith,38,4718,,,House
"Snyder, John",Snyder,86,4787,,,House
"Spencer, Leonard",Spencer,45,4915,,,House
"Stark, Paula A.",Stark,47,4878,,,House
"Steele, Kevin M.",Steele,55,4881,,,House
"Tant, Allison",Tant,9,4765,,,House
"Temple, John Paul",Temple,52,4880,,,House
