ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A,36376,22518,1354,389,2338,10501,251,0,0,36902,21577,2251,590,2763,10585,365,0,0,35969,20230,1681,638,2739,11091,357,36700,21167,2231,598,3236,10213,456,339,2480,6791,119,3499,35831,19981,2304,488,3497,9934,534,27733,18293,820,213,1581,7142,139,0,0,27856,17679,1260,357,1205,7068,77,235,1054,5487,77,232,0,28118,16971,1092,404,1987,7689,212,28118,16971,1092,177,1567,5570,72,2524,27844,17499,1315,430,1506,6730,85,0,0,0,0,27297,16733,1411,271,1776,6582,162,181,1569,4763,162,27351,16824,1489,306,1711,6460,142,151,1556,4340,142,18073,7739,9808,17617,6600,8678,17217,2262,8726,15655,7262,7497,17938,7983,8804,19746,9004,10013,19519,8877,9522,17031,6750,9285,14104,1431,12558,14216,2884,6965,14236,7305,6620
2,B,35288,24405,1665,614,2924,6524,423,0,0,36344,24074,2372,819,3332,6502,631,0,0,36317,22871,2204,845,3446,7385,771,36506,23649,2413,881,3607,6328,696,321,2236,3421,377,4077,36231,22957,2541,895,4004,6381,696,27206,19873,1059,347,1935,4358,231,0,0,27419,19704,1266,421,1427,4056,235,319,1189,2749,235,366,0,28667,19160,1492,548,2447,5052,485,28667,19160,1492,280,1752,2835,329,2663,27646,19665,1331,390,1734,3979,255,0,0,0,0,27828,19457,1496,487,1739,3770,330,340,1429,2435,330,27560,19269,1407,410,1855,3737,234,191,1562,2337,234,19890,11030,8288,19383,10214,6688,19039,3669,8002,18420,10940,6724,20167,11919,7213,21709,13324,7601,21603,13095,7740,19286,10187,8157,16164,2542,13429,16344,4327,5217,16426,11298,4889
3,C,35573,25023,1570,440,3561,5237,251,0,0,37035,25165,2203,344,4205,5203,453,0,0,37141,25064,1879,552,4069,5298,375,36922,24887,2313,300,4285,5200,395,175,3666,3281,173,2283,37311,24862,2130,427,4266,5240,447,26923,19777,966,278,2428,3520,144,0,0,26828,20173,1229,227,1495,3384,158,163,1362,2551,158,190,0,29255,20524,1271,397,2992,3750,237,29255,20524,1271,226,2649,2458,138,1819,26550,20076,1285,243,1396,3197,154,0,0,0,0,27525,20429,1322,319,1982,3234,170,214,1816,2121,170,28356,21056,1330,294,2413,3103,111,195,2204,1875,111,18027,6951,10618,17543,6310,9135,17076,1788,6787,15885,7546,7538,18361,7867,9491,20466,8662,11055,20243,8568,10768,17599,6715,10002,15585,1541,13948,15602,4126,8183,15615,7488,7725
4,D,35056,29107,1151,282,794,3854,213,0,0,36973,29705,1472,400,1014,4215,363,0,0,36936,28387,1559,519,1054,5069,298,36752,29274,1452,482,1143,4255,312,217,674,2603,100,2069,36924,28782,1728,672,1177,4433,221,26325,22500,710,154,502,2486,130,0,0,27751,23369,950,179,374,2653,64,119,231,2027,64,141,0,28380,22581,977,331,737,3405,187,28380,22581,977,161,472,1847,86,2083,27942,23478,949,237,492,2630,74,0,0,0,0,27990,23080,998,302,529,2941,29,227,342,1851,29,28396,23175,1033,305,521,3154,18,224,420,1698,18,17234,3952,12887,18075,3575,12670,17691,1152,6787,16256,4328,11234,18688,4606,13166,20758,5205,14883,20501,5083,14437,17927,3923,13241,16034,888,15046,16085,2397,11758,15987,4725,10897
5,E,36286,26874,2182,1235,3103,3268,314,0,0,35760,24167,3595,1212,3324,4152,575,0,0,36807,24277,3012,1322,3958,4047,709,35019,23514,2950,1344,3590,3488,1238,921,1910,1222,734,3765,35472,23214,3245,1740,3723,3811,991,26858,20831,1315,711,2054,2040,165,0,0,25989,19305,1683,702,1252,2730,123,487,977,1643,123,236,0,27943,19519,1991,857,2682,2598,413,27943,19519,1991,554,2131,1328,260,2002,26004,19297,1513,822,1524,2209,445,0,0,0,0,26318,18701,1820,1002,1985,2266,505,790,1659,1096,505,26009,18418,1423,774,2229,2523,540,657,1702,1354,540,20000,7908,11756,19665,7897,9568,19468,1963,9582,17892,8198,9120,20276,9068,10385,22055,10590,10857,22074,9740,11809,19466,7720,11002,17211,1611,15483,17275,4893,8726,17269,8985,7996
6,F,34539,22824,2368,1799,3984,3962,553,0,0,35242,21306,2439,2714,5204,4160,657,0,0,36320,20477,3018,2024,5471,5260,978,34725,20402,2499,1959,5972,4448,582,950,4652,2171,373,3581,35233,19540,3257,2147,6598,4109,841,25202,17682,1441,1052,2696,2392,292,0,0,25418,17174,1422,1377,2535,2581,105,955,2286,1574,105,320,0,27523,16515,2030,1297,3921,3471,605,27523,16515,2030,867,3294,1938,429,2304,25063,16269,1618,1184,2848,2676,245,0,0,0,0,25169,15620,2117,1194,3356,2179,353,671,3108,1425,353,26525,16517,2177,1529,3224,2457,420,995,2932,1679,420,16930,6451,10208,17271,6933,8447,16998,1954,7913,15828,7274,8083,17910,7991,9159,19593,9242,9731,19521,8612,10305,17111,6819,9613,14756,1549,13081,14857,4199,7641,14877,7954,6701
7,G,38423,21946,3295,2721,4811,5639,1466,0,0,36356,19400,3710,2313,5813,5320,1318,0,0,36398,17726,3482,2716,5383,6330,2032,37056,19070,4105,2251,5751,6080,1292,1166,4625,2827,951,3800,36330,18722,3710,2444,5174,6075,1163,29988,18515,2205,1756,3438,3867,845,0,0,27783,16594,2393,1516,3175,3218,599,1251,2885,1988,599,344,0,29169,15497,2431,1944,4065,4543,1239,29169,15497,2431,1374,3437,2702,1005,2574,28213,16438,2667,1343,3299,3553,555,0,0,0,0,28091,16219,2515,1449,2980,3993,443,1237,2463,2636,443,27613,15599,2354,1436,2597,4488,877,1145,2055,3143,877,16315,7346,8693,15461,7054,6646,15095,2332,6338,13427,7098,5863,15359,7938,6670,16742,9041,7090,16634,8660,7288,14522,6796,7089,11691,1811,9796,11811,4321,5145,11765,7017,4513
8,H,36268,23936,2252,1640,4492,4038,867,0,0,37897,23552,2757,1776,4938,5308,711,0,0,36350,21407,2478,1678,5237,5165,1310,37136,23662,2535,1462,4526,5331,1024,838,3131,3095,569,3056,38151,23795,2751,1853,5012,5577,518,27169,19136,1373,954,3076,2506,485,0,0,27025,18498,1403,895,2872,2895,305,748,2680,2114,305,224,0,27973,17635,1656,1037,3779,3382,757,27973,17635,1656,682,3083,1826,562,2345,26889,18544,1250,869,2621,3207,285,0,0,0,0,27471,18850,1494,952,2675,3351,29,708,2363,2487,29,27596,18730,1311,1278,2745,2990,371,1096,2513,1868,371,18548,7731,10504,18045,7932,8168,17829,2222,8468,16481,8270,7655,18543,9069,8661,20109,10419,9039,20091,9754,9720,17772,7719,9323,15499,1668,13694,15643,4786,7146,15679,9064,6365
9,I,38236,23120,3681,4498,2718,4486,1139,0,0,36813,20467,4261,4302,3039,3950,1834,0,0,36226,18682,4211,4329,3212,5083,1882,37172,19462,4516,4964,3251,4291,2014,3607,2336,2418,1682,2814,36155,19564,4188,4758,2734,3581,2178,28683,18393,2320,2775,1875,3266,615,0,0,26922,16650,2405,2307,1694,2830,913,2032,1425,1936,913,158,0,29079,15897,3015,3063,2404,3996,1172,29079,15897,3015,2326,1878,2665,967,2120,27302,16464,2417,2427,1798,2913,1038,0,0,0,0,27090,16736,2396,2494,1404,2672,1266,2134,1183,1944,1266,25997,16000,2687,2003,1519,2821,744,1557,1261,1955,744,14159,7185,6699,12892,6486,4880,12394,2170,5232,10132,6105,3567,12423,7043,4700,13921,8083,5296,13673,7721,5396,11528,6010,4946,8611,1576,6968,8641,3585,3026,8597,5670,2702
