ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_17_SEN_SPEC_Total,E_17_SEN_SPEC_Dem,E_17_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_22_SC6_Total,E_22_SC6_Dem,E_22_SC6_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,49213,43099,1059,4281,461,382,39,0,0,49641,42443,1225,5245,448,357,69,0,0,49457,41296,1513,4860,529,1162,58,49858,42341,1072,5162,574,496,64,4511,367,235,58,83,1197,49740,42203,1396,4735,667,510,71,38712,34503,631,2948,359,306,25,0,0,39582,34770,550,3672,203,335,30,3581,199,96,30,0,39536,33721,978,3469,376,908,35,39536,33721,978,3170,285,126,10,73,1173,39627,34827,622,3476,279,355,35,0,0,0,0,0,39550,34866,648,3271,276,350,15,2931,173,68,15,40358,35738,689,3041,333,367,10,2510,202,36,10,19982,6708,12888,18654,5894,12760,20683,5207,14556,20269,6097,14153,12187,5350,6641,16200,5449,10722,16045,5737,10292,16036,5189,10833,18478,5886,12383,23220,6369,16465,23079,7409,15629,17728,4544,12880,13382,2971,10128,13388,2581,10347,13307,3010,10288,11673,0,10179,11792,0,10298,13277,2910,9999,13338,2934,10116,13217,3089,10121,10706,0,10495,18077,4600,13230,22483,5583,16563,17903,0,17537
2,2,47729,43173,1384,2384,221,580,30,0,0,49000,42721,1801,3403,451,622,35,0,0,49685,42780,2276,2714,435,1446,51,48743,42354,1717,3705,436,415,5,3174,384,149,5,0,959,50413,43914,1433,3803,413,613,261,36725,33610,791,1745,133,459,19,0,0,37976,33960,720,2502,324,473,4,2438,294,229,4,0,39316,34465,1383,1951,286,1133,34,39316,34465,1383,1772,190,166,9,55,1276,37382,33833,427,2474,199,367,3,0,0,0,0,0,39091,35363,444,2479,231,470,65,2176,159,71,65,39170,35296,746,2274,271,500,50,1914,185,82,50,20704,5785,14525,21409,6024,15385,22415,4008,17635,21945,4917,17005,12483,3978,8288,17523,4274,13220,17353,4529,12819,17337,3882,13453,19921,4499,15270,25290,4663,20281,25225,5845,19328,19829,3353,16175,15781,2191,13223,15824,1867,13390,15681,2322,13339,14316,0,13133,14540,0,13323,15598,2139,13013,15741,2156,13192,15539,2340,13181,13514,0,13398,20549,3421,16877,26235,4304,21627,22059,0,21769
3,3,45976,32869,1290,11048,455,503,33,0,0,46106,33392,1934,9913,569,444,48,0,0,49510,33176,2173,12206,734,1263,40,46286,33403,2085,9819,541,465,58,9235,380,159,41,12,969,49273,34627,2163,11127,711,657,58,35843,26378,813,8002,358,401,21,0,0,35064,26832,647,7055,160,316,35,6940,110,177,42,0,39001,27198,1353,8912,557,981,27,39001,27198,1353,8452,462,145,10,62,1319,35773,27327,756,7167,166,380,41,0,0,0,0,0,38472,28649,797,8193,343,468,40,8128,175,111,40,39074,28290,993,9020,315,415,0,8818,190,53,0,19935,8751,10765,13715,6694,7021,19591,7044,11752,19193,7695,11471,11907,6479,5276,16126,7082,9019,15941,7405,8521,15926,6817,9098,17755,7605,9980,21805,8411,13051,21643,9218,12381,16576,5968,10352,12450,3907,8310,12455,3554,8486,12374,3941,8422,9962,0,8276,10017,0,8490,12326,3826,8162,12432,3789,8360,12307,4012,8290,8912,0,8690,16788,5962,10626,20352,6927,13156,14568,0,14230
4,4,38610,29694,2274,4920,1343,568,54,0,0,43831,33034,2681,6594,1086,574,15,0,0,49921,34854,3627,7348,2630,1551,115,42466,31961,3060,6145,920,478,25,5788,709,146,0,196,607,49621,36097,3135,7923,2032,914,31,29092,23168,1405,3372,845,409,29,0,0,32061,25492,988,4600,533,438,0,4578,349,222,10,0,37793,27458,2265,5125,1710,1197,69,37793,27458,2265,4725,1454,215,29,113,1534,31714,25067,1380,4418,482,363,0,0,0,0,0,0,36165,27815,1572,5343,857,510,4,5286,668,165,4,37272,27583,2429,5713,893,550,28,5534,593,81,28,16863,4787,11820,17690,5210,12480,19759,5243,13326,19472,5505,13934,13366,5971,6975,16881,5836,11023,16760,5841,10909,16771,5383,11380,18717,6384,12022,23158,7344,15279,23010,8163,14788,18247,5345,12449,14741,3873,10368,14749,3499,10515,14624,4060,10551,12762,0,10398,12955,0,10528,14605,3853,10125,14715,3882,10289,14544,4115,10422,11425,0,11134,19169,5842,12926,24469,7997,15920,18767,0,17910
5,5,41905,31440,2997,6665,445,515,51,0,0,48586,36845,3287,7283,635,755,164,0,0,49268,35852,3881,7304,717,1561,102,49185,37947,3406,6655,554,979,109,6050,378,369,19,0,1005,50253,37701,4180,7359,460,1126,153,32109,24778,1763,4953,311,389,28,0,0,37058,29510,1042,5493,384,582,55,5354,266,293,25,0,38314,28954,2291,5390,490,1159,63,38314,28954,2291,5032,341,158,28,101,1409,38137,30680,1259,5289,478,629,20,0,0,0,0,0,39337,30953,1647,5991,367,578,17,5747,328,160,17,42138,32773,1617,6676,449,617,3,6185,409,138,3,17628,5324,12041,12287,2884,9403,20051,4824,14418,19692,5208,14453,12409,4909,7245,16804,5193,11588,16686,5337,11342,16695,4799,11890,18825,5713,12890,23762,6625,16710,23656,7552,16063,18761,4753,13654,15243,3288,11540,15246,2934,11710,15151,3505,11632,13388,0,11502,13603,0,11703,15119,3254,11330,15203,3247,11476,15063,3471,11582,12361,0,12143,19807,5142,14356,25678,6941,18372,20380,0,19813
6,6,43627,33869,1249,7081,785,793,67,0,0,46778,33943,1976,9054,1241,775,71,0,0,50166,34659,2349,10312,1124,1748,113,48624,35830,1579,9127,1132,945,79,8605,694,389,26,152,1363,49761,36365,1533,9906,1091,906,112,32049,25255,748,5049,507,553,37,0,0,35400,26523,898,6793,557,554,0,6575,430,287,85,0,38850,27506,1420,7753,791,1283,63,38850,27506,1420,7373,480,236,25,122,1688,36719,27507,918,7017,575,687,0,0,0,0,0,0,38525,28845,846,7632,521,558,6,7393,299,70,6,39249,28724,1246,7820,420,774,11,7523,303,148,11,17780,5350,12220,18995,6048,12947,21021,6024,13833,20715,6269,14407,13851,6488,6981,17845,6463,11353,17741,6599,11128,17746,6318,11411,20322,7259,12720,25815,8500,16740,25758,9505,16206,20271,6453,13345,16491,4995,11022,16491,4558,11192,16369,5172,11184,13907,0,11070,14131,0,11226,16337,4935,10776,16454,4833,11005,16255,5179,11067,12330,0,11847,21311,6983,13917,26692,9099,17098,20143,0,19116
7,7,47176,36099,986,6585,172,3455,30,0,0,45329,34345,1084,6362,208,3501,34,0,0,46018,33997,1537,6204,274,4033,55,46185,34416,1302,7065,188,3356,22,6696,79,2062,22,36,1566,45658,34092,1309,6810,194,3558,52,36425,28472,541,4984,108,2372,15,0,0,35597,27481,375,5075,87,2521,29,5047,72,1645,13,0,36300,27336,942,4913,186,2899,40,36300,27336,942,4717,86,1128,7,58,2026,36413,27591,433,5656,84,2497,20,0,0,0,0,0,35953,27144,484,5525,118,2604,15,5413,108,1447,15,36372,27188,620,5612,172,2706,0,5265,152,1069,0,20464,7666,12427,21880,8883,12997,20572,5471,14551,20058,6263,13774,11981,4741,7146,16828,5609,11191,16578,6150,10420,16503,5138,11360,18295,5637,12562,22347,5666,16474,22244,6505,15698,18018,4273,13540,14679,2955,11409,14742,2663,11498,14592,3016,11564,12575,0,11342,12720,0,11380,14451,2931,11058,14671,2913,11435,14430,3118,11297,11626,0,11501,18313,4153,14015,22190,4658,17360,17677,0,17493
8,8,45906,28259,5959,10662,487,681,90,0,0,44747,26708,5971,11121,206,729,3,0,0,46640,25225,7834,11869,618,1337,69,45280,27693,6049,10697,270,477,146,9931,99,93,0,76,1353,46988,28010,7055,10858,431,882,173,34450,22724,3676,7304,327,518,51,0,0,32241,22352,1426,7735,131,594,0,7561,108,91,18,0,35536,20991,4708,8491,413,1034,50,35536,20991,4708,8121,274,147,33,76,1186,32749,23497,1462,7396,91,413,0,0,0,0,0,0,33169,23406,1829,7186,133,568,0,7063,93,102,0,33474,23119,2180,7444,289,538,6,7120,206,78,6,18517,6765,11571,12344,4410,7934,17596,5796,11159,17277,6063,11194,10930,5184,5529,13934,5443,8473,13868,5482,8381,13874,5097,8771,15550,6094,9282,18704,7073,11354,18615,7694,10890,14372,4940,9194,10546,3078,7229,10562,2883,7319,10510,3158,7342,8499,0,7286,8620,0,7337,10489,3077,7115,10541,3091,7202,10450,3197,7241,7799,0,7631,14393,5001,9205,17531,6152,11159,12423,0,12086
9,9,44839,40814,1310,1575,235,939,25,0,0,45260,40098,1680,1970,614,989,69,0,0,45703,39632,1848,1859,427,1728,50,45090,39396,1712,1986,605,1369,171,1831,457,328,171,2,1186,45399,39823,1614,2341,447,1217,61,34214,31510,783,1055,157,714,17,0,0,34192,31317,310,1454,400,652,15,1442,291,235,30,0,35378,31325,1078,1227,258,1329,17,35378,31325,1078,1063,135,228,7,65,1477,33808,30586,337,1561,438,897,40,0,0,0,0,0,34109,31081,314,1779,249,892,0,1570,195,64,0,34754,31935,558,1321,196,802,5,995,189,155,5,19170,3808,15003,25125,5926,19199,20198,2794,16698,19904,3328,16551,11711,2811,8653,15189,2837,12324,15122,2891,12224,15107,2427,12670,17286,2946,14168,21133,2989,17855,21080,3720,17315,16600,2127,14212,12827,1326,11101,12838,1148,11130,12768,1419,11342,12064,0,11122,12173,0,11202,12743,1312,11013,12818,1351,11108,12709,1465,11235,11487,0,11396,16979,2172,14585,21808,2963,18597,19187,0,18957
