ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_17_SEN_SPEC_Total,E_17_SEN_SPEC_Dem,E_17_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_22_SC6_Total,E_22_SC6_Dem,E_22_SC6_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,137021,116824,3941,13881,1206,1400,105,0,0,142407,120482,5061,14275,1314,1491,138,0,0,145951,120017,5867,14139,1793,3982,187,143455,121417,5298,13589,1394,1557,109,12017,924,717,72,95,2935,146382,122196,5868,14415,1772,1896,462,106381,92131,2333,10041,921,1097,70,0,0,110929,96944,2045,10015,720,1167,40,9787,580,522,59,0,115624,97184,3608,10242,1294,3071,118,115624,97184,3608,9426,922,450,41,212,3781,111521,98433,1922,9170,774,1183,59,0,0,0,0,0,114815,100211,2180,10071,932,1244,66,9508,723,255,66,119019,103233,2263,10637,1026,1405,45,9592,766,215,45,56858,17898,37907,55107,17319,37788,61158,13405,45285,59922,15655,44194,35579,13611,21328,48443,14177,34185,48044,14898,33115,48019,13246,34744,55480,15438,39477,70869,17054,52673,70522,20146,50241,54719,12064,41722,42889,7967,33894,42941,6917,34428,42626,8257,34328,38196,0,33858,38692,0,34327,42495,7781,33403,42769,7795,33841,42305,8337,33935,35462,0,34932,56749,12480,43481,71892,15706,55202,58642,0,57515
2,2,124472,76949,5286,35667,5669,1691,286,0,0,139580,83485,7150,40973,6771,1772,350,0,0,150708,85009,8884,45159,8329,4068,502,145644,88291,8322,40658,6716,2058,212,38200,4996,680,90,593,4465,154705,91256,9390,44792,7904,2126,431,93600,59226,3487,26208,3955,1203,178,0,0,104586,66305,3255,30669,2810,1235,25,30000,2295,553,355,0,117745,68849,5871,34181,6037,2985,348,117745,68849,5871,32172,4877,513,180,506,4777,108334,69959,3923,30294,2538,1324,74,0,0,0,0,0,115319,72684,4470,33474,3069,1156,30,32609,2327,338,30,122500,75770,5549,35453,3485,1735,101,34302,2658,333,101,54983,23499,30842,60289,26849,33440,62146,25436,31962,61302,25554,35616,44677,26701,16592,54857,27004,27759,54456,27105,27288,54533,26499,27990,60793,30172,29263,74694,36128,36535,74300,38700,35433,58534,26601,30171,47116,20045,25479,47073,18466,26120,46719,20891,25784,36789,0,25768,37398,0,26111,46665,19976,24443,47053,19765,25445,46461,20993,25428,30695,0,28905,61107,28550,31128,76065,36928,37244,50661,0,46609
3,3,132441,99924,9854,19024,1756,2271,178,0,0,138871,101836,10672,22244,2033,2640,94,0,0,150083,102832,14341,24721,3413,4974,271,140079,101576,11210,22746,1979,2642,342,21279,1341,628,171,244,3627,150268,106849,12153,25867,2775,3345,325,100842,78889,6039,13236,1198,1708,103,0,0,102937,81601,2986,15332,1178,1838,19,14996,818,530,58,0,115850,83057,8741,17884,2304,3848,144,115850,83057,8741,16792,1737,613,76,293,4541,104426,81475,3313,16497,1271,1892,40,0,0,0,0,0,111226,85557,4053,18015,1388,2201,4,17492,1135,471,4,113289,85261,5415,19058,1479,2246,18,17778,1211,467,18,55833,16511,38498,56149,16763,39386,59988,15428,41962,59044,16514,42459,37657,15324,21485,48391,15763,32560,48114,15900,32193,48124,14570,33533,54120,17219,36239,66293,19615,45545,65964,21839,43987,51953,14198,36782,40657,9852,29623,40676,9087,29900,40432,10254,30142,34857,0,29802,35292,0,30053,40369,9812,29181,40610,9928,29522,40227,10395,29799,32003,0,31309,53781,15059,37885,69122,20241,47803,53388,0,51765
4,4,135666,126314,4725,2495,609,1550,142,0,0,136507,125851,5138,3140,831,1809,68,0,0,140747,125989,5824,3126,1018,4195,174,136875,125577,5185,3114,803,1835,69,2263,411,417,16,22,2984,141142,128512,5614,3128,1020,2141,141,105061,98841,2815,1755,438,1234,95,0,0,105050,99540,1727,1911,362,1293,10,1821,286,358,160,0,110270,100221,3516,2030,668,3279,107,110270,100221,3516,1704,476,390,58,153,3752,105585,99890,1811,2065,392,1322,15,0,0,0,0,0,108880,102835,2038,2013,467,1303,34,1793,350,288,34,110364,103704,2360,2087,611,1457,34,1656,470,238,34,58040,10221,46535,55216,8304,46912,61170,6102,53491,60104,8437,51571,33401,6383,26559,46335,7288,38962,45975,7541,38402,45911,5909,39977,53040,6968,45727,66942,6915,59280,66725,8842,57761,52307,4521,47085,41413,2945,37173,41511,2534,37233,41298,3058,38216,39611,0,37480,39982,0,37668,41194,2860,37242,41489,2821,37667,41063,3292,37741,38237,0,38063,53648,4550,48544,67838,6120,61140,62098,0,61602
5,5,133844,119792,2158,10369,463,1120,99,0,0,129855,115176,2762,10222,763,1212,70,0,0,137763,118338,4115,11098,842,3222,108,130812,116025,3066,9732,700,1148,102,8575,494,155,4,121,2370,135323,120064,2727,9972,605,1174,138,103438,93282,1406,7609,309,882,62,0,0,100825,91190,900,7364,453,944,0,7146,358,83,63,0,107920,93835,2547,8296,570,2502,70,107920,93835,2547,7703,372,317,13,117,3016,101214,91970,879,7078,355,934,0,0,0,0,0,0,104818,95280,866,7268,396,908,0,6777,204,123,0,104654,94384,1248,7430,297,1143,31,6849,211,100,31,58742,13103,44593,57815,11705,46110,61818,8549,51851,60820,10182,50551,34623,8330,25788,49894,10979,38849,49305,10695,38574,49227,8663,40535,54710,9804,44564,67453,9641,57118,67298,11713,55478,52186,6679,44900,40340,4349,34949,40386,3957,34932,40213,4455,35743,37486,0,35186,37809,0,35400,40159,4275,34929,40276,4158,35274,40088,4593,35479,36260,0,35998,52995,6692,45847,65454,8398,56562,58577,553,57513
6,6,142230,110782,8444,18150,710,4607,105,0,0,143042,108469,9741,19486,1241,4968,225,0,0,145684,106140,11799,20191,1105,7052,173,143038,108217,9668,19615,1300,5010,181,18358,971,2420,96,39,3257,145933,109701,10552,20170,927,5205,245,109218,87500,4968,13293,450,3243,58,0,0,108233,86439,2856,14929,509,3290,124,14740,410,1991,90,0,112941,85254,7077,14966,749,5105,105,112941,85254,7077,14188,535,1416,29,184,4258,108952,86270,3332,15434,522,3346,79,0,0,0,0,0,111393,87638,3919,15626,510,3607,115,15239,284,1695,115,111744,87163,4449,15812,631,3648,44,15046,427,1175,44,60272,21242,37858,52448,18510,33938,60900,15978,42975,59286,18431,40781,34842,14272,20207,49131,16580,32459,48316,18052,30231,48198,15382,32793,53993,16966,36643,66494,17472,48259,66163,20094,45947,52381,12759,38958,41338,8449,32071,41444,7534,32497,41067,8694,32340,35768,0,31862,36077,0,32233,40838,8352,31325,41294,8391,31989,40745,8925,31783,33114,0,32693,53348,12615,40236,65681,14881,50144,52416,0,51656
7,7,136492,91255,6139,34650,3039,2216,283,0,0,141463,92496,7693,36279,3954,1963,365,0,0,150663,96284,9341,36882,4060,4859,370,142872,92150,6863,38908,3888,1871,301,37150,2987,635,163,91,2837,150293,96811,7095,40304,4025,2745,203,104492,72546,3978,24594,2192,1604,165,0,0,106853,74213,2648,26365,2169,1298,140,25950,1894,584,109,0,117929,78720,5886,27005,2934,3652,233,117929,78720,5886,25381,2074,586,80,356,4846,109231,74811,2687,28291,2267,1256,123,0,0,0,0,0,115606,79602,2591,29682,2307,1774,8,28891,1603,326,8,117383,79238,4488,29698,2215,2044,29,28255,1479,317,29,63958,26939,36227,65719,25143,40576,65285,25023,36213,64318,24674,39515,47124,26918,18774,56497,25766,30641,56152,25408,30694,56054,24366,31660,63259,29124,32967,77673,34442,41471,77484,37365,39936,60011,24440,34027,46964,16846,28645,46917,15388,29168,46618,17721,28847,37013,0,28598,37789,0,28982,46470,17002,27490,46875,16909,28222,46247,17936,28267,32149,0,30888,61826,25663,34885,75115,32264,41206,51635,0,48200
8,8,143795,119942,7817,11589,1025,3865,240,0,0,146628,120060,8886,12114,1346,4522,728,0,0,148526,116323,9246,13732,1519,8660,155,145721,118733,8553,12734,1139,4724,228,11339,693,1718,138,240,4295,149581,121110,9461,13047,1220,4797,197,109879,93221,4489,8859,682,2885,159,0,0,110364,94809,2174,8986,606,3585,131,8687,454,1488,168,0,116322,93216,5553,10576,1005,6299,91,116322,93216,5553,9808,656,1254,24,237,5574,110318,94686,1851,9308,659,3758,78,0,0,0,0,0,113362,97161,2498,9236,808,3607,8,8679,614,980,8,114825,96937,3774,9786,822,3529,6,8883,622,706,6,58644,18834,38706,55404,16669,38735,60346,13177,44915,58784,15005,43711,34181,12402,21135,48715,13435,35133,48252,13582,34640,48162,12333,35807,54556,14088,39914,69033,15304,52795,68735,17689,50932,52682,10896,41000,40851,7441,32532,40850,6782,32728,40608,7764,32810,36277,0,32361,36723,0,32709,40548,7439,31858,40735,7524,31982,40347,8043,32268,33961,0,33477,54796,11367,42802,71654,15991,54833,58524,0,57110
9,9,140533,115134,15149,6628,1783,2394,287,0,0,144570,114659,17125,8853,2019,2245,245,0,0,150552,111711,21652,9712,2591,5942,356,144353,114137,17014,8829,2448,2330,212,7406,1892,481,86,260,3079,148042,115044,18988,9589,2316,3565,479,106344,90137,9173,4282,1291,1776,163,0,0,102822,90931,4173,4768,1091,1630,93,4416,870,507,285,0,114591,89783,12610,6424,1856,4267,224,114591,89783,12610,5651,1336,569,115,269,4258,102918,90266,4281,4719,1588,1663,79,0,0,0,0,0,106571,91598,5627,5740,1455,1758,205,5158,1171,348,205,107358,91513,7402,4904,1527,1876,115,4326,1143,321,115,52363,12573,38886,48207,9672,38535,55649,9865,43377,54438,11157,43186,32541,10565,21177,43895,10466,33328,43785,9615,34127,43712,9352,34323,50057,11379,38038,63203,13273,48905,63003,15641,47216,49043,9096,39033,38589,6067,31456,38585,5252,31706,38446,6319,32092,35359,0,31411,35934,0,31757,38333,5991,31105,38512,5826,31500,38097,6623,31454,33015,0,32568,50828,9636,40452,64681,12840,51005,54837,0,53520
