ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,32457,31421,399,198,72,363,15,0,0,31252,29907,595,368,39,364,11,0,0,30815,28761,599,285,114,781,26,30467,29039,547,328,73,384,0,192,7,74,0,1,603,30233,28616,373,531,162,395,4,24969,24290,237,86,49,301,9,0,0,24352,23512,317,233,14,282,0,203,6,98,10,0,23745,22317,359,154,75,623,17,23745,22317,359,71,33,90,9,31,835,23692,22878,259,182,53,329,0,0,0,0,0,0,23616,22591,299,320,129,337,0,106,4,84,0,23162,22139,406,109,87,451,5,5,17,86,5,13375,5194,7495,10134,3419,6715,10916,2334,8059,10529,2931,7072,8749,1587,6755,8719,2008,6460,8699,1906,6534,10113,2036,7802,11358,1895,9178,11150,1820,9330
2,2,30050,28721,458,241,123,531,21,0,0,29603,27715,642,370,201,629,138,0,0,30892,27769,625,385,266,1087,637,30113,27681,605,346,231,790,237,162,76,132,137,0,1318,31569,28580,532,500,243,1045,406,23710,22815,292,118,84,411,13,0,0,23073,22039,342,154,101,408,10,142,34,92,0,0,24198,22076,367,216,180,859,350,24198,22076,367,131,91,145,331,31,1026,23348,22238,347,178,61,522,25,0,0,0,0,0,24371,22996,270,224,115,723,19,195,73,44,19,24989,23239,432,299,128,673,111,263,98,46,111,10183,3872,5860,10773,3683,7090,11487,2686,8117,11160,2863,7717,9984,2138,7433,9945,2534,7077,9917,2424,7187,11170,2508,8284,12528,2611,9533,12251,2465,9786
3,3,31088,29856,492,108,203,460,27,0,0,31603,30014,792,88,129,488,26,0,0,31181,28588,789,222,322,1049,29,32269,30034,799,92,141,576,24,33,133,163,17,86,1005,31436,28754,839,156,212,827,92,25612,24759,312,66,141,345,19,0,0,25944,24852,489,24,185,367,10,9,156,107,12,0,25865,24001,509,104,235,815,23,25865,24001,509,56,173,126,4,40,956,26511,25349,492,58,175,431,10,0,0,0,0,0,25876,24584,556,93,160,435,10,23,154,125,10,25999,24667,547,138,226,420,0,77,201,61,0,14388,4658,9284,14221,3871,10350,14813,3102,11019,14375,3155,10509,10758,2223,8081,10718,2459,7888,10703,2459,7849,13575,2905,10258,15760,3484,11863,15257,3170,12087
4,4,29545,28339,502,90,130,519,33,0,0,29319,27725,573,267,349,449,3,0,0,29687,27126,666,149,194,1295,56,29319,27638,600,306,208,547,2,169,135,177,0,5,593,30093,27970,702,253,243,653,25,23910,23103,293,45,91,393,13,0,0,23536,22503,377,130,176,345,0,91,131,172,6,0,24123,22249,431,74,140,991,38,24123,22249,431,28,81,157,5,39,1133,23634,22516,400,156,116,442,0,0,0,0,0,0,24053,22811,458,154,130,484,25,95,73,92,25,24320,22968,583,72,62,593,16,40,44,164,16,13927,4675,8705,12341,3535,8806,13067,2656,9798,12792,2556,9561,9448,1892,7146,9433,2069,7028,9431,2055,7028,11876,2379,9150,13763,2824,10604,13469,2688,10781
5,5,30378,28930,560,110,199,577,39,0,0,30539,28705,651,176,440,723,33,0,0,30881,27838,857,238,347,1408,36,30276,28347,753,260,320,750,0,36,258,193,0,2,676,30524,28427,928,300,267,716,0,23255,22288,349,55,141,419,28,0,0,23481,22270,511,98,87,496,30,94,32,124,0,0,23952,21839,529,122,233,1056,25,23952,21839,529,61,168,166,16,51,1122,23429,22199,504,54,131,423,0,0,0,0,0,0,23759,22450,588,121,90,437,15,78,36,49,15,24182,22681,575,173,194,492,15,71,49,62,15,11529,3170,7927,12630,3202,9428,13259,2510,9940,13044,2226,10212,9566,1904,7335,9528,2008,7273,9524,1941,7306,12061,2267,9442,13917,2590,10991,13665,2610,11055
6,6,28700,25178,2583,162,217,616,55,0,0,29659,24813,3411,445,398,567,249,0,0,29541,23724,3225,239,436,1439,411,30564,25411,3248,578,457,718,220,114,363,336,216,25,862,30448,24202,3187,532,721,888,198,22485,20292,1522,84,145,470,31,0,0,21959,20157,1076,103,150,482,0,99,150,172,16,0,23422,19481,2056,152,305,1096,242,23422,19481,2056,60,227,215,210,78,1095,22599,20617,1003,85,246,612,0,0,0,0,0,0,22331,20242,957,115,333,555,14,93,203,212,14,22625,20425,1061,210,234,559,15,109,80,253,15,12723,4765,7550,10691,3790,6901,12028,3439,7897,11757,3396,7875,9808,3040,6534,9796,3259,6270,9798,3167,6349,11564,3537,7720,13259,4170,8734,13031,4036,8995
7,7,27553,18957,7463,262,332,652,89,0,0,30341,19659,9115,444,290,597,389,0,0,29885,17790,9416,442,421,1715,466,30039,17396,8925,328,437,845,420,186,338,365,410,1444,967,29601,15972,9904,326,505,970,363,20002,15000,4276,126,206,438,63,0,0,19546,15831,2875,167,205,439,14,139,195,289,9,0,22272,14522,5893,216,275,1287,247,22272,14522,5893,134,174,259,219,70,1001,19847,15794,3081,124,282,541,24,0,0,0,0,0,19248,14854,3473,107,343,485,26,79,265,217,26,20149,15411,3965,133,249,397,15,64,164,97,15,8715,3088,5386,8351,2851,5500,9792,3111,6031,9654,3098,6023,7769,2359,5189,7744,2561,4888,7748,2482,5006,9466,3156,5991,11171,4011,6827,10920,3915,7005
8,8,24434,20451,2790,320,380,527,44,0,0,27553,23017,2920,362,646,588,172,0,0,30027,23127,3941,545,673,1603,187,29256,22011,3594,700,687,849,165,262,462,317,162,1111,1331,29123,20954,4040,767,498,1081,107,17812,15431,1616,174,260,338,29,0,0,19026,17088,1113,154,183,449,25,136,133,253,21,0,22367,17850,2535,289,444,1113,120,22367,17850,2535,177,348,181,94,53,1129,20256,17820,1444,255,199,593,35,0,0,0,0,0,20991,17795,1913,350,208,783,0,314,174,167,0,22568,19050,2113,349,328,788,4,319,270,73,4,9553,2900,6410,8872,2530,6342,11403,2959,7537,11255,2981,7719,9426,2466,6698,9401,2666,6378,9384,2601,6504,11558,3326,7835,14135,4486,9262,13854,4426,9428
9,9,26544,10183,12376,748,581,504,2451,0,0,29568,9520,14734,959,651,620,3075,0,0,30625,7269,16587,897,860,1160,4623,29419,7918,15632,1181,1162,688,3110,1049,922,74,3073,89,663,30172,6504,16227,1565,1260,605,3993,17010,7807,6918,395,381,338,1323,0,0,13323,7612,3946,580,504,304,376,580,420,95,0,0,20046,5905,10066,562,641,794,2546,20046,5905,10066,399,530,101,2483,34,528,13155,6184,4865,673,641,358,294,0,0,0,0,0,12908,5525,5141,696,779,195,402,684,781,79,402,13006,5674,5136,703,581,264,489,548,581,70,489,3956,1525,2346,4148,1615,2533,5201,2253,2563,5099,2173,2656,3705,1603,1992,3685,1719,1839,3695,1701,1878,4810,2207,2430,5709,2836,2659,5549,2708,2841
