ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,92927,64385,4134,23456,514,683,40,0,0,86710,57998,4652,23059,450,562,155,0,0,83996,55490,4678,21582,651,1653,134,85887,57642,4570,22643,342,942,225,21855,255,88,196,49,1234,83567,55377,5038,21554,387,1382,170,70788,50590,2472,17018,360,497,26,0,0,65400,45984,1685,17108,217,388,15,17013,157,105,20,0,65061,44516,2911,15821,443,1271,93,65061,44516,2911,15344,334,190,38,129,1599,64780,46246,1629,16335,177,355,15,0,0,0,0,0,63252,44958,1784,15772,195,649,10,15498,140,64,10,61934,43567,2014,15475,173,729,9,15060,121,75,9,36350,13189,22016,32376,12160,20216,33782,10866,21574,32776,11729,19995,26674,7663,18442,26670,8543,17643,26608,8012,18103,31040,9602,20837,34402,10320,23274,33367,8955,24412
2,2,93091,59880,2533,29655,499,843,56,0,0,87679,55664,2882,27853,414,838,105,0,0,84817,52567,2946,26730,730,1887,108,86979,55200,2943,27848,398,644,156,27326,312,283,72,30,814,84831,53615,2885,26661,559,1046,111,70985,47512,1568,21134,330,632,44,0,0,66672,44582,1049,20307,127,519,44,20211,90,296,66,0,65753,42322,1795,19627,526,1431,69,65753,42322,1795,18999,375,178,28,115,1941,66129,43970,1110,20353,173,438,65,0,0,0,0,0,64702,43001,1117,19754,165,637,30,19663,104,73,30,63644,41850,1168,19352,356,874,9,19111,308,117,9,37151,13629,22392,36133,13686,22447,36675,12892,22531,34879,12133,21454,27418,8856,18051,27223,9564,16999,27196,9120,17604,32731,10862,21194,36410,11869,23383,35340,10340,25000
3,3,92693,60191,4651,26745,600,800,60,0,0,89673,57115,4866,26450,686,687,172,0,0,85018,52776,5519,24026,774,2019,99,89163,56249,4845,26529,683,879,176,25711,431,265,86,53,1524,84727,52990,5045,24873,737,1149,23,71407,48609,2689,19226,425,625,40,0,0,68396,46427,1539,19525,302,514,34,19199,264,239,96,0,66651,43171,3462,17924,527,1536,66,66651,43171,3462,17267,382,271,23,184,1891,68058,45899,1431,19529,378,692,38,0,0,0,0,0,64633,43474,1679,18186,442,766,8,17974,292,183,8,63618,42572,2000,17785,449,776,33,17307,246,123,33,34916,13875,19870,32508,12696,19812,33008,11660,20001,31717,11880,18857,24655,8005,16162,24630,8871,15323,24629,8329,15902,29308,9909,18770,32481,10636,20692,31106,9145,21961
4,4,90587,62203,8095,18344,577,1755,89,0,0,89391,59134,9217,18723,544,2048,177,0,0,85801,54163,9178,18397,646,3459,350,88847,58684,9443,18215,531,2009,237,17317,365,895,141,218,1777,85846,55743,9270,18023,455,1752,321,67562,48824,4577,12724,412,1200,57,0,0,64052,46762,2583,13266,169,1213,19,13107,109,598,95,0,65002,43347,5538,13088,475,2468,208,65002,43347,5538,12502,320,600,145,131,2419,63694,46512,2798,12986,174,1222,10,0,0,0,0,0,61734,44520,2849,12837,300,1149,4,12654,200,640,4,61657,43254,3914,12868,330,1180,15,12468,289,486,15,31211,10206,19944,29400,8853,20547,31579,8476,21945,30330,8352,20911,22870,5806,16596,22869,6457,16007,22842,6131,16296,28490,7381,20540,32766,8285,23519,31853,7388,24465
5,5,92633,82274,6127,729,1240,2446,66,0,0,89125,77858,6519,1043,743,3013,75,0,0,85322,71529,6377,1002,1187,4775,132,87665,75580,6533,1542,1003,2865,169,1046,659,683,21,151,2983,84605,72378,6617,1262,988,3123,127,70218,63947,3452,374,810,1709,43,0,0,66643,61681,1974,473,353,2114,0,356,335,697,67,0,66116,56938,3909,499,820,3455,77,66116,56938,3909,271,660,831,28,141,3338,65790,60339,2133,842,395,2047,0,0,0,0,0,0,63983,58118,2395,687,512,2295,0,511,388,481,0,64296,57698,2983,832,599,1997,0,591,497,388,0,34625,9426,23757,31497,7697,23800,34316,6196,26384,33707,8374,24002,27032,4582,21449,27004,5246,20957,26980,4710,21552,32027,5843,25307,36232,5925,29346,35921,6157,29764
6,6,83683,70400,3850,7589,786,1233,86,0,0,86564,70487,5251,8975,740,1061,188,0,0,87633,67523,6011,9136,1148,3656,168,87855,71548,5125,9073,847,1036,197,7852,476,543,38,16,2258,88310,71568,5233,9154,878,1702,126,67362,58414,2427,5107,553,943,55,0,0,68548,59333,1756,6102,472,774,0,5833,422,423,135,0,71247,57415,3764,6129,831,2801,103,71247,57415,3764,5429,615,482,52,163,3327,69555,60460,1514,6221,331,831,40,0,0,0,0,0,71018,61370,1946,6068,403,946,50,5747,327,248,50,70657,60510,2661,5864,376,1092,45,5303,298,254,45,40200,14465,24745,35591,12012,23579,37239,11211,23967,36833,12958,22398,30543,8173,21610,30525,9442,20350,30528,8657,21145,35749,11070,23782,40327,12828,26507,39869,11911,27958
7,7,83845,73871,2531,5804,692,1113,74,0,0,84452,72797,3334,5898,929,1581,39,0,0,87139,71800,4571,6603,984,2914,122,83941,71117,3806,6156,1047,1771,18,5265,825,489,10,35,2388,85899,72069,4632,6308,1089,1709,28,63954,57312,1478,3966,465,794,40,0,0,65106,57766,1338,4089,541,1280,23,3987,457,320,52,0,67494,56833,2840,4677,681,2176,91,67494,56833,2840,4184,496,283,38,129,2691,64231,56678,1423,4226,567,1259,5,0,0,0,0,0,66026,57946,1972,4377,611,1036,9,4140,324,192,9,65801,56685,2051,5337,855,798,17,4926,363,110,17,36095,10981,23954,32152,9753,22399,34813,8228,24734,34363,10630,22166,25670,5695,19211,25628,6531,18388,25628,5830,19034,32432,8031,23506,37458,8823,27804,37140,8595,28545
8,8,97227,39477,2089,54740,643,679,53,0,0,88559,35925,2244,49113,759,729,15,0,0,84746,31880,2693,48276,793,1323,151,87232,34686,2406,48431,791,853,265,47446,617,356,257,48,1411,84185,32211,2552,47725,786,663,184,74513,32691,1381,39663,489,517,40,0,0,68807,29975,867,37135,237,566,8,36922,187,277,36,0,67543,27202,1834,36931,587,1040,85,67543,27202,1834,36213,457,228,44,112,1453,68138,28929,991,36940,317,725,259,0,0,0,0,0,66002,27006,982,36850,389,633,174,36581,273,156,174,64430,26229,1041,35860,385,765,151,35207,281,97,151,36282,22596,12684,32261,21243,11018,31253,19218,10976,30082,18740,10458,24300,12899,10925,24260,14129,9619,24199,13698,9919,27877,16313,11013,30284,17962,11311,28993,15413,13580
9,9,98551,38728,2384,56632,692,691,82,0,0,90671,34096,2766,51899,573,3032,72,0,0,86031,30875,2330,51243,672,1238,85,88879,33023,2992,50694,604,3112,80,48548,512,154,63,3,3587,84875,30862,2949,48867,644,2821,252,71791,31218,1786,38113,498,532,44,0,0,66586,27524,1201,36017,235,1832,10,35297,216,179,166,0,65066,25425,1602,36759,527,971,51,65066,25425,1602,35928,406,170,16,78,1441,65218,26727,1264,35321,225,1923,15,0,0,0,0,0,62364,25236,1175,34438,229,1491,15,33835,206,102,15,60912,24116,1002,34144,278,1707,0,33334,208,80,0,34584,21202,12687,31218,19678,11540,29027,16790,11298,26942,14831,11189,22092,11703,9846,22078,12568,9123,22023,12228,9317,25570,14033,10991,28236,15604,11639,25794,12792,13002
