ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,506867,412944,53465,8944,13039,22629,2059,0,0,499293,396422,58839,10659,16425,21160,2674,0,0,512334,385731,64837,10817,18877,31164,3425,506402,385383,61320,8842,18465,30366,3169,498892,394084,59315,10863,16789,20767,2467,6506,10922,7739,890,815,18620,508959,393654,64064,12266,19176,21551,2938,403605,338998,35338,6229,9086,15553,1337,0,0,391630,327193,34811,6804,8377,12711,633,5824,6767,6527,1215,0,414743,323606,45179,7406,13432,22343,2268,414743,323606,45179,4881,9137,7103,767,2369,21701,390323,326378,34167,6920,8839,12506,610,0,0,0,0,0,398053,329327,37615,7362,9788,12152,769,5494,7769,5012,769,395195,324876,38719,6831,10557,12345,579,4654,8158,4757,579,239119,105623,131637,220716,92513,128203,234682,86910,130852,218930,87474,131456,216993,90789,126204,235746,95565,135334,280206,119137,154515,224464,90117,131418,209884,86277,123607,212206,79989,132217,208405,83497,124908,209555,84275,125280,209444,85006,124438,207963,83134,124829,238389,96651,140289,265779,107623,150356,261194,104572,156622,256782,103320,153462
2,2,504034,356355,94987,10619,19162,30143,2841,0,0,507698,343196,106433,12924,23153,30607,4625,0,0,506650,319117,113119,13039,26268,39634,3984,504804,319259,111716,12454,26217,38934,3893,504732,337534,107030,12830,23818,29536,4383,5994,15386,12311,1748,2317,22409,506502,331291,111928,12726,25636,29953,4787,396554,298221,61161,7059,13166,20075,1899,0,0,376291,289500,48904,6761,11874,16547,1110,4770,9635,10057,1806,0,407622,273720,78423,9172,19271,27757,2773,407622,273720,78423,5495,13974,10955,1163,2616,21276,374281,286771,50175,6501,11957,15980,1019,0,0,0,0,0,379165,285096,55453,7044,13071,14920,767,4874,10639,7992,767,373946,276056,58288,7596,13342,15072,1093,4983,10557,7702,1093,230600,161959,67217,206329,142976,63353,226451,143148,63163,204458,138078,66380,202475,140172,62303,222696,150377,66328,263792,181327,75046,206390,138127,64565,188854,128100,60754,190418,124447,65971,187737,125072,62665,188190,126410,61780,187930,126596,61334,187169,124108,63061,217736,146152,69702,243776,159676,74864,238328,158623,79705,228563,151199,77364
3,3,485547,322444,101712,12839,35526,20153,2690,0,0,499846,314478,116761,15911,41385,20226,3942,0,0,495048,283537,126776,16326,44878,30589,3785,496832,284694,127144,16279,44697,29924,3670,496011,307448,118824,15850,42324,19693,4000,8764,33563,4240,1166,652,21357,496096,294478,125715,17655,45082,21431,3406,366586,261227,63113,7708,24044,13385,1667,0,0,355562,254862,57351,8418,22320,10105,841,6763,20021,3498,1887,0,379767,233100,84701,10498,32395,21510,2548,379767,233100,84701,6651,27289,5028,1038,2026,19934,354581,250810,59891,8572,22584,9991,824,0,0,0,0,0,353674,243005,65009,9301,24093,9750,991,7587,21265,2725,991,349690,232527,68739,10232,26470,9308,949,7535,23198,2971,949,185648,84415,100002,170978,74812,96166,186947,73287,100157,170586,68558,102028,167577,71076,96501,184939,76309,104585,219443,93526,120217,167180,65930,98777,150821,59219,91602,152544,54971,97573,149247,57029,92218,150735,57296,93439,150517,58192,92325,149705,57022,92683,178913,70368,107362,206427,80427,120082,200281,77814,122467,195162,75959,119203
4,4,454040,253469,137320,12919,44736,11938,3451,0,0,474380,247344,151639,14836,53755,12025,3580,0,0,474729,231650,159727,16039,54564,20821,4114,475880,232099,160194,16395,54573,20556,4053,475413,244903,152172,16034,55842,12794,4057,10057,43330,3403,1238,1740,18573,475376,237420,156504,17071,57454,14498,4181,350041,211352,89510,8796,35066,8235,2384,0,0,323981,205459,71465,9313,30294,5562,947,8206,26695,2464,1354,0,376074,199045,111741,11353,42410,15265,2933,376074,199045,111741,7745,35190,2728,1355,2148,16122,328926,205128,75627,9585,30465,5539,911,0,0,0,0,0,331668,201493,80697,9740,31424,5440,1102,8130,26790,2048,1102,335697,195413,87091,9732,35092,5303,1155,7583,29556,1790,1155,178155,117068,60184,168985,109916,59069,186382,118271,55247,169950,109025,60925,168028,110746,57282,185943,121505,60477,222898,148587,69086,170309,110208,57669,154023,100123,53900,155394,97343,58051,153605,97322,56283,153708,98813,54895,153449,98751,54698,153144,96323,56821,182126,117418,63311,207309,131355,69245,203237,129799,73438,198640,126290,72350
5,5,431897,333062,51915,8606,32633,9417,2443,0,0,476278,351475,63594,11412,44841,9144,3465,0,0,497826,340073,71312,13762,57253,17360,4092,498465,340554,71404,13674,56939,17122,4026,485894,351693,66752,12329,49909,10165,4131,6789,37695,1603,862,943,19555,502338,351464,71631,14448,57019,11698,4619,325158,260234,32787,5277,21784,6407,1495,0,0,352669,278276,37020,6489,24263,4564,671,5226,21054,1150,1477,0,385197,276167,47410,9042,39508,12361,2670,385197,276167,47410,5894,31630,2018,891,1942,19245,360914,280581,39679,6888,26578,4779,765,0,0,0,0,0,373595,284956,43071,7881,29939,4897,806,5874,25940,1002,806,383183,284125,48946,8246,34033,5072,692,6036,28715,915,692,212256,91066,120426,210718,81330,129388,227797,90118,122480,221595,88190,133405,218093,90257,127836,240018,99722,135292,294851,130468,157389,237879,98512,136196,226967,94927,132040,229491,89953,139538,224618,90638,133980,226868,93615,133253,225761,92402,133359,223853,90331,133522,258129,108633,147839,292583,126399,157756,285694,119558,166136,281361,117753,163608
6,6,450894,229161,99518,57090,63288,12564,6803,0,0,488642,229683,120116,63007,74075,10147,7615,0,0,517094,222870,125376,68935,92046,20510,8952,518242,223122,125429,67604,90891,19575,8566,494323,228122,118120,63946,82597,11507,7980,48187,66052,1673,4853,1814,25504,509406,224533,127184,68419,87311,16004,7903,345662,191313,65559,38016,46311,8762,4434,0,0,336559,181281,64682,40394,41476,3988,2795,36540,37635,1534,2126,0,403534,189079,88685,48596,67223,14955,6362,403534,189079,88685,38643,55683,2122,3673,2640,23009,344831,183378,65829,41433,44665,4297,2876,0,0,0,0,0,361093,183442,75038,43942,48735,5119,2582,38110,43339,1144,2582,362910,180493,74984,45981,51311,6166,2245,38808,45667,1002,2245,173931,114292,58864,162644,107741,54903,180649,118036,50098,169319,111899,57420,167467,113918,53549,187019,125556,57351,232789,158413,68359,169496,113356,53588,151884,102902,48982,153408,100054,53354,150040,97867,52173,151833,101323,50510,150617,101249,49368,149333,97624,51709,183253,122034,59635,210782,137249,65646,205140,135772,69368,201426,132659,68767
7,7,449761,295675,70614,37317,42447,11123,4617,0,0,479400,292195,84982,42529,56865,12578,4351,0,0,495558,282300,92172,43540,65748,18480,6474,491703,281873,90415,40853,64648,17845,6097,483056,286917,90887,44342,59906,12181,3991,29988,44882,1404,1238,833,26905,495961,289357,93310,44544,65723,13699,4394,341052,236363,45045,24580,29973,7522,3031,0,0,337624,229044,45376,25626,28953,6033,944,22004,24786,1631,2404,0,384636,232837,62651,29904,47108,13561,4358,384636,232837,62651,23116,37782,2002,2177,2412,21659,340700,226156,49228,26276,30931,5554,908,0,0,0,0,0,349998,228737,51621,26857,33921,5522,1195,23549,28791,1520,1195,350912,224411,54805,27739,35061,5746,1237,23756,29789,1386,1237,183359,91903,90847,172041,84363,87678,186308,88958,83447,174217,84317,89900,171825,86053,85772,192751,95792,92163,240022,123796,109594,181513,90653,87780,166245,84718,81527,168221,81214,87007,164224,80506,83718,166389,82928,83461,165026,82671,82355,163833,80485,83348,196400,98937,95781,224560,113562,103535,219592,110004,109588,215321,108222,107099
8,8,464943,308757,95337,14945,36273,16787,1854,0,0,488339,297314,120178,16555,46126,16826,2247,0,0,503696,287239,127284,18818,52695,26190,2903,501653,286864,126391,17816,52125,25921,2723,493850,291447,127424,17306,49989,17296,2206,11099,39623,5717,627,1611,16302,503964,287166,135309,20181,52107,20061,2804,359175,253370,62319,9804,25078,11721,1162,0,0,359666,244309,70398,10294,25373,7932,500,9132,22984,4398,1033,0,393821,240424,87146,12887,37649,18913,1960,393821,240424,87146,9361,31903,5521,641,2121,16704,361725,241277,74237,10116,26942,7982,471,0,0,0,0,0,369304,239607,80158,11783,27263,8897,643,9605,24621,3883,643,376706,235392,87317,11997,31372,9183,500,9533,28106,3882,500,205139,85925,118002,197419,77556,119863,211534,79326,120305,200442,78324,122118,196875,78945,117930,217492,86911,126963,265701,111802,148167,202374,78718,121464,185021,71612,113409,187983,69212,118771,185078,69709,115369,185741,71081,114660,185481,71305,114176,184663,70176,114487,218699,86174,131378,250637,99190,145024,243982,95922,148060,238624,92940,145684
9,9,426388,230843,148438,14141,29776,10423,3327,0,0,467394,228510,174911,17659,44509,25117,5331,0,0,477444,214742,184369,19176,49313,20053,5089,470020,212247,181924,17206,48719,20014,4771,469683,228350,177523,16960,44622,26332,4632,11217,33432,1547,1890,1079,14643,479392,221328,185126,17692,52072,30729,5532,310377,184540,92158,9416,20007,7132,2082,0,0,309691,185003,84489,10823,21788,4124,1623,9702,19794,1516,1949,0,360462,177295,124075,13637,35172,14565,3464,360462,177295,124075,10627,28615,2018,1530,1747,14555,315502,187065,89274,9958,21924,4595,1343,0,0,0,0,0,322310,183037,95058,10189,26303,4748,1644,8683,23127,1239,1644,331333,178902,102246,11416,30924,4804,1432,9344,26914,1076,1432,146514,62055,83579,145596,61025,84571,163770,64407,90060,150267,58079,92188,147981,60230,87751,167411,67567,97003,210617,88018,118066,156810,59957,95134,142354,53423,88931,144033,49558,94475,142282,51634,90648,142896,51996,90900,142515,52096,90419,142075,51243,90832,172638,65310,106417,202566,75113,122336,197944,74064,123880,193445,72396,121049
