ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,927856,677738,152347,21479,46191,41001,4563,0,0,938168,656077,175207,25934,54490,39834,6133,0,0,943108,613669,189927,26485,60636,59397,6832,938834,614368,186781,24471,60067,57933,6474,937566,647452,179704,26208,56686,38707,6265,15089,42446,11557,1964,1391,37962,943966,631704,190347,28828,61375,41401,5998,716238,551505,96300,13717,31348,27631,2903,0,0,696055,537030,89757,14796,28794,21812,1325,12325,25092,9513,2883,0,740326,509534,128244,17479,43541,42075,4587,740326,509534,128244,11420,34844,11710,1778,3995,38801,695679,532114,93273,15131,29586,21512,1348,0,0,0,0,0,699510,525772,100794,16148,32012,20892,1627,12980,27433,7298,1627,691211,509452,106716,16170,34519,20554,1613,11749,29412,7298,1613,393196,170889,219489,362131,149744,212387,390357,143625,218784,357781,137349,220432,353394,143372,210022,387290,152247,226811,459034,187834,259944,359550,137241,217271,330150,127313,202837,333963,117611,216352,327397,122913,204484,330007,123800,206207,329560,125449,204111,327503,122909,204594,381932,146209,233263,431249,164301,254384,421137,159323,261814,411981,156391,255590
2,2,968772,681417,187099,23373,48115,41381,5302,0,0,992491,670098,208215,27991,57236,41747,6967,0,0,996649,625564,227868,28840,63917,59921,7207,991571,624874,225802,26874,63837,57465,7066,989961,660408,210979,28144,59288,41440,6684,15636,38997,15222,2400,5149,41166,992566,649926,216985,28528,62766,42877,7353,759727,565968,121998,15669,34050,27793,3577,0,0,720331,557706,89700,16016,31305,21685,1489,12500,25422,12580,3053,0,797342,532128,157448,20922,47007,42422,5156,797342,532128,157448,13851,35175,13343,2111,5098,38188,719802,553110,93535,15690,32219,21014,1400,0,0,0,0,0,728480,551541,100911,16117,34712,19447,1283,12220,28347,9624,1283,721465,531822,112347,16796,35336,19707,1661,11927,28001,9038,1661,460077,335578,122310,421964,302085,119879,458918,312805,111123,422287,300341,121946,415615,301010,114605,455054,324975,119460,532762,387366,132326,421805,299824,115417,387394,278352,109042,391175,273210,117965,384598,270216,114382,386237,275120,111117,384832,273818,111014,382761,267143,115618,443847,315692,124636,494072,345425,131983,483288,340085,143203,466788,327508,139280
3,3,956879,471349,258446,92230,132228,20794,12385,0,0,1025418,472238,292757,101444,156404,21093,13713,0,0,1039211,435663,316866,104567,169123,39235,15484,1034770,435047,315457,101478,167641,38324,14920,1028750,466871,294136,102213,162296,21915,15792,78037,123654,3588,6209,5557,50700,1036471,447770,308618,105357,171152,26385,15464,726324,388969,167710,63490,98548,14245,7943,0,0,710428,390565,145325,66870,89653,8560,4236,61742,80717,2481,6280,0,815965,371484,221062,76339,129804,28983,10605,815965,371484,221062,62209,108031,3240,4933,4852,40154,721446,390155,151963,68127,92327,9014,4477,0,0,0,0,0,731749,379063,165502,70411,97965,9123,4295,63695,86504,2606,4295,736129,364595,176928,69349,105715,9024,4221,60750,93072,2055,4221,374201,245369,127420,357362,233013,124349,396786,250743,120911,359251,226119,133132,353944,229093,124851,399761,257245,134248,493937,323603,158770,365400,232780,127429,326559,208422,118137,329471,202539,126932,325952,203480,122472,326164,205201,120963,325581,205262,120319,324183,201094,123089,396373,250799,142507,460923,285564,161258,449585,281408,168177,437456,273059,164397
4,4,986459,603134,289255,26702,49857,29895,8220,0,0,1020950,582533,333823,28413,57751,27584,8484,0,0,1036270,549038,351966,31542,67862,51227,10707,1032056,548138,350352,30335,67524,51039,10216,1027417,577697,340589,29274,60600,29560,9104,20612,45202,8053,3822,2359,29067,1036564,563275,355575,31344,65485,34631,10421,739226,490094,181564,17004,34399,20860,5587,0,0,703391,472749,163584,17126,30182,14204,3148,15226,26603,6581,2461,0,796204,457904,236824,21444,48346,37225,7503,796204,457904,236824,15156,36930,7800,3492,4110,33988,711473,472615,170251,17466,31476,14165,3301,0,0,0,0,0,719460,465841,182247,18093,33101,14255,3320,14362,28433,5590,3320,724375,457058,191427,19105,35963,14517,3363,14726,30155,5132,3363,377204,179319,195479,358852,165385,193467,392433,168630,198573,369479,164442,205037,363301,167951,195350,401777,181597,212559,490314,226522,252475,370828,160257,205984,337574,144987,192587,342207,137607,204600,337194,140518,196676,338210,142435,195775,337909,142824,195085,336710,139874,196836,402576,173234,226979,464341,196742,255262,454372,193515,260857,444980,188567,256413
5,5,887457,365148,297803,70601,158675,19164,9339,0,0,979374,355891,339522,74615,216908,52791,12138,0,0,1024101,319453,361664,84157,255129,35986,13041,1021134,318265,360574,82123,252429,35761,12375,991768,344449,348404,76139,230427,50762,12534,55863,191253,2026,5052,2555,42171,1021097,325521,367893,79461,254527,56318,14284,635774,292847,186248,45753,107977,12581,5829,0,0,610347,283874,162315,45116,105258,6797,3279,41136,98219,1923,4736,0,759742,266883,243176,57962,180552,25851,8773,759742,266883,243176,47451,161364,3105,4245,3867,29651,620390,278025,170927,46157,110855,6714,3281,0,0,0,0,0,639572,266997,184172,48636,124375,7094,3371,44375,116106,1807,3371,649899,255840,190168,49803,138403,7288,3689,45018,128676,1903,3689,291241,165761,124094,287043,165384,121659,319412,180870,119654,282780,155459,127321,277463,157094,120369,321546,183844,131564,410488,242371,159178,291365,163162,124442,255179,141418,113761,259071,136372,122699,255700,137303,118397,256304,138780,117524,255862,139101,116761,254889,135864,119025,318442,174682,141368,374331,196557,165530,362877,193906,168971,356189,189917,166272
6,6,855742,585559,131237,51723,79849,19303,7661,0,0,937369,600645,158763,60718,110492,19845,8967,0,0,969751,578077,169760,64829,133794,34325,11127,966763,578085,168161,61960,132136,33485,10642,942139,592189,165445,62160,117513,21238,8555,42304,89046,2609,2635,1926,45987,971924,594578,171003,68504,129601,25228,9371,645570,463490,83505,34122,55540,13079,4917,0,0,664710,468421,87745,36781,56968,9324,2159,31978,49333,2438,4149,0,748129,472085,115192,44673,93478,24809,7427,748129,472085,115192,33683,74787,3672,3361,4133,41216,671361,465749,93740,37554,59355,9436,1952,0,0,0,0,0,695644,471326,101076,40998,65996,9724,2308,34531,56256,2218,2308,705930,467388,107881,42441,72020,10437,2077,34977,60430,2024,2077,373853,177799,194774,359837,162507,197330,389879,175902,186714,370458,167739,202719,365141,171423,193718,406399,190687,206468,503557,247768,242750,391233,183073,202245,364800,172807,191993,368883,165023,203860,360372,164074,196298,365133,169912,195221,362357,168457,193900,359390,163811,195579,424453,200745,220470,485284,232283,237669,473366,222908,250458,464489,218987,245502
7,7,862838,277858,204286,193906,190930,16366,7593,0,0,931238,301568,238209,184176,212541,18470,9841,0,0,958780,292689,260179,176971,223956,33431,10091,960880,292840,260531,176854,223392,30610,9830,931984,301668,239100,179860,214925,18683,9404,147643,180597,2617,4572,5360,50425,950003,305020,243684,180288,221667,23836,9274,683584,242690,139263,147159,153148,11876,5157,0,0,628783,250530,103068,129966,131423,5818,3331,121897,121449,2216,6331,0,777315,256513,188640,140350,182512,25016,7168,777315,256513,188640,121275,161625,1952,3544,5930,37836,633576,251978,108530,126395,132680,5207,3577,0,0,0,0,0,653560,257033,115654,127006,139925,5418,3179,118336,127258,2241,3179,651341,249754,123338,123142,142067,5307,2865,112960,129062,1445,2865,372943,332833,38950,352265,318690,33575,396487,345915,28116,357906,320851,37055,351034,316475,34559,389148,346523,35455,454565,403100,42347,339889,302448,32908,297042,266804,30238,301863,269260,32603,298330,262950,35380,297313,264583,32730,298159,266613,31546,294909,260273,34636,352623,309775,39235,395699,330763,46702,375118,326044,49074,366186,317641,48545
8,8,835397,305825,208866,133253,186386,22818,18187,0,0,896683,300368,237991,140318,215713,19804,22071,0,0,941931,286090,252927,143571,247747,35702,23753,945172,286608,253471,141357,245074,34159,22999,910396,298930,239617,144355,226526,20657,23019,106078,193128,3023,14350,3990,51285,936969,294090,255035,146865,238648,27065,23257,612438,253086,132947,86601,131797,15111,12322,0,0,602578,244291,124510,88916,124177,7410,8860,80744,117026,2900,5651,0,718520,243827,174216,100781,182484,25830,17047,718520,243827,174216,82338,162204,3378,11063,4326,37168,614360,245169,127747,90908,128788,7746,9293,0,0,0,0,0,641797,244400,141449,93278,140092,7901,9509,82090,131554,1805,9509,648676,237299,143671,94030,149415,8396,10262,82139,140583,1548,10262,288108,193934,92897,274257,188706,85551,305923,207628,79443,283504,191169,92335,280193,194815,85378,317367,217839,93269,403456,277923,115941,285679,193949,87863,252676,172249,80427,255720,168483,87237,249883,165211,84672,252611,169418,83193,250746,169900,80846,249088,164615,84473,311559,208310,100682,363089,233916,115963,352173,232187,119986,345382,226647,118735
9,9,905444,449269,205433,78149,172420,15023,9949,0,0,976834,434950,230672,88344,224016,17163,12122,0,0,991163,391291,245284,92444,254408,27354,12633,992658,391626,245684,92229,253244,27016,12342,981859,420620,231655,93894,238466,18375,13265,71055,198686,1759,5527,3036,49526,986785,401550,238516,93114,250972,23165,12769,685188,368242,135583,52100,124657,10271,6399,0,0,656189,350516,112815,54736,124245,5562,3550,50906,113229,1713,5500,0,771364,330160,172817,66696,190001,20279,8862,771364,330160,172817,55009,169306,1794,4391,4304,33583,667575,346166,118541,56523,131264,5689,3384,0,0,0,0,0,677960,336041,124667,58209,143980,5474,3786,53785,132031,1541,3786,670071,317981,128283,57320,150776,6170,3500,51474,139218,1532,3500,392614,266160,125467,374142,250664,123478,400548,275857,101186,359890,244220,115670,349364,239522,109842,400905,278735,114276,496604,355297,130748,365594,253417,107101,323939,224463,99476,328874,223460,105414,323996,217254,106742,324003,221896,102107,323737,221034,102703,322695,216425,106270,390269,268130,118692,445481,300520,129951,427996,288022,139974,410792,276560,134232
