ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,84159,34232,42655,2404,4752,2708,217,0,0,96079,38716,47156,3904,6049,1572,653,0,0,87635,34773,42324,3713,5458,4572,219,87969,34863,42515,3475,5342,3846,201,95758,39311,46544,4164,5465,1370,569,2417,4794,333,224,191,1941,89232,36536,42415,4072,5597,2055,61,62162,29497,27403,1475,3433,1813,141,0,0,60880,33419,21338,2113,3070,698,129,1960,2930,420,159,0,68082,30505,29538,2350,4299,3377,155,68082,30505,29538,1634,3728,518,58,307,1794,62748,34001,22954,2191,2877,575,90,0,0,0,0,0,61124,32331,23109,1875,3156,591,15,1463,2749,227,15,59231,31787,21219,2276,3371,587,49,1686,2910,77,49,30851,19503,10755,32171,21420,10751,35254,21478,10975,34853,21860,11129,31045,20155,9500,30844,19745,9981,35684,23051,11107,41201,27721,12365,41074,27341,12763,36044,23420,11411,37494,23718,12706,35063,22754,11493
2,2,74234,64359,4986,1518,2961,802,148,0,0,82001,68247,6879,1998,4151,1100,202,0,0,88086,72385,6882,2337,4672,1559,209,88172,72427,6901,2402,4647,1511,191,82888,67933,7473,2456,4410,1207,200,1630,2691,175,41,193,2752,81828,66341,7323,2752,4544,1658,199,64023,56121,3950,1200,2368,637,107,0,0,67277,58139,4725,1424,2282,697,34,1154,1679,170,44,0,75410,62806,5554,1868,3639,1265,160,75410,62806,5554,1164,2564,176,41,315,2790,68606,58523,5139,1609,2569,614,39,0,0,0,0,0,68493,57787,5311,1824,2585,704,14,1215,1760,175,14,73123,62207,5516,1820,2411,760,5,1432,1692,264,5,47808,34010,13051,49364,33197,16167,53884,38225,11567,53284,37232,13716,51502,38011,12287,50981,37046,12937,55045,40519,12819,60446,47155,12053,60529,45366,14458,55467,41391,12793,56487,43621,11388,53766,40319,12741
3,3,75617,52720,13230,5610,3564,1643,226,0,0,87095,61680,14483,6823,3522,1283,90,0,0,87284,55458,16684,7816,5350,3028,366,87498,55554,16731,7923,5263,2461,326,87323,60741,16111,6214,3688,1279,104,5039,2747,255,34,182,2214,85584,57147,16293,7425,3393,1911,357,60724,44702,8804,3898,2706,1185,156,0,0,65625,51681,7255,4262,1720,660,14,3907,1401,183,58,0,71649,48119,11938,5597,4089,2360,257,71649,48119,11938,4514,3136,419,108,365,3050,66089,51338,8243,3984,1858,475,35,0,0,0,0,0,65040,49146,8498,4395,1943,660,127,3777,1530,233,127,65363,47831,9756,4359,2260,849,41,3627,1730,310,41,36348,21812,13812,37387,22211,15176,41247,23799,13575,40785,24062,14239,37404,23619,12356,36979,22682,13123,41923,26177,13882,47795,32088,14382,47669,30913,15681,42308,26948,13915,43463,28389,13799,41199,26833,13300
4,4,79584,31455,43019,2671,2175,2863,159,0,0,87932,40975,40458,3899,2305,2430,185,0,0,87176,44222,34600,3806,3112,4104,218,87718,44350,34936,3636,2909,3238,178,90531,42722,41022,3768,2438,2415,276,2671,1543,727,96,19,1736,86238,44017,35181,3631,2751,2747,190,59526,27687,28181,1543,1634,1982,107,0,0,59830,35521,20325,2003,1173,704,69,1690,882,507,78,0,70011,38891,24756,2405,2477,3117,160,70011,38891,24756,1642,1650,496,49,329,2198,63353,37307,21831,2112,1197,771,95,0,0,0,0,0,61998,39112,18502,2219,1396,849,53,1523,1062,309,53,65427,41271,17992,3027,1849,1008,457,2055,1318,278,457,30565,24436,5576,33770,27415,6355,38260,29291,6036,37557,28302,6976,35776,28641,5848,35355,27951,6290,40363,31863,6936,47735,38962,7719,47646,38074,8703,41474,32806,7377,44844,34826,8779,42074,32630,8671
5,5,65315,26982,32327,3825,2000,2148,156,0,0,80415,38979,32578,5121,3137,1813,143,0,0,86513,46691,28602,5919,4016,3586,254,86960,46798,28831,5839,3882,3051,199,82171,42049,31504,4328,3277,2092,281,3301,2445,470,67,195,2137,85104,44729,30139,5273,3397,3058,365,51771,25376,21723,2630,1689,1524,122,0,0,60345,36620,17714,3174,1868,824,25,2850,1557,382,123,0,75215,44338,21533,4347,3578,2834,196,75215,44338,21533,3226,2452,536,57,422,2651,64810,40266,18209,3017,2064,985,40,0,0,0,0,0,69355,43282,18343,3720,2349,1102,284,3065,1690,324,284,70206,45575,15608,4314,2737,1205,255,3628,1982,294,255,23532,18813,4284,27425,21655,5770,35131,26668,5580,34436,25715,6505,32964,26601,5287,32583,25988,5536,37733,29830,6374,45864,37457,7244,45685,36599,8171,39217,31102,6865,44181,34373,8473,41318,32221,8268
6,6,74956,52269,9747,8833,3846,1459,195,0,0,85784,59783,11308,9437,4703,1889,602,0,0,86979,58548,11954,10061,4911,2504,273,87264,58664,11990,10359,4807,2015,215,86734,59823,12637,8666,5041,1962,422,7058,3473,223,137,88,3295,86687,58959,13639,8708,4613,2074,416,65158,47670,7320,6849,2907,1178,153,0,0,69926,53800,7145,5789,1951,1077,35,5101,1500,357,389,0,76217,53638,9540,7734,3823,2000,200,76217,53638,9540,6399,2721,340,50,386,3143,71324,54527,7839,5479,2484,957,0,0,0,0,0,0,72597,53898,9533,5856,2481,735,0,5126,1514,104,0,72058,53592,8433,6281,2967,606,8,5444,1775,88,8,42115,33206,8195,43969,34637,9332,48707,38071,7085,47955,36965,8124,45680,37752,6713,45256,36719,7398,49296,40005,7481,54241,45805,7257,54067,44691,8337,49244,40391,7404,48497,40397,6674,46060,38314,6850
7,7,60714,9990,28901,19913,2977,1478,296,0,0,78214,13003,40728,20664,3905,2054,493,0,0,90271,17762,42629,22733,6891,3202,1105,90537,17787,42698,22377,6676,2696,1059,86860,16725,42300,23168,4779,2231,628,20554,4120,247,180,229,2504,93566,17599,45449,24629,5847,3066,686,39196,8117,16804,12570,1976,864,169,0,0,41900,10080,15525,13739,1521,663,164,13150,1458,210,388,0,62860,13877,27779,15796,4825,2282,706,62860,13877,27779,13914,4101,247,549,252,2141,49904,13261,17416,15675,2488,677,104,0,0,0,0,0,53410,14048,19138,16136,3175,737,168,15445,3019,180,168,56346,15378,20120,16619,3534,630,33,16023,3317,171,33,17937,14830,2851,20694,17607,3087,22889,18171,3568,22595,17594,4086,21571,17243,3511,21426,17035,3768,26255,20907,4574,34661,27894,6105,34569,27434,6372,27874,21757,5420,32756,23343,8634,30614,22410,7584
8,8,75173,36152,16610,20444,2294,1993,177,0,0,97285,57025,16979,18769,4394,2138,296,0,0,90877,52558,16506,16497,4157,2962,245,90282,52079,16248,16774,3855,2349,197,92078,52238,16329,19187,3926,1625,208,16269,2168,351,51,135,4539,90986,51916,17788,16016,4714,1640,296,58431,29982,11053,15712,1549,1399,120,0,0,71384,45007,9577,13482,2135,984,75,12515,1630,404,439,0,71747,42868,11962,12808,2914,2266,189,71747,42868,11962,11126,1932,423,50,367,3019,68375,42055,9835,13577,1848,792,50,0,0,0,0,0,67983,42692,10962,11262,2080,819,24,10188,1506,248,24,67498,43152,10299,10302,2589,812,11,9560,1831,238,11,35951,31433,4063,41932,35802,6130,49160,40834,5075,48572,39450,6804,45528,39123,5250,45085,38247,5837,49342,41958,5825,54216,47552,5549,54154,46632,6609,49516,42335,5947,50259,43087,5784,47779,40856,6069
9,9,80394,50672,13088,11464,5056,1508,249,0,0,91555,57758,14193,13579,5802,2150,320,0,0,90281,54889,15019,13296,5669,2736,349,90478,54961,15054,13563,5449,2262,295,92479,58820,12273,14196,6096,2077,284,11758,4036,378,123,423,4668,89756,56734,13166,12932,5646,2251,254,65314,44230,8715,8133,3843,1074,172,0,0,67387,48616,7599,7556,2720,733,114,6731,2278,231,255,0,74294,47845,11099,9546,4406,2094,267,74294,47845,11099,8063,3266,311,71,458,3181,68910,49815,6995,8004,2883,971,124,0,0,0,0,0,68035,48645,8100,7366,2681,820,30,6469,1859,313,30,68380,47487,8786,7873,2875,833,10,6804,2022,308,10,38242,26603,11063,39315,27286,12029,43693,29745,10502,43150,29384,11370,39420,28616,9520,39103,27664,10296,44052,31479,10814,49617,37348,10986,49449,36119,12182,43878,31733,10744,42755,31258,10199,40475,29629,10008
