ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,141799,106382,29653,2720,1493,2559,262,0,0,154203,110265,37606,3234,1601,2690,644,0,0,162836,112499,40156,3586,2575,5335,429,161233,111849,39668,3220,2608,4986,419,160892,115348,38887,3066,1880,2902,703,1782,961,432,561,102,2830,162375,112721,41507,3586,2115,4812,817,105654,83042,18381,1894,974,1837,157,0,0,108974,87029,18496,1240,760,1168,223,968,538,391,115,0,122598,89122,26232,2381,1669,3755,281,122598,89122,26232,1801,1033,568,100,391,3351,114675,91458,19364,1541,927,1363,456,0,0,0,0,0,116437,90798,21613,1680,883,1350,301,1104,555,385,301,119476,91122,22827,2632,1228,1645,110,2067,826,562,110,64628,22014,40861,65627,21362,44265,75086,18229,51820,74695,23381,48340,69040,18215,47987,67980,17407,48433,76725,20598,53485,88278,24568,61695,87948,23553,62873,79192,21525,55624,91074,24263,64710,88490,25339,60028
2,2,126619,108402,10419,2472,4577,1439,315,0,0,153925,127066,14935,3348,7561,1516,694,0,0,167072,130603,17845,4725,9657,4158,726,167160,130667,17858,4869,9702,3953,695,156624,127907,16400,3150,7572,1690,592,1890,5274,497,70,571,4026,169865,135031,17881,4219,9950,2600,421,86860,76096,6061,1401,2699,880,177,0,0,106940,92460,8948,1696,2916,662,133,1402,2371,220,240,0,121859,98155,11356,2977,6222,2844,454,121859,98155,11356,1907,4610,332,142,505,4852,109032,93205,9907,1651,3266,850,74,0,0,0,0,0,120965,101551,11375,2298,4453,960,60,1632,3415,257,60,129382,105824,12967,2995,5624,989,99,2057,4255,191,99,63491,25234,37328,71633,25643,45990,83023,27906,47324,82170,28853,49075,77999,29791,45149,77044,27318,47189,87967,33122,51158,104147,43969,57338,103942,40889,60922,92535,36207,53458,110439,46383,61203,107091,47437,54885
3,3,159063,86054,65811,4325,2025,5255,373,0,0,165982,86404,71356,5426,3075,9247,576,0,0,168162,85527,69921,5920,2916,9479,513,168122,85326,70143,5684,2880,8308,466,167412,86274,72313,5615,2835,8205,594,2748,1178,1066,145,435,3253,168135,84917,73357,5840,2857,8033,506,120148,70122,44717,2754,1367,3714,221,0,0,125785,71305,48775,2640,1019,1637,114,2091,721,858,336,0,130863,71485,49706,3817,2063,6975,343,130863,71485,49706,2412,1275,1032,110,752,4091,127090,71795,49460,2785,1003,1713,119,0,0,0,0,0,127390,71350,50070,2820,1093,1846,38,2421,799,747,38,128421,73389,48492,3107,1260,2008,83,2591,752,681,83,72718,41097,30257,74393,42526,31867,78646,35875,36265,77819,40475,33051,66456,33674,29545,65876,32788,30658,77238,38212,35605,88301,43772,42252,87452,42791,42098,78318,38778,36920,85120,39328,43688,83815,41748,39243
4,4,162704,140897,14461,2998,1909,3172,187,0,0,173663,147577,17008,4152,2972,2601,440,0,0,172499,142203,16302,3703,2883,6111,460,167797,140155,14724,2867,3021,5858,464,173369,146958,16461,4073,2387,3291,659,3104,1140,1028,171,209,4283,173256,145278,16904,3657,2257,4488,470,130381,114199,10442,2553,1221,2401,120,0,0,140506,122026,11598,3132,1582,1741,87,2631,1108,1008,282,0,142879,119926,12067,2949,1936,4739,307,142879,119926,12067,2410,1170,1161,72,714,5359,141917,123932,11134,3235,1340,2094,63,0,0,0,0,0,141921,123336,11719,2757,1271,2663,42,2364,939,877,42,146512,126754,12142,2832,1938,2527,55,2222,1166,694,55,88588,36115,50565,89541,34597,54944,98438,32343,58434,97855,35269,57427,91307,34970,52669,90081,32943,54058,100843,37314,59468,114464,45227,66346,113924,43477,67889,103090,39430,60455,113412,45469,64945,109195,43954,61487
5,5,154208,118498,31187,1268,1751,2974,247,0,0,160455,120702,34101,1943,2352,2319,265,0,0,163326,117126,36517,1857,2580,5620,401,163126,117063,36432,1838,2650,5363,385,161369,121147,34194,1936,2314,2544,143,616,1562,950,102,125,2668,163240,119806,34943,1992,2779,3021,235,117569,94944,19465,832,1187,2006,153,0,0,115466,98357,13579,844,979,1313,155,531,872,744,221,0,127854,96367,24294,1191,1824,4073,262,127854,96367,24294,547,1196,629,66,663,4092,117031,98639,14530,959,1140,1453,77,0,0,0,0,0,121182,100469,16312,887,1527,1680,76,684,965,696,76,122975,100253,18094,1182,1428,1656,97,761,872,456,97,73150,36029,35488,73195,33962,39233,80188,33974,40349,79166,35798,38950,73181,35775,34943,72170,34316,35604,81803,38290,40447,93903,45771,46056,93443,44431,46982,83544,39973,41149,92464,44756,45371,89827,44494,42262
6,6,154169,110110,33956,1225,1494,9953,234,0,0,161305,113521,35642,1785,1807,10595,284,0,0,161109,110628,34481,1930,2280,13488,525,161485,110802,34631,1936,2250,13265,521,162885,113687,36282,1961,1723,11562,368,970,1203,6548,105,672,3421,162095,111615,36369,1669,2019,12476,305,119918,89463,23340,731,1017,6865,153,0,0,124659,93341,22930,849,943,6419,122,617,696,5180,104,0,129096,92825,24579,1279,1574,9498,333,129096,92825,24579,554,869,4900,72,750,4547,126510,94501,23386,955,926,6518,97,0,0,0,0,0,127577,94534,23887,900,1181,6790,34,720,824,4517,34,129512,96640,23270,896,1276,7244,43,571,891,4108,43,78842,40955,36010,79178,40404,38774,85136,37356,40358,84272,39976,39242,77427,38403,36394,76161,37384,36427,86320,41676,41188,99033,49433,47283,98091,48072,47839,88181,43317,42243,98121,48040,47472,95409,48310,44069
7,7,151892,126691,19848,1717,1867,3178,361,0,0,156622,128046,22284,2020,2235,2666,410,0,0,160971,125383,23628,2353,3087,6165,576,161633,125873,23755,2623,3228,5666,551,158621,128798,22840,1981,2395,2932,383,1070,1617,1053,107,413,2721,161753,129255,23984,2091,2727,3649,262,116452,100282,12463,930,1260,2230,237,0,0,119188,102906,12187,1112,1194,1619,87,798,853,726,123,0,127516,102724,15950,1475,2182,4577,406,127516,102724,15950,802,1353,789,152,678,5068,121271,104096,12904,1132,1206,1760,54,0,0,0,0,0,124506,106186,13837,1220,1416,1752,19,811,953,561,19,127177,107826,14645,1362,1390,1706,35,762,840,512,35,72912,24991,46677,74288,24765,49523,80960,22499,52118,80571,24990,50819,70574,24758,43199,69454,22203,44906,81414,26278,51735,94387,32650,59478,92974,30564,59855,83742,28280,52761,95476,34764,58417,93698,35267,55136
8,8,152851,123121,25371,1344,1838,1887,236,0,0,158626,125945,26722,2621,2208,1956,308,0,0,161589,123401,29170,1842,2941,4010,496,161606,123456,29153,1890,2936,3750,490,160144,125317,27223,2790,2477,2117,226,1226,1177,754,129,103,4219,161527,121533,28614,2495,2149,2700,389,119521,99875,16429,949,1310,1348,170,0,0,117652,103740,9939,1488,960,1156,84,1414,649,601,223,0,129403,102572,19936,1288,2196,3041,335,129403,102572,19936,789,1293,457,98,516,3742,120787,105228,11631,1526,1100,1177,69,0,0,0,0,0,122395,105261,12835,1452,1164,1552,190,1081,886,550,190,123475,104972,13882,1261,1553,1585,185,771,1140,531,185,76238,41588,33032,75913,38964,36949,83166,38757,37352,82104,39867,36267,74463,39720,32096,72735,37635,32575,83434,43041,36778,95141,52155,40606,94344,50332,42081,84530,44623,37080,91915,49351,39995,88259,47511,38267
9,9,129826,107960,9884,4404,6637,1947,483,0,0,146737,118576,13629,5994,7865,2269,649,0,0,164614,125002,16950,7539,11033,4384,878,164770,125107,16966,7687,11169,4109,851,153151,122205,13855,6128,9092,2627,902,4058,5042,464,201,431,6894,164107,127496,15894,6981,10672,2780,832,95022,80947,6139,2774,4298,1258,268,0,0,108086,91001,8343,3339,3971,950,169,2845,2850,342,335,0,125329,98382,11235,4975,7458,2975,538,125329,98382,11235,3439,5311,455,199,752,5556,113268,94649,8263,3704,4898,1177,183,0,0,0,0,0,121587,99662,9930,4130,5922,1222,370,3491,4515,305,370,127828,103621,11111,4969,5863,1324,242,4070,4359,239,242,69302,22734,45745,72190,21816,50374,82420,24322,50194,82334,24996,53509,76395,25803,48138,75708,23981,49432,86394,29006,53782,101006,39228,58648,100826,35733,62751,90314,32270,55305,106105,43911,59434,103285,38497,61199
