ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,2016,41,57,49,3,0,37,46,0,0,2292,2130,54,65,78,4,0,45,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,23148,4233,5536,12995,1102,327,75,0,0,22749,4040,5734,12373,1286,147,101,0,0,22562,3577,5525,13147,1045,433,46,22842,3592,5589,13339,1048,433,46,21887,4292,5212,12126,924,112,96,10615,706,6,0,114,941,22341,4007,6234,12780,418,400,81,17963,3942,3964,9565,859,237,57,0,0,15290,3669,3572,7541,360,77,0,7312,319,4,145,0,17953,3275,4105,10153,840,359,37,17953,3275,4105,9063,694,54,3,110,649,14854,3831,3017,7635,275,77,0,0,0,0,0,0,16192,4953,3676,7129,273,118,0,6819,219,30,0,15815,5089,3641,6556,316,291,67,6153,224,22,67,6850,6340,459,6774,6273,501,6709,6011,501,6315,5729,448,4728,4292,381,4880,4205,472,4612,4026,476,5587,4977,482,6340,5645,622
2,2,20128,15717,2217,798,1188,109,14,0,0,22268,17056,1981,2100,1447,126,13,0,0,24167,16535,3344,1585,1814,323,13,24188,16553,3344,1585,1814,323,13,22534,16755,2327,2228,1386,134,14,1793,1085,1,14,70,486,23608,15324,3351,2407,1486,123,0,15587,12547,1480,531,833,73,11,0,0,16402,13463,851,1228,841,67,15,1039,831,2,10,0,19448,14010,2237,1086,1337,250,5,19448,14010,2237,745,1220,14,0,346,876,16550,13771,976,1124,711,60,15,0,0,0,0,0,20912,14778,2580,2650,825,49,0,2547,802,15,0,21039,14629,2654,2448,1215,18,0,2353,1185,0,0,10453,5919,4426,9809,5362,4447,10943,5558,4854,10606,5641,4736,9466,5497,3866,9542,4784,4553,9322,4880,4365,10434,5632,4593,12744,7397,5175
3,3,23612,2766,15206,5782,693,358,91,0,0,23151,3172,14090,7279,586,366,4,0,0,22825,1955,14369,6055,847,582,67,23031,1965,14502,6101,848,583,67,24274,3100,15284,8433,656,311,12,4597,429,0,0,170,692,23994,2787,16214,9451,456,492,39,16880,2514,10203,4011,554,262,72,0,0,14639,2332,8699,3341,219,20,0,3284,208,0,25,0,17237,1760,10478,4424,684,449,52,17237,1760,10478,3387,593,45,9,359,606,15632,1899,9861,3523,212,0,0,0,0,0,0,0,15942,2193,10218,3188,138,55,0,3000,93,32,0,15544,2101,9626,3438,241,179,0,3154,117,50,0,5910,5341,524,3907,3737,170,5884,5278,471,5375,4884,380,3736,3366,322,3877,3331,439,3459,3014,391,4656,4094,486,5690,4706,946
4,4,24365,4748,13890,5505,1236,375,89,0,0,24068,4346,13105,6565,1401,193,84,0,0,23476,3894,12582,6089,1902,509,66,23748,3912,12747,6159,1912,512,67,22964,4287,12676,6346,1412,431,86,4272,1303,2,0,103,320,23225,4497,12183,6756,1461,484,165,18315,4444,9559,3839,1006,270,69,0,0,16113,3883,8393,3523,276,49,0,3437,235,2,23,0,18266,3695,9149,4414,1544,358,49,18266,3695,9149,3415,1386,31,3,160,427,15296,3959,8014,2983,338,97,0,0,0,0,0,0,13998,3755,7119,2740,427,176,0,2521,365,19,0,13351,3827,6441,2703,411,163,0,2520,333,20,0,5451,4917,499,7745,6975,770,5635,4978,510,5091,4508,478,3555,3152,354,3709,3135,447,3312,2850,427,4436,3846,510,5305,4423,832
5,5,24564,7490,3484,13273,862,299,54,0,0,24975,7020,3958,13540,851,396,122,0,0,24363,5738,4366,13217,1559,319,50,23667,5534,4120,12977,1550,315,47,24826,6593,4607,13544,716,372,94,12107,617,6,15,49,833,25176,6089,4870,13586,1528,354,78,18426,6371,2186,9515,596,208,40,0,0,18039,6166,2502,8856,438,153,15,8694,415,2,74,0,18928,5022,2947,10112,1022,223,30,18928,5022,2947,9293,932,23,0,122,589,17932,5568,2872,9030,257,148,15,0,0,0,0,0,18376,5293,3433,9122,363,179,0,8698,280,15,0,17601,4760,3774,8536,393,40,0,8119,283,10,0,11607,9575,1927,9555,7379,2176,11002,8787,1888,10713,8904,1630,8891,7209,1588,9024,6748,1880,8662,6652,1922,9950,7933,1832,11535,9340,2066
6,6,23994,5769,12945,5205,902,315,98,0,0,24185,3837,14565,6281,882,338,18,0,0,23505,3655,13696,5705,1317,507,96,23648,3660,13790,5733,1318,507,96,23999,3922,13305,7794,680,227,15,5594,539,4,0,113,525,22892,3792,13459,7142,351,188,49,17606,5033,8829,3489,680,220,70,0,0,14788,2827,8739,2689,396,58,0,2594,396,2,123,0,17767,3212,9948,4051,971,350,72,17767,3212,9948,3088,805,33,9,223,449,15060,2916,8051,3564,349,49,0,0,0,0,0,0,15851,3115,8893,3544,201,125,0,3444,202,4,0,16237,3744,8057,4032,354,52,0,3937,321,0,0,7006,5881,1065,5772,5268,504,6986,5928,891,6578,5792,682,4647,4000,616,4839,3912,768,4553,3731,773,5790,4867,841,7246,5861,1327
7,7,23533,2814,5276,15885,389,282,67,0,0,21994,2698,5312,14347,285,247,57,0,0,22659,2165,5636,15165,333,407,36,22938,2176,5714,15362,334,407,36,22691,2595,6150,14607,444,235,45,13120,316,0,0,95,418,21892,2822,5485,14371,510,192,20,17562,2721,3466,11489,313,197,50,0,0,15464,2644,3118,9487,106,70,10,9422,89,0,64,0,17319,2069,3812,11466,270,297,22,17319,2069,3812,10588,224,43,3,167,413,15822,2526,3879,9319,84,77,0,0,0,0,0,0,13590,955,3046,9410,82,73,0,9347,56,7,0,14167,1042,3441,9060,363,23,25,9049,113,2,25,7393,7105,253,7827,7549,278,6900,6529,249,6372,6069,197,4550,4391,132,4785,4470,223,3955,3714,211,5538,5235,236,6689,6224,414
8,8,24211,22783,656,349,298,171,12,0,0,23226,21693,850,297,367,42,0,0,0,23442,20859,1017,432,442,448,27,23464,20881,1017,432,442,448,27,23209,21529,624,210,655,46,0,69,398,0,0,305,287,23032,20806,1053,369,656,372,0,18635,17752,386,201,197,122,7,0,0,18238,17362,526,167,134,22,0,117,130,0,11,0,18886,17156,633,272,297,334,18,18886,17156,633,147,213,36,0,88,613,18603,17895,452,33,204,21,0,0,0,0,0,0,18451,17260,693,124,221,80,0,100,116,2,0,18403,17101,756,172,189,127,0,155,57,2,0,13292,7641,5412,12737,7127,5610,13703,6234,6580,13542,7741,5429,12312,6370,5742,12457,5154,6318,12139,5353,6614,13202,6459,6280,15227,7868,6971
9,9,22885,13228,3662,4235,2035,193,26,0,0,23119,11189,5031,4984,1920,540,0,0,0,23352,10599,5242,5442,2331,440,56,23418,10622,5254,5456,2333,440,56,22886,11137,5409,4520,1957,476,0,3469,1768,235,0,42,832,23391,11590,5286,4561,1985,406,91,17966,11426,2368,2769,1496,135,22,0,0,16473,9577,3061,2754,800,212,0,2686,770,181,50,0,18405,9447,3525,3724,1686,358,42,18405,9447,3525,3171,1585,49,2,118,508,16262,9657,3212,2352,781,242,0,0,0,0,0,0,16375,10026,3224,2319,611,164,30,2094,572,85,30,16400,9028,3196,3170,919,127,23,2887,890,0,23,10411,6996,3289,6983,4860,2123,10089,6289,3351,9742,6929,2569,8272,5437,2716,8425,4768,3109,8120,4908,3089,9278,5965,3064,11101,7450,3500
