ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,2016,41,57,49,3,0,37,46,0,0,2292,2130,54,65,78,4,0,45,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,96368,31407,45156,19425,3344,1177,314,0,0,96082,29012,45147,23156,3846,1407,191,0,0,94479,26643,44935,20548,4769,1907,265,95199,26691,45374,20732,4780,1911,266,94924,28113,44091,26123,3521,1402,198,17420,2813,26,0,526,1937,94756,28408,45775,26410,3303,1405,337,71752,26777,30573,13314,2602,836,236,0,0,63639,23001,27667,11202,1367,306,0,10919,1225,23,169,0,72409,22950,32265,14643,3653,1383,195,72409,22950,32265,11317,3148,121,24,820,1764,63691,22264,27729,12050,1199,329,0,0,0,0,0,0,63205,22845,28342,10746,1091,303,0,10280,999,37,0,63046,22797,27016,11442,1681,292,4,10952,1266,28,4,30831,23870,6670,29890,23219,6671,30407,23155,6256,28937,23000,5376,22136,16750,5154,22871,15555,6157,21616,15031,6333,26195,19435,6221,31609,23140,8128
2,2,96125,25800,14431,54720,3351,1169,212,0,0,95045,24606,15397,53686,3384,936,284,0,0,95913,22486,16266,55401,3704,1549,183,95768,22316,16117,55569,3699,1545,180,95505,24465,16902,53226,3727,856,272,47542,3165,10,30,336,3059,95344,24170,17519,54049,3036,1219,217,74739,23245,9814,40150,2566,818,166,0,0,69236,22004,9640,35658,1479,465,25,35056,1390,14,284,0,77243,20438,11732,43043,2909,1184,140,77243,20438,11732,39372,2449,154,11,539,2548,70030,21932,10256,35714,1754,443,29,0,0,0,0,0,70185,21415,11045,35169,1718,594,24,34024,1504,80,24,69839,21862,11370,33716,1828,604,113,32375,1481,81,113,41906,35703,5894,38662,33087,5575,39813,33104,5540,38352,32819,4842,32081,27072,4714,32701,25585,5712,30930,24706,5853,35865,29743,5432,41695,35282,5963
3,3,98094,60572,15229,16771,6548,818,181,0,0,98405,54102,20877,17467,7584,1010,113,0,0,99964,50222,20203,19913,9935,1728,195,100231,50308,20274,19980,9935,1728,195,98412,53023,22066,16608,8155,1079,67,13356,6911,125,0,165,2764,100201,50125,22763,18677,9934,1369,127,75435,50159,9880,11141,4619,570,122,0,0,69767,44240,12091,9719,3126,338,0,9306,2742,107,289,0,78245,43154,13844,14055,6831,1249,134,78245,43154,13844,12138,6427,120,15,416,2131,70375,43650,12942,9399,3838,451,0,0,0,0,0,0,71699,42953,14148,10533,3462,427,30,10170,3067,77,30,71512,42195,14435,10167,4162,544,27,9471,3648,51,27,44697,29402,14701,43135,27891,15244,43469,25610,15977,42387,29470,11985,35668,22445,12772,36356,18949,15065,35094,19647,15031,40059,24462,14548,47926,30535,16574
4,4,100951,75668,8660,9269,7866,776,101,0,0,100457,66876,10247,11981,10712,1142,321,0,0,102881,65760,12917,13071,10844,1687,149,103085,65870,12940,13099,10849,1687,149,100308,66923,11162,11999,10509,1050,260,8885,9577,386,138,407,2830,102626,66390,13332,12800,10845,694,162,77599,61015,5334,5835,5492,530,65,0,0,71895,54270,6823,6248,4031,377,30,5618,3785,195,135,0,81538,55748,8511,8676,7874,1238,92,81538,55748,8511,7040,7319,122,14,419,2365,73015,55615,7225,6047,3742,385,35,0,0,0,0,0,75840,56355,8558,6550,4022,268,20,5781,3744,95,20,76030,55877,8465,6780,4563,281,0,6051,4179,37,0,51298,32331,18257,46363,27564,18799,49373,28464,18218,48482,31222,16099,43151,26099,16474,43568,21744,18333,42602,23107,18960,47158,27812,17864,56219,36230,19008
5,5,96427,75912,7348,5904,7445,530,123,0,0,96966,73196,8837,5862,9303,630,130,0,0,98983,70628,9088,7256,10702,1091,113,99056,70675,9093,7257,10703,1091,113,96986,71332,9535,7022,9613,762,107,5136,8604,137,0,360,1881,99675,69942,11276,8550,10015,872,77,73949,60063,4797,3994,5030,349,83,0,0,71002,57334,5504,3556,4342,195,0,3370,4060,69,125,0,78456,58217,6371,5196,7566,750,69,78456,58217,6371,4061,6939,46,4,568,2250,71413,56112,6262,4150,4489,260,0,0,0,0,0,0,72679,55276,7051,5256,4851,250,0,4748,4348,40,0,73408,56193,6651,5403,4949,232,8,4750,4390,19,8,52763,34348,17769,49969,30761,19208,52509,33710,16358,51877,34608,16175,46992,31651,14867,47392,26084,17423,46248,28226,17478,50447,32391,16583,57937,39929,17117
6,6,96421,56090,27706,11521,3103,813,155,0,0,96502,49774,32866,12073,3752,730,54,0,0,97776,47508,33908,14372,3873,1513,196,98301,47648,34175,14440,3875,1513,196,96261,48608,32082,13431,3910,748,104,8950,3282,19,12,254,3054,97434,47838,34056,13581,4151,1059,117,74472,47917,17569,7549,2248,525,111,0,0,67957,39909,19786,6542,1568,137,0,6080,1444,15,40,0,76853,41196,23196,10192,2897,1068,154,76853,41196,23196,7614,2488,44,23,448,1844,67677,39865,19148,6927,1567,123,10,0,0,0,0,0,68664,39027,20930,6371,1996,183,25,5492,1905,20,25,70853,41033,20312,7021,2059,412,11,6001,1657,67,11,35433,23740,11224,32820,22445,10375,35758,21326,13071,33806,23420,9607,28018,17600,10137,28783,15221,11950,26071,14747,10968,31861,19264,11827,39067,23265,15279
7,7,105063,89136,5898,7085,2747,671,111,0,0,104157,83928,8314,8412,3711,1265,123,0,0,101204,79884,8061,7883,3684,1585,102,95996,78327,6690,5652,3643,1566,102,103997,81459,8688,9329,4246,1288,125,6412,3174,100,0,469,3696,100142,77177,8796,9105,3702,900,25,83308,71170,4386,5625,1877,486,73,0,0,81828,68802,5243,5359,1840,504,0,5019,1666,88,145,0,82326,66525,5635,6016,2669,1219,67,82326,66525,5635,5109,2246,95,19,250,2447,81544,67508,5533,5639,2229,370,0,0,0,0,0,0,78878,65210,5486,5744,1978,451,0,4738,1717,63,0,79460,65904,5512,5273,2240,518,58,4513,1911,81,58,49935,27858,21314,47506,24775,22731,50125,22617,24718,48877,28116,19495,41679,21641,19473,42310,16766,22730,41129,17729,22920,46464,22671,22423,55554,29207,25337
8,8,98488,88297,4314,2264,3491,591,84,0,0,98185,83778,5872,2773,5237,848,139,0,0,98538,80401,7189,3480,5559,1580,107,98681,80516,7206,3481,5559,1580,107,97633,82561,5604,3123,5363,1034,117,2189,4614,391,0,388,1886,99827,77971,8904,5930,6043,1070,279,74438,68208,2514,1373,2182,398,49,0,0,72898,66183,2814,1404,2146,332,0,1242,1977,214,39,0,78032,66068,4551,2290,3669,1112,78,78032,66068,4551,1419,3277,98,17,295,2307,72047,65320,2759,1544,2038,399,0,0,0,0,0,0,74221,62715,4896,3297,2667,467,0,2788,2360,63,0,74239,64628,3820,2324,2717,518,0,1835,2525,17,0,54121,29131,24080,53008,25917,27091,53385,25353,25193,52608,28553,22922,47749,24784,22425,48314,19367,25360,47178,21200,25475,51397,25296,24582,60098,32628,26298
9,9,99825,77977,7157,8434,6612,671,96,0,0,97814,69989,8561,9894,9643,1037,118,0,0,101245,69628,10429,10426,10234,1449,118,101408,69744,10436,10441,10236,1449,118,97294,68505,8834,9848,9625,1072,219,7835,8558,54,43,498,2963,100395,70289,9465,11007,9433,1340,241,80242,64971,4623,5835,4798,476,65,0,0,74450,58407,5695,5908,3548,520,30,5527,3329,74,378,0,83165,59975,7334,7595,7521,1125,82,83165,59975,7334,6042,6881,91,11,356,2475,75011,58639,5652,6283,3701,575,45,0,0,0,0,0,77716,59982,6213,6486,4129,803,25,5241,3843,85,25,79005,60387,7137,6601,4294,512,6,5278,3887,26,6,49543,31542,17250,43446,26702,16744,48496,26501,19611,47239,30968,15207,41488,24910,16120,42034,20476,18816,40719,21453,18743,45554,26030,18261,53791,31890,21043
