ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_18_ACS_BlackAlone,T_18_ACS_AsianAlone,T_18_ACS_NativeAlone,T_18_ACS_OtherAlone,T_18_ACS_TwoOrMore,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,22692,6852,866,14771,318,244,19,0,0,18778,5604,844,12164,174,136,0,11871,99,53,8,285,23383,7136,1122,14843,327,197,0,0,0,23066,6369,1342,15092,464,410,28,23977,6651,1274,15704,389,142,0,15331,283,49,0,50,340,23114,7226,1393,14190,380,247,0,17965,6193,595,10980,247,183,16,0,0,18684,6370,624,11444,83,143,0,11286,64,60,58,0,18644,5789,964,11567,375,300,19,18644,5789,964,10885,270,44,6,107,579,18578,5866,696,11725,94,93,0,0,0,0,0,0,17766,6336,828,10410,54,134,0,10190,47,4,0,18252,6326,724,10969,107,344,5,10553,95,9,5,12082,10761,1209,11481,9878,1199,10662,9220,1183,10471,8297,2174,9144,8077,804,9005,7483,1522,10746,9375,1140,11984,10696,1136,11399,10016,1043,11490,10105,1130,11099,9486,1613,10744,9470,1128
2,2,22599,5188,2633,14942,207,215,25,0,0,19104,4211,1809,12964,251,129,9,12494,225,33,52,241,23838,4800,2546,16365,248,166,32,0,0,23821,4913,3457,15359,515,394,46,23479,5130,2349,15783,319,263,73,15143,291,67,10,55,430,23310,4988,2394,15558,561,302,172,16829,4660,1664,10497,167,151,17,0,0,16627,4204,1039,11149,109,99,13,11024,89,69,38,0,17986,4419,2283,11048,420,277,34,17986,4419,2283,10337,321,27,1,58,540,16550,4484,1158,10643,191,175,8,0,0,0,0,0,16898,4555,1160,10775,327,173,33,10544,285,4,33,16691,4844,1188,10236,291,239,1,9926,242,25,1,8526,7678,756,8133,7030,848,7361,6383,775,7236,5826,1410,5715,5003,546,5623,4623,1000,7334,6369,826,8588,7565,945,8024,6973,825,8088,7033,856,7824,6637,1187,7839,6687,1049
3,3,24618,6622,5749,12528,283,371,44,0,0,21109,5595,4511,10924,324,132,22,10173,293,42,92,360,22142,6091,4521,11495,286,147,16,0,0,23366,5617,5515,12587,294,578,45,22270,6097,4817,11351,365,183,4,10194,330,64,1,18,748,23703,6986,4586,12127,149,366,10,18007,5804,3663,8578,218,236,32,0,0,15553,5247,2353,7706,119,122,1,7589,117,78,31,0,17132,4844,3602,8700,228,429,33,17132,4844,3602,7932,173,26,6,69,480,16197,5441,2495,8089,154,84,0,0,0,0,0,0,17255,6178,2372,8557,34,89,1,7985,30,14,1,17608,6025,2455,8689,153,124,12,8008,147,8,12,9662,8392,1165,8877,7334,1241,8091,6823,1054,7845,6325,1520,6212,5279,717,6100,5073,1027,7720,6479,1058,8751,7404,1259,8138,6802,1036,8250,6963,1067,7912,6553,1359,7720,6315,1279
4,4,18331,15575,868,1373,183,494,34,0,0,4891,3680,429,588,1,273,0,461,1,194,8,105,22407,18460,1637,1749,277,456,15,0,0,23586,19132,1647,1621,422,737,26,24038,19233,1344,1961,409,331,15,1450,258,198,15,884,652,24370,20105,1438,1599,359,561,14,15615,13695,560,927,130,388,18,0,0,18981,16766,522,1149,165,367,15,1022,161,267,24,0,20387,17259,1043,1113,320,578,16,20387,17259,1043,921,232,206,8,33,685,20333,17834,612,1353,174,293,15,0,0,0,0,0,20851,18461,649,1150,215,348,15,837,124,194,15,22691,19971,921,1163,365,288,4,756,210,101,4,9087,4447,4505,11038,4242,6444,10651,4857,5591,10466,5006,5460,9799,4354,5310,9588,4647,4941,12060,5377,6504,14221,6378,7710,13867,6297,7267,13951,6372,7370,13669,6360,7309,18582,8573,9819
5,5,21657,7476,2293,10834,1334,242,41,0,0,12231,3233,1900,6607,615,123,0,6143,565,2,3,380,21855,6167,2877,11991,1166,349,16,0,0,23394,6430,2904,12707,1510,434,43,22167,6008,2312,12852,1073,501,19,12019,927,43,18,74,767,23207,6007,3263,13365,961,448,31,15741,6114,1431,7336,958,169,30,0,0,14213,5042,1063,7470,505,116,0,7338,502,30,64,0,17839,5476,1938,9238,1157,325,27,17839,5476,1938,8633,1040,44,4,106,598,15245,5224,1084,8273,496,165,0,0,0,0,0,0,16704,5608,1747,8619,649,55,0,8490,636,10,0,16190,5143,1812,8521,667,27,0,8458,640,0,0,9359,7782,1484,10040,7879,1833,9406,7616,1582,9292,7300,1992,7790,6444,1174,7648,6129,1519,9472,7626,1672,10732,8683,1944,10340,8322,1765,10334,8326,1812,10143,8158,1985,9954,7793,2050
6,6,22315,17801,680,2953,895,96,13,0,0,17440,13775,692,1788,946,130,3,1695,818,55,106,252,22883,16229,748,3849,1892,192,6,0,0,23054,16894,1097,3637,1189,298,36,22098,16607,622,3257,1791,155,9,2696,1270,106,3,61,728,23170,17051,832,3807,1526,111,29,17581,14449,442,2006,659,72,9,0,0,16919,13127,526,2588,453,138,4,2551,394,89,76,0,18551,14073,721,2651,872,234,26,18551,14073,721,2375,756,23,3,70,530,16535,13407,352,2032,536,101,4,0,0,0,0,0,17243,13760,455,2314,551,61,0,2240,485,0,0,17463,14280,522,1946,577,102,0,1827,547,27,0,13732,8879,4642,13103,7977,4408,12895,8229,4315,12615,8088,4527,11261,7664,3283,11091,7684,3407,12864,8672,3892,14090,9560,4308,13847,9565,3918,13851,9548,4039,13565,9127,4438,13537,9033,4284
7,7,21126,13577,1323,5172,1072,175,18,0,0,13871,9446,502,3093,740,103,18,2826,704,81,13,265,22806,14070,1260,5837,1758,126,32,0,0,22931,12479,1919,6240,2125,453,22,22088,13221,1385,5754,1806,161,29,5231,1729,65,2,17,438,23206,12995,1696,6789,1938,202,0,16409,11265,832,3497,790,124,12,0,0,16105,11340,614,3724,395,44,4,3565,373,20,14,0,18256,10628,1270,4598,1598,330,10,18256,10628,1270,4161,1482,43,4,83,585,16134,10850,819,4114,332,68,4,0,0,0,0,0,17284,11005,980,4698,490,96,0,4485,441,10,0,16473,10395,888,4100,842,119,87,3937,794,0,87,10476,7399,2904,10361,6691,3127,9867,6755,2749,9628,6713,2915,8343,5951,2173,8204,5954,2250,10027,7015,2771,11359,7990,3216,11004,7764,2925,11019,7802,2955,10782,7597,3185,10597,7182,3242
8,8,21591,13614,1481,5772,829,163,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25191,16510,2194,6007,820,183,4,0,0,25283,13769,2109,7780,1556,444,22,24109,15178,1675,5950,854,172,0,5498,690,0,0,442,632,25311,14742,1615,7568,947,173,0,15005,9946,905,3663,525,101,25,0,0,17854,12234,1005,4107,473,27,0,4059,414,0,27,0,18712,10814,1399,5347,1068,319,19,18712,10814,1399,4890,942,18,4,76,569,17714,11998,864,4368,462,17,0,0,0,0,0,0,17812,11377,740,5240,415,47,0,5154,367,0,0,18343,11728,629,5612,365,7,0,5512,364,0,0,9093,5877,3098,11072,6155,4371,10666,6570,3878,10710,6887,3823,9203,5926,3099,9110,5702,3408,11593,7175,4179,13601,8467,4925,13333,8396,4592,13324,8387,4689,13188,8434,4754,14131,8643,5278
9,9,13710,10846,397,2114,341,112,13,0,0,8015,5136,256,2554,91,55,4,2406,43,16,0,147,18345,12971,738,3705,981,107,0,0,0,25123,15555,1340,6154,1692,503,32,22743,15662,1498,3751,1882,123,0,3512,1728,24,0,0,318,26282,16590,1807,5897,2074,221,45,9796,7962,230,1369,206,74,10,0,0,13009,9987,251,2239,483,32,0,2209,422,14,4,0,18593,12104,838,4268,1102,311,19,18593,12104,838,3916,967,22,4,82,660,15516,11823,517,2365,679,50,0,0,0,0,0,0,18177,12644,694,3912,789,57,40,3875,675,15,40,19484,13289,977,4053,1087,106,18,3886,1065,1,18,7426,4182,3127,10308,4984,4781,9983,5471,4327,9925,5685,4240,9418,5579,3644,9236,5489,3747,11943,6809,4891,14471,8276,6000,14168,8290,5528,14177,8276,5675,14007,8239,5768,16849,9601,6998
