ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_18_ACS_Total,T_18_ACS_White,T_18_ACS_Hispanic,T_18_ACS_Black,T_18_ACS_Asian,T_18_ACS_Native,T_18_ACS_Pacific,T_18_ACS_BlackAlone,T_18_ACS_AsianAlone,T_18_ACS_NativeAlone,T_18_ACS_OtherAlone,T_18_ACS_TwoOrMore,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,42968,29958,1495,10095,1466,275,29,0,0,33168,23088,1423,7207,1226,162,3,6754,1065,90,117,550,45915,29753,1746,11847,2446,242,8,0,0,44708,28900,2341,11101,2085,619,61,44183,28864,1774,11286,2468,224,7,10249,1873,96,4,174,1150,45926,29650,2228,11761,2106,275,29,34842,25206,1027,7479,1097,212,22,0,0,35217,24717,1088,8559,561,151,5,8403,469,106,129,0,37095,24959,1645,8577,1590,469,41,37095,24959,1645,7849,1344,45,5,158,1090,34244,23993,1048,8179,669,134,5,0,0,0,0,0,35854,25285,1390,8356,647,98,0,8021,565,0,0,35951,25252,1586,8120,808,285,5,7697,731,37,5,25445,18114,6972,24546,16505,6770,23791,16707,6424,23226,15971,7255,20708,15302,4809,20407,15105,5302,23997,17488,5939,26530,19495,6618,25908,19254,5925,25948,19243,6183,25302,18313,6989,25388,18403,6581
2,2,45638,12729,4860,28096,443,480,47,0,0,37077,9853,4380,22661,556,318,0,21531,452,46,100,690,46276,11694,5041,29087,724,359,47,0,0,45528,10226,6683,28439,662,958,82,46568,11488,5660,28678,835,232,116,27650,672,40,63,220,778,43897,10635,6001,26538,1031,677,110,34144,10743,3043,20209,332,339,32,0,0,33662,9913,2456,20861,233,247,34,20491,213,57,75,0,34390,8786,4329,20889,492,695,60,34390,8786,4329,19683,342,104,12,145,989,32851,9642,2974,19912,236,190,64,0,0,0,0,0,31487,9193,3115,18540,378,465,24,17984,301,8,24,32267,8683,3446,19354,450,564,0,18764,380,9,0,19769,17468,2116,18982,15716,2716,17465,14838,2251,17188,13582,3606,14163,12104,1731,13887,11119,2768,17374,14500,2563,19900,16776,2941,18684,15575,2596,18838,15722,2631,18227,15057,3170,17841,14442,3168
3,3,43849,12898,9742,21579,515,568,62,0,0,38523,11242,7455,19655,555,352,30,18359,500,138,116,627,42665,12104,8579,21991,476,466,37,0,0,44517,11374,10518,22881,754,1009,83,42499,12191,8311,21809,609,516,32,19983,562,224,7,32,1174,44723,12755,8663,23104,613,722,97,32102,11225,6124,14736,390,376,45,0,0,28989,10325,3809,14307,227,270,10,14073,206,198,68,0,33184,9931,6949,16108,608,734,60,33184,9931,6949,14684,475,50,13,138,944,30078,10401,3939,15111,312,266,4,0,0,0,0,0,32117,11152,4240,16085,316,217,30,15401,258,88,30,32030,11034,4187,16020,363,325,13,15159,298,77,13,17250,14863,2179,15841,12816,2448,14479,11983,2068,14116,11191,2925,11006,9217,1434,10832,8831,2001,14140,11679,2145,16406,13656,2576,15340,12658,2185,15519,12871,2265,14963,12216,2747,14616,11796,2594
4,4,43012,35463,1507,1841,4161,164,35,0,0,24978,18817,956,1321,3779,290,3,1020,3649,161,44,294,42416,33583,1208,2066,5219,362,128,0,0,44976,33467,2047,2424,6361,484,46,42934,33334,1785,1843,5510,393,209,1229,5145,201,0,245,998,43512,32898,1914,2245,5956,198,7,33320,28012,958,1343,2963,111,20,0,0,31261,26645,807,1519,1988,219,0,1454,1957,152,97,0,36131,27796,1397,1810,4586,333,30,36131,27796,1397,1504,4329,35,4,116,950,31525,26585,980,1363,2204,202,0,0,0,0,0,0,32039,26623,1003,1716,2596,78,0,1512,2360,14,0,32776,25960,1518,1921,3259,118,0,1713,2825,0,0,26261,14943,11017,25663,13836,10504,25463,14518,10378,24838,13872,10966,22264,13853,7952,21886,13969,7917,25681,15776,9395,28362,17442,10524,28060,17963,9462,28063,17636,10010,27567,16786,10781,26947,16020,10495
5,5,42940,31956,1685,6641,2680,271,40,0,0,34969,27173,823,4436,2321,227,26,4223,2162,70,21,420,44348,32222,1486,7173,3414,291,47,0,0,44972,29662,2615,8211,3979,721,39,43719,31601,1642,7352,3163,175,45,6818,3010,68,1,28,545,45437,30934,1957,8992,3688,628,33,33730,26028,1087,4641,1940,181,25,0,0,32778,25896,763,4810,1171,132,3,4719,1148,28,33,0,35924,24765,1722,6091,2961,501,24,35924,24765,1722,5540,2740,57,13,129,958,32753,25581,935,5130,1064,88,3,0,0,0,0,0,34156,25485,1091,5863,1347,179,0,5644,1242,18,0,33990,24984,1132,5296,1863,201,87,5028,1693,0,87,24143,15544,8239,23706,14234,8202,22957,14631,7631,22366,14382,7984,19853,13394,5982,19538,13496,6042,23076,15366,7212,25542,17076,8116,25009,17012,7399,25045,17010,7580,24563,16358,8205,24303,15802,8085
6,6,36428,31095,1586,2992,588,334,22,0,0,5983,5069,371,413,93,46,4,356,68,20,5,47,44474,39569,1432,2246,788,395,85,0,0,48422,40840,2860,2649,1106,842,50,46063,40122,1600,2877,1081,387,67,2060,892,101,8,121,1154,51002,44784,1622,2796,1335,142,92,30873,27127,1110,2057,414,248,18,0,0,38072,34869,850,1662,368,193,15,1583,363,109,117,0,42283,36755,1944,1934,841,613,42,42283,36755,1944,1624,666,112,15,136,1031,39801,35872,912,2202,610,193,10,0,0,0,0,0,44023,39943,893,2195,816,96,0,1867,701,18,0,46275,41089,1267,2760,1075,244,5,2318,892,39,5,20189,10418,9516,25774,12327,12503,25219,13517,11206,24715,13577,11138,24352,13428,10507,23849,13907,9942,28390,15672,12309,32529,18190,14023,32070,18090,13325,32144,18236,13513,31552,17890,13662,37864,21414,15996
7,7,44902,32885,6968,4175,1024,370,30,0,0,40494,28319,7145,3821,1389,169,11,3174,1253,11,42,528,44773,31164,8060,4263,1452,290,14,0,0,45275,28985,9113,5004,1727,1013,62,44435,31422,6872,4621,1303,280,3,3981,1195,149,0,25,803,44823,29803,7539,5327,1681,639,20,34877,27105,4302,2721,740,258,21,0,0,32400,25994,2899,2618,752,111,10,2497,684,50,14,0,35927,24632,6039,3538,1255,768,46,35927,24632,6039,2955,1081,50,9,94,1067,32894,26484,2712,2806,649,190,4,0,0,0,0,0,33859,25631,3574,3287,965,329,15,3037,796,55,15,34565,25013,4808,3411,949,299,0,3239,769,40,0,21688,14531,6810,21196,11585,8421,20411,12523,7228,19805,12399,7406,16378,10339,5537,16055,10607,5448,20075,12383,7169,22742,13970,8373,22102,13914,7527,22188,13879,7774,21634,13625,8009,21480,12457,8647
8,8,47709,38644,1999,3278,3772,252,47,0,0,34400,25369,2514,3496,2979,155,32,2841,2545,39,61,987,48549,35858,3378,4914,4370,304,86,0,0,45574,31553,2851,6415,4358,517,57,48224,34284,4290,5723,4353,393,86,3904,3669,77,43,127,1830,45308,32423,4115,5313,3973,453,0,40583,33224,1586,2539,3186,205,39,0,0,38548,30903,2131,3332,1847,203,34,3072,1667,85,78,0,39559,27798,2199,5502,3689,414,42,39559,27798,2199,4681,3389,27,8,87,1370,37937,29768,2588,3535,1642,277,39,0,0,0,0,0,35949,28535,2434,3067,1613,288,0,2714,1338,53,0,37193,28849,2554,3276,2159,276,0,2837,1797,17,0,19632,12134,7134,19303,10868,7181,18930,11273,7070,18593,11450,7143,16373,10446,5397,16096,10524,5572,18629,11777,6334,20306,13004,6888,19911,12952,6375,19940,12911,6603,19593,12618,6975,19091,12001,6743
9,9,43594,29173,4893,6965,2695,430,39,0,0,38373,24609,4796,6380,2610,371,87,5660,2432,101,43,693,43562,27237,6189,7295,2969,389,42,0,0,45283,26122,6758,8545,3527,944,71,45155,26620,6937,8713,3216,329,14,7365,2843,157,13,50,1176,46093,26718,6958,8845,3821,453,43,34098,24174,3102,4764,2078,311,23,0,0,31258,22964,2776,4552,697,217,4,4327,658,148,85,0,36077,22360,4456,6163,2712,701,48,36077,22360,4456,5404,2488,58,7,144,1160,32410,22475,3172,5570,1040,212,10,0,0,0,0,0,32864,22285,3087,5860,1431,261,4,5537,1374,133,4,32787,21549,3355,5979,1808,140,10,5591,1686,11,10,19528,13349,5850,19384,11102,7128,18601,11657,6285,18134,11720,6414,14982,9766,4782,14704,9923,4781,18569,11853,6210,21196,13540,7276,20612,13423,6529,20639,13352,6737,20159,13119,7040,19532,11928,7259
