ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,160525,109139,6704,36927,5678,3267,448,169743,113039,8742,38244,8265,3022,1231,0,0,178511,111362,10830,42424,8123,5984,648,169710,111451,8906,40120,7552,3164,888,35768,4565,659,322,7693,176726,111878,10720,42913,8347,3573,751,125121,89243,4744,25029,4208,2490,311,132106,94423,5162,26374,3647,1869,170,25428,2754,593,170,610,0,141588,92944,7631,29899,6162,4701,456,141588,92944,7631,27955,4612,1114,191,6455,131249,92696,5135,27301,3646,1956,194,0,0,0,0,134457,93182,5978,28447,4157,2070,64,27066,3212,396,64,138896,94357,6135,30487,4658,2338,103,28634,3403,415,103,80419,29409,50047,78195,28653,49542,82900,28094,51068,81618,25332,53051,69308,26148,42908,69419,26107,42308,68867,24164,43478,68266,25193,43013,77254,27448,48059,92099,35131,55401,71829,24709,46062,62581,20014,41766,62660,19551,42570,62278,19267,43011,61635,19713,41922,61952,22912,39040,76706,26311,49465,91037,33148,56586,90105,30858,57471
2,2,167913,115247,8719,36037,6422,2828,654,180100,120742,10661,39453,7838,3811,574,0,0,180797,120694,12214,34620,8368,5018,697,185717,124210,11549,39142,9061,3470,859,34220,5816,444,151,8981,183565,123388,11463,37728,8455,3540,923,132187,94918,6245,24753,4739,2187,461,136725,96500,6983,26123,4362,2318,30,24853,3486,429,30,698,0,145701,101968,8757,24577,6173,3918,479,145701,101968,8757,22509,4404,728,163,6504,142179,100991,7441,26044,4802,2167,140,0,0,0,0,143001,102889,6984,25864,4420,2075,230,24087,3271,244,230,142101,102714,8194,23994,4687,1886,230,22044,3232,202,230,91884,37198,53669,86077,34062,52015,91398,34416,51727,89815,30322,55828,77679,31942,45477,77725,31820,44772,76685,28727,46399,75825,29923,45822,85709,33300,50219,102586,43119,57362,80198,30572,48296,70502,25109,44477,70633,24752,45266,69930,24055,45875,69186,24225,44961,69337,29133,40204,84285,31826,51396,96667,38312,56815,95694,35380,58385
3,3,142126,119833,5834,10249,3894,2881,468,163539,132992,9510,14011,4860,3523,740,0,0,178528,138991,11263,14774,6374,6706,923,166345,135820,9103,12935,5181,3455,679,10468,2677,686,287,6534,178516,142243,10595,14069,6710,4000,726,107829,92258,3767,7241,2635,2129,282,124240,103249,5936,9818,2693,2234,215,9102,1871,563,215,314,0,137282,109163,7444,10553,4331,5020,554,137282,109163,7444,9124,2729,944,258,7055,126495,105697,5973,9316,3017,2291,108,0,0,0,0,135365,111949,7030,9983,3604,2443,49,9227,2270,272,49,142987,117286,7933,10613,3962,2392,36,9399,2310,185,36,69062,16417,51748,68748,14957,53791,80520,15094,61184,79230,13546,61846,68203,15606,52307,68162,14785,52112,67746,13264,52953,67197,14393,52735,76780,15734,58919,97666,22791,72852,75178,15064,58983,68922,12682,55363,69035,12278,56265,68525,12231,56294,68111,12625,55486,68032,15735,52297,85282,17309,66962,104882,22958,80525,103677,21023,80472
4,4,159249,120908,11607,17849,7955,2384,731,178657,128894,17498,21954,9695,2908,1190,0,0,183737,123704,20954,23417,11275,6105,1139,181936,128526,18936,23719,10142,2858,1336,18696,6274,304,155,8479,183504,126849,19827,24042,10836,3256,1355,123925,97386,7733,11836,5751,1771,446,134148,103403,9359,13885,5034,1578,105,13218,3931,345,105,812,0,143223,100925,13909,16043,8209,4437,731,143223,100925,13909,13316,5452,525,300,8086,136327,103336,10178,14761,5329,1529,125,0,0,0,0,137087,103140,10456,15016,5661,1493,183,14023,4146,210,183,136632,101751,11093,14639,5930,1691,235,13261,4343,234,235,85535,23890,60708,83113,21514,61599,90134,22101,62061,88432,19213,65145,73934,21127,52537,73745,20738,51614,73020,18775,52689,72475,19500,52891,83377,22194,58750,102446,31748,68242,79099,21093,56484,69966,17390,51538,70115,17160,52313,69430,16895,52535,69007,17010,51997,68886,21110,47776,84357,23137,59986,98053,29292,67104,96776,26255,68181
5,5,164237,128598,6996,24519,1541,3188,246,174766,135931,8867,24989,2298,3228,600,0,0,181243,138013,10636,24090,2647,5776,428,177406,137916,9215,24791,2507,3253,562,22693,1069,1437,192,4611,182618,140849,10119,24903,2819,3845,401,130316,103071,5083,18985,1091,2488,166,136900,109530,4599,19045,927,2477,67,18431,631,1180,67,366,0,144921,112362,7326,18735,1833,4405,270,144921,112362,7326,17652,1206,878,68,5061,139265,111335,4892,18931,1169,2501,83,0,0,0,0,143060,114435,5382,18526,1331,2529,130,17648,992,863,130,147899,117773,6321,18837,1680,2706,77,17944,1121,605,77,75135,20975,52832,73687,19581,54106,80952,17631,60788,79760,17179,59235,66876,16515,50173,66794,15563,50229,66334,14892,50417,66329,14255,52029,75550,17102,57090,94201,21584,71665,75598,15329,59635,71825,12883,58250,71993,12422,59239,71535,12220,59315,71377,12244,59133,71387,14077,57310,84449,16278,67553,100155,20222,78974,99207,18963,78498
6,6,168852,133790,8107,20113,4970,2883,422,182161,138656,11815,22996,6103,3060,792,0,0,175216,128348,13846,21199,6548,5420,615,180076,136521,11947,22568,5939,3076,654,19093,4031,473,233,6837,181055,135743,12980,22482,6289,3430,478,131776,107601,5346,13536,3558,2158,270,138620,111940,6640,14551,3070,2030,169,13737,2376,478,169,447,0,139659,106035,9565,14832,4730,4213,387,139659,106035,9565,13199,3369,660,143,6179,136790,110545,6649,14185,3005,2070,178,0,0,0,0,137830,110890,6497,14445,3668,1994,155,13358,2604,348,155,139664,110918,7856,14689,3712,1786,108,13470,2581,309,108,81454,23653,56683,78879,22028,56851,88222,21797,62194,86859,19971,62906,63581,16723,46681,63401,16757,45709,62871,15458,46313,63223,13075,50105,76118,19299,55057,93213,25614,66097,73932,17674,55281,67009,14547,51657,67093,14091,52590,66719,13991,52728,66832,12913,53919,66838,14990,51848,81355,19415,61054,98157,25201,71497,97152,22988,72045
7,7,181445,137374,10367,30729,1205,2436,166,183652,136463,12950,31915,1351,1921,199,0,0,182734,134929,12767,28585,1721,4619,359,183644,136315,12677,31317,1159,2509,218,28955,604,518,144,3915,181694,134233,13049,30009,1457,2872,197,144006,109869,7372,24397,845,1919,118,142910,110250,6431,24142,644,1356,65,23633,346,432,65,108,0,147456,110786,9058,22504,1224,3610,231,147456,110786,9058,21449,755,666,46,4339,143740,110947,6374,23883,581,1755,120,0,0,0,0,142833,110360,6902,22732,686,1842,70,21830,364,429,70,145384,112666,7155,22015,839,2760,134,20227,585,509,134,79507,25106,52891,76963,24306,52657,81182,19978,58670,79699,22549,53933,69492,20799,48461,69495,17915,50317,68847,17166,50606,68448,17934,50466,76173,20134,54724,91194,22726,67640,75472,17840,57005,71000,15822,54395,71234,14279,56554,70669,13781,56888,70176,14458,55718,70805,15554,54923,81546,17937,63013,93998,21089,72038,92828,20073,70893
8,8,171478,66946,12554,88347,3903,1529,256,180603,67501,12870,95660,4352,1333,349,0,0,175555,59634,16562,93818,4637,2996,294,182125,66424,13374,97216,4493,1540,338,93307,3778,313,85,4276,179218,64039,13692,96205,4756,2566,209,137331,59504,9286,65300,3272,1148,196,140540,59960,7096,70310,2017,873,29,69083,1626,262,29,445,0,140699,52901,12366,70466,3920,2374,222,140699,52901,12366,67234,2959,322,60,4350,142305,58982,7773,72057,2162,1024,72,0,0,0,0,140405,56291,8665,71405,2265,1443,62,69762,1906,175,62,138591,52826,9401,72033,2384,1466,58,70407,1869,130,58,81400,59909,20748,83339,62764,20575,81287,58124,19787,79770,54825,22325,72627,55537,16955,72874,55193,16950,71593,51677,18755,70824,51960,18801,77240,56478,19306,86005,63639,21144,67058,48278,17866,54531,38629,15138,54627,37648,16399,54105,35932,18173,53730,36563,17167,54405,39409,14996,67552,47292,19442,78940,55677,22001,77712,52132,23932
9,9,173703,122841,8312,35727,6288,1380,195,177602,122774,10956,35012,8496,1050,217,0,0,182853,123326,12318,34761,9417,3228,332,178603,123333,11221,34959,8395,899,255,32423,6961,177,47,3914,181758,123763,12321,35172,8522,1575,347,138194,100266,6278,26681,4428,1066,135,139135,99929,7598,26648,3910,657,39,26226,3353,277,39,431,0,148872,103277,9412,26918,6832,2435,224,148872,103277,9412,25078,5564,290,64,4680,140560,101980,7522,26337,3868,605,46,0,0,0,0,143562,103723,8039,26577,4010,934,70,25756,3331,113,70,147624,105229,10258,26348,4725,1081,84,25200,3869,72,84,102113,53807,47269,96542,49410,47132,106183,54324,46673,104807,51701,50250,98344,54738,43376,98346,52362,44859,96636,48011,47098,95452,48064,47313,102833,53807,47092,113810,61721,50560,97865,50505,46135,90240,46126,43244,90350,44501,45306,89321,41625,47696,88789,41664,47125,89961,46731,43230,101240,51105,49169,113018,58023,53092,111564,54534,55321
