ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,471323,343801,21278,84359,16106,8895,1581,514064,365834,29320,92673,21009,10524,2755,0,0,539263,369651,34886,93917,23128,17785,2290,522606,368991,30324,94725,21851,10106,2634,82764,13060,1779,800,23406,539968,375059,33821,97118,23730,10972,2676,365245,275890,14747,57660,11656,6757,1053,393356,293734,18199,62745,10665,6495,435,59866,8078,1628,435,1666,0,425129,302734,24205,66429,16847,13681,1516,425129,302734,24205,60819,11887,2807,618,20125,400864,297900,19007,64510,11441,6343,482,0,0,0,0,413206,306195,20113,66214,12319,6455,428,62291,8831,884,428,423806,312129,22538,66719,13501,6479,433,61653,9060,790,433,242160,83693,155581,233936,78332,155604,255795,78331,164117,251621,69834,170994,215922,74280,140850,216034,73327,139312,214001,66710,142975,212003,70057,141733,240547,77139,157341,293087,101782,185604,227650,70844,153261,202075,58135,141334,202385,56885,143825,200811,55851,144960,199007,56866,142141,199393,68144,131249,246469,75908,167547,292766,95028,193474,289635,87790,195953
2,2,491579,383714,26689,61335,14354,8536,1388,534902,404420,37773,68974,18050,9028,2372,0,0,538769,391461,44857,66607,20207,17224,2160,538584,405453,39332,68550,18531,9170,2344,58174,11372,2224,540,19729,546016,405891,41883,69019,19726,10672,1958,385909,308587,18171,43720,10326,6466,883,409383,325311,20480,47051,9068,6011,321,44903,6971,1960,321,1581,0,427245,320663,30427,48210,14591,13013,1361,427245,320663,30427,42936,9885,2042,505,19215,411441,326700,21261,46028,9527,6171,346,0,0,0,0,417594,330290,22214,46067,10522,6149,383,43118,7664,1449,383,424373,332670,24994,46540,11128,6320,356,43099,7930,1160,356,241329,67849,170106,234763,62463,172300,258331,60802,184905,254093,55729,187017,203659,53781,149233,203212,52443,147432,201522,48570,149274,201312,46282,154862,234241,57938,170753,289124,78205,206015,228184,53597,171480,208730,44490,161717,209144,43369,164418,207606,42808,164798,207141,41864,165277,207039,49813,157226,249965,58368,188869,296185,74105,218027,292976,67677,219099
3,3,526626,327161,31233,154803,11396,5345,617,541857,326738,36776,162587,14199,4304,765,0,0,541142,317889,41647,157164,15775,10843,985,544372,326072,37272,163492,14047,4948,811,154685,11343,1008,276,12105,542670,322035,39062,161386,14735,7013,753,419531,269639,22936,116378,8545,4133,449,422585,270139,21125,121100,6571,2886,133,118942,5325,971,133,984,0,437027,266964,30836,119888,11976,8419,677,437027,266964,30836,113761,9278,1278,170,13369,426605,271909,21669,122277,6611,3384,238,0,0,0,0,426800,270374,23606,120714,6961,4219,202,117348,5601,717,202,431599,270721,26814,120396,7948,5307,276,115834,6323,711,276,263020,138822,120908,256844,136480,120364,268652,132426,125130,264276,129075,126508,240463,131074,108792,240715,125470,112126,237076,116854,116459,234724,117958,116580,256246,130419,121122,291009,148086,139344,240395,116623,121006,215771,100577,112777,216211,96428,118259,214095,91338,122757,212695,92685,120010,215171,101694,113149,250338,116334,131624,285956,134789,147131,282104,126739,150146
4,4,451164,330843,33047,59452,26892,4428,1174,501176,351958,44899,69550,33599,4811,1766,0,0,542508,358540,55309,80547,38057,11183,1800,510986,353146,48771,71095,33620,4674,2113,60398,25118,1302,218,17834,541292,359226,55935,79530,37988,5978,2157,350324,266056,22919,40582,19288,3232,771,376560,282033,26579,46125,17665,2802,110,44072,15465,1024,110,1409,0,434081,298014,39866,58760,28618,8533,1263,434081,298014,39866,51356,23570,1009,434,17402,382019,284291,29255,45741,18267,2758,222,0,0,0,0,405351,292377,33872,52880,20844,3356,322,49971,17660,520,322,424046,298336,40306,56999,23157,3217,451,53913,19367,389,451,225022,79136,144008,227010,76604,150406,259780,88792,158885,255048,72859,172587,230859,87854,142394,231092,89011,139888,228097,80021,144771,225687,81176,144303,251500,89613,156806,306573,119513,182429,243852,85719,154886,223090,75024,145692,223360,72894,149033,221214,70162,151052,219768,71695,148073,78580,22267,56216,266224,94896,168459,314903,117530,192544,309556,114160,190174
5,5,486413,222393,34731,212176,18266,4997,1166,518111,215425,49833,230136,23941,4537,1333,0,0,543411,209316,61829,243427,26690,10432,1522,523427,212244,51856,233463,25302,4727,1249,220724,19696,975,334,16106,545954,217752,58444,241191,26880,5796,1570,367820,183719,24031,146278,13434,3732,794,372635,176373,25083,156279,11219,2699,235,153617,9871,890,235,1145,0,419708,177567,43755,174685,19915,7942,1111,419708,177567,43755,163989,16190,1067,377,14410,379381,176582,26186,161031,12112,2737,243,0,0,0,0,397124,184359,29803,166598,12561,2608,249,162368,10662,582,249,402971,182447,34558,167412,14426,3247,251,160665,12231,383,251,229916,134100,93932,221121,130297,90824,223785,127781,87053,219734,108283,103387,192208,116222,75301,192684,119073,71717,190608,110594,76878,188522,111807,76478,210401,121648,84606,246485,148600,93888,186567,106388,77583,153653,83959,67653,153723,81916,70087,152360,79740,72620,151327,81983,69344,106238,63605,42497,191473,108212,80898,224364,128978,91686,220034,125835,89662
6,6,490176,364977,33357,73334,16555,5278,894,527040,375386,45423,85076,20718,6178,1204,0,0,538821,366540,51759,86970,23032,12412,1501,531450,374798,46570,86536,20186,6835,1039,74981,13963,979,201,18309,540401,376167,50198,86078,21507,7876,1289,380140,290044,23830,51920,12380,3763,590,402073,300448,28899,57648,10488,3531,151,55452,8930,1155,151,1108,0,425131,298978,37372,62251,17362,9295,973,425131,298978,37372,56126,13614,1216,358,15716,406677,301647,29501,60575,10359,3895,162,0,0,0,0,414234,304280,32769,60268,11520,4654,178,57012,9124,474,178,423037,306295,37488,60287,13097,4778,296,56501,10196,299,296,235267,89705,142702,230291,84301,145990,254752,88155,155469,250061,79797,161040,222869,87975,134178,222833,85883,134384,220347,78432,138413,217795,80844,136781,242648,87977,149818,288125,108402,175602,230179,80221,147036,206752,67308,137101,207046,65472,140170,205123,63970,141153,203438,65539,137899,205673,66577,137774,247228,84941,159713,291178,103499,183603,287446,100994,180858
7,7,435320,352191,30388,41047,9749,3622,635,507058,401005,42788,45997,15002,4725,1214,0,0,541606,412063,49611,48482,20056,10619,1063,523180,409353,45582,48244,16048,4773,1288,41891,11529,1312,360,11732,550804,423351,50656,50973,18684,5067,937,343088,286435,20163,27882,6744,2738,417,393443,325464,26138,30553,7668,2918,192,29722,6610,1313,192,576,0,432446,341529,33942,33767,13588,7993,717,432446,341529,33942,29261,10856,1080,201,13843,405079,333759,27504,31670,8339,3073,214,0,0,0,0,425868,347864,30334,33970,10034,3109,169,32203,8363,579,169,458581,370255,36015,36078,12282,3464,106,33029,9851,311,106,228615,93097,133050,234186,87672,146514,272086,91564,169481,267155,82488,174366,250460,92269,157480,250368,91872,155540,247450,83014,160204,244071,85742,158147,269690,93780,170878,334307,122010,208462,275625,91494,181176,267367,84420,180345,267770,80941,185380,264669,77907,186762,262489,80485,181975,133011,0,100385,308646,101069,204950,363313,122058,236736,357172,119052,232424
8,8,482492,360179,53237,59449,9366,4854,681,522262,369353,71322,67469,13631,4205,776,0,0,543176,367496,81486,71394,14082,12249,1041,530145,373836,74965,66864,13460,4181,769,58321,9739,1306,170,10218,545629,374907,84487,70305,12826,4567,760,389296,303043,36507,41732,6891,3653,489,415372,312402,47692,45094,6722,2715,194,43873,5073,1320,194,608,0,446999,317447,59039,51324,10811,9568,769,446999,317447,59039,44261,8291,1122,223,14655,423640,316811,50791,45482,7247,2608,157,0,0,0,0,435856,320446,56728,47785,7251,3021,118,45547,5977,879,118,448091,325991,61345,48682,8141,3262,210,45426,6696,815,210,239557,123046,113795,220813,108153,112660,256570,104841,140560,250837,100529,137524,222454,99022,122687,222190,96302,122178,219903,87811,127610,216965,93148,123561,244391,102297,136764,299102,125422,169973,237379,93228,141378,216754,80572,133875,217027,76373,139154,214423,72167,142256,212653,77051,135450,209405,52985,137943,257929,98093,157391,303472,116376,183278,299868,117489,175881
9,9,475764,337739,47592,75588,13741,4611,669,502490,340941,60060,82502,16778,4617,706,0,0,536986,347633,74477,85741,19890,11618,996,513965,345300,64022,84791,18467,4832,828,74857,14568,1229,146,12022,539682,353550,73652,89222,20245,6314,672,384019,285275,33391,52969,10958,3551,473,391942,287206,37709,55560,7851,3092,104,54091,6763,1205,104,617,0,438273,299187,54298,60701,15687,9110,754,438273,299187,54298,54144,12977,1157,163,14567,401108,291808,40620,56163,8758,3209,95,0,0,0,0,422296,301080,47344,59347,10017,3436,85,56071,8655,786,85,439849,307284,55654,61674,10528,3617,201,57528,9151,492,201,231069,108306,119447,224239,101042,123197,245985,97738,138819,241285,92613,137603,216348,93634,121993,216315,90869,121914,214086,83867,126864,211517,88174,123187,235452,95828,135033,284260,117546,163534,228490,87385,138743,209782,74689,132947,210091,71694,137056,208130,68953,139177,206174,71907,134267,203056,54304,134385,248234,92109,154070,292234,110248,178582,288098,108993,173934
