ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_SEN_SPEC_Total,E_20_SEN_SPEC_Dem,E_20_SEN_SPEC_Rep,E_21_SEN_ROFF_Total,E_21_SEN_ROFF_Dem,E_21_SEN_ROFF_Rep,E_21_SEN_SPECROFF_Total,E_21_SEN_SPECROFF_Dem,E_21_SEN_SPECROFF_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,60920,56366,1075,2415,428,618,47,0,0,59430,53696,1458,2980,828,569,37,0,0,59666,52436,1544,3034,517,1867,74,59318,53591,1459,2967,754,599,58,2075,541,76,8,70,1504,57898,51413,1925,3290,594,560,13,46893,43883,646,1574,306,474,35,0,0,46637,43119,688,2002,279,505,4,1852,255,74,40,0,46801,41853,989,1966,356,1412,44,46801,41853,989,1710,269,150,24,100,1706,46966,43348,875,1999,280,437,10,0,0,0,0,0,45780,41707,1219,2148,326,417,0,1785,241,81,0,46210,42014,1200,1760,318,912,7,1445,223,89,7,21084,5606,15099,18936,4852,14084,20689,3857,16086,18942,3416,14441,18257,3540,14475,17774,3633,14141,17328,3523,13805,20707,4000,16267,25048,5195,19476,24722,4962,18968,24296,4644,18819,20730,4479,16251,20704,4446,16258,20968,4084,16470,18745,3968,14316,18845,3238,15413,18660,3530,14803,18610,3515,14683,18561,2952,14953,18505,4608,13897,22197,4430,17435,27375,5770,21432,26781,7071,19710
2,2,59887,51979,4551,2244,782,485,49,0,0,62195,52806,5488,2617,1040,543,84,0,0,59773,49754,5432,2173,880,1620,49,63222,53238,5872,2925,953,566,87,2079,728,10,9,20,1255,64215,53729,6087,2722,1105,739,38,44686,39783,2616,1533,495,351,31,0,0,45503,41126,1938,1679,367,334,10,1582,357,137,92,0,46159,39386,3496,1456,606,1194,23,46159,39386,3496,1220,492,91,8,93,1373,45984,41382,2103,1759,415,258,10,0,0,0,0,0,47267,41838,2695,1616,557,409,4,1367,399,29,4,47988,42218,2892,1352,670,710,16,1063,355,42,16,21700,5209,16148,20581,4547,16034,23314,3842,18785,21411,3440,16980,21181,3510,17475,20685,3603,17082,20140,3484,16656,23682,4073,19190,28354,5320,22690,28021,5091,22187,27513,4694,21998,24309,4604,19705,24296,4556,19740,24157,4100,19656,21932,3919,17545,22041,3117,18750,21836,3430,18103,21825,3365,18080,21765,2845,18215,21615,4684,16931,25500,4429,20748,31036,5746,25130,30395,7429,22966
3,3,56543,52141,1336,1636,929,567,81,0,0,59735,53879,1977,2381,1095,575,55,0,0,60199,52311,2170,2463,1240,1793,152,60174,54014,2012,2403,1149,603,67,1248,898,184,36,187,1595,60008,52831,2290,2339,1176,704,102,42660,39915,798,943,638,394,47,0,0,45437,42048,829,1403,622,516,30,1101,497,235,11,0,46716,41325,1381,1565,858,1370,93,46716,41325,1381,1265,728,129,64,65,1759,45947,42408,854,1525,634,527,35,0,0,0,0,0,46447,42282,1416,1569,644,486,35,1169,569,37,35,46677,42105,1416,767,860,1539,5,607,716,27,5,21124,5323,15540,20131,4684,15447,23015,4242,17991,21068,3661,16264,20501,4086,16159,20131,4077,16054,19740,4053,15687,23409,4662,18225,28292,6188,21674,27913,5889,21137,27530,5516,21133,23962,5350,18612,23970,5326,18644,23587,4795,18311,20906,4672,15740,21002,3774,17012,20878,4178,16352,20867,4069,16351,20764,3475,16580,20723,5404,15319,24834,5266,19182,30276,6901,23209,29620,8323,21297
4,4,58826,28809,26232,3009,773,696,116,0,0,58907,26224,29171,2627,815,887,33,0,0,59070,24813,29579,3264,899,2916,55,57703,25917,28326,2419,941,1312,48,1897,717,66,3,34,745,58475,25642,29315,2727,950,2591,84,41198,23300,15184,2106,554,450,66,0,0,31665,21270,8050,1817,321,208,4,1784,306,103,15,0,42798,20448,18887,2303,648,1928,41,42798,20448,18887,1938,547,82,8,91,797,32536,21299,8912,1733,300,252,4,0,0,0,0,0,34489,21219,10922,1872,292,166,4,1762,278,44,4,34087,19753,11560,2072,460,278,7,1876,311,4,7,12570,4340,8038,12077,3990,8087,14118,4908,8758,12869,4085,8125,12630,4551,7968,12242,4408,7834,11872,4202,7670,14205,5065,8875,17085,6467,10396,16841,6107,10262,16525,5852,10068,14608,5560,9048,14607,5563,9044,13828,4718,8876,11813,3938,7622,11879,3424,8361,11721,3532,8011,11686,3525,7912,11685,3228,8098,11620,4415,7205,14572,4991,9386,18257,6465,11686,17739,7429,10310
5,5,56712,45491,7754,2493,661,444,115,0,0,58872,45730,9261,2762,839,1126,188,0,0,58837,44396,8999,3082,952,1741,67,59381,46212,9228,2950,893,1136,96,2175,710,25,22,0,1013,59173,45130,9709,3130,1162,1960,180,41476,34483,4619,1680,442,331,69,0,0,40999,35664,2718,1852,389,234,40,1663,365,8,120,0,44623,35053,5631,2051,661,1341,41,44623,35053,5631,1702,563,97,13,87,1477,41679,36297,2686,1937,406,211,20,0,0,0,0,0,42223,36023,3248,1919,491,276,50,1832,388,54,50,44468,37166,4015,2193,588,300,32,1919,374,46,32,18123,4235,13590,17363,3477,13886,19690,3285,15857,18528,2950,14747,18403,3157,15060,18009,3405,14604,17728,3194,14534,20545,3549,16679,24949,4581,20109,24682,4376,19706,24377,4455,19327,21070,4058,17012,21070,4109,16961,21175,3602,17224,19382,3504,15396,19507,2865,16464,19353,3149,15894,19332,3096,15798,19265,2823,15748,19088,4101,14987,22657,3923,18460,28370,5174,23060,27179,4451,22728
6,6,58980,49902,7395,941,427,586,74,0,0,59071,48884,8471,931,358,464,5,0,0,59712,47860,8664,1125,482,2161,38,59801,48058,9697,961,352,535,0,701,267,128,0,105,845,58352,46668,9445,1096,491,965,48,43152,37936,4127,534,284,408,43,0,0,41676,37926,2616,533,178,406,0,470,143,105,12,0,45152,37476,5402,682,328,1559,26,45152,37476,5402,452,229,113,7,77,1396,42037,37536,3393,621,154,427,0,0,0,0,0,0,41770,36686,4018,636,158,286,4,460,134,33,4,43440,37868,4124,687,246,285,140,514,238,14,140,19013,4906,13782,17303,3796,13507,19635,2997,16175,17843,2800,14277,17746,2564,15034,17246,2742,14504,16830,2560,14270,20021,3105,16633,24382,3964,20184,24045,3898,19582,23476,3570,19294,20854,3501,17353,20841,3483,17358,20482,3001,17212,18518,2755,15387,18608,2172,16295,18407,2464,15729,18359,2380,15682,18273,2057,15621,18299,3310,14989,21938,3255,18464,27658,4241,23325,26993,5363,21630
7,7,54058,49837,3150,335,247,563,83,0,0,57997,52323,4138,435,304,1303,30,0,0,59081,51975,4392,513,446,1836,28,59227,53296,4282,409,354,1206,38,95,177,86,38,118,1135,59385,52645,4631,796,465,1454,172,42961,40302,1879,176,167,440,55,0,0,45911,43686,995,312,186,733,24,287,153,89,0,0,48771,43969,2698,302,329,1406,20,48771,43969,2698,167,225,134,3,103,1472,47529,44781,1543,243,167,786,29,0,0,0,0,0,48205,44869,1990,374,201,721,0,298,187,73,0,49992,46297,2222,244,353,785,0,170,314,55,0,22748,5411,16910,21947,4097,17850,26147,4251,21343,24575,3854,19573,25454,4108,21105,24897,4454,20443,24462,4181,20281,27764,4611,22769,33537,6007,27232,33131,5592,26821,32927,5622,26788,30367,5512,24855,30362,5617,24745,29734,5013,24304,28543,5227,22650,28723,4186,24305,28479,4699,23404,28464,4650,23307,28306,4104,23058,28420,4769,23651,31377,5379,25675,36414,6516,29739,35191,5621,29570
8,8,53425,50711,1197,655,305,563,29,0,0,58395,54242,1980,909,396,685,57,0,0,59244,53792,1903,1025,542,1693,45,59530,55218,2028,1186,475,746,56,1003,296,269,1,12,698,59722,54894,2000,1280,456,1000,95,43093,41232,766,464,208,436,20,0,0,47915,45447,1073,664,233,480,4,642,213,185,29,0,49612,45581,1358,708,382,1302,31,49612,45581,1358,557,270,147,1,145,1553,49523,46484,1221,981,230,561,4,0,0,0,0,0,49686,46795,989,865,230,773,4,791,206,49,4,51560,48612,990,951,185,750,4,841,116,36,4,24865,5580,18874,25357,4733,20624,28339,4595,23100,26986,4268,21597,27265,4319,22681,26713,4820,21893,26387,4488,21899,29815,4977,24423,35553,6412,28845,35193,5994,28418,35068,6063,28500,32196,5844,26352,32179,5921,26258,32239,5384,26387,31527,5705,24990,31794,4482,27043,31585,5055,26130,31577,5073,25985,31423,4407,25791,31548,5271,26277,34201,5773,28047,40221,7109,32919,39364,6272,33092
9,9,51597,47762,2191,651,390,697,71,0,0,56623,51829,2562,1230,526,410,114,0,0,59474,52205,3263,1066,811,1898,88,58643,53077,2925,1414,622,477,70,936,465,128,25,13,1079,59992,53417,3466,1286,743,798,164,40357,37769,1411,422,271,517,48,0,0,44540,41866,1202,811,255,332,15,596,242,100,99,0,48273,42931,2286,759,624,1447,71,48273,42931,2286,512,400,196,29,161,1758,46518,43195,1599,882,380,367,10,0,0,0,0,0,47794,43921,1858,889,464,596,40,616,362,125,40,49782,45141,2339,1169,617,520,26,959,452,72,26,20985,4142,16503,19899,3059,16840,22931,3249,18858,22050,2896,17779,21990,3302,18416,21605,3467,18138,21324,3282,18042,24643,3721,20377,30267,5060,24784,29975,4725,24356,29825,4675,24488,26756,4562,22194,26759,4638,22121,26494,4109,21837,25367,4358,20256,25511,3508,21734,25334,3800,21069,25348,3805,20956,25215,3418,20555,25268,3964,21304,28806,4630,23711,36591,6438,29935,35761,5758,30003
