ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_SEN_SPEC_Total,E_20_SEN_SPEC_Dem,E_20_SEN_SPEC_Rep,E_21_SEN_ROFF_Total,E_21_SEN_ROFF_Dem,E_21_SEN_ROFF_Rep,E_21_SEN_SPECROFF_Total,E_21_SEN_SPECROFF_Dem,E_21_SEN_SPECROFF_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,166424,107344,10647,43335,5194,1707,846,0,0,178571,109647,15122,47686,6263,2133,938,0,0,191402,112744,16810,51779,7589,4314,1169,182728,109891,16807,48650,7158,2364,1151,41989,4119,654,381,1017,7868,193998,113155,16987,54623,7896,2820,1192,122921,83513,6569,28965,3508,1124,457,0,0,129260,84559,8285,31632,3196,1174,161,30475,2617,525,442,0,145428,90150,10973,36468,5390,3150,735,145428,90150,10973,33164,4086,403,399,577,5676,132752,85718,9153,32388,3936,1280,110,0,0,0,0,0,141801,89900,9803,36356,4107,1450,82,34717,3231,260,82,144971,90094,10776,37506,4561,1243,284,35466,3816,152,284,64029,25361,38127,65142,25307,39835,68710,26451,40049,65657,21621,41561,65812,27123,38013,64615,26704,37911,63376,26136,37240,73204,29295,42592,88062,37645,49119,87135,36216,48908,86538,35880,48546,79003,34060,44943,78987,34210,44777,75835,30919,43599,70737,30380,38953,71059,27202,43308,70428,27837,41469,70331,27415,41305,70355,25194,43153,70617,29032,41585,80500,33366,46054,96081,40983,54540,94568,35882,58686
2,2,173131,63869,10064,95028,4481,1413,405,0,0,184095,67270,12006,99148,5788,1897,382,0,0,190408,69315,15917,95717,8093,3230,581,184886,67053,11279,101148,5929,1524,401,96745,4901,273,154,361,4121,190683,69875,13675,100991,6813,1711,331,133404,55204,7110,67445,3539,1078,259,0,0,138324,56820,5879,72185,2159,854,42,71023,1872,302,500,0,150843,60650,11281,70688,6707,2430,398,150843,60650,11281,67595,5690,329,221,630,4447,138974,56323,5944,73440,1896,868,42,0,0,0,0,0,143922,59116,6862,73651,2748,795,38,72471,2220,141,38,143947,59701,7907,72224,2756,921,85,70485,2110,83,85,68693,49270,18832,63776,46317,17459,65236,46071,17164,61530,39072,19927,60231,44466,15188,58827,43099,15728,56942,41745,15197,66006,46895,17972,76434,55004,20300,75444,53571,19960,75245,53622,19748,68914,51133,17781,68950,51259,17691,65149,46729,17339,58595,43253,14453,58697,41666,16634,58001,41169,15803,57791,40758,15580,57945,39154,17468,58185,42148,16037,67779,48625,18270,80397,57116,22649,78723,52013,26710
3,3,185712,127340,8892,45907,2695,1912,392,0,0,193466,130489,10951,47846,4129,1911,290,0,0,191212,126645,13033,44238,3740,4387,528,195473,131124,11016,49015,4583,2102,287,44258,2843,722,169,230,5114,191777,127786,12225,47200,4346,2025,433,139545,99475,5686,31796,1826,1340,238,0,0,144857,104148,4536,33087,1956,1119,123,32314,1741,579,133,0,148915,102574,9186,31545,2691,3274,345,148915,102574,9186,29495,1889,400,119,507,4745,147355,105590,4601,33889,1783,1392,105,0,0,0,0,0,146303,103934,5639,32956,1944,1336,144,32198,1377,321,144,149382,104705,7584,32725,2124,1623,25,31363,1417,250,25,70777,26143,43723,69801,24802,44999,72538,22862,47907,66826,18949,45039,67184,21888,44736,65814,21565,44249,64249,20810,43439,74372,23725,49448,88609,29725,57733,87370,27977,57102,85671,27213,55836,77131,26087,51044,77103,26051,51052,74990,23594,50201,67884,21722,44872,68153,19920,47686,67572,20213,46368,67426,19938,46209,67230,18199,46902,67597,20542,47055,78959,24972,52991,94970,30443,64072,92543,26801,65742
4,4,163724,114549,7762,37790,3032,1246,287,0,0,182331,122146,9949,45464,3742,1661,555,0,0,191098,123220,12405,47061,4972,4014,373,183860,122720,10224,46169,3716,1881,597,42150,2120,261,390,564,5432,188978,123874,11188,48350,4053,3042,839,123944,89207,4961,27019,2205,908,190,0,0,135436,96310,3884,32850,1329,898,95,31968,972,330,259,0,146443,97792,8088,34217,3578,2960,260,146443,97792,8088,32193,2789,358,107,476,4640,136564,97840,3466,32697,1332,1099,115,0,0,0,0,0,141207,99438,4626,33836,1478,1509,190,32292,1089,209,190,147828,101175,5770,36944,2160,1516,135,35194,1747,265,135,59142,19353,38998,58761,19512,39249,64756,19608,43177,61814,16310,43139,61893,19257,42057,60573,19020,41553,59267,18335,40932,68416,21123,46122,81985,26999,53786,81163,26278,52947,80478,25807,52650,71882,24277,47605,71869,24282,47587,69962,21817,46958,64630,20968,42371,64906,18743,45661,64301,19057,44286,64124,18728,44096,64097,17499,44734,64396,19387,45009,74410,23502,49951,90023,28965,60631,88176,26194,61982
5,5,169283,30400,72764,50673,17912,2738,405,0,0,185482,29083,82755,55196,22084,2167,375,0,0,191921,25625,87276,57719,22913,5808,365,189636,33408,80084,58641,21979,2693,403,51390,20290,101,0,576,3785,187197,32158,77199,59465,22754,3185,630,117653,25442,46333,33675,13509,1705,248,0,0,87015,23211,17307,33358,12008,584,50,32719,11681,243,658,0,139394,21872,58087,41736,18364,4052,253,139394,21872,58087,37933,17303,196,62,760,3181,94522,25054,20809,35424,11896,397,0,0,0,0,0,0,96928,24500,21371,36492,13331,551,303,35818,12898,163,303,94749,22293,23585,34471,13156,793,96,33331,12620,161,96,36548,24781,11455,37584,26553,11031,41974,30368,10224,39153,26226,11020,40048,30762,8869,39297,30049,9248,37895,29012,8883,44360,32317,11129,53358,38736,13986,52800,37779,13473,51545,37320,12762,45848,35294,10554,45841,35422,10419,41116,29524,10781,32986,24093,8192,33123,23096,9740,32849,23087,9115,32748,22944,8924,32791,22393,9634,32666,23522,9144,42642,30062,11875,50906,33592,16671,49499,33179,16320
6,6,171127,128605,9946,28938,2949,1474,226,0,0,187347,136354,11764,34122,4258,1794,414,0,0,191052,134471,12999,34781,5036,4284,233,191366,138905,11861,35036,4751,1730,475,31855,3155,523,40,612,4415,191429,136759,12735,35676,4712,1947,401,126248,97108,6495,20125,1893,1058,141,0,0,137336,104945,5613,23870,1685,964,45,23273,1458,399,272,0,146190,105731,8705,25263,3510,3215,163,146190,105731,8705,23502,2785,304,64,463,4636,140682,107976,5665,23480,2081,1054,34,0,0,0,0,0,142650,107780,6707,24508,2242,1168,4,23598,1654,108,4,148101,110125,7436,26064,2620,1581,0,24729,1891,39,0,74857,21490,52517,71483,19164,52319,78969,20298,55970,75690,17328,54779,74841,20201,53802,73595,20247,53348,72323,19478,52845,82849,22190,59063,98239,28502,68401,97391,26993,68019,96724,27496,67208,86110,25310,60800,86096,25721,60375,86196,23457,61115,81098,23413,55591,81566,20600,60323,80971,21183,58459,80864,21112,57981,80758,19567,58484,80672,20604,60068,91460,25544,64616,109860,32433,76720,108165,30629,77536
7,7,162976,77050,24836,29868,32004,1546,242,0,0,183306,71183,31434,42216,39236,1786,222,0,0,189709,66571,35227,43563,43950,3444,378,182424,68254,32584,43987,38976,1851,285,37582,36508,177,0,711,6606,187876,67687,33662,46779,40672,2264,212,118843,59862,15978,19683,23582,966,160,0,0,111159,56086,9298,26203,18661,623,4,25791,18032,244,411,0,147425,55780,24417,31601,34816,2538,258,147425,55780,24417,28500,33287,234,71,813,4323,110337,53615,10462,26707,18504,812,0,0,0,0,0,0,119382,55334,13507,28279,20979,705,0,27307,20323,115,0,123741,54563,14753,29303,23678,748,17,28035,22865,114,17,61985,25986,35385,60701,25766,34935,67362,33540,30825,64639,27744,33518,64833,35915,27980,63869,34958,28911,62699,34441,28258,72032,38254,32028,86230,49721,35203,85699,47709,35724,83562,46765,34563,77140,45115,32025,77103,45560,31543,70571,38611,30338,61514,35427,24417,61824,32536,28755,61370,32924,27254,61295,32894,26638,61353,30959,28633,61186,33790,27396,73803,41169,31301,86306,48690,36410,84572,46168,38404
8,8,182930,113712,10955,54719,2837,1766,359,0,0,189698,113951,12750,59012,3418,1909,440,0,0,192396,110418,14000,61785,3564,3563,480,190622,113426,13373,59494,3655,2307,393,56962,2101,752,79,210,3716,192374,112700,13709,60994,4183,2417,329,136954,88902,6860,38492,2007,1262,247,0,0,140838,89527,5890,42541,1546,1047,59,41889,1131,629,339,0,145144,87232,9019,44098,2525,2618,340,145144,87232,9019,42123,1843,428,112,391,3996,141215,89390,6526,42362,1397,1274,65,0,0,0,0,0,141597,89200,6582,42806,1642,1198,80,42009,1223,410,80,141937,88535,6643,43650,1753,1240,47,42560,1312,224,47,64934,24364,39580,63036,23797,39239,62828,20521,40966,58155,17581,38439,59259,19807,39112,58022,19408,38614,56356,18523,37833,64698,21356,42554,76702,26721,49185,75665,25232,48852,74401,24742,47874,65940,23124,42816,65953,23134,42819,64590,20824,42953,58361,18523,38973,58604,17629,40589,58048,17549,39763,57931,17411,39632,57699,16221,39801,58002,17363,40639,67468,21783,45012,78958,25645,53002,76591,22856,53735
9,9,161850,77109,26421,39435,19498,1750,268,0,0,182768,69658,33931,55279,24230,1539,412,0,0,192915,61816,40681,61009,29251,4258,280,187580,66185,36152,59702,26733,2091,136,54492,24406,172,2,746,5418,197258,61647,42236,66195,28055,2700,259,115312,60277,16308,25223,13651,1081,173,0,0,112501,54431,10530,33923,12681,784,104,33147,12227,183,321,0,142054,50868,26669,41948,21922,2942,189,142054,50868,26669,38683,20720,249,57,833,3975,115051,51815,11685,37379,13196,754,4,0,0,0,0,0,121109,48523,14957,42212,14307,562,0,40595,13794,168,0,122893,45475,16557,43557,16132,806,43,41960,15391,114,43,65183,26955,37634,65239,28147,37092,71339,36248,32429,68291,30737,34274,68705,38852,29031,67625,38101,29524,66063,37122,28941,75345,41268,32431,88472,52691,34614,87910,50997,34679,86174,50294,33748,79918,49214,30704,79872,49639,30233,73364,42051,29834,64280,39067,23662,64621,36566,27561,64152,36864,26229,64047,36769,25643,64115,35061,27510,63947,37911,26036,76493,44939,30276,89716,53403,34921,88062,53104,34958
