ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,24559,6316,2748,330,13801,897,7450,0,0,23549,5539,3202,447,12958,1021,7931,0,0,25246,6597,2705,474,13101,957,8251,24630,5879,3418,527,13151,1022,8856,88,6153,24,2249,6809,25127,6343,3382,638,12632,1427,9219,19198,5659,1690,156,10198,414,4544,0,0,17837,5012,2027,138,5952,221,1308,105,5066,16,1308,3193,0,20059,5977,1757,308,10004,615,5337,20059,5977,1757,123,5813,49,1803,4437,17859,5302,2057,132,5637,219,1360,0,0,0,0,18630,5685,2157,190,5468,296,1808,120,4550,29,1808,19001,5414,1705,252,6047,233,1523,123,5039,23,1523,10055,7944,1933,8785,7114,1671,9083,6153,2087,8836,7013,1421,8264,6452,1812,8295,5657,2325,9048,6554,2165,11721,8354,3100,9223,6676,2370,8783,6839,1689,8889,6131,2758,8614,5970,2423,9572,6872,2592,10958,7398,3272
2,2,25003,3777,2523,380,16040,777,8668,0,0,25647,4420,2570,505,16388,675,8066,0,0,25215,3765,2847,425,16053,936,8987,24617,3905,3065,558,16210,726,8312,181,9555,2,1410,6449,25410,3656,3421,415,17285,749,9296,19832,3478,1572,209,12322,392,5502,0,0,19364,3792,1436,257,9038,220,1189,198,8276,28,1189,3474,0,20288,3486,1820,260,12813,609,6027,20288,3486,1820,103,8107,30,2082,4606,18778,3484,1483,222,8680,195,1076,0,0,0,0,19360,3359,1812,128,8950,181,1270,93,8260,7,1270,20496,3109,1900,105,10528,105,1751,89,9590,16,1751,9896,7948,1822,8321,6883,1438,9570,6734,2056,9367,7731,1285,8633,6954,1679,8661,6239,2143,9479,7117,2053,12111,8801,3063,9796,7233,2376,9450,7646,1593,9572,6640,2932,9297,6867,2264,10097,7407,2602,11401,7803,3381
3,3,22665,5058,2931,498,11089,1145,9678,0,0,24337,5010,4240,515,10842,1105,12199,0,0,25170,6039,3061,548,10951,1116,11392,25273,5113,4279,456,11344,1175,11966,197,4836,67,4348,6433,26148,5394,4171,679,11874,1430,12406,17131,4500,1753,272,7856,598,6060,0,0,17959,4313,2296,135,3856,158,3204,71,3406,83,3204,4031,0,19495,5411,1942,364,8113,752,7610,19495,5411,1942,139,3985,53,3250,4609,18905,4560,2370,251,4352,221,3325,0,0,0,0,19357,4689,2243,337,4610,276,3353,273,3818,97,3353,20472,5485,1878,439,4760,268,3752,387,3755,71,3752,7566,6056,1347,6184,5085,1099,7266,4819,1652,7045,5546,1105,6275,4915,1360,6303,4113,1922,7218,5079,1816,10168,6997,2899,7459,5124,2157,7019,5166,1551,7111,4423,2688,6884,4308,2339,7837,5288,2449,9429,5771,3423
4,4,22165,8255,3045,506,8232,1188,7342,0,0,22021,8705,2822,425,6451,947,6092,0,0,25080,9210,3335,643,8670,1364,8235,21751,8464,2625,383,6670,814,6181,28,3721,60,2353,4388,22988,7352,3982,555,8540,697,7768,16635,7340,1743,278,5361,639,4131,0,0,16720,7635,1755,105,3299,364,1818,40,2688,44,1818,1736,0,19540,8263,2061,401,6185,940,5137,19540,8263,2061,158,3005,123,2023,3757,16665,7400,1700,93,3427,313,1982,0,0,0,0,17001,6410,2086,167,3741,209,1777,139,3153,40,1777,18560,8047,1805,198,3262,87,1932,169,2498,32,1932,7301,5594,1460,6414,5037,1377,7192,4416,1970,6947,5129,1341,6116,4525,1591,6182,3929,1948,7020,4717,1958,9732,6351,3114,7332,4960,2194,6979,5053,1670,7162,4762,2400,6882,4435,2197,7784,5252,2432,9831,6195,3385
5,5,24229,8263,2945,406,9742,1120,8578,0,0,26713,7883,4853,462,10055,1561,10122,0,0,25515,9288,2900,606,8656,1266,8980,26622,7845,5022,777,10382,1422,10103,233,3488,19,3058,6808,24625,7626,4181,1060,10163,1526,9288,18594,7433,1709,211,6663,642,5203,0,0,18272,6809,2317,236,3377,406,1752,156,2649,47,1752,3388,0,20283,8405,1858,428,6354,932,5927,20283,8405,1858,171,3065,98,2522,4036,18921,6888,2724,326,3484,359,1667,0,0,0,0,18652,6997,2513,343,3223,245,1869,181,2622,15,1869,18753,7203,2396,387,3143,355,1330,258,2455,166,1330,8153,6305,1597,10227,8047,2180,7628,4892,1979,7378,5482,1425,7253,5464,1789,7290,4868,2084,7843,5421,2088,10591,7062,3236,7969,5483,2313,7444,5335,1840,7562,5041,2521,7331,4730,2359,8396,5712,2588,10162,6335,3576
6,6,23699,10660,2573,357,7720,737,5559,0,0,27821,12310,2444,704,9988,754,5490,0,0,24957,11620,2372,445,7643,855,5429,28549,13463,2913,618,10111,810,4279,232,6488,8,1297,4093,28070,13790,2828,707,9005,977,4037,19059,9628,1678,204,5583,445,3557,0,0,20319,10684,1551,374,4388,166,1256,374,3752,79,1256,1903,0,20489,10521,1614,302,5794,636,3563,20489,10521,1614,130,3597,91,1594,2835,20101,11571,1367,255,4388,80,828,0,0,0,0,20026,12025,1249,385,3932,180,813,341,3507,24,813,19915,11696,1073,176,3791,293,835,111,3250,4,835,8956,6062,2746,7868,5127,2741,8590,4978,2922,8341,5485,2415,7645,5177,2468,7643,4857,2455,8571,5432,2796,11634,7252,4108,8868,5670,2999,8427,5646,2514,8504,5492,3012,8282,5049,3014,9287,5958,3216,11125,6682,4198
7,7,19383,7350,2138,260,6749,640,6834,0,0,24022,8413,2731,158,8605,929,8323,0,0,24321,9464,2421,417,7694,838,8211,25203,8002,2478,130,9656,860,9407,65,4688,18,4306,5603,24966,8498,2426,245,8341,608,8962,14873,6507,1347,155,4583,377,4261,0,0,17645,7518,1200,83,3605,191,2404,73,3265,15,2404,2635,0,19026,8362,1611,289,5569,602,5381,19026,8362,1611,99,2824,56,2547,3427,18005,7188,1129,50,4180,232,2635,0,0,0,0,17687,7646,921,138,3711,312,2688,135,3215,21,2688,17683,7920,1018,293,3317,205,3024,200,2701,10,3024,6558,4527,1905,6087,4073,2014,6982,3865,2508,6764,4514,1900,6208,4097,2111,6218,3688,2277,7112,4332,2496,10285,6116,3887,7308,4438,2695,6794,4394,2206,6820,4088,2732,6650,3770,2682,7706,4676,2931,9352,5245,3943
8,8,23376,8152,2480,238,9571,706,8378,0,0,25349,8167,2524,618,11148,826,8211,0,0,25125,8705,2634,430,9777,1042,8963,24705,7423,2779,649,10813,775,8397,190,5212,2,3120,5939,24829,7104,3152,621,10929,975,9283,17477,7045,1507,137,6435,355,5160,0,0,16444,6837,1232,159,3321,182,1814,135,2788,7,1814,2895,0,19531,7702,1708,247,6968,670,5934,19531,7702,1708,75,3347,67,2409,4147,16616,6477,1510,260,3542,198,1877,0,0,0,0,17067,6009,1982,229,3456,297,2205,178,2889,7,2205,17556,6260,1704,241,3513,266,1972,144,2835,0,1972,8686,6472,2063,7954,5820,2134,8556,5402,2327,8337,6103,1874,7985,5764,2221,8025,4950,2799,8729,5819,2589,11572,7798,3490,8863,6024,2636,8338,6017,2093,8402,5575,2827,8104,5176,2703,9199,6242,2843,10565,6734,3570
9,9,26351,2407,2443,299,19241,459,7071,0,0,31312,2925,3154,611,21999,238,8203,0,0,28196,2765,2395,345,19435,569,8269,29691,3119,3161,339,21344,342,7832,215,15539,23,3402,4232,27053,2900,2452,538,19079,399,6289,19788,2192,1509,166,14238,230,4372,0,0,19868,2639,1337,295,11011,97,1908,226,10506,31,1908,2569,0,21495,2458,1520,204,14973,388,5321,21495,2458,1520,100,11704,38,2532,3081,18536,2610,1592,214,10119,114,1674,0,0,0,0,17621,2636,1606,333,9658,88,1224,265,8968,21,1224,18529,2822,1212,287,10477,80,1144,245,9784,14,1144,6343,5116,1144,6583,5447,1136,6578,4683,1438,6422,5202,949,6384,5200,1184,6413,4489,1627,6884,4989,1644,9096,5872,3076,6975,4992,1849,6542,5156,1100,6643,4504,2139,6400,4064,2175,7188,4994,2117,7890,4720,3032
