ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,50029,8489,5190,748,30145,1665,18530,0,0,51250,8935,6107,981,30347,1631,19684,0,0,50485,8245,5679,845,29593,1811,20320,51520,8596,6682,1154,30727,1781,20582,329,16108,29,4943,14774,53770,8893,7037,1337,31848,2116,22475,39517,7807,3204,404,22950,798,11822,0,0,38839,7881,3408,405,15001,377,3818,287,13564,68,3818,8021,0,40042,7574,3623,535,23176,1171,13638,40042,7574,3623,220,13719,59,5161,9552,38551,7534,3535,456,14694,431,3686,0,0,0,0,40361,7823,3954,479,15118,333,4598,351,13599,24,4598,42782,7744,3792,583,17290,209,5370,439,15289,22,5370,19605,15730,3613,16499,13514,2985,18682,12951,4135,18232,14862,2616,16880,13449,3431,16935,11863,4497,18546,13698,4218,23879,17195,6187,18905,13743,4787,17932,14265,3181,18177,12297,5880,17615,12489,4747,19456,14047,5221,21979,14807,6708
2,2,44136,14717,6340,1010,18173,2451,15466,0,0,45414,15381,7172,796,15203,2116,15911,0,0,50344,17232,6720,1295,18295,2782,17886,45541,14841,7229,763,16318,2152,15886,148,7266,123,5781,10041,46245,13653,8078,998,18460,2357,17354,32967,13024,3660,536,12002,1330,8966,0,0,33885,13439,4338,208,6529,597,4098,104,5283,114,4098,4693,0,39284,15394,4238,856,13186,1924,11427,39284,15394,4238,316,6274,209,4519,8042,34303,13146,4423,221,6995,607,4253,0,0,0,0,34258,11919,4542,300,7403,584,3899,243,5856,124,3899,37005,14246,3986,487,7057,368,3932,340,5227,109,3932,14277,11036,2798,14618,11681,2937,13989,8746,3622,13505,10074,2514,12207,9165,3042,12317,7902,3817,13935,9462,3780,19523,12940,5998,14450,9771,4313,13645,9782,3308,13956,9061,4895,13455,8536,4421,15366,10301,4857,19236,11958,6785
3,3,46669,18616,5092,699,16110,1630,13987,0,0,55274,19858,7225,1116,20946,2171,15666,0,0,49943,20343,4889,922,15843,1787,14653,57719,21695,7756,1200,21260,2053,15143,443,11396,27,6137,10062,54880,22074,7061,1591,19112,2196,14253,36665,16829,3210,395,11343,966,8690,0,0,38399,17178,3578,583,8360,465,3338,508,7126,120,3338,4904,0,39922,18423,3183,627,11777,1325,9488,39922,18423,3183,265,6823,164,4476,6383,39841,18899,3766,554,8759,383,3232,0,0,0,0,39010,19789,3296,713,7381,399,3175,509,6545,49,3175,38266,18942,3017,455,6994,687,3004,332,5879,168,3004,16468,11713,4404,15630,10847,4783,16009,9495,5147,15511,10602,4050,14513,10101,4412,14529,9336,4541,16131,10435,5039,22120,13881,7686,16466,10695,5407,15381,10523,4366,15513,10067,5446,15087,9293,5360,17208,11151,5849,20520,12248,7809
4,4,44245,16009,4761,518,18516,1464,14504,0,0,47521,16273,4882,941,19939,1900,15173,0,0,49857,18868,4987,926,18814,1994,15589,46570,14962,4912,981,20032,1618,15890,294,9371,21,5280,11645,47268,15143,5367,994,19349,1720,16177,33650,13930,2925,287,12706,768,8940,0,0,33437,14102,2490,291,6946,469,3491,253,5917,17,3491,5637,0,39463,16736,3327,581,13661,1336,10363,39463,16736,3327,197,6927,135,4074,7877,33155,13291,2616,358,7242,396,3579,0,0,0,0,34151,13289,3171,425,7189,680,4111,357,6014,43,4111,34383,14202,2684,566,7020,548,3813,370,5728,23,3813,16821,12429,4058,15093,11144,3949,16187,10067,4597,15767,11465,3586,14779,10633,4146,14836,9200,5098,16408,10876,4924,22292,14715,7026,16997,11399,5233,16276,11526,4301,16376,10727,5649,15887,9987,5453,17848,11908,5726,21088,13150,7446
5,5,50202,6278,4920,635,33200,1056,16358,0,0,57060,7753,6500,1009,36278,661,17217,0,0,55218,7567,5268,780,34725,1481,18544,57798,7600,6464,1158,37581,1070,17937,467,24743,66,7324,11131,54517,7109,5307,1485,35616,1043,16354,37712,5658,2986,342,24321,530,10216,0,0,38465,6911,3273,462,17850,296,4010,325,16620,55,4010,5672,0,42618,6775,3372,506,26703,949,12168,42618,6775,3372,237,19122,76,5295,7624,38529,6543,3446,560,18382,240,4209,0,0,0,0,36896,6184,3199,665,17728,138,3796,540,16535,77,3796,38428,6598,2624,650,18488,67,4163,533,17135,23,4163,14614,11592,2800,14120,11393,2727,15297,10445,3608,14901,11781,2485,14877,11814,3063,14897,9925,4309,16036,11312,4128,21421,14033,6986,16765,11763,4653,16179,12503,3029,16486,10897,5589,15776,10050,5336,17420,11999,5231,19285,11863,7089
6,6,53171,23596,5566,924,19296,1245,8803,0,0,57102,22711,7038,1039,23078,2315,10799,0,0,54924,24010,6092,1127,19239,1812,8880,57041,23584,7408,1084,22542,2018,10247,355,13529,34,3433,8535,56750,22585,8094,1104,22644,1556,10887,41901,20888,3623,603,13731,789,5401,0,0,39663,19451,3090,438,10602,400,1974,274,9445,68,1974,3767,0,44271,21352,4228,805,14444,1286,5758,44271,21352,4228,430,10389,125,2452,5052,39841,20508,3523,442,9837,409,1714,0,0,0,0,40983,19726,4701,460,9743,412,1672,340,8465,37,1672,39303,19470,3835,471,9479,422,1365,357,8303,21,1365,16685,11764,4612,15451,10527,4924,16752,10073,5217,15875,10800,4182,15522,11189,4333,15565,9743,4938,17143,11096,5278,23694,15106,8057,17094,11212,5495,15446,10643,4237,15675,10129,5546,15072,9150,5484,17624,11517,5896,19982,11988,7598
7,7,51551,19343,5225,717,20332,1601,17157,0,0,51883,19733,5276,1074,17883,1058,14450,0,0,54694,20376,5572,1031,19183,1962,18386,52254,18290,5512,1107,19046,1217,17012,163,9113,234,7408,11102,53548,18562,6185,694,20030,1544,18057,39496,16800,3224,359,13985,872,10683,0,0,38822,16708,3328,278,8810,390,4879,115,7384,125,4879,4440,0,42922,17803,3709,722,14073,1361,12168,42922,17803,3709,221,6975,131,5333,8454,39705,15793,3402,267,8604,420,5416,0,0,0,0,40016,15954,3628,194,8512,517,5089,83,6994,147,5089,41054,15958,3743,196,7939,520,5551,68,6379,132,5551,20610,16442,3752,18083,14146,3937,19896,12962,4621,19139,14633,3536,18735,14750,3985,18851,12474,5455,20203,14229,5025,25929,18166,7083,20421,14369,5456,19218,14500,3960,19518,12976,6542,18589,11906,6097,21048,14717,6021,23626,15054,7934
8,8,67091,20611,6315,789,34270,1876,17374,0,0,71769,21189,7933,1146,36784,1677,17988,0,0,73298,22194,7394,1123,36267,2482,19956,71949,21036,8181,1128,36724,1728,18295,327,22283,224,5835,13960,73511,21242,8501,1097,37759,2230,21052,51868,17967,4008,424,24947,1046,10698,0,0,51125,17995,4438,367,17607,485,3852,254,15835,165,3852,6385,0,57544,19432,4858,748,27172,1644,12893,57544,19432,4858,300,17585,126,4857,10149,51735,18035,4456,399,18276,454,3968,0,0,0,0,52965,18415,4759,489,17191,501,4432,350,14975,54,4432,53804,18360,4554,690,17906,523,4839,479,16099,45,4839,27287,20452,6251,24748,18625,6123,26335,16456,7574,24976,19015,4745,24630,18510,6120,24833,15868,8135,26483,17818,7704,33497,21225,11582,25902,16960,8394,23449,16974,5711,24018,14296,9722,22558,14547,7549,26548,17158,9115,30064,17675,11803
9,9,52721,12876,2193,566,35363,801,6955,0,0,49475,12055,1706,1201,33537,536,6796,0,0,53830,12104,2808,858,36456,1123,7631,50452,11452,1961,857,34775,540,7583,241,25086,61,1828,9781,51660,11275,2322,1210,35725,588,7184,43552,11658,1465,351,28204,425,4768,0,0,39067,10092,1139,453,22502,167,1178,342,20553,25,1178,3542,0,44639,10947,1989,588,29563,768,5363,44639,10947,1989,239,23362,17,1257,6640,39759,9685,1390,303,22758,188,1625,0,0,0,0,40721,9448,1779,728,23472,155,1480,507,21103,47,1480,41510,9636,1721,675,23604,135,1801,554,21579,42,1801,26100,17949,7793,25026,16703,8323,23973,15268,7202,23391,17076,5676,21412,14800,6612,21615,14102,6868,23588,15961,6991,29594,20391,8757,23533,16102,7080,22012,16324,5325,22250,14937,7313,21677,16576,5101,23992,16563,7255,26690,17999,8197
