ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,32579,19695,8177,2110,1398,1857,107,0,0,31656,17477,8525,2634,1783,1837,289,0,0,32022,16135,9553,2859,1735,2128,386,31314,17183,8511,2450,1945,1717,247,1556,1545,1068,164,5,1280,32176,17059,9837,2146,2121,1772,279,23059,15551,4596,1152,939,1060,65,0,0,20234,13768,3323,1316,949,790,62,1189,881,710,69,0,22990,13081,5792,1627,1328,1236,227,22990,13081,5792,1291,1197,652,200,60,717,20200,13622,3413,1190,1146,816,45,0,0,0,0,0,20769,13734,4286,896,1046,683,0,633,845,545,0,20554,13431,4455,1227,901,347,149,975,770,249,149,11418,6977,4202,10863,7095,3768,10360,5187,4456,10149,4553,5065,8024,4348,3473,7053,5509,0,7841,4854,2760,7875,4421,3242,7809,4717,2887,9556,4923,4266,10450,5546,4692,10172,5499,4211,9229,4458,4603
2,2,30028,23523,4023,1000,942,781,56,0,0,30801,21934,5649,1864,1282,721,64,0,0,31969,21442,5690,2682,1075,1184,147,31165,21418,6235,2378,828,719,146,1344,606,337,122,40,1065,32570,21653,6148,2662,787,930,559,22359,18527,2258,560,637,462,27,0,0,22101,17657,2740,566,752,392,48,498,742,305,33,0,23895,17231,3472,1605,762,787,79,23895,17231,3472,1366,678,381,67,131,569,21340,17058,2520,741,383,369,49,0,0,0,0,0,22293,17535,2285,1017,330,545,449,817,282,451,449,22278,17680,2243,1138,362,625,87,882,299,465,87,13375,6342,6802,13256,6599,6657,13074,5009,7201,12866,4269,8021,10712,4679,5807,9070,6800,0,10426,5462,4690,10458,4560,5661,10388,5277,4851,12338,5017,6888,13487,5837,7366,13246,5825,6936,12524,4974,7305
3,3,30952,28430,1889,243,269,192,15,0,0,31309,28045,2487,352,321,172,86,0,0,31928,27503,2977,640,313,436,115,31228,27540,2651,523,312,214,31,340,233,100,10,38,302,31632,27773,2644,654,198,389,112,22965,21576,1045,105,157,109,6,0,0,22303,21183,748,149,107,80,8,71,107,80,8,0,23649,21039,1764,335,195,273,71,23649,21039,1764,241,143,62,55,29,316,22213,20971,800,181,158,138,5,0,0,0,0,0,22435,21026,774,354,158,166,2,288,49,83,2,22539,20608,1211,398,147,181,0,345,40,77,0,15254,4636,10295,15333,4123,11210,15901,3153,11782,15599,2411,12809,12993,2747,10044,9328,6651,0,12565,3635,8691,12599,2680,9712,12464,3448,8793,15153,3078,11725,17031,3944,12782,16854,3926,12578,16723,3438,12990
4,4,29560,27196,1950,149,214,107,18,0,0,30241,27230,2394,184,257,341,81,0,0,31733,27324,3557,266,241,297,52,30479,27516,2376,205,209,322,93,96,140,17,39,28,281,31593,28022,2849,300,274,224,73,21345,19969,1150,61,136,59,9,0,0,20864,20038,502,69,167,53,17,57,123,22,24,0,22462,20016,1992,93,145,169,39,22462,20016,1992,58,116,31,32,18,199,21097,20150,639,72,120,54,20,0,0,0,0,0,22178,20908,938,96,116,61,2,60,112,12,2,21951,20743,899,118,121,48,4,88,91,12,4,15203,2837,12070,15468,2405,13063,16262,1855,13610,16036,1463,14262,13380,1698,11577,8430,5553,0,12905,1824,10900,13062,1565,11350,12922,2060,10699,15514,1825,13427,17141,2340,14534,16952,2226,14453,17461,2217,15010
5,5,32394,30197,1570,270,251,137,41,0,0,30947,28243,1719,548,350,200,57,0,0,31904,27937,2599,494,300,432,151,30852,27867,1644,592,610,228,17,425,449,17,7,0,440,32045,28179,2194,519,704,203,26,24963,23727,880,136,146,94,16,0,0,23318,22143,628,260,72,169,21,256,56,38,32,0,24547,22158,1562,257,172,269,87,24547,22158,1562,199,129,51,78,36,334,23008,21883,631,260,84,175,8,0,0,0,0,0,23679,22283,822,255,179,110,0,247,131,32,0,23020,21484,799,296,233,174,9,286,175,81,9,16579,6160,9923,16036,5327,10709,16420,3495,12093,16190,2805,12946,13062,3498,9340,10000,7497,0,12620,4149,8245,12655,3014,9430,12551,4243,8078,15481,3551,11586,16923,4046,12641,16661,4257,11978,16485,3482,12772
6,6,31516,24711,4682,696,1299,170,118,0,0,30897,22504,5042,796,2207,86,318,0,0,31878,21940,6011,816,2130,470,579,30944,22198,5362,794,2120,95,347,409,2019,18,332,49,559,31653,22213,5756,883,2077,181,437,23984,19786,2790,390,910,116,81,0,0,20633,17984,1432,433,707,78,35,316,692,10,5,0,24036,17625,3854,487,1413,308,357,24036,17625,3854,409,1336,45,336,56,375,20860,17902,1798,420,621,81,55,0,0,0,0,0,21624,18007,2286,291,758,109,208,206,731,42,208,21113,17437,2439,279,660,101,199,237,634,32,199,14261,6797,7125,13884,5998,7886,14091,4435,8804,13772,3729,9533,11257,4344,6684,9098,7251,0,10916,4843,5830,10909,3707,6976,10897,5127,5514,13165,4482,8326,14281,4871,9133,14052,5059,8542,13374,4163,9001
7,7,32685,31754,512,206,105,131,30,0,0,31523,29732,836,479,241,204,76,0,0,31944,29589,1096,522,206,441,73,31355,29502,870,576,203,184,47,305,147,32,32,3,458,31941,29716,1035,533,220,226,127,25451,24965,265,77,58,85,17,0,0,24249,23345,314,253,159,178,0,195,134,59,23,0,24778,23289,659,329,109,299,38,24778,23289,659,229,66,46,18,51,420,24125,23194,328,346,115,137,0,0,0,0,0,0,24543,23593,380,340,99,141,0,141,82,29,0,24225,23027,476,375,88,239,0,195,65,19,0,17462,7628,9116,17097,7105,9992,17074,4344,11834,16884,3569,12741,14079,4439,9281,11914,9110,0,13624,5237,8072,13676,3976,9413,13659,6273,7110,16391,4384,11542,17563,4539,12742,17408,4769,12058,17052,4090,12721
8,8,32659,29001,1385,1806,314,230,37,0,0,31366,26914,1760,2098,486,241,5,0,0,31874,26588,1911,2456,423,541,57,31085,26283,1914,2117,496,399,5,1497,472,108,5,71,741,31777,26539,2054,2411,521,465,7,25528,23172,828,1202,209,165,15,0,0,24252,21696,751,1301,329,187,4,1145,328,99,19,0,25319,21762,1177,1657,300,378,49,25319,21762,1177,1407,224,96,16,53,584,23990,21341,818,1279,340,210,4,0,0,0,0,0,24542,21587,1015,1374,319,204,0,1027,240,86,0,24367,21426,1155,1382,192,152,0,1039,139,0,0,15780,8655,6787,15119,8301,6818,14592,5592,8095,14348,4780,8958,11815,5372,6212,10438,8136,0,11476,5794,5376,11509,4998,6212,11516,6514,4762,13700,5509,7791,14875,5866,8772,14704,6050,8140,13835,4964,8664
9,9,33732,31762,1310,298,261,186,19,0,0,32044,29218,1789,620,256,266,11,0,0,31980,28573,2015,598,307,395,44,31741,28791,1867,710,274,161,23,470,213,57,0,41,299,31873,28294,2012,781,440,165,36,26207,25079,729,164,159,108,14,0,0,24771,23305,821,369,132,148,0,316,112,82,12,0,25270,23074,1238,380,210,260,22,25270,23074,1238,277,166,35,8,37,435,24460,22952,793,427,158,101,0,0,0,0,0,0,24731,23035,924,365,248,114,14,322,233,50,14,24314,22710,966,317,152,132,13,247,128,13,13,18739,9597,8588,17420,8099,9321,17414,5374,11022,17325,4573,12077,14264,5246,8703,12284,9286,0,13926,5376,8211,13972,4920,8748,13968,6586,7069,16548,5400,10672,18023,5843,11885,17853,6260,10972,17009,5073,11667
