ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,62607,43218,12200,3110,2340,2638,163,0,0,62457,39411,14174,4498,3065,2558,353,0,0,63991,37577,15243,5541,2810,3312,533,62479,38601,14746,4828,2773,2436,393,2900,2151,1405,286,45,2345,64746,38712,15985,4808,2908,2702,838,45418,34078,6854,1712,1576,1522,92,0,0,42335,31425,6063,1882,1701,1182,110,1687,1623,1015,102,0,46885,30312,9264,3232,2090,2023,306,46885,30312,9264,2657,1875,1033,267,191,1286,41540,30680,5933,1931,1529,1185,94,0,0,0,0,0,43062,31269,6571,1913,1376,1228,449,1450,1127,996,449,42832,31111,6698,2365,1263,972,236,1857,1069,714,236,24793,13319,11004,24119,13694,10425,23434,10196,11657,23015,8822,13086,18736,9027,9280,16123,12309,0,18267,10316,7450,18333,8981,8903,18197,9994,7738,21894,9940,11154,23937,11383,12058,23418,11324,11147,21753,9432,11908
2,2,60512,55626,3839,392,483,299,33,0,0,61550,55275,4881,536,578,513,167,0,0,63661,54827,6534,906,554,733,167,61707,55056,5027,728,521,536,124,436,373,117,49,66,583,63225,55795,5493,954,472,613,185,44310,41545,2195,166,293,168,15,0,0,43167,41221,1250,218,274,133,25,128,230,102,32,0,46111,41055,3756,428,340,442,110,46111,41055,3756,299,259,93,87,47,515,43310,41121,1439,253,278,192,25,0,0,0,0,0,44613,41934,1712,450,274,227,4,348,161,95,4,44490,41351,2110,516,268,229,4,433,131,89,4,30457,7473,22365,30801,6528,24273,32163,5008,25392,31635,3874,27071,26373,4445,21621,17758,12204,0,25470,5459,19591,25661,4245,21062,25386,5508,19492,30667,4903,25152,34172,6284,27316,33806,6152,27031,34184,5655,28000
3,3,63910,54908,6252,966,1550,307,159,0,0,61844,50747,6761,1344,2557,286,375,0,0,63782,49877,8610,1310,2430,902,730,61796,50065,7006,1386,2730,323,364,834,2468,35,339,49,999,63698,50392,7950,1402,2781,384,463,48947,43513,3670,526,1056,210,97,0,0,43951,40127,2060,693,779,247,56,572,748,48,37,0,48583,39783,5416,744,1585,577,444,48583,39783,5416,608,1465,96,414,92,709,43868,39785,2429,680,705,256,63,0,0,0,0,0,45303,40290,3108,546,937,219,208,453,862,74,208,44133,38921,3238,575,893,275,208,523,809,113,208,30840,12957,17048,29920,11325,18595,30511,7930,20897,29962,6534,22479,24319,7842,16024,19098,14748,0,23536,8992,14075,23564,6721,16406,23448,9370,13592,28646,8033,19912,31204,8917,21774,30713,9316,20520,29859,7645,21773
4,4,65344,60755,1897,2012,419,361,67,0,0,62889,56646,2596,2577,727,445,81,0,0,63818,56177,3007,2978,629,982,130,62440,55785,2784,2693,699,583,52,1802,619,140,37,74,1199,63718,56255,3089,2944,741,691,134,50979,48137,1093,1279,267,250,32,0,0,48501,45041,1065,1554,488,365,4,1340,462,158,42,0,50097,45051,1836,1986,409,677,87,50097,45051,1836,1636,290,142,34,104,1004,48115,44535,1146,1625,455,347,4,0,0,0,0,0,49085,45180,1395,1714,418,345,0,1168,322,115,0,48592,44453,1631,1757,280,391,0,1234,204,19,0,33242,16283,15903,32216,15406,16810,31666,9936,19929,31232,8349,21699,25894,9811,15493,22352,17246,0,25100,11031,13448,25185,8974,15625,25175,12787,11872,30091,9893,19333,32438,10405,21514,32112,10819,20198,30887,9054,21385
5,5,65335,62510,1708,455,447,325,34,0,0,63455,59023,2591,1115,572,387,13,0,0,63895,58629,2832,868,552,734,84,63033,58374,2592,1084,620,333,24,661,431,124,0,44,809,63605,57842,2879,1196,862,336,69,51152,49535,965,233,261,195,18,0,0,49213,47100,1135,467,266,271,0,410,210,157,15,0,50559,47233,1697,536,355,491,40,50559,47233,1697,377,265,66,9,73,839,48948,46683,1097,601,282,270,0,0,0,0,0,0,49390,46934,1269,571,343,252,14,495,293,66,14,49316,46762,1314,485,283,439,13,374,211,37,13,36784,18081,17582,35360,15587,19773,35577,10587,23053,35276,8793,25194,29461,10614,18267,24574,18594,0,28718,11321,16787,28772,9812,18414,28708,13064,15079,34150,10802,22469,37508,11860,25094,37225,12644,23477,36355,10451,25374
6,6,65262,59273,4848,543,376,339,39,0,0,63268,55635,5862,905,603,467,92,0,0,63807,54851,6327,1086,650,890,78,62806,54410,5981,1336,669,492,92,841,565,72,23,93,818,63472,54289,6291,1348,653,525,328,49201,45796,2764,257,224,197,33,0,0,45828,43313,1571,391,262,285,23,322,192,131,43,0,48451,43060,3721,598,432,597,39,48451,43060,3721,472,340,72,9,59,718,45882,42640,1862,786,303,313,24,0,0,0,0,0,46799,42776,2566,659,289,282,0,405,258,20,0,46309,42109,2670,646,369,379,17,261,319,13,17,32585,15559,15968,31854,14022,17832,31926,9149,21079,31054,7598,22313,25939,8359,17124,20418,15892,0,24599,9140,14898,24650,7327,16788,24575,11061,12998,30446,8882,20809,33709,10007,23213,33196,10341,21816,32243,8944,22810
7,7,61980,57807,2058,752,675,834,71,0,0,62256,55823,3654,1489,540,872,213,0,0,63700,54897,4091,1872,992,1573,307,62230,55509,3540,1480,831,755,241,948,564,336,127,10,1195,62781,54605,3896,2226,1043,755,107,46621,44352,1110,325,412,449,34,0,0,46694,43467,1804,633,211,518,60,522,150,316,85,0,48219,42781,2509,999,680,999,195,48219,42781,2509,691,527,328,157,100,1126,47054,43636,1820,771,359,481,60,0,0,0,0,0,47012,43263,1852,1138,469,495,20,979,344,189,20,46758,42267,1664,1407,769,727,20,1143,528,356,20,32376,13529,18095,31939,13066,18873,32342,8777,21818,31906,7365,23367,26611,8641,17462,21474,15356,0,25869,11305,13970,25886,8550,16861,25729,10709,14506,30874,8990,21016,34019,10507,22915,33589,10628,21880,33371,9517,23278
8,8,64050,61824,1184,344,323,426,50,0,0,63840,61005,1380,509,530,494,103,0,0,63575,59437,1689,492,458,1017,83,64480,61286,1468,692,551,520,58,250,105,101,19,7,1237,64346,60240,1871,791,684,711,43,48654,47414,636,158,185,275,22,0,0,48352,46872,694,177,249,307,4,161,115,152,44,0,48469,45846,963,204,309,737,51,48469,45846,963,111,177,87,17,102,1166,48653,46800,785,234,399,321,20,0,0,0,0,0,48335,46456,779,281,320,355,8,117,89,58,8,48393,46156,1022,365,289,362,20,106,125,37,20,34378,14376,19098,32798,13001,19797,34842,9669,23063,33922,7944,24195,28727,9496,18590,22984,15335,0,27886,8960,18115,28114,8627,18802,27983,10142,17121,33650,9930,22612,38046,11758,25614,37555,11923,24323,37658,11255,25786
9,9,67099,63822,1701,739,400,483,91,0,0,64080,59842,2280,660,737,693,100,0,0,63507,58590,2033,928,545,1124,144,63711,59222,2370,818,740,696,81,457,476,97,32,32,1028,63542,58596,2164,975,519,1251,89,51756,49809,965,414,240,315,58,0,0,49198,47301,803,366,324,425,30,314,214,127,8,0,49570,46248,1231,636,337,845,82,49570,46248,1231,476,212,131,54,59,1159,49231,46911,1059,476,289,461,29,0,0,0,0,0,49252,46667,1058,417,147,810,29,379,72,192,29,48634,46138,925,597,223,594,41,502,112,64,41,33690,14757,17664,31531,13402,18129,32197,8885,21482,31575,7215,23093,26218,8707,16975,21422,16179,0,25418,8861,15948,25531,7417,17559,25466,10418,14548,30663,8743,21090,33666,9762,23369,33325,9750,22532,32741,9217,23012
