ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,47475,44613,1204,206,461,1050,94,0,0,50032,46180,1866,344,705,1105,242,0,0,53610,47911,2045,335,692,1796,167,51888,47615,2055,304,772,1389,181,139,352,518,114,34,1057,55083,49649,2372,322,972,1545,120,36705,34896,718,91,286,725,55,0,0,38891,36500,1125,77,276,756,60,50,154,339,105,0,42696,38701,1354,191,453,1314,109,42696,38701,1354,84,248,311,43,264,1691,40674,38127,1159,121,360,781,85,0,0,0,0,0,42985,40253,1251,160,417,845,46,137,255,319,46,45518,42525,1293,143,502,903,34,143,255,213,34,22411,8767,12887,20380,7217,13163,23899,6427,15399,23679,6348,16174,20832,7449,12951,20281,6890,13387,20508,7380,13121,24674,7472,16419,30334,9026,20568,30003,8808,20111
2,2,47745,43959,1247,205,335,2116,80,0,0,50827,46169,1784,250,500,2287,234,0,0,52071,45870,1697,310,527,2872,164,50499,45347,2077,321,382,2295,240,201,247,1367,122,145,994,52043,45545,2490,317,421,2789,201,37674,35207,765,84,206,1434,49,0,0,40456,37452,1133,111,131,1484,90,90,75,1041,56,0,41912,37479,1117,194,353,2071,97,41912,37479,1117,63,200,887,27,255,1884,40115,36747,1503,177,114,1444,98,0,0,0,0,0,41790,37806,1793,211,128,1741,78,179,74,846,78,42951,38698,1826,256,149,1836,69,180,99,868,69,22385,7731,13868,20086,6532,13554,22716,4618,16468,22547,4667,16697,19498,5184,13948,19028,4991,14038,19190,5353,13841,22997,5162,17204,27925,5828,21506,27479,5918,20488
3,3,42671,39698,1526,210,546,808,105,0,0,47693,44132,1787,274,755,767,182,0,0,51953,45871,2355,377,928,1719,188,50661,46652,1844,317,696,569,197,240,474,214,109,140,991,54429,48619,2519,328,623,1022,328,31814,30013,897,85,329,532,64,0,0,37271,35038,990,188,444,500,65,151,269,235,39,0,40141,36063,1508,176,592,1250,121,40141,36063,1508,75,310,258,32,196,1699,39857,37638,1015,219,497,413,60,0,0,0,0,0,42289,39500,1311,267,382,641,105,135,249,77,105,44172,41098,1581,251,452,639,11,104,308,61,11,19949,6120,13368,19003,5267,13736,21082,4413,15011,20975,4079,15955,18194,4780,13134,17878,4524,13354,18059,5064,12998,22719,5141,16820,29441,6814,21913,29006,6298,21505
4,4,43161,39399,1820,391,616,1081,153,0,0,48940,43704,2674,479,991,1307,207,0,0,52384,45182,2866,547,1249,1940,274,48115,42261,2584,511,872,1298,130,190,440,644,10,543,1447,50945,43974,2950,748,1177,1326,160,33351,30974,1105,191,381,751,89,0,0,37476,34377,1504,229,327,897,0,80,221,545,167,0,40736,35859,1864,313,841,1348,186,40736,35859,1864,125,451,357,61,245,1774,36644,33866,1108,301,291,891,4,0,0,0,0,0,39340,35727,1562,332,563,1006,10,197,321,369,10,41165,37177,1863,441,624,867,16,304,325,220,16,18976,8374,10134,16445,6871,9574,19680,6498,11279,19572,6204,12546,17044,7105,9636,16671,6737,9942,16894,7473,9421,20649,7519,12386,25842,9503,15600,25476,9040,15342
5,5,40102,36412,1667,318,536,1336,102,0,0,45706,40749,2251,525,934,1610,363,0,0,51943,44593,2993,448,1021,2369,277,48023,41825,2526,587,1150,2119,477,122,273,895,8,45,2325,53147,46134,2514,529,1199,1774,235,29287,27064,950,142,317,875,61,0,0,33051,30088,1307,116,389,933,10,110,334,618,211,0,39199,34484,1854,246,641,1534,160,39199,34484,1854,119,306,516,46,182,1692,34760,31257,1592,78,431,1052,4,0,0,0,0,0,39236,35904,1634,86,559,878,0,55,224,618,0,42539,38254,2432,87,654,1011,0,59,251,596,0,16546,5591,10521,16646,5014,11632,18144,3919,12677,18053,3688,13564,15222,4331,10628,14954,4082,10867,15080,4461,10615,19267,4679,13895,25014,6218,18103,24451,5883,17452
6,6,50547,44516,1702,556,1190,2740,153,0,0,53470,45871,2225,733,1636,3339,147,0,0,53431,44293,2497,741,1720,3761,207,53805,45610,2186,776,1685,3292,195,503,974,2538,50,117,1818,53523,45018,2415,777,1631,2929,273,40624,36282,1200,349,947,1887,104,0,0,41366,36724,1500,396,604,2065,22,277,394,1739,82,0,42577,35981,1850,466,1324,2597,146,42577,35981,1850,264,885,1534,45,185,1833,42235,37318,1483,453,736,2172,30,0,0,0,0,0,42041,37118,1580,546,633,2026,32,460,353,1466,32,43164,37933,1767,512,845,1856,21,384,452,1165,21,24029,11390,11859,21916,10590,11326,24332,9659,11374,24541,9530,14125,21436,10900,10270,20166,9719,10450,21090,10986,10104,24473,10986,12540,28587,13027,14543,28595,13232,14420
7,7,50030,46263,1376,306,534,1710,116,0,0,50598,46061,1960,310,669,1800,54,0,0,52629,46298,2107,504,780,2533,192,51276,46533,2223,178,641,1754,21,71,341,1119,21,42,935,53430,47953,2335,374,737,1915,30,39452,36994,840,153,351,1161,79,0,0,40144,37151,1167,202,382,1202,4,162,213,875,45,0,41903,37490,1396,289,512,1803,116,41903,37490,1396,144,297,783,31,163,1599,40630,37417,1322,87,465,1277,4,0,0,0,0,0,42389,38837,1457,119,463,1438,0,50,261,676,0,43346,39638,1470,175,406,1588,19,56,292,569,19,24094,8152,15173,21468,6768,14700,23046,5141,15788,22983,5106,16663,19342,5742,13194,19177,5274,13903,19072,6050,13023,22829,5579,16473,27008,6396,19923,26724,6165,19445
8,8,48291,40237,4929,1083,1308,996,218,0,0,49003,39987,5572,1212,1366,1318,233,0,0,52297,41107,6178,1288,1492,1873,327,49946,40334,5888,1150,1515,1486,287,718,846,480,167,55,1458,52735,42523,5931,1304,1675,1642,222,36301,31225,2879,669,913,708,130,0,0,37085,31955,2903,707,564,835,70,586,380,440,103,0,40900,33146,4035,918,1091,1347,208,40900,33146,4035,574,741,302,72,238,1792,37829,32454,3092,737,557,924,95,0,0,0,0,0,40219,34879,2976,780,557,855,90,525,350,257,90,41501,35463,3286,774,936,802,96,602,650,168,96,20087,6847,12564,17923,6048,11875,20100,4931,13172,19869,4923,13451,17863,6291,11149,17403,5418,11985,17638,6314,11324,20405,6009,13680,24827,7384,16767,24654,7648,15960
9,9,48265,37725,8900,211,652,1084,81,0,0,50656,38139,10627,250,694,1273,101,0,0,52960,39437,9888,371,900,2118,183,52066,38721,11260,206,703,1367,140,25,285,215,50,169,1346,53691,39536,11014,402,920,1769,122,34800,28481,5173,105,447,755,46,0,0,34637,29134,4291,124,271,832,25,24,195,260,22,0,39310,30485,6255,173,591,1507,96,39310,30485,6255,70,327,274,39,189,1671,35631,29865,4580,130,331,778,45,0,0,0,0,0,37542,30986,4885,143,626,950,37,41,406,129,37,39449,32471,5253,141,694,863,22,74,483,96,22,19359,5180,13596,19655,5092,14563,19350,3343,14361,19211,3446,14391,16947,4137,12511,16590,3534,13055,16730,4233,12497,19831,3988,15266,24224,4692,18972,24074,4988,18209
