ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,106991,17011,79906,8551,2378,1236,101,0,0,103682,13888,79860,6936,3759,1001,138,0,0,108418,12204,85715,6779,4139,6042,181,100954,12931,78260,6579,4280,1004,214,5514,3906,0,0,10,342,100260,12112,80002,5624,3562,2814,305,72949,14809,50752,6017,1750,831,73,0,0,52519,11448,33944,5128,1937,52,0,5033,1891,0,22,0,79747,10840,60678,5106,3187,4470,133,79747,10840,60678,4440,2873,93,10,267,546,53665,10637,36380,4385,2058,67,0,0,0,0,0,0,55787,10242,39555,3933,1943,144,0,3734,1889,0,0,56623,9545,39325,4926,2372,299,50,4735,2236,120,50,24624,19773,4502,21972,18362,3610,27733,22326,4179,26910,20945,4304,20252,16363,3083,20319,15940,3823,25241,19849,4254,28720,22179,6063,28243,21424,4152,14505,11295,2926,21198,16250,4163,14468,10789,3382,14519,10450,3659,14391,10367,3545,14486,10609,3484,14343,10483,3424,14085,10795,2815,20644,15108,4863,24186,15347,8314,23124,16530,5569
2,2,106313,35308,66157,3662,1631,1118,124,0,0,104842,27715,72151,4205,1421,896,28,0,0,108632,27635,74243,5039,1908,5975,139,101998,27123,70294,3785,1475,1413,39,2742,944,52,0,64,780,107258,28667,73544,4286,1505,1992,63,75534,29635,42453,2387,1156,757,88,0,0,58070,22549,32052,2381,811,236,0,2348,742,75,45,0,81320,23686,52506,3596,1387,4371,103,81320,23686,52506,2801,999,102,15,195,1016,59014,22164,33480,2232,808,244,0,0,0,0,0,0,63008,23452,35679,2607,951,361,0,2451,886,80,0,61367,22527,35306,2467,895,267,5,2289,843,33,5,30772,21439,8795,27832,20059,7773,34747,24764,7863,33727,23205,8121,26446,18771,6369,26267,18209,7210,32243,22742,7727,36803,26581,9462,36257,24907,7367,20111,14761,4938,27812,19797,6810,20098,14392,5344,20165,14004,5595,20111,14131,5453,20189,14310,5389,20050,14055,5443,20025,14006,5271,27589,19213,7420,33083,21272,11151,32035,22153,7981
3,3,110119,33434,67536,7195,3748,1563,281,0,0,111020,37309,64246,6293,4676,1352,86,0,0,108636,34522,62965,7034,5281,4780,245,111055,38747,62297,6955,5004,1895,117,4164,3521,75,0,155,2107,109410,38768,59217,7955,5593,2788,224,81863,29582,45471,4727,2958,1061,209,0,0,68434,29115,32536,3584,2740,333,0,3361,2469,132,125,0,85941,30588,46522,5061,4239,3609,198,85941,30588,46522,3450,3418,84,11,291,1577,70043,29774,33091,3775,2856,293,0,0,0,0,0,0,72312,31029,33365,4118,3178,250,0,3821,2773,31,0,70029,30140,31632,3773,3786,267,3,3348,3335,37,3,31228,25704,5061,27732,23081,4651,36954,30190,4726,35516,27307,5933,29878,24438,4249,29845,23937,5096,35593,28465,5483,41389,33421,7267,40711,31596,5845,23970,19745,3784,31690,25577,4971,23956,19677,3870,24077,19492,4079,23919,19186,4184,24026,19427,4039,23815,18985,4233,23581,19643,3900,31671,25094,5641,36704,27204,8573,35370,28038,7322
4,4,108694,24360,62974,21449,2381,1531,282,0,0,107573,28444,61404,16480,3395,1146,135,0,0,108533,28987,60838,16643,3789,4061,227,105844,28835,58261,16523,3809,1256,165,13595,2465,67,25,304,2299,105707,29888,55186,17990,4534,2567,119,80085,22059,42874,14423,1919,1038,206,0,0,66728,23379,30156,10784,1967,295,15,10564,1620,73,144,0,85345,25849,44930,12335,2989,3039,162,85345,25849,44930,10236,2268,82,19,301,1660,67034,24142,29135,10879,2405,340,25,0,0,0,0,0,68869,25626,28623,11477,2725,358,4,11013,2120,11,4,68551,26140,27217,11782,3138,376,7,11151,2496,11,7,34440,30524,3440,31129,28070,3059,37217,32299,2957,35928,29190,4605,29427,25181,3227,29492,24943,3867,35045,29434,3964,39695,33848,5087,39040,31086,4145,21944,19067,2438,30235,25705,3286,21968,19135,2420,22113,19097,2548,21926,18765,2680,21959,18835,2632,21725,18418,2785,20690,19229,1460,29614,24775,3800,33483,26728,5845,32235,27045,5178
5,5,91790,22309,3193,59874,6878,659,112,0,0,96215,28526,4491,54069,9462,562,105,0,0,108665,28737,5642,62747,11550,1288,156,97359,28870,4661,53863,9936,823,110,51831,8794,260,18,457,2468,106178,30755,6409,58695,9887,1202,144,73052,21061,2627,43399,6191,508,97,0,0,73208,24338,3206,40008,5114,233,15,39445,4689,94,356,0,90114,27013,4509,48135,10151,1037,116,90114,27013,4509,46073,9259,91,32,445,2692,75131,25262,2957,40992,5134,362,20,0,0,0,0,0,82073,26929,4132,45390,4811,322,25,44390,4182,105,25,84847,26196,5362,46935,5630,416,0,46039,5007,76,0,40602,37336,2976,39286,35184,4102,42765,37639,3283,41881,34591,5660,35045,29582,4454,35301,29860,4779,40681,34166,4553,44974,39689,4581,44558,33622,4724,26860,23576,2716,35416,30408,3373,26979,24064,2536,26967,23845,2559,26915,23616,2818,26874,23512,2761,26617,22947,3000,24449,23901,533,34847,29739,3641,39359,33576,4931,37664,32409,5236
6,6,103592,13949,18738,67773,3803,823,97,0,0,94433,17076,22527,50142,4976,656,106,0,0,108689,17493,32622,51977,7263,2501,183,96907,18340,24913,47282,6386,612,118,46263,5588,73,0,269,1460,100070,17436,29926,45788,7090,1200,121,74764,12416,11985,47432,3245,592,80,0,0,64710,14380,8983,38183,2911,243,0,37845,2603,108,97,0,83350,15967,21832,39519,6260,1752,139,83350,15967,21832,37816,5665,87,22,287,1674,66310,15578,10103,36569,3973,230,0,0,0,0,0,0,68220,15055,13329,35500,4142,308,0,35042,3728,66,0,68467,14745,13340,35094,4885,502,13,34196,4385,116,13,43227,40499,2405,38043,35780,2263,36618,32721,2673,35572,30663,3479,26107,22772,2451,26310,22695,3033,31961,27253,3084,34564,29874,4158,34044,24926,3198,19230,16648,2187,26916,22891,2748,19327,16794,2248,19349,16613,2346,19227,16389,2431,19265,16347,2435,19004,15996,2463,17169,16997,140,25523,21261,3116,28822,22965,5310,27287,22846,4360
7,7,109356,35108,20537,50780,3534,763,63,0,0,106952,32199,23046,48462,3487,697,246,0,0,108592,29530,27871,47258,4207,2310,136,105031,30946,24680,46251,3395,778,297,44359,2814,76,4,480,1678,105785,31869,24850,46028,3129,1005,52,82953,29528,13201,37751,2681,543,46,0,0,79358,26399,11520,38866,2243,253,0,38339,2082,80,119,0,86043,25477,19354,37900,3211,1723,114,86043,25477,19354,36423,2760,81,17,281,1650,77781,25614,12990,36600,2146,162,4,0,0,0,0,0,77582,26781,12525,35828,1942,259,4,35318,1844,99,4,74990,24450,14417,33717,1987,331,3,33187,1943,38,3,52924,42226,10158,49236,39249,9987,51105,39973,8893,50324,38093,10160,41489,31274,8691,41596,31630,9203,48160,36748,9396,53241,42172,10319,52676,37329,9271,33181,26111,6523,42489,32850,8098,33288,26155,6740,33303,25777,6819,33187,25725,6916,33258,25710,6987,32910,25110,7133,29831,26567,3096,41952,32247,8387,48115,36435,10798,46687,36136,10137
8,8,106959,34800,10416,60578,1765,572,70,0,0,106069,33862,15082,55631,1934,372,121,0,0,108552,33739,18154,54892,2175,1698,109,105531,33301,16084,54757,2102,465,165,52687,1206,20,36,181,2010,109951,33139,19248,55350,2916,1033,116,77417,26404,6579,43491,1193,394,49,0,0,74734,25102,7537,41077,810,106,0,40840,699,6,117,0,82046,26227,12401,42057,1456,1228,76,82046,26227,12401,40621,1112,85,10,172,1418,74114,24859,7426,40674,938,95,14,0,0,0,0,0,76646,25137,8779,41044,1296,219,25,40481,1113,9,25,74732,23937,9522,39579,1446,273,18,38830,1239,22,18,53847,45060,8351,48928,40192,8736,48957,39518,7192,48149,36864,9487,37956,28166,8488,38121,28635,8832,44816,34161,8489,48346,38899,8747,47862,32844,8399,29917,23395,5991,39038,30182,7056,30025,23508,6100,30036,23250,6061,29938,23081,6313,29967,22892,6488,29646,22557,6418,28512,23318,4994,37789,28799,7455,41146,31193,9223,39808,30838,8573
9,9,97609,26165,7326,55597,8955,638,138,0,0,102722,32291,9153,49078,12798,601,61,0,0,108762,32614,10795,51379,13846,1443,158,102098,32343,10185,45730,14073,669,54,43964,12296,24,17,396,2876,103883,34389,11710,44897,13527,926,574,75973,24284,5552,38211,8064,484,108,0,0,74992,27547,5931,34893,6281,233,24,34536,5812,90,106,0,88923,30255,8283,37622,12247,1069,111,88923,30255,8283,36061,11381,119,21,561,2242,76014,28391,6368,33348,7466,300,20,0,0,0,0,0,77685,30451,7262,32180,7366,250,14,31692,6842,85,14,83454,30926,8179,36210,7624,248,5,35238,6926,73,5,41503,37120,4022,40723,35658,5065,43531,37489,3901,42507,33884,6909,33679,27568,5095,33861,27802,5351,39862,32565,5337,43360,37209,5411,42882,31460,5623,24341,20464,3366,33759,28070,4059,24522,20957,3167,24551,20880,3093,24410,20420,3487,24421,20536,3336,24154,19919,3655,21398,21241,122,32766,26877,4469,37584,30314,6429,35857,29327,6493
