ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,213304,52319,146063,12213,4009,2354,225,0,0,208524,41603,152011,11141,5180,1897,166,0,0,217050,39839,159958,11818,6047,12017,320,202952,40054,148554,10364,5755,2417,253,8256,4850,52,0,74,1122,207518,40779,153546,9910,5067,4806,368,148483,44444,93205,8404,2906,1588,161,0,0,110589,33997,65996,7509,2748,288,0,7381,2633,75,67,0,161067,34526,113184,8702,4574,8841,236,161067,34526,113184,7241,3872,195,25,462,1562,112679,32801,69860,6617,2866,311,0,0,0,0,0,0,118795,33694,75234,6540,2894,505,0,6185,2775,80,0,117990,32072,74631,7393,3267,566,55,7024,3079,153,55,55396,41212,13297,49804,38421,11383,62480,47090,12042,60637,44150,12425,46698,35134,9452,46586,34149,11033,57484,42591,11981,65523,48760,15525,64500,46331,11519,34616,26056,7864,49010,36047,10973,34566,25181,8726,34684,24454,9254,34502,24498,8998,34675,24919,8873,34393,24538,8867,34110,24801,8086,48233,34321,12283,57269,36619,19465,55159,38683,13550
2,2,218813,57794,130510,28644,6129,3094,563,0,0,218593,65753,125650,22773,8071,2498,221,0,0,217169,63509,123803,23677,9070,8841,472,216899,67582,120558,23478,8813,3151,282,17759,5986,142,25,459,4406,215117,68656,114403,25945,10127,5355,343,161948,51641,88345,19150,4877,2099,415,0,0,135162,52494,62692,14368,4707,628,15,13925,4089,205,269,0,171286,56437,91452,17396,7228,6648,360,171286,56437,91452,13686,5686,166,30,592,3237,137077,53916,62226,14654,5261,633,25,0,0,0,0,0,141181,56655,61988,15595,5903,608,4,14834,4893,42,4,138580,56280,58849,15555,6924,643,10,14499,5831,48,10,65668,56228,8501,58861,51151,7710,74171,62489,7683,71444,56497,10538,59305,49619,7476,59337,48880,8963,70638,57899,9447,81084,67269,12354,79751,62682,9990,45914,38812,6222,61925,51282,8257,45924,38812,6290,46190,38589,6627,45845,37951,6864,45985,38262,6671,45540,37403,7018,44271,38872,5360,61285,49869,9441,70187,53932,14418,67605,55083,12500
3,3,195384,36258,21931,127649,10681,1482,209,0,0,190651,45602,27018,104213,14438,1218,211,0,0,217354,46230,38264,114724,18813,3789,339,194266,47210,29574,101145,16322,1435,228,98094,14382,333,18,726,3928,206248,48191,36335,104483,16977,2402,265,147817,33477,14612,90832,9436,1100,177,0,0,137919,38718,12189,78193,8025,476,15,77292,7292,202,453,0,173464,42980,26341,87654,16411,2789,255,173464,42980,26341,83889,14924,178,54,732,4366,141441,40840,13060,77561,9107,592,20,0,0,0,0,0,150293,41984,17461,80890,8953,630,25,79432,7910,171,25,153314,40941,18702,82029,10515,918,13,80235,9392,192,13,83829,77835,5381,77331,70966,6365,79384,70361,5956,77454,65255,9139,61153,52355,6905,61612,52556,7812,72643,61420,7637,79538,69563,8739,78602,58548,7922,46090,40224,4903,62332,53299,6121,46306,40858,4784,46316,40458,4905,46142,40005,5249,46139,39859,5196,45621,38943,5463,41618,40898,673,60370,51000,6757,68181,56541,10241,64951,55255,9596
4,4,216315,69908,30953,111358,5299,1335,133,0,0,213021,66061,38128,104093,5421,1069,367,0,0,217144,63269,46025,102150,6382,4008,245,210562,64247,40764,101008,5497,1243,462,97046,4020,96,40,661,3688,215736,65008,44098,101378,6045,2038,168,160370,55932,19780,81242,3874,937,95,0,0,154092,51501,19057,79943,3053,359,0,79179,2781,86,236,0,168089,51704,31755,79957,4667,2951,190,168089,51704,31755,77044,3872,166,27,453,3068,151895,50473,20416,77274,3084,257,18,0,0,0,0,0,154228,51918,21304,76872,3238,478,29,75799,2957,108,29,149722,48387,23939,73296,3433,604,21,72017,3182,60,21,106771,87286,18509,98164,79441,18723,100062,79491,16085,98473,74957,19647,79445,59440,17179,79717,60265,18035,92976,70909,17885,101587,81071,19066,100538,70173,17670,63098,49506,12514,81527,63032,15154,63313,49663,12840,63339,49027,12880,63125,48806,13229,63225,48602,13475,62556,47667,13551,58343,49885,8090,79741,61046,15842,89261,67628,20021,86495,66974,18710
5,5,199762,61482,17794,109026,12485,1379,279,0,0,203409,71241,18563,96338,18045,1299,238,0,0,217334,73582,24282,99104,20456,2835,320,203168,71826,20585,90890,20063,1382,205,87201,17168,51,93,678,5557,209567,75227,23255,92147,19606,1569,715,156457,56380,13287,76046,11085,1062,227,0,0,152388,61219,11914,68981,9569,581,84,68016,8686,125,267,0,176578,66775,18288,73348,17436,2126,240,176578,66775,18288,70204,15640,217,42,829,4583,154604,62469,13365,66895,10995,701,95,0,0,0,0,0,159807,65965,15053,66978,10987,659,84,65862,9865,99,84,163883,66428,16569,67923,12022,468,75,66193,10630,84,75,89514,80278,8449,84681,74434,10247,90941,78703,7616,88863,70950,14223,71183,58571,10483,71562,59236,10831,83991,69128,10776,91974,79688,10663,90959,67757,11395,52810,44719,7005,71948,60443,8123,53237,46044,6355,53276,45848,6211,52958,44735,7150,52975,44934,6894,52374,43571,7590,47947,46230,1515,70028,58220,8889,79577,65306,12526,76120,63265,12800
6,6,194047,156563,13579,9522,14203,1086,286,0,0,210583,163561,16553,10360,19874,1325,286,0,0,217449,164554,18045,11397,21080,2444,310,210508,163085,17304,9761,20057,1207,437,7463,15768,80,132,528,6140,212777,163523,18013,9462,19943,1880,442,175183,142679,11400,8364,12394,903,239,0,0,171819,139856,11516,8465,10517,899,61,7693,8967,142,439,0,192245,147561,15148,9927,17471,1916,240,192245,147561,15148,7856,14684,148,47,670,6131,171734,140598,11659,7704,10467,770,73,0,0,0,0,0,173941,141974,12949,7347,10401,751,53,6591,8908,44,53,177055,142144,14103,7843,11850,654,39,6661,9657,80,39,104281,80356,22530,91555,65946,25609,108579,85295,15423,106790,72867,29346,96772,71377,22720,96884,72714,22106,108040,82437,21530,120137,100022,17888,119281,92285,21843,83240,68216,13468,99807,80937,15560,83912,70115,12520,83749,70041,11787,83260,67863,13876,83478,68512,13395,82762,66751,14617,82401,69947,11436,100594,82272,16001,113448,93383,18037,110548,90557,19990
7,7,211747,110008,38914,39682,23807,2689,429,0,0,221695,120561,37312,39412,24527,2556,319,0,0,217225,113656,36960,39044,25949,4777,367,223917,119432,37390,41694,25942,2355,287,36981,20747,345,25,805,8190,220351,116078,37624,41286,25123,3494,517,179131,100303,28257,30862,19711,2069,358,0,0,162328,103812,19217,24465,13481,1150,22,23010,12055,357,441,0,187998,103364,29332,31559,21779,3943,313,187998,103364,29332,27684,19257,333,49,1154,6825,164967,103643,20343,25800,13851,1071,18,0,0,0,0,0,165310,102193,22202,25707,13609,1121,118,23788,11860,127,118,167592,100860,22888,26942,15098,1505,196,24799,12980,248,196,90555,77260,11986,81764,70738,11026,100478,85500,9029,98520,79993,13362,88033,75186,10128,88510,75627,11066,98417,83546,10817,108177,94978,11169,106986,90133,10070,73591,66077,6191,89455,78329,8144,73865,66861,5997,73912,66661,6023,73616,65699,6611,73679,65453,6711,73260,64975,6862,73318,66474,6490,89176,78326,8456,98834,85644,10749,95539,84960,10579
8,8,208509,115107,31526,12242,49993,1601,385,0,0,215862,112151,33905,13734,56168,1551,442,0,0,217570,107938,34009,16142,58612,3493,396,213181,113444,31844,14011,53965,1699,524,11934,47096,420,93,564,7791,222565,111607,34937,15815,59207,3056,668,161592,94099,21321,8123,37897,1054,274,0,0,140814,83061,16904,7711,31845,640,141,7361,29915,311,496,0,169699,87625,24527,11319,45160,2564,290,169699,87625,24527,9543,42617,215,40,891,4241,138872,83452,16185,7198,30442,666,185,0,0,0,0,0,144458,83518,17680,7858,33713,657,122,7237,32321,103,122,141923,82451,17153,8635,32425,568,57,7687,31162,91,57,79366,52261,26001,73101,48174,24927,85266,56662,24105,82452,51718,26702,67746,43616,21342,67568,43428,22557,82206,53072,25856,97000,62346,33277,94219,60519,27396,58391,40429,16897,75018,49410,23328,58552,39303,18472,58658,39588,17870,57928,38070,18780,58176,38739,18325,57641,37915,18604,57913,39532,18009,75417,48338,25123,87978,50048,34787,82579,52740,29838
9,9,206198,142476,14985,20200,28802,1162,253,0,0,207713,137300,17471,20057,33651,1041,377,0,0,216771,137664,19461,21637,36109,2919,325,207059,135748,18029,20419,33637,1428,374,16795,28539,50,33,572,7290,212635,137705,19375,21130,34087,2033,314,158007,111446,9945,14557,22034,763,199,0,0,142142,102643,8813,12604,17380,379,10,12019,16250,98,315,0,168983,110219,13382,16208,27463,2020,253,168983,110219,13382,13915,25353,125,41,834,5114,142550,103341,9591,12075,16812,301,15,0,0,0,0,0,149147,105946,10851,12884,18580,448,31,11960,17435,82,31,148647,103754,11317,12962,19516,468,56,11797,18262,77,56,102509,73395,27890,97914,66246,31668,108868,79988,21597,107519,68653,35207,95390,63526,29316,95474,65315,28619,107097,75479,28253,118754,90846,26034,117767,84542,28725,81555,62241,18006,98157,73836,21566,82041,63122,17911,81706,63021,16812,81572,61595,18712,81702,61624,18695,81163,60663,19225,81403,62627,18770,98205,74114,22156,109208,81680,25252,106639,78596,28039
