ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,71395,28762,25490,16801,957,787,98,0,0,66692,24559,26307,15020,906,690,79,0,0,67795,20470,28586,18017,889,2087,80,66096,24678,25861,14708,1029,828,43,13701,708,244,4,22,879,67213,22836,27805,15929,1020,1109,93,51648,24496,15900,10581,761,525,57,0,0,45925,21067,14714,9606,259,236,4,9485,205,123,39,0,50809,18089,19340,12321,678,1518,59,50809,18089,19340,11386,479,90,16,175,1234,45322,21035,13860,9715,302,298,4,0,0,0,0,0,47521,20177,15483,11140,336,266,14,10832,282,188,14,46454,18365,15762,11453,574,268,40,10794,443,97,40,22730,16311,6094,21904,16387,5517,22293,15095,5960,21675,15671,4944,21678,16241,4745,21310,16347,4963,17133,12723,3984,21116,15081,5496,22637,15414,6860,22378,14654,6932,21930,15336,6594,19529,13849,5284,12102,8261,3567,11970,7709,3865,12004,7783,3789,11917,7965,3952,18763,12312,6138,20138,12482,7306,18898,12322,6141,19053,12379,6213,19171,12640,6531
2,2,74137,13455,21133,40293,338,873,59,0,0,72634,11904,23529,37403,575,652,27,0,0,67932,9751,21248,37339,437,1434,109,72936,11569,24603,37122,390,500,19,35580,328,25,5,141,684,69849,10730,22499,36727,279,692,30,52710,11019,14048,27759,216,581,34,0,0,49828,10212,13735,25378,274,260,4,25056,235,18,34,0,49332,8263,14666,26226,294,988,62,49332,8263,14666,25021,148,86,15,135,998,49552,9614,14795,24696,259,191,4,0,0,0,0,0,47736,9015,13700,24680,162,197,4,24524,152,45,4,46119,8611,13616,23464,225,240,4,23179,188,40,4,30493,27325,2903,27383,25051,2332,24966,21237,2884,24318,21178,2417,24284,21479,2330,24154,21659,2495,18697,16561,1851,22665,19659,2640,22524,18777,3493,22407,18062,3802,22097,18753,3344,20526,17755,2512,11615,9771,1678,11556,9619,1726,11606,9628,1775,11522,9722,1800,17823,14468,3158,18987,14845,3865,17797,14370,3122,17824,14262,3246,18085,14724,3361
3,3,71349,32459,8867,29858,509,705,44,0,0,68652,31437,9875,26568,923,722,60,0,0,67871,29276,11455,25923,669,1694,89,67941,30781,9479,26528,1085,734,36,24951,595,122,0,223,1785,66051,29794,11431,23811,872,747,22,52811,26093,5552,20792,336,496,32,0,0,51067,24965,5986,19174,588,305,11,18848,438,98,89,0,51112,24155,7502,18298,436,1174,51,51112,24155,7502,17234,293,77,12,208,1631,50944,24865,5851,19220,647,297,0,0,0,0,0,0,48871,24751,6792,16737,371,261,4,16365,303,55,4,48451,24159,6705,17030,282,337,40,16572,227,43,40,31144,24495,6273,28247,22468,5779,26659,18082,7290,26107,19217,5843,26129,20080,5440,25757,19681,6076,21174,15938,4796,25377,18096,6720,26861,17604,8808,26592,16467,8742,26042,17656,8386,23478,16548,6508,15028,10045,4706,14915,9560,4925,14960,9732,4810,14917,9898,5019,22631,14351,7946,24324,14658,9294,22986,14430,8071,23175,14573,8010,23197,14640,8557
4,4,62906,55818,3723,1712,1399,458,56,0,0,65420,57520,4322,1955,1511,371,88,0,0,67768,56317,5600,2420,1699,1325,80,65755,56666,4548,2220,1733,296,42,1395,1335,116,42,30,1618,67700,57049,5357,2364,1823,410,97,48215,43662,2238,1063,1032,301,36,0,0,50290,45436,2676,1147,677,259,85,1068,560,120,0,0,52999,45290,3583,1571,1208,977,56,52999,45290,3583,1293,951,72,14,172,1624,50223,45004,2977,1291,734,187,40,0,0,0,0,0,52097,46197,3493,1421,691,222,15,1329,553,74,15,52740,45977,4054,1812,640,213,0,1503,488,26,0,29366,14605,14432,28390,13360,15030,31356,13189,15805,30813,13915,15334,30785,15671,14255,29602,13188,16414,26702,13313,12658,31453,14580,15935,34968,16045,18269,34977,12964,19364,34535,15255,19280,30425,14094,15557,24835,11187,13184,24663,10251,13688,24697,10921,12985,24697,10924,13773,33283,14801,17918,34906,15398,18838,34906,15067,19154,35041,15828,18266,34838,15168,19670
5,5,65030,57209,2067,2925,2326,565,141,0,0,66139,55155,2303,4313,3799,800,254,0,0,67317,53798,3258,4758,3680,1488,133,66809,54426,3146,4761,3857,791,226,2979,3199,232,71,116,2643,68611,55010,3989,4663,4141,909,182,47710,42959,1141,1740,1481,374,79,0,0,47562,42530,1017,1947,1373,522,60,1528,1320,169,102,0,51105,42223,2023,2933,2535,1072,87,51105,42223,2023,2441,2206,140,42,157,1873,47731,41850,1392,2373,1392,500,54,0,0,0,0,0,49280,42694,1851,2429,1574,511,29,1842,1300,53,29,48748,41497,2190,2953,1451,456,56,2292,1192,43,56,30182,14745,15097,28982,12155,16827,29637,11502,16149,29467,12738,15001,29250,12809,15562,28285,9475,18810,24849,12654,11376,29024,12877,15217,31331,14254,16527,31282,11170,18666,29958,13295,16663,27551,12159,14679,20789,8503,11912,20584,8241,11839,20661,8991,10940,20569,8837,11732,29386,12907,16053,30987,13789,16758,30814,13108,17155,30984,13748,16408,30564,13467,17097
6,6,66582,37580,8076,19930,869,1015,113,0,0,66992,36379,9592,19672,1019,537,155,0,0,68093,33957,10934,21062,1118,1968,99,66803,36383,9815,18906,1095,598,202,16297,664,202,47,517,2881,66805,36115,10720,18314,1184,804,121,47718,30173,4474,12183,605,659,66,0,0,45472,28803,3722,12126,314,360,14,11440,241,152,140,0,49380,27602,6655,13297,800,1348,56,49380,27602,6655,12061,546,155,19,233,2109,46033,29288,4168,11301,537,445,4,0,0,0,0,0,45670,29149,4660,10556,641,346,50,9969,474,52,50,46401,29073,5474,10587,656,400,44,9826,442,69,44,27314,19799,7017,23988,16558,7430,23444,14563,7143,23173,15083,6456,22937,15411,6698,22284,13184,9100,18747,13378,4628,22087,14823,6481,23164,15639,7093,22952,13474,8490,22131,14969,7162,20277,13607,6105,12545,7841,4438,12463,7721,4376,12456,8060,3942,12441,8091,4350,20457,13219,6907,21366,13786,7223,21376,13552,7310,21209,13585,6930,20931,13572,7359
7,7,69301,56453,5667,6106,713,649,79,0,0,69872,54457,7605,7176,762,697,247,0,0,67968,51290,7418,6821,842,1428,94,69500,52604,7625,8518,777,960,143,6784,356,24,27,217,1859,68549,51060,7649,8189,735,1109,38,52303,44636,3114,3780,461,437,45,0,0,51616,43807,2928,4300,230,134,65,3960,144,16,129,0,52305,41478,4590,4419,559,1005,62,52305,41478,4590,3867,408,137,22,160,1643,50797,42626,2736,4882,307,217,25,0,0,0,0,0,50498,41502,3068,5005,458,443,3,4586,305,43,3,50284,40708,3478,4985,503,436,7,4441,261,64,7,31722,16663,14592,29281,13690,15591,30234,11703,16664,29999,13659,14345,29801,14283,14547,28746,10352,18394,25001,12542,11643,29249,13008,15283,31228,13283,17433,31131,10470,18659,29802,12678,17124,27415,11891,14878,19690,7252,12061,19546,7108,11848,19535,7759,10973,19472,7656,11816,28732,11729,16566,30445,12423,17583,30155,11909,17611,30333,12538,16633,29951,12346,17605
8,8,65000,49583,3609,9188,2398,578,92,0,0,65690,49115,3780,9523,2746,703,15,0,0,68104,48257,4955,10388,3222,1274,127,66271,49874,3628,9267,2891,659,19,7903,2480,292,1,249,1842,67214,49021,3678,11036,3166,598,83,52554,41779,2509,6098,1974,400,58,0,0,51221,40995,2405,5997,1381,444,0,5367,1135,199,49,0,56276,41571,3570,7328,2678,943,98,56276,41571,3570,6434,2143,171,48,314,2025,51965,41558,2419,6165,1504,373,4,0,0,0,0,0,53231,41669,2317,7334,1615,255,51,6558,1324,53,51,53542,41635,2559,7214,1826,299,34,6432,1402,39,34,28848,17182,11361,25913,13769,12144,27689,14218,11561,27518,14922,11114,27335,15032,11525,26421,12152,14269,23932,14845,8418,27005,15098,11104,28583,16385,11766,28644,13200,14422,27557,15314,12243,25448,14162,10664,18116,9234,8586,17983,9082,8462,18018,9727,7640,17960,9649,8311,25708,14051,11309,26845,14885,11579,26872,14333,12021,26997,14683,11588,26628,14579,12049
9,9,66767,52024,3118,10613,774,636,50,0,0,66961,50692,3224,11523,1092,691,198,0,0,68398,49329,4675,11604,1120,1606,92,67182,51122,3765,11070,914,715,7,9276,635,147,0,96,2139,68061,51167,4370,11047,785,695,35,51794,42015,1949,6982,550,462,28,0,0,51912,41244,1754,7713,551,456,40,7316,322,128,160,0,54236,41227,2973,7900,778,1154,69,54236,41227,2973,7161,584,125,13,194,1959,52749,42096,2049,7642,492,399,0,0,0,0,0,0,53989,42945,2494,7651,477,393,0,7152,344,87,0,53868,42768,2746,7443,398,336,9,6568,347,38,9,30617,19279,10821,28140,16999,11141,29666,14911,12809,29206,16141,11464,28944,17161,10795,28162,15399,12763,24939,14667,9525,29224,15994,12355,32136,16779,14824,31782,14043,15451,31102,16406,14696,27803,15113,12042,21228,10931,9909,21112,10213,10245,21129,10695,9678,21095,10879,10216,28787,14601,13719,30587,15301,14777,29223,14537,14017,29474,14935,13635,29564,14771,14793
