ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,130154,98485,14893,13844,2997,804,109,0,0,130557,93151,18358,14731,4435,1075,166,0,0,136405,91093,20464,19085,3944,2757,133,131690,92043,19025,15540,4263,820,189,13109,2833,289,18,1087,3280,136573,92293,21476,18483,4112,1318,131,99697,78861,9537,9015,2079,540,74,0,0,99864,76089,11137,9540,2375,568,23,9166,1836,315,158,0,107847,75719,13812,13597,2955,2019,97,107847,75719,13812,12397,2427,139,11,265,3077,101517,76794,11503,10327,2261,490,14,0,0,0,0,0,104925,76440,13452,12330,2066,541,25,11495,1774,81,25,108205,77670,14351,13316,2182,592,6,12292,1912,44,6,56112,29850,25738,56429,29465,26964,60398,28270,28897,58568,29879,26443,58598,31486,25712,57020,30433,26587,49711,27246,21364,60603,30508,28697,69712,33992,34738,68812,29174,36503,67340,32284,35056,58349,29111,28085,45094,21507,22867,44548,19485,23944,44689,20173,23224,44517,20512,24005,63367,29671,32899,68533,31343,36270,64960,30140,33828,65754,30828,33764,65873,30142,35731
2,2,140605,58296,47318,33636,2749,1468,160,0,0,133743,51469,50440,29990,2419,1483,115,0,0,134201,44667,51473,35534,3037,3521,175,133009,51233,50665,29356,2491,1371,78,27205,2029,354,9,161,1356,133806,48533,51688,31300,2886,1944,134,101725,48379,30344,21310,2001,984,92,0,0,92557,43224,28722,19098,1080,636,8,18525,951,187,68,0,100125,38315,35093,23961,2237,2506,114,100125,38315,35093,22253,1788,159,26,276,2215,92324,43025,28452,18965,1273,521,8,0,0,0,0,0,94967,41391,30214,21282,1540,489,18,20764,1434,322,18,93224,38962,30690,21427,1692,470,44,20517,1516,158,44,51033,35991,14443,48487,34637,13850,49197,32626,13947,47673,33193,12454,47658,34399,11926,46864,34274,12590,38161,27567,9745,46565,32190,13247,49592,33105,15739,49049,30602,16924,48150,32268,15882,43298,29760,12693,28160,18607,8993,27827,17431,9605,27943,17695,9392,27759,18003,9756,41662,26815,14218,44650,27592,16303,41990,26830,14255,42352,27008,14437,42620,27359,15261
3,3,146424,47755,15085,83531,1094,1444,98,0,0,138671,46166,16648,75144,1433,1398,97,0,0,136389,41267,18954,74845,1355,2999,149,138090,44852,17470,74516,1682,1361,83,70944,1063,199,30,342,3189,135065,43375,19113,71823,1452,1771,82,107563,39004,9565,58373,754,973,65,0,0,103507,37489,10343,54223,727,697,24,53562,568,194,139,0,102488,34521,12424,53893,914,2087,83,102488,34521,12424,51306,611,174,23,428,3001,103062,36899,11409,53308,781,634,25,0,0,0,0,0,99114,36362,11569,50033,492,774,8,49121,413,112,8,97818,35227,12335,49011,527,748,46,48008,437,80,46,66835,56388,9791,60160,51540,8620,54840,42041,10737,53905,43251,8933,53890,44484,8401,53355,44124,9231,43477,35593,7159,51773,40917,9962,53819,40136,12945,53399,38107,13244,52508,40044,12464,47646,37371,9601,29567,22070,7017,29430,21483,7282,29493,21684,7147,29389,21931,7458,44511,32159,11780,47491,33080,13732,44988,32272,11919,45147,32209,11969,45499,32891,12608
4,4,131996,102762,11663,15642,1609,1225,100,0,0,132782,98497,13611,18418,1917,1208,246,0,0,136130,96904,15159,18842,2200,3217,164,133024,99474,13979,17373,1831,1316,37,14525,1289,326,8,101,3323,135554,100350,14995,17355,1956,1327,34,100558,81270,7226,10506,1073,854,60,0,0,102285,79648,8685,12045,877,815,40,11359,649,269,190,0,106791,79818,9879,12892,1585,2362,116,106791,79818,9879,11608,1134,241,26,326,3759,102706,80691,8473,11904,852,832,0,0,0,0,0,0,105572,82270,9309,12159,1037,766,0,11328,781,107,0,106615,81832,10574,12116,1297,674,13,10918,1006,56,13,55171,33551,20789,52138,31307,20831,55907,27157,24770,54849,29815,21728,54751,32593,20192,53068,29387,23681,45854,26450,17844,55233,29694,23669,60968,31075,28717,60718,26580,29215,59796,31084,28712,52425,27990,23007,38718,19735,18198,38542,18334,18915,38610,19207,18055,38572,19565,19007,55058,27252,26839,58298,28141,29135,56965,27559,28070,57377,28502,27099,57317,27988,29329
5,5,129643,117585,7394,2226,1784,944,95,0,0,131083,116976,9013,2560,2054,874,207,0,0,133853,114155,10616,3314,2224,2798,157,131061,114632,9695,3328,2137,828,155,2181,1541,298,81,30,2597,133990,115241,10484,3848,2209,1069,226,98795,91366,4298,1322,1280,652,62,0,0,99751,92096,4584,1390,917,558,105,1267,659,205,78,0,104189,91189,6652,2049,1540,2052,95,104189,91189,6652,1599,1149,150,29,256,3165,99770,91139,5052,2021,925,537,80,0,0,0,0,0,102198,92584,5567,2407,837,604,50,2101,628,129,50,102836,92338,6181,2681,880,637,4,2187,621,63,4,58923,27691,30158,55503,24342,31161,60256,21218,34965,59328,24045,32018,59192,27263,30135,57184,22025,35159,49993,21727,26428,59986,23911,34211,66837,25111,40553,66775,19761,39992,65539,24255,41284,57237,22484,33361,44715,16443,27352,44464,15120,28083,44483,16375,26582,44495,16213,28282,62844,23002,38749,66816,23772,41804,65740,23030,41256,66189,24967,38470,65990,23818,42172
6,6,124306,111827,7823,2815,1327,774,67,0,0,127597,113632,9242,3040,1563,441,99,0,0,136191,113137,12449,4549,2303,3109,128,128434,112665,9680,3903,1630,600,125,2875,790,69,50,36,2279,136551,116654,11130,4714,1885,1213,152,94026,86101,4723,1919,847,546,50,0,0,95535,87280,5163,1973,692,331,37,1783,579,77,24,0,104285,89027,7730,3083,1507,2267,88,104285,89027,7730,2616,1148,161,27,222,3354,95862,86887,5220,2618,605,437,42,0,0,0,0,0,102226,91028,6241,3231,1084,515,58,2764,805,46,58,103597,90616,6946,3746,1418,740,0,3182,1072,49,0,50669,22238,27577,51170,21442,29728,56788,18480,34833,55327,21295,31465,55131,23363,30215,53497,20777,32720,45437,18322,25838,57354,20945,34872,67476,22691,43626,66635,18194,42190,64940,21788,43152,55052,19652,34217,43158,14227,28083,42679,12669,28789,42770,13457,27899,42638,13625,29013,63228,20592,41637,69419,21754,46625,65642,20806,43354,66596,22430,42085,66218,20966,45252
7,7,125031,113895,7337,1912,1280,781,91,0,0,132470,117259,8618,3715,2361,840,139,0,0,137472,116567,10871,4079,2788,2727,166,134674,118858,8873,3913,2558,823,108,2470,1882,78,26,241,2246,138423,121203,9709,3991,2075,930,136,92141,85665,4218,985,817,535,49,0,0,95741,89535,2563,2031,929,598,44,1667,795,201,94,0,102640,89443,6702,2357,1757,1950,96,102640,89443,6702,1914,1443,192,34,219,2693,97274,90509,2782,1991,1337,576,25,0,0,0,0,0,99944,93139,3067,1908,999,674,15,1638,578,40,15,100124,91466,4302,2252,1296,627,12,1876,832,22,12,52739,19895,31874,48436,14580,33856,57390,14161,39439,56658,16938,36341,56448,19216,35343,54553,12665,41888,46772,15002,29667,57457,17135,38358,65355,19563,44395,65177,12970,39872,63335,18497,44838,54106,16036,36380,37923,10524,25063,37743,9759,26304,37694,11577,22502,37616,10600,27016,59668,18612,39480,65220,20349,43682,62913,18294,42666,63574,21045,38144,63187,21020,42167
8,8,135379,123846,7590,2350,777,1060,63,0,0,134199,120629,9116,3114,1211,629,108,0,0,134114,116195,9796,3108,1136,2910,121,134169,119379,9278,3923,1090,949,135,1845,575,136,32,92,2831,134792,118252,9697,3999,830,1446,35,101843,95062,4380,1261,509,747,36,0,0,100377,94088,3974,1445,464,366,20,1164,301,134,39,0,103229,91616,6037,1800,779,2126,86,103229,91616,6037,1264,508,226,14,275,3289,100164,93651,3945,1768,366,437,25,0,0,0,0,0,101062,93361,4583,1949,327,824,20,1308,190,102,20,100454,92388,4493,2220,426,827,25,1547,233,69,25,57744,28948,27517,53301,23658,29643,56973,17940,35305,55970,22283,29939,55398,24836,28472,53587,18472,35115,46379,20178,24516,55726,21012,32859,62073,20643,40232,61387,15645,38551,59277,20633,38644,53011,19307,32347,41018,12649,27326,40658,11971,27097,40669,13328,25473,40578,13149,27429,57123,18352,37649,61766,19097,41637,58506,17815,39211,59250,19702,36256,59399,19042,40357
9,9,128081,114969,7352,3464,1404,966,144,0,0,130487,112774,10110,4570,2401,1406,179,0,0,133862,112008,10596,5612,2543,2621,183,130658,111052,10044,6620,2413,1106,208,4076,1684,208,32,335,3233,132552,112178,10151,6300,2541,1267,150,94787,87115,4148,1915,975,641,89,0,0,94113,86701,3522,2305,771,671,47,1776,601,275,75,0,101217,87154,6618,3298,1795,1888,116,101217,87154,6618,2629,1445,243,47,239,2842,94257,85536,3719,3480,767,555,26,0,0,0,0,0,96343,86760,4361,3374,1077,715,9,2751,684,50,9,97382,85931,5338,3949,1347,669,4,3163,824,31,4,51008,19732,30394,49051,15756,33295,51755,13772,34448,51394,16734,31459,51109,17262,32004,49799,12048,37751,42208,15022,25624,50904,16086,33081,56139,17410,37516,56043,13049,35650,54159,16639,37520,48208,14763,32062,35475,9007,25370,35282,8778,25267,35292,10046,23560,35234,9707,25527,51452,15515,34882,54734,16640,37162,53482,15304,36973,53751,16846,34068,53734,16582,37152
