ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,26404,23531,542,347,148,1899,83,0,0,24670,21844,623,393,140,1639,74,0,0,23705,19954,610,339,166,2461,62,24498,21584,701,364,61,1718,105,95,35,454,105,7,1513,23886,20625,816,433,101,1804,33,19900,18120,281,161,79,1267,39,0,0,18771,17060,335,179,29,1140,0,141,4,310,4,0,18141,15662,349,182,94,1674,42,18141,15662,349,94,52,652,19,29,1284,18565,16839,374,116,20,1206,40,0,0,0,0,0,18237,16220,418,232,43,1300,30,187,25,437,30,17893,15791,405,294,118,1247,39,172,104,334,39,11862,4313,7152,10414,3538,6646,10495,2394,7562,10384,2560,7250,8418,2784,5151,8367,2409,5958,8351,2408,5624,8397,2340,6057,9956,2582,7064,11132,2601,8330,11030,2817,7643,9239,2289,6711,7780,1749,5799,7801,2213,5324,7772,2123,5649,7752,1825,5734,7771,1972,5538,7771,1937,5834,9250,2277,6790,10569,2333,8049
2,2,24073,22646,614,265,116,501,26,0,0,23225,21673,591,466,181,448,13,0,0,22863,20465,797,371,181,926,48,23078,21239,707,580,127,570,0,250,70,67,0,74,686,22992,20877,729,640,278,570,0,18199,17373,333,120,71,326,15,0,0,17541,16712,299,173,41,283,0,129,23,49,58,0,17527,15965,455,204,119,665,34,17527,15965,455,105,87,129,32,37,717,17756,16766,288,243,58,300,0,0,0,0,0,0,17822,16722,335,239,134,306,0,161,98,35,0,17763,16582,342,252,103,431,0,161,56,47,0,11333,5033,5867,10217,4112,5818,10146,2857,6649,10033,2901,6569,8718,3787,4293,8615,3065,5550,8613,3181,5063,8620,3190,5430,9957,3214,6379,11245,3257,7764,11168,3579,6976,9411,2973,6177,8176,2229,5701,8196,3166,4767,8128,2857,5271,8122,2351,5546,8127,2586,5250,8193,2677,5516,9619,3026,6395,11163,3107,7846
3,3,23636,20206,1441,988,559,462,110,0,0,23702,19316,2001,1163,791,772,82,0,0,24113,18548,2304,1401,553,1177,187,23632,19303,2029,1074,807,711,41,697,685,100,0,0,814,24133,19584,2246,1127,703,730,158,18670,16375,888,592,465,354,65,0,0,18142,15718,1007,709,185,517,0,550,170,116,104,0,18783,15076,1390,880,438,867,101,18783,15076,1390,606,332,155,89,68,1067,18099,15487,1186,652,325,491,0,0,0,0,0,0,18482,15626,1274,588,373,468,25,425,354,97,25,17961,15211,1222,517,531,312,32,379,426,113,32,8797,4331,4240,8187,3792,4195,8163,3097,4425,8145,2925,4780,7080,3619,2935,6985,3198,3787,7001,3299,3399,6994,3248,3746,8094,3412,4321,9102,3828,5015,9067,3904,4647,7482,3261,3966,6382,2642,3534,6401,3249,2943,6353,3061,3292,6353,2738,3416,6365,2817,3265,6377,2910,3467,7668,3417,4065,8812,3691,4968
4,4,23859,22216,467,612,147,454,27,0,0,23387,21342,626,722,256,508,18,0,0,23030,20376,604,782,203,916,42,23303,21273,631,662,296,456,99,448,132,36,37,36,702,23206,20936,651,721,286,617,115,17997,16951,243,398,91,322,17,0,0,17667,16391,337,456,127,355,0,409,83,83,28,0,17420,15668,331,493,139,639,28,17420,15668,331,387,94,110,8,37,785,17578,16361,278,415,175,288,25,0,0,0,0,0,17466,16180,304,416,136,349,20,398,90,31,20,17609,16141,454,449,169,336,9,309,118,26,9,11138,3679,7035,10275,3037,6977,10053,2001,7535,9962,2023,7342,8316,2563,5124,8275,2197,6078,8238,2050,5826,8237,2212,6025,9806,2268,7191,11207,2340,8663,11136,2580,7939,9443,2200,6978,8124,1578,6275,8185,2349,5476,8128,2168,5960,8109,1661,6126,8073,1766,5914,8142,1884,6258,9618,2229,7180,11089,2219,8684
5,5,23004,21316,650,441,236,405,16,0,0,23259,21044,1278,461,117,473,39,0,0,23522,20305,1195,596,299,1006,32,23138,21042,1015,442,111,499,34,136,60,78,15,91,699,23686,21164,1151,344,378,547,4,16991,15986,350,264,139,266,13,0,0,17321,16049,667,226,68,302,4,137,50,83,14,0,17912,15843,718,360,192,668,21,17912,15843,718,226,128,123,10,76,788,17438,16386,482,207,64,308,4,0,0,0,0,0,17891,16593,597,189,220,339,0,97,171,64,0,18155,16668,608,180,296,368,11,157,253,30,11,10875,4515,6097,10201,3704,6239,10411,3353,6223,11102,3303,6805,9186,4116,4302,9085,3576,5509,9106,3443,5280,9063,3738,5325,10671,3835,6234,12145,4313,7492,12115,4335,6974,10402,3943,6057,9253,3029,5881,9291,4108,4837,9220,4235,4985,9187,3072,5644,9194,3237,5370,9118,3633,5296,10800,4100,6396,12824,4408,8181
6,6,22155,20756,556,416,150,325,16,0,0,22409,20656,678,444,220,435,2,0,0,23102,20621,779,524,217,769,28,21466,19658,629,543,240,445,2,314,175,231,0,0,463,22271,20427,593,606,275,418,0,16200,15381,308,232,83,212,9,0,0,16957,15818,371,293,158,324,0,293,119,149,0,0,17395,15813,435,316,130,537,14,17395,15813,435,228,85,61,4,52,717,16278,15124,327,360,148,325,0,0,0,0,0,0,16794,15571,308,446,180,284,0,293,90,154,0,17075,15860,418,519,46,209,0,307,27,59,0,10573,3833,6498,10149,3172,6785,10306,2737,6853,10233,2566,7177,8965,3282,4934,8848,2897,5951,8829,2646,5722,8826,2841,5985,10471,3139,6891,12257,3576,8420,12217,3722,7955,10400,3303,6782,9242,2467,6479,9271,3482,5468,9199,3575,5624,9191,2463,6080,9185,2620,5932,9248,3188,5764,10836,3464,7113,12616,3724,8642
7,7,24705,21306,1150,1444,183,812,19,0,0,23777,20311,1334,1387,61,913,17,0,0,23741,19055,1368,1533,224,1613,23,23629,20148,1320,1292,93,927,20,939,33,132,0,4,1046,23303,19800,1356,1371,109,825,29,18599,16479,682,846,123,537,16,0,0,17711,15480,716,843,33,603,0,829,29,104,24,0,17649,14646,842,898,137,1091,19,17649,14646,842,668,100,255,6,22,1110,17595,15413,716,764,59,627,0,0,0,0,0,0,17344,15152,846,764,73,473,0,729,0,59,0,17281,15258,686,736,127,430,0,643,16,60,0,10486,4276,5836,9215,3481,5519,9128,2648,5936,9082,2590,5886,7434,3133,3770,7341,2508,4833,7356,2671,4431,7354,2672,4682,8731,2870,5539,9734,3138,6407,9688,3306,5890,8156,2732,5201,6898,2067,4608,6902,2778,3900,6865,2584,4281,6864,2150,4539,6850,2355,4278,6839,2335,4504,8195,2782,5242,9212,2876,6176
8,8,16534,13999,461,489,1507,100,9,0,0,23010,18731,654,708,2704,235,50,0,0,23313,17659,835,800,3509,368,46,21161,16816,561,898,2717,216,48,494,2474,0,13,18,782,22210,17477,713,846,2845,131,61,10884,9326,265,313,926,54,8,0,0,14813,12594,356,416,1227,132,6,347,1154,4,84,0,16061,12433,504,518,2269,249,26,16061,12433,504,430,2125,33,1,54,481,13809,11567,308,418,1312,111,15,0,0,0,0,0,14853,12648,423,386,1286,81,15,295,1249,10,15,15167,12621,648,568,1219,80,0,505,1105,25,0,7720,2728,4929,8649,2519,6023,10496,3978,5761,10318,3185,6763,9898,4694,4573,9784,4049,5735,9847,3966,5596,9752,4031,5721,11237,4655,6175,13484,6171,7106,13489,5882,7138,11289,5121,5872,10118,4142,5752,10147,5264,4745,10048,5294,4754,10056,4229,5703,10006,4246,5136,10131,4939,5025,11770,5487,6078,13369,6175,6986
9,9,24402,22822,603,451,156,444,13,0,0,23445,21709,645,538,137,505,48,0,0,23244,20876,749,464,208,857,49,24058,21804,1048,393,235,544,155,123,208,131,131,0,616,23615,21074,1155,538,177,640,115,18469,17458,363,277,98,309,9,0,0,17615,16619,415,217,46,251,15,163,46,65,80,0,17880,16305,483,283,126,608,30,17880,16305,483,190,97,146,3,52,604,18072,16641,733,160,112,276,60,0,0,0,0,0,17906,16224,810,248,119,414,65,236,94,161,65,17574,16052,693,394,36,368,33,348,21,77,33,11079,3858,6776,9990,3239,6500,10208,2432,7076,10108,2248,7297,8416,3162,4595,8332,2288,6044,8327,2357,5589,8283,2533,5750,9917,2655,6880,11278,2748,8319,11207,2966,7558,9540,2662,6599,8249,1779,6209,8268,2836,5080,8189,2768,5421,8169,1879,5914,8178,2204,5587,8228,2360,5702,9718,2682,6828,11022,2553,8249
