ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,73868,66953,1664,1965,355,3247,61,0,0,72404,64341,2453,2314,540,3406,68,0,0,71739,62103,2372,2307,572,4334,173,72773,64519,2521,2196,546,3460,155,1200,214,2111,18,44,2140,72659,63929,2689,2442,581,3173,136,55589,51292,945,1167,223,2084,38,0,0,54826,49787,1366,1410,326,1974,27,1012,184,1356,30,0,54734,48386,1462,1464,380,2875,110,54734,48386,1462,1115,220,1494,45,104,1908,55042,49923,1363,1307,286,2119,22,0,0,0,0,0,55059,50141,1140,1437,291,2074,0,1119,129,1251,0,54573,49913,1086,1385,207,1914,27,1082,124,1044,27,35025,12073,21737,31920,9660,21516,32107,7331,22658,32018,6874,23696,27402,10083,14421,27051,7447,19604,27077,8662,17513,26918,7667,19251,31542,8260,21986,36169,8985,26389,35970,9559,24313,31113,8507,21603,27553,5446,21316,27591,9778,15840,27371,9217,18154,27080,6220,19959,27151,7300,18501,27383,7253,20130,31609,8698,22146,35437,8565,26231
2,2,72606,56497,4313,4870,4136,3727,134,0,0,75900,56433,5420,6161,5526,3799,124,0,0,73585,52912,6038,6176,4436,4718,155,76555,55971,5763,6248,5784,3675,161,3792,4890,1924,6,353,3854,74654,54477,5990,5692,5638,3888,170,60633,48584,3108,3286,3433,2745,100,0,0,59849,47932,3578,3685,2097,2498,4,3045,1623,1851,187,0,61076,45139,4426,4375,3764,3622,115,61076,45139,4426,3232,3021,1789,45,270,3154,60743,48148,3587,3871,2422,2543,4,0,0,0,0,0,59731,47205,3718,3907,2313,2432,8,3114,1679,1193,8,60588,47369,4026,3939,2763,2355,19,3037,1869,908,19,33338,23865,8720,28407,19793,7634,28707,20342,5893,28862,20309,7248,28405,23142,3865,27874,21253,6621,28217,22546,4912,28082,22867,5215,30043,22717,6128,33195,25759,6671,33212,25417,6377,28513,22352,5263,25473,19548,5275,25604,21445,3718,25365,21671,3694,25223,19416,5121,25223,19755,4560,25184,19978,5206,28935,23007,5349,31290,24373,6437
3,3,66578,59804,2839,2134,908,1231,71,0,0,68989,60193,3440,2702,1570,1254,36,0,0,70949,60237,3974,2657,1440,2646,100,71298,62979,3232,2383,1518,1340,19,1465,1022,184,1,271,2150,72064,62694,3896,2718,1310,1525,37,50119,45938,1646,1271,593,796,32,0,0,51513,46587,1827,1648,693,762,0,1432,607,292,33,0,54949,47679,2542,1715,1028,1851,69,54949,47679,2542,1244,767,359,19,138,2201,53364,48709,1857,1258,645,751,0,0,0,0,0,0,54426,49292,2138,1466,544,884,0,1093,421,149,0,55506,49328,2637,1757,615,1000,21,1480,509,197,21,33984,14237,18974,32147,12816,18542,33212,12376,18272,33115,11306,20083,30979,16255,12106,30606,12224,18382,30641,14551,15132,30442,13521,16921,34184,14252,18416,38888,16715,21264,38724,16750,19927,34090,15322,17678,31124,11984,18218,31262,16635,13732,30915,16553,14362,30793,12531,17278,30778,13635,15818,30929,14239,16417,35042,15946,18256,38948,16474,21665
4,4,66774,18766,14883,31068,2066,1177,159,0,0,71491,17645,20613,28342,4851,1363,451,0,0,73501,16343,24974,25895,5480,2429,325,71298,17873,21051,26422,5291,1570,375,23489,4726,179,236,910,2835,72301,16648,23381,25891,5791,2798,436,47776,15747,8758,21797,1294,818,92,0,0,41354,14721,4861,19310,1656,692,54,18711,1511,214,268,0,52529,13930,15327,19069,3372,1730,199,52529,13930,15327,17758,3180,232,130,187,1785,42148,15548,5574,18429,1804,600,205,0,0,0,0,0,43059,14076,7024,18434,2593,899,165,17341,2524,107,165,42639,13674,8906,16354,2924,794,151,15340,2737,52,151,26103,21186,4567,22474,18160,4010,20093,15075,3994,19178,13980,4226,16772,12893,2640,16508,13198,3310,16441,12713,3218,16356,13131,3225,19300,14684,3861,21902,16759,4825,21612,16106,4180,16749,12765,3494,12482,9087,3019,12537,9748,2407,12364,9778,2586,12217,8970,2921,12240,8992,2602,12206,9222,2984,16426,12428,3628,18249,13099,4853
5,5,66941,50106,4457,10123,1683,1183,245,0,0,72887,53369,5766,11278,2644,1345,454,0,0,76345,53691,6356,11541,2408,2692,322,74797,54122,5617,12389,2884,1547,490,9258,1727,274,69,141,3594,77653,56455,5261,12427,2413,1909,167,49925,38134,2908,7240,1074,853,128,0,0,54233,40962,3543,7665,1138,812,69,6955,927,268,225,0,57513,41793,4041,8204,1516,1889,218,57513,41793,4041,7288,1062,452,98,182,2597,55720,41302,3458,8690,1319,799,59,0,0,0,0,0,57707,43185,3321,9044,1126,1005,14,7753,842,225,14,57389,41846,4307,8767,1267,1028,140,7491,1059,235,140,26096,12260,13377,25046,10917,13640,26617,10514,13891,26374,10265,14583,23261,11619,9773,23048,10936,12112,23072,10438,11716,22906,10965,11941,27232,11997,13848,32407,14551,16965,32250,14428,15739,26586,12232,13327,23027,9602,12654,23096,12203,10121,22924,12310,10614,22803,9874,12198,22760,10189,11165,22888,10884,12004,27506,12897,13832,31999,14313,17054
6,6,73175,35798,25529,9216,2387,1513,165,0,0,71757,33853,25332,8933,3376,1233,249,0,0,72548,30802,28684,9088,2547,2813,185,71208,32614,25719,9207,3340,1439,218,7720,2829,216,22,45,2042,70573,32242,25546,9369,2904,1846,154,52512,29262,15586,5645,1642,1008,91,0,0,43272,27806,7809,5951,979,571,12,5606,874,140,185,0,53904,26171,18564,5948,1840,2091,118,53904,26171,18564,5108,1557,224,81,178,2021,42635,26830,8627,5501,820,701,15,0,0,0,0,0,43532,27333,8848,5409,1134,743,10,4909,995,257,10,43739,24864,11363,5520,1048,816,22,4662,848,224,22,23013,14708,7807,20112,12475,7095,20253,11487,7096,19509,10957,7080,17494,11300,4711,17189,11508,5681,17205,10876,5594,17077,11381,5696,20205,12390,6726,23624,14786,8317,23458,14372,7357,18428,11486,6205,14604,8695,5372,14672,9774,4446,14516,9847,4669,14421,8722,5233,14398,8639,4774,14587,9535,4704,18598,11723,6370,21232,12809,8059
7,7,70686,61162,4690,2399,2061,636,93,0,0,73578,63531,4331,2838,2482,522,35,0,0,75349,61692,5870,3104,2784,1548,115,72057,61452,4740,2856,2609,592,21,2061,2032,209,3,4,1557,74131,62508,5495,2531,2573,879,34,55969,49666,3000,1510,1451,431,46,0,0,56784,51060,2409,1700,1206,383,4,1460,1020,125,18,0,59801,50271,3975,2091,1962,1168,68,59801,50271,3975,1683,1521,111,21,199,2020,55666,49590,2628,1599,1317,396,4,0,0,0,0,0,57381,50919,3172,1373,1260,509,0,1194,1000,89,0,58039,51518,3066,1425,1472,371,8,1086,1154,62,8,42861,23022,19211,40175,20006,19219,41749,23370,14563,41074,20061,19108,39516,26188,10637,38905,23755,15150,39202,23869,14069,38844,23921,14923,42763,25802,15141,47588,30890,15813,47726,30549,15529,41425,26856,13318,37403,23003,13509,37492,26480,10366,37098,26929,10169,37060,23241,13139,36945,23022,11734,37464,25699,11130,42169,27991,13425,46073,30085,15267
8,8,68801,56350,3944,3817,4291,650,111,0,0,71211,56558,4702,4377,5380,688,142,0,0,73777,55400,5655,4651,6262,1586,103,74229,57607,5090,4536,6330,1078,184,3638,5551,124,49,173,1999,75843,57851,5304,5404,6726,1048,183,55409,46692,2620,2630,3104,445,75,0,0,53960,46840,2132,2564,1867,417,34,2439,1652,141,98,0,59717,46334,3918,3298,4773,1198,74,59717,46334,3918,2746,4283,147,31,201,2057,56213,48099,2371,2613,2261,493,40,0,0,0,0,0,57644,48044,2696,3307,2771,466,33,3080,2443,38,33,59237,48674,3469,3770,2664,445,14,3481,2207,19,14,39592,19079,19983,37503,16544,20210,38609,18772,16450,37855,16440,19680,35719,21130,12141,35308,19245,16063,35506,18896,15473,35231,19392,15839,39157,20979,16426,43677,25492,17313,43677,24785,16929,37558,21726,14514,33187,18159,14062,33248,21401,11174,32963,21766,11197,32993,18453,13961,32872,18285,12302,33233,20806,11792,38017,22728,14456,41609,24767,16153
9,9,66783,57315,4884,2500,1158,1230,97,0,0,72955,60323,6424,3853,1495,1264,128,0,0,74290,59286,6818,3437,1883,2650,147,75258,61186,7610,4354,1251,1230,33,2815,870,308,12,22,2429,76332,61407,7716,3356,2364,1415,163,48729,42966,2815,1553,720,803,51,0,0,51348,45029,2707,2110,674,810,7,1862,593,337,28,0,55449,45768,4068,2156,1238,1888,87,55449,45768,4068,1698,985,379,35,140,2376,51932,45449,2929,2249,555,743,7,0,0,0,0,0,53282,46485,3630,1449,940,735,8,1085,775,140,8,56212,49175,3554,1701,1020,752,18,1209,724,124,18,31677,13896,17171,30742,11788,18174,32865,11843,18157,32479,11414,19040,29622,14280,12841,29264,12909,16355,29422,12449,15942,29173,13166,16007,33906,13969,18175,39755,16878,21917,39661,16542,20687,33936,14758,17906,30593,12068,17587,30705,15320,14456,30427,15650,14777,30375,12220,17258,30292,12456,16094,30575,13909,16255,35277,15628,18745,40866,17060,23100
10,10,65753,55441,3916,3408,2560,726,92,0,0,71246,60043,3600,4075,3097,608,15,0,0,75066,59146,5747,4539,3508,1995,135,71466,60266,3934,3065,3761,582,21,2137,2869,45,3,57,2155,74542,61560,4866,4114,3470,615,29,47223,40848,2382,1994,1637,483,50,0,0,52046,45424,1814,2448,1965,372,0,2254,1711,35,39,0,56119,45396,3763,2909,2446,1368,90,56119,45396,3763,2389,2001,183,23,143,2221,52548,46009,1971,1740,2361,414,4,0,0,0,0,0,54430,47073,2603,2161,2199,327,8,1912,1781,18,8,56235,47760,3720,2402,1930,338,0,2131,1561,6,0,35257,15066,19711,34182,13190,20331,37489,15413,18567,36900,13809,20933,34524,17843,14014,34141,16276,17865,34296,15569,17618,34002,16219,17783,38881,17893,19050,45045,22335,21692,45017,21736,21181,38537,19189,17959,34638,16059,17633,34718,19578,14305,34393,19979,14414,34354,16130,17461,34229,16196,15958,34707,18691,14985,39970,20500,18536,46207,23304,22025
