ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-24_COMP_Total,E_16-24_COMP_Dem,E_16-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,45704,39039,632,5415,324,373,33,0,0,45011,38473,758,5012,437,464,33,0,0,45667,37481,1107,5468,506,1029,107,44729,38133,915,4841,457,447,27,4086,230,220,25,78,1037,45145,37832,1074,5335,420,440,110,35575,31011,382,3736,207,279,19,0,0,34969,30479,364,3563,195,262,20,3387,141,133,53,0,36062,30246,665,3906,343,796,50,36062,30246,665,3579,223,102,7,63,1177,34986,30468,470,3424,242,262,15,0,0,0,0,0,35472,30441,526,3856,234,281,74,3447,178,42,74,34710,29743,806,3502,166,342,57,3180,123,32,57,21645,7965,13171,20449,6678,13771,21382,5191,15462,21307,7410,13897,15616,5602,9776,15471,5187,10284,19661,5877,13551,22358,5875,16214,22391,6349,15315,19601,5871,13605,21256,5074,15927,21058,4921,16137
2,2,44231,39341,2236,2152,233,331,34,0,0,44167,38447,2716,2474,305,332,111,0,0,43865,37038,2957,2417,384,915,36,43891,38120,2637,2499,431,342,116,1624,203,44,116,31,1114,44159,37968,2810,2570,328,557,31,33608,30622,1308,1332,149,237,20,0,0,33079,30177,1055,1415,175,237,30,1313,131,47,4,0,33462,29191,1723,1470,259,680,29,33462,29191,1723,1230,169,90,1,49,1009,33037,30254,973,1319,199,256,25,0,0,0,0,0,33364,30223,1316,1402,139,254,0,1211,105,14,0,33203,29852,1379,1471,150,304,11,1267,134,36,11,20229,6917,12877,19097,5462,13635,20566,4057,15747,20355,6535,13820,15877,5218,10291,15437,4802,10635,19092,5034,13777,21345,4508,16527,21346,5126,15407,19079,5040,13893,20942,4063,16634,20714,3898,16816
3,3,43420,36698,966,5037,456,402,27,0,0,42835,35651,1255,5127,471,370,18,0,0,43974,34800,1427,5850,574,1221,40,43486,35976,1309,5365,497,368,18,4532,378,132,18,64,1085,44302,36413,1354,5539,550,528,44,33969,29684,576,3180,296,296,16,0,0,33073,28741,651,3208,219,259,4,3105,182,120,12,0,34254,28234,843,3735,394,905,27,34254,28234,843,3366,293,84,14,71,1349,33253,28675,673,3421,252,257,4,0,0,0,0,0,34210,29359,624,3538,309,300,0,3416,278,62,0,34079,29057,727,3564,304,267,60,3351,233,37,60,19932,7676,11885,19110,6831,12279,19970,6179,12868,19875,7837,12038,14638,6430,7971,14443,5793,8650,18583,6854,11445,21448,7407,13719,21347,7450,13165,18618,6956,11504,20436,6789,13387,20272,6450,13822
4,4,46920,41940,734,3629,340,304,62,0,0,45331,40115,949,3635,378,312,6,0,0,45423,39054,1126,3823,369,934,82,45044,39738,974,3703,389,305,6,2957,329,77,3,0,966,45223,39707,1021,3782,375,566,75,36029,32844,413,2316,234,229,34,0,0,34700,31525,414,2427,167,191,4,2249,159,15,4,0,35186,30922,680,2524,255,718,56,35186,30922,680,2243,172,64,16,62,1027,34480,31285,407,2424,192,211,4,0,0,0,0,0,34485,31245,380,2432,132,218,4,2172,99,42,4,34135,30782,358,2440,177,227,9,2174,139,63,9,19427,7104,11916,19437,5771,13666,20341,4310,15277,20082,6457,13625,13792,5411,8077,13581,4430,9151,18400,5347,12722,21509,5439,15757,21468,6066,14247,18420,5445,12744,20537,4916,15361,20241,4853,15388
5,5,43573,39659,979,1852,797,332,37,0,0,45118,40623,1271,2042,897,323,110,0,0,43360,37933,1517,2120,668,1001,46,44998,40494,1253,2034,839,297,61,1456,507,89,61,41,1091,43569,38956,1154,1951,806,380,123,35710,32820,658,1327,675,265,21,0,0,36030,33347,569,1332,541,137,85,1191,331,38,24,0,35488,31532,1008,1508,504,807,27,35488,31532,1008,1200,358,63,9,80,1238,36281,33704,555,1334,453,145,60,0,0,0,0,0,35171,32486,488,1350,479,229,85,1129,361,32,85,35739,32680,580,1592,405,353,56,1359,326,29,56,18685,7162,11110,17987,6265,11722,19299,5414,12831,19231,6995,12236,14043,5905,7855,13884,5200,8684,18061,6173,11540,21017,6551,14114,21089,7078,13165,18240,6261,11780,20472,5861,14276,20295,5641,14654
6,6,43680,42078,481,637,192,299,13,0,0,42664,40498,686,1059,339,213,99,0,0,43835,40620,773,919,280,990,23,42304,40046,743,955,386,293,77,717,155,117,9,3,513,43570,41075,818,964,346,342,71,34945,33782,305,495,128,234,9,0,0,34369,32798,386,750,97,194,10,689,67,93,104,0,35375,33046,485,691,161,773,20,35375,33046,485,607,111,86,7,53,980,34179,32588,416,701,81,296,10,0,0,0,0,0,35144,33502,478,732,61,299,10,688,41,132,10,35635,33725,625,848,126,277,0,776,86,91,0,21263,7808,12960,20964,6821,14143,22501,5090,16510,22442,8104,14338,17044,6550,10151,16837,5831,11006,20942,6204,14439,23713,5607,17808,23743,6286,16562,21099,6193,14729,23664,5041,18324,23496,4977,18519
7,7,42618,38482,1132,2428,394,140,59,0,0,44715,39140,1118,3296,1088,100,12,0,0,46996,39544,1741,3304,1599,714,69,46211,40148,1161,3269,1415,223,22,2134,1210,91,4,179,1284,48265,41487,1204,3535,1633,277,31,32124,29676,634,1444,261,104,31,0,0,32559,29865,413,1985,191,86,2,1711,183,28,10,0,35521,30779,1005,2052,1039,553,49,35521,30779,1005,1701,952,33,35,70,946,33474,30678,439,2038,254,129,5,0,0,0,0,0,35071,31873,340,2341,414,123,5,1854,386,39,5,35699,32152,542,1917,751,398,0,1597,686,95,0,20025,8807,10871,18742,7419,11323,20894,6518,13205,20756,8805,11951,15590,7606,7641,15325,6413,8912,19679,7699,11502,22953,8092,14444,22890,8778,12845,19842,7836,11672,21987,7427,14241,21592,6784,14808
8,8,46748,35591,990,9549,326,416,74,0,0,45011,33569,1177,9723,417,239,0,0,0,45349,33325,1488,9220,386,969,109,45318,34317,1194,9231,469,188,0,8254,352,64,0,13,1126,45318,33681,1481,9395,423,413,4,35171,27651,602,6473,215,284,44,0,0,33650,26191,593,6510,196,196,0,6397,156,82,6,0,34512,26125,938,6434,265,733,59,34512,26125,938,6047,161,109,15,65,1052,33457,26542,489,6136,185,152,0,0,0,0,0,0,34199,26426,497,6754,171,364,4,6452,65,36,4,33610,26324,554,6121,212,528,13,5551,62,21,13,19600,7595,11658,18814,7076,11738,19080,5727,12708,18821,6820,12001,13113,5292,7575,12938,4651,8287,17388,5988,11120,20394,6433,13629,20332,7092,12315,17360,5952,11214,18997,5484,13265,18741,5334,13407
9,9,43411,29287,3727,9151,993,691,428,0,0,43148,27864,4819,8918,1251,759,450,0,0,43420,26706,4554,10083,1273,1131,320,43441,27325,4915,9646,1193,720,341,8118,867,135,231,243,1602,43711,27302,5046,10098,1309,575,311,30135,21359,2110,5698,641,451,234,0,0,30478,20693,2970,5723,528,367,132,5578,425,186,93,0,31552,20292,3022,6651,891,773,194,31552,20292,3022,5923,643,140,118,103,1311,30887,20641,2976,6359,489,316,106,0,0,0,0,0,29979,19989,3069,5847,613,275,117,4914,409,44,117,29103,18657,2978,6229,611,272,149,4981,437,32,149,10968,4287,6536,10231,3781,6450,10648,3397,6834,10502,3628,6874,6678,2817,3723,6581,2363,4218,9677,3462,6001,11779,4049,7464,11830,4452,6763,9650,3474,6031,10733,3501,7092,10553,3423,7130
