ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_SEN_ROFF_Total,E_16_SEN_ROFF_Dem,E_16_SEN_ROFF_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_GOV_ROFF_Total,E_19_GOV_ROFF_Dem,E_19_GOV_ROFF_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AG_ROFF_Total,E_23_AG_ROFF_Dem,E_23_AG_ROFF_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,District 1,47705,34887,1142,10934,280,619,61,0,0,45946,32389,1889,10918,176,1044,4,0,0,44941,30139,1828,11012,384,1418,62,45924,32214,1660,11114,355,918,2,10113,187,79,2,97,1570,44383,29417,1644,12130,401,846,6,36634,27404,738,7946,192,448,46,0,0,35372,25817,967,7834,141,572,4,7759,124,169,55,0,34948,24220,1120,8088,272,1069,37,34948,24220,1120,7730,187,221,18,133,1319,35206,25679,723,8072,270,475,4,0,0,0,0,0,33709,23220,807,8945,310,500,8,8767,134,129,8,34109,22410,819,10227,358,521,30,9846,196,176,30,20226,5803,14129,21351,6110,15241,21880,5534,15829,20743,5446,14949,10127,2821,7306,13451,4141,9211,15636,5251,10385,13039,2881,10158,13131,2931,10200,18972,4855,13858,22807,5943,16586,22271,5388,16432,17808,4477,13099,13916,3269,10423,0,0,0,16891,4085,12526,10665,2168,7991,10501,2486,8015,8892,2550,6342,10660,1716,8650,10414,2328,7957,10464,2295,8169,17149,4152,12770,23123,5883,17041,20677,276,20401
2,District 2,52722,13235,2658,36175,602,460,81,0,0,46074,11023,1973,32017,861,351,54,0,0,45642,9855,2729,31995,731,875,71,46099,10355,2643,32126,875,488,120,31168,664,114,39,11,1103,44514,10426,3120,30199,697,336,49,39929,11528,1826,26003,469,346,58,0,0,34911,9829,854,23544,415,213,10,23399,384,110,81,0,35124,8656,1877,23667,598,680,50,35124,8656,1877,22962,424,132,13,92,968,34280,8818,1077,23631,394,276,40,0,0,0,0,0,33787,8998,1405,22751,422,224,14,22102,419,72,14,32698,8121,2298,21662,504,288,7,21002,456,51,7,18630,14707,3660,18383,15018,3365,16607,12986,3091,15562,11697,3443,6904,5611,1293,8389,6899,1436,11061,9456,1605,7701,5205,2496,7656,5326,2330,13121,10138,2702,16055,12667,3039,15191,11469,3088,12036,9264,2510,8844,6440,2103,0,0,0,11299,8650,2331,5975,4095,1482,5595,4279,1316,5671,4608,1063,5492,3342,1979,5659,4184,1363,5557,4078,1479,10910,8318,2308,14208,11011,2922,12759,7947,4812
3,District 3,51472,12874,903,37177,440,398,49,0,0,48561,10668,750,36254,738,359,15,0,0,46122,8684,1277,35439,421,606,38,47320,9127,1078,36189,703,471,28,35470,581,160,0,98,807,46562,9254,1669,34998,588,458,26,36868,10672,634,25152,300,278,31,0,0,34681,8954,324,25056,173,235,0,24668,148,162,0,0,33920,7450,831,25055,291,466,20,33920,7450,831,24459,230,97,5,84,764,33882,7621,451,25462,199,198,0,0,0,0,0,0,33038,7700,629,24188,234,201,10,23970,170,85,10,31485,6887,512,23426,255,149,47,23198,181,24,47,20973,14781,6022,20985,15647,5338,19520,14536,4574,18222,12895,4913,8213,5921,2292,10739,8244,2428,14179,11453,2726,10118,6409,3709,10002,6656,3346,15976,11802,3890,19218,15058,3866,18397,13680,4063,14607,10824,3535,9964,7008,2638,0,0,0,13214,9846,3070,6415,4311,1727,6086,4494,1592,6460,5096,1364,6052,3661,2231,6135,4401,1638,6016,4244,1772,12545,9499,2782,15375,12391,2815,14187,11723,2464
4,District 4,50096,13730,995,34811,452,403,44,0,0,48950,10405,1402,37086,389,444,0,0,0,46405,9449,1205,34937,367,619,40,48992,11187,940,36620,330,416,80,35867,273,98,0,71,556,49505,10639,555,37714,510,202,0,36898,11524,668,24224,348,304,30,0,0,35382,8684,497,25701,271,254,0,25559,211,66,90,0,34714,8226,799,25017,290,447,30,34714,8226,799,24481,214,108,15,142,729,35931,9599,405,25624,201,262,0,0,0,0,0,0,37006,9115,313,26962,345,154,0,26684,281,43,0,34432,8952,528,24091,349,133,3,23716,322,50,3,20671,14625,5893,21280,15827,5453,19152,14116,4640,18013,12863,4756,8842,6606,2236,11004,8448,2489,14173,11320,2853,10395,6571,3824,10321,6768,3553,15755,11452,4033,18470,13937,4267,17779,12818,4383,14544,10532,3769,10787,7322,3179,0,0,0,13371,9633,3451,7303,4680,2219,7002,4913,2089,7132,5335,1797,6910,3853,2849,7023,4866,2046,6937,4653,2284,12804,9205,3338,15671,11610,3870,14523,10798,3725
5,District 5,43854,32469,1645,8232,1214,422,104,0,0,46805,33376,2259,9883,1035,417,8,0,0,45375,30510,2429,9642,1707,1246,110,47123,34062,2044,9662,1068,498,12,9257,846,325,8,46,530,46248,32422,2016,10206,1218,543,77,32947,25096,1070,5683,857,304,74,0,0,35638,26619,1029,7187,437,351,8,7123,397,283,19,0,34601,24170,1599,6718,1217,941,62,34601,24170,1599,6318,941,182,24,84,1283,35986,27337,1118,6524,471,338,8,0,0,0,0,0,34915,26109,1123,6544,609,400,0,6509,541,137,0,35134,24814,1576,7468,832,355,0,7340,696,79,0,20254,5390,14594,21022,5456,15566,21588,5364,15426,20756,5475,14961,10466,2833,7633,13273,4263,8914,16491,5689,10802,12901,2837,10064,12901,2946,9955,18856,4853,13701,22713,5976,16355,22287,5283,16501,17850,4476,13084,14889,3314,11358,0,0,0,17079,3983,12746,10984,1904,8549,10553,2199,8354,7486,1574,5912,10750,1597,8900,10558,2102,8323,10582,2052,8530,17047,4034,12737,21218,5685,15222,19425,0,19425
6,District 6,44703,36030,1295,5728,1379,448,66,0,0,44389,33371,1256,8011,1501,569,148,0,0,44174,31452,1872,8095,1702,1014,100,42524,30941,1159,8553,1563,537,140,8131,1241,139,71,76,768,40007,29399,1407,7030,1650,597,224,35707,29402,909,4145,993,332,46,0,0,34617,26980,817,5703,737,263,19,5618,653,144,120,0,35273,25980,1324,5824,1248,794,69,35273,25980,1324,5478,1018,127,42,136,1168,33740,25651,829,6084,775,332,4,0,0,0,0,0,31689,24872,802,4953,686,345,14,4856,674,84,14,31210,23543,1043,5458,742,461,46,5216,596,102,46,22231,5256,16697,21780,5299,16481,21234,5794,14256,20565,5595,14569,10939,3099,7840,12400,4336,7971,15294,5906,9388,12110,2889,9221,12192,2688,9504,17820,5244,12184,20567,6862,13194,20472,6007,13895,17026,5123,11509,15669,4872,10501,0,0,0,16419,4741,11205,10677,2232,7811,10209,2621,7588,9564,2559,7005,10462,1589,8548,10231,2435,7657,10254,2515,7739,16080,4913,10798,19054,6808,11810,17563,0,17563
7,District 7,45192,27817,1396,13522,167,2745,32,0,0,46217,27424,1733,14198,239,3108,27,0,0,43279,25219,1404,13287,239,3344,51,46269,28161,1721,13618,241,3215,50,12708,206,1670,27,10,1768,44317,26378,1960,13029,226,3092,45,33982,21832,947,9484,111,1902,19,0,0,34675,21657,1008,10099,127,1825,10,10023,102,1088,32,0,33156,20014,950,9734,165,2401,21,33156,20014,950,9475,124,1377,4,54,1158,34968,22213,1147,9513,160,2014,30,0,0,0,0,0,33220,20847,1175,9293,121,1787,30,9043,99,974,30,33296,20730,838,9737,153,1819,58,9433,132,1020,58,20161,7262,12504,20708,7483,13225,21429,6904,14098,20391,6795,13290,9792,3288,6504,14960,5303,9520,16708,6565,10143,14282,3955,10327,14335,4283,10052,19325,6054,13010,23134,7269,15620,22411,6337,15317,18377,5549,12587,14900,3732,10934,0,0,0,17726,4932,12484,13022,2706,9579,12427,2894,9533,9578,2937,6641,12630,2067,10206,12518,2636,9664,12503,2672,9831,17836,4829,12730,21714,6046,15478,20159,3761,16398
8,District 8,37279,27314,1790,7042,956,358,74,0,0,44173,30826,2272,9453,1168,490,50,0,0,45325,29868,2896,9812,1712,1111,106,43994,30157,2022,10112,1313,314,43,9956,875,182,0,195,609,43939,29005,1836,10346,1312,504,58,27360,20770,1131,4631,644,251,41,0,0,31964,23321,1281,6377,704,291,0,6321,522,191,15,0,33068,22697,1875,6571,1100,806,71,33068,22697,1875,6249,841,134,19,98,1155,31638,22961,1131,6517,824,188,0,0,0,0,0,0,31632,22903,1058,6876,527,243,0,6727,420,155,0,33384,23393,1205,7947,420,389,0,7592,242,50,0,15073,3338,11591,15828,3422,12406,16308,3469,12210,15723,3572,11887,8215,1645,6570,10223,2671,7506,12666,3791,8875,9982,1715,8267,9963,1723,8240,14259,3248,10775,16956,4348,12354,16640,3773,12515,13690,3076,10396,12275,2529,9623,0,0,0,13162,2806,10091,8741,1310,7013,8322,1457,6865,4821,993,3828,8523,1053,7263,8371,1426,6855,8465,1437,7028,13336,2995,10137,17221,4523,12454,16135,0,16135
9,District 9,40317,28947,2560,7749,770,544,85,0,0,44528,30323,3372,9552,1089,369,146,0,0,43401,27005,4204,9904,996,1457,131,45104,31015,3460,9331,1019,480,157,9053,846,118,70,6,542,44999,31407,3563,8916,1038,649,42,29608,21984,1596,5225,534,395,69,0,0,31894,22794,1696,6660,461,245,7,6628,405,97,67,0,31974,20834,2669,6742,702,1052,94,31974,20834,2669,6256,457,195,35,115,1413,33021,23527,1720,6879,420,298,67,0,0,0,0,0,33024,24408,1330,6347,477,366,4,6235,370,82,4,31332,23144,1420,5871,516,311,9,5684,350,61,9,15574,4315,11089,16300,4286,12014,17774,4380,12841,17117,4427,12333,7524,1958,5566,9717,2984,6648,12646,4228,8418,9408,2077,7331,9392,2013,7379,15599,4043,11278,20173,5551,14284,19658,4886,14249,14539,3710,10581,10811,2448,8210,0,0,0,13933,3345,10289,7871,1295,6142,7585,1533,6052,4092,951,3141,7698,1085,6350,7536,1459,5971,7632,1446,6186,14097,3431,10418,18711,4958,13549,17157,0,17157
