ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_SEN_ROFF_Total,E_16_SEN_ROFF_Dem,E_16_SEN_ROFF_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_GOV_ROFF_Total,E_19_GOV_ROFF_Dem,E_19_GOV_ROFF_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AG_ROFF_Total,E_23_AG_ROFF_Dem,E_23_AG_ROFF_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,District 1,108370,80348,5846,18873,2219,1483,163,0,0,114961,80768,7614,22840,2573,1765,101,0,0,115622,72582,9534,27472,3246,3310,209,117958,82864,8562,23107,2594,1526,106,19794,1828,756,12,516,3625,118290,76936,9694,26062,2896,2339,386,80959,61992,4076,12444,1513,1051,101,0,0,84507,63279,3696,14905,1392,1101,15,14447,1287,511,140,0,88311,58228,6554,18890,2328,2457,138,88311,58228,6554,17519,1688,396,41,457,3428,86937,65094,4099,15083,1499,975,11,0,0,0,0,0,87101,62246,4852,17090,1442,1068,285,16178,1365,321,285,87604,59994,5724,18804,1589,1075,360,17226,1293,260,360,46553,12350,33314,47304,13596,33708,53085,14262,36677,50793,13491,36099,21835,5743,16092,31010,13276,17313,36279,15994,20285,30250,8350,21900,30461,7461,23000,48346,14475,32772,63664,20197,42416,61795,17334,42276,45991,14028,30982,36747,10767,25452,36381,10497,25183,44604,12362,31089,27133,5521,19881,26279,6341,19938,18275,4507,13768,26877,3942,22262,25935,6497,18898,25690,6515,19175,45613,13191,31474,58611,19098,38746,56102,15703,39189
2,District 2,118931,43238,3295,71721,681,637,64,0,0,119799,45633,4498,68743,895,571,81,0,0,115780,38572,5849,69747,1016,1301,128,118072,44064,4385,69393,608,788,70,67591,331,147,0,192,1386,112899,41590,4924,65008,834,933,128,88405,35145,2274,50436,480,451,41,0,0,89412,36668,2110,49870,285,290,0,49652,241,109,257,0,88341,31880,4169,51014,748,932,93,88341,31880,4169,49684,556,203,23,208,1618,88493,32822,2170,52577,304,344,0,0,0,0,0,0,85294,31662,2490,49880,368,465,38,49550,314,224,38,87920,32457,3221,50739,623,790,41,50137,546,331,41,56006,36618,18602,56652,38774,17878,54033,35407,17262,49472,29976,18008,23596,15110,8486,40648,30010,10219,43952,33898,10054,37762,22713,15049,37710,21676,16034,49098,31464,16615,58725,38642,19029,54659,32203,20159,46899,30038,15945,36299,21291,14168,35242,20264,14007,44105,26850,16178,31749,17327,12847,30068,16402,13666,21453,13426,8027,30237,13396,15972,30273,15981,13912,29372,16849,12523,44256,26767,16496,54729,34769,19158,51413,34869,16544
3,District 3,100424,28226,5569,60489,6095,1080,108,0,0,122580,35116,7236,73276,6690,1086,136,0,0,119519,31607,10199,71011,6426,2025,134,123629,35434,7371,74595,5880,1075,123,72332,5484,190,4,986,1827,119577,34631,6835,71362,5771,1625,110,76819,23647,4265,44117,4645,804,76,0,0,91596,29062,3475,54239,4114,551,4,53836,4027,193,155,0,91493,26631,6934,52400,5023,1528,108,91493,26631,6934,49912,4490,229,25,589,2683,92099,29646,3495,54526,3698,616,3,0,0,0,0,0,90575,28754,3321,53601,4104,1001,0,52770,3818,256,0,88886,28160,4411,51335,4172,1184,42,50043,3744,262,42,42525,31845,9932,43883,35345,8538,47289,35751,9742,44744,32427,11061,20629,16835,3794,28515,24387,3907,35316,30784,4532,26740,20162,6578,27286,18669,8617,40944,31198,8785,51456,39714,10835,48195,34925,11019,38880,29901,8120,32024,24375,6981,31957,25216,6557,36941,27360,8592,22490,14693,6492,21498,14749,6749,14894,9478,5416,21556,10620,10221,21714,15263,6100,21123,14682,6441,36918,27277,8734,47104,35255,10602,45203,36418,8665
4,District 4,97137,28880,5087,61898,1458,652,89,0,0,112130,34498,4964,71043,1786,759,77,0,0,117821,36632,8309,70341,2511,1637,129,113940,34295,5175,72570,1946,755,54,70159,1658,79,0,519,2056,114585,33726,6618,71182,2094,1744,117,74434,24915,4097,44269,1180,501,58,0,0,85321,29213,2872,51889,810,440,0,51143,672,158,145,0,91406,31010,6010,52284,1928,1292,94,91406,31010,6010,49922,1430,198,23,380,2433,86428,29235,2666,53249,1012,392,0,0,0,0,0,0,87091,29343,3409,52469,1160,541,4,51303,1047,47,4,85198,28004,5065,49895,1321,736,12,48615,1138,144,12,41228,31962,8543,45546,35937,9609,47022,36288,8521,44923,32564,11231,22542,17807,4735,28790,24637,3949,36360,31694,4666,27117,20278,6839,27692,18414,9278,40749,31379,8432,50413,39921,9561,47637,34730,10939,38701,30120,7730,32169,24785,6770,32057,25017,6765,36034,27222,7817,20481,13984,5543,19607,13722,5885,11235,8852,2383,19929,9931,9545,19735,14429,5121,19204,13839,5365,35406,26934,7644,43212,34546,7457,41833,33011,8532
5,District 5,116390,36112,6801,71368,2426,1042,109,0,0,128834,45035,7654,73411,2964,1201,106,0,0,123995,43733,10598,65488,3732,2150,128,130584,45171,8310,73350,3650,1416,100,70795,2707,244,25,546,2795,125640,44027,8237,69388,3599,2428,62,93971,32471,5621,53982,2041,817,89,0,0,101398,38927,4048,56341,1254,676,30,55642,1018,189,230,0,101848,38868,7946,51167,3181,1726,103,101848,38868,7946,48560,2394,221,22,538,3299,103192,38905,4162,57616,1531,718,30,0,0,0,0,0,98371,38013,4026,53573,1690,785,15,52395,1247,162,15,93958,35459,5755,49552,2200,920,14,48176,1593,142,14,50119,41882,7349,53220,45803,7417,58916,49710,6525,55150,43506,10139,26090,22586,3504,33638,30466,2939,44603,41230,3373,31140,25403,5737,31759,23134,8625,49902,41945,6800,62833,54447,7185,59295,48264,8599,46945,39935,5973,37325,31456,5134,37413,33098,4308,44161,36774,6211,24425,18775,4726,23373,18224,5149,13531,11576,1955,23335,13187,9515,23343,18493,4579,23017,18406,4611,44119,36823,6337,58468,49664,7308,55858,48706,6978
6,District 6,108104,79730,3325,22352,2032,830,104,0,0,110788,74508,4933,27175,3682,788,63,0,0,117595,74741,7610,29569,3371,2136,90,112351,74363,4697,28835,3473,1185,57,27745,2381,70,0,394,2697,115478,74782,5380,30147,3713,1075,56,81717,62376,2368,15039,1431,579,61,0,0,80932,58617,1562,18521,1642,478,0,18302,1425,26,93,0,89132,59462,5033,20427,2351,1625,66,89132,59462,5033,19626,2000,197,16,281,2517,81742,58188,1704,19165,1692,647,0,0,0,0,0,0,84916,59685,1653,20781,1983,617,0,20378,1444,64,0,84637,58371,2735,21068,1760,589,18,20499,1405,126,18,56056,13622,41606,55261,14045,41216,60531,15291,43026,58795,15036,42415,32215,8363,23852,41166,16828,24118,45074,19559,25515,40161,10159,30002,40464,9236,31228,54108,15025,38074,62653,17659,43921,61862,15256,44998,51540,14471,36182,43452,11790,31053,42617,1538,37104,48844,12548,35178,33089,7658,23553,32379,7884,24495,21435,5679,15756,33001,4775,26758,32217,7836,24020,31833,8087,23746,48591,12929,34740,58857,17388,40475,57237,16236,40915
7,District 7,123830,32380,10817,74832,6103,1203,185,0,0,128108,30143,12765,80640,5531,1881,50,0,0,124487,25835,16247,76360,6304,2163,196,126873,29959,12178,79479,5531,1093,38,76996,5174,235,10,294,2027,122379,25878,14918,76887,5144,1481,48,91592,26977,8017,52006,4633,817,146,0,0,91399,25178,5045,57217,3030,898,10,56654,2955,292,215,0,94073,22011,10972,55937,4964,1622,139,94073,22011,10972,53476,4476,271,34,494,2339,90883,25078,4257,57596,3252,680,10,0,0,0,0,0,86914,21626,5463,55906,3048,769,4,55266,2945,200,4,83236,19150,6377,53268,3604,867,10,52416,3449,218,10,45776,31164,13972,43650,32578,11072,45341,33636,10294,42576,29468,12036,19215,13922,5293,27013,22260,4484,32857,27641,5216,25256,17761,7495,25631,16380,9251,39016,28867,9292,49015,37619,10642,45580,32539,10930,36554,27329,8451,27622,20039,6964,27824,21861,5921,34124,24893,8339,19379,12871,5462,18610,12719,5891,9883,6906,2977,18704,8757,9520,18701,13208,5228,18103,12442,5661,33313,24271,8249,40242,29835,9587,39372,31978,7337
8,District 8,120316,72885,10707,29905,5895,1936,173,0,0,119818,65768,12185,33339,7099,1891,77,0,0,120920,61642,16133,33544,7700,3400,214,119896,64795,14070,32480,7608,1547,47,30304,6492,534,17,566,3121,120738,62792,14188,35760,7341,2400,189,90566,57537,7600,20376,4267,1339,117,0,0,85098,51676,5397,22806,3880,1185,10,22409,3567,462,144,0,92630,50240,10979,23933,5818,2537,149,92630,50240,10979,22322,4951,671,48,398,3021,85291,52386,5924,21874,4110,1027,15,0,0,0,0,0,87066,51775,5773,23880,4422,1289,64,23390,3857,387,64,84279,47980,6897,23735,4383,1240,29,23020,3858,303,29,49587,17031,31565,48247,18987,29260,50066,18227,30232,47215,15918,29233,20588,6785,13803,29845,15031,14408,32421,17388,15033,28734,8871,19863,29165,7914,21251,43488,15956,26424,54071,20383,32869,51843,17476,31970,40907,15101,24912,31384,10568,20168,30960,12092,18674,38989,13302,24648,24274,6405,16290,23362,6970,16392,11043,3303,7740,23994,4152,19353,23279,6928,15952,22727,6704,16023,38727,13250,24572,48227,17806,29710,45914,20164,25494
9,District 9,119137,88390,13356,12602,4580,852,150,0,0,122386,85867,17771,13171,5576,988,110,0,0,124537,81062,22069,15907,5536,2179,159,120663,84326,16808,13374,5790,1155,78,11946,4874,236,17,558,1894,120789,82130,15089,17013,6403,1571,89,98223,74522,10442,9343,3620,633,108,0,0,90649,71833,6218,9395,2623,426,15,9110,2352,158,191,0,102139,69353,16434,12184,4287,1606,125,102139,69353,16434,9495,3538,188,46,498,2587,88931,69831,6209,9133,2922,579,15,0,0,0,0,0,90262,68382,6358,11502,3205,503,4,10733,2773,65,4,88884,66074,7742,11356,2623,669,7,10442,2202,61,7,54212,15689,37484,51437,16281,35156,56688,20041,33371,54959,17069,36805,27220,9144,18076,36259,18655,17330,42185,23099,19086,34986,10393,24593,35661,8219,27442,49559,18117,30361,58236,22949,34113,57414,19607,36125,47246,17799,28439,40643,15111,25016,39493,13797,24979,44887,15292,28415,29432,7013,20912,28199,7200,20999,14659,5185,9474,28952,4101,24192,27715,7542,19777,27548,7737,19811,44817,15791,28158,55656,22647,31693,52727,16544,35178
