ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BARN1,41201,38312,862,985,468,353,38,0,0,40498,37374,859,1186,705,294,76,0,0,42974,37132,1341,2070,763,518,41,39835,36352,1271,1195,641,296,81,794,518,76,8,718,42823,38371,1470,1066,834,445,33,34954,33108,547,569,309,230,28,0,0,33991,32533,410,516,276,240,10,432,246,175,10,35,0,37445,33268,916,1380,580,369,32,37445,33268,916,1071,413,52,14,1340,33792,31919,600,674,370,255,10,0,0,0,0,36811,34422,863,638,545,390,10,561,406,105,10,37590,34490,1251,861,807,215,9,605,633,8,9,26498,14722,11287,26183,14127,12056,19181,10316,8865,19580,8324,10368,26463,14216,10419,23381,12433,10216,23037,5556,17411,23340,14560,8775,22625,12767,8766,23057,15495,7008,22703,13864,8216,25654,13753,11420,29283,18025,10663,28992,17652,11159,29015,17244,11187,28824,15918,12873,28427,17190,11219
2,BARN2,41163,35464,1439,1967,714,584,64,0,0,41481,33841,2801,3200,883,338,158,0,0,45195,33100,2894,3418,1161,800,90,42167,33008,2661,3771,650,317,185,2983,365,139,98,2373,45796,33479,3355,4302,726,255,69,34083,30014,976,1285,500,379,47,0,0,30570,27362,826,1488,526,272,58,1239,432,135,58,69,0,37812,28841,2015,2395,841,613,80,37812,28841,2015,1719,678,166,21,3206,30628,27288,860,1534,464,274,94,0,0,0,0,32827,29326,1074,1690,439,194,10,1498,346,73,10,33553,30050,864,1824,379,479,4,1459,250,84,4,22287,12163,9706,22659,11791,10868,16071,8296,7775,16381,6543,9153,22947,11691,9683,19406,9768,9015,19116,4718,14347,19332,11485,7837,18815,9964,7859,19153,12272,6385,18933,11040,7380,21704,11157,10146,25034,14750,9851,24756,14478,10146,24528,13701,10289,24222,12667,11521,23921,13770,10126
3,BARN3,43161,38797,889,1457,656,1027,65,0,0,42936,37929,1110,1752,929,1178,35,0,0,44687,38420,1212,1849,885,1264,57,42943,38393,940,1493,824,1037,0,745,541,645,0,1289,45669,40132,1080,1813,1007,1270,52,35103,32119,577,968,434,692,40,0,0,35420,32650,705,852,272,784,0,673,254,729,0,146,0,38062,33665,791,1240,627,874,44,38062,33665,791,714,461,421,8,1521,35532,32871,633,983,276,731,0,0,0,0,0,37790,34747,583,1053,505,794,0,695,363,389,0,38433,35138,728,1013,625,861,5,735,369,344,5,24938,13687,10817,24354,12690,11664,18224,9460,8764,18620,7446,10461,26550,13701,11074,23230,11736,10717,22838,5454,17296,23179,13763,9410,22344,12258,8931,22831,14919,7344,22533,13447,8515,25780,13265,12015,29836,17729,11519,29461,17245,12074,30142,17392,12124,29784,15829,13911,29399,17675,11710
4,BARN4,36909,34659,666,735,339,342,15,0,0,36582,33694,745,1195,560,254,59,0,0,41777,37437,1191,1609,554,436,38,36595,33768,959,1156,533,335,53,653,452,28,7,431,41702,38036,933,1191,732,373,71,32078,30493,458,495,212,255,9,0,0,31110,29740,359,421,363,214,10,391,263,25,10,0,0,37201,33972,841,1136,400,355,24,37201,33972,841,814,283,55,0,982,31440,30305,357,261,300,194,4,0,0,0,0,36350,34810,398,588,353,180,0,323,253,40,0,36974,35018,714,676,340,193,0,409,258,33,0,27221,16822,9922,27039,16352,10687,19974,12021,7953,20295,10197,9349,27382,16579,8884,24495,15056,8800,24148,7712,16370,24411,16690,7708,23868,14740,7668,24149,16883,6475,23875,15831,7360,26704,16208,9989,30356,20851,8826,30112,20410,9575,30006,20423,8902,29793,19096,10673,29408,20040,9349
5,BARN5,42819,40434,665,573,646,387,49,0,0,41360,38279,920,861,787,293,0,0,0,43420,39046,1001,965,925,611,55,41465,37683,861,1008,1180,326,0,699,862,100,0,665,42572,39057,980,913,958,363,0,33272,31722,425,380,384,261,25,0,0,33594,32158,578,339,321,191,0,244,260,84,0,18,0,36054,32973,714,620,664,435,49,36054,32973,714,334,517,106,8,1104,33605,31857,574,440,567,277,0,0,0,0,0,34777,32953,708,413,473,273,0,340,405,112,0,34765,32944,724,390,472,242,0,238,351,87,0,24483,12391,11733,23889,11312,12577,17346,7980,9366,17724,6276,10724,25515,11731,12048,21564,9761,11080,21088,4656,16363,21509,11475,10025,20707,10259,9342,21184,12767,7888,20846,11224,9013,24232,11302,12444,28268,15242,12438,27961,14959,12821,27601,14155,12828,27276,13000,14238,26989,14544,12426
6,BDN,37336,32122,1507,1863,590,634,36,0,0,39119,33800,1276,2363,909,659,171,0,0,45798,35545,3115,3026,1151,877,142,39142,32070,2412,2945,919,808,299,1614,559,459,7,1462,45482,35936,3097,3259,1376,859,76,30570,26781,1069,1335,406,445,24,0,0,30435,27747,830,928,519,239,0,776,351,155,0,193,0,38543,30761,2245,2374,840,681,95,38543,30761,2245,1688,564,200,13,2253,30823,26615,1425,1478,525,480,0,0,0,0,0,34340,29867,1602,1848,442,344,15,1546,381,146,15,34828,30188,1562,2048,470,329,28,1734,367,104,28,23444,16465,6534,23926,16350,7576,15845,10638,5207,16093,9033,6406,25106,17058,6360,20392,13992,5671,20208,8293,11883,20279,15189,5087,19643,13352,4888,20113,15145,4177,19808,14342,4714,23416,15874,7068,27652,20552,6559,27276,20132,7023,26820,19135,7037,26450,18190,8232,26039,18966,7057
7,BERK1,44142,40957,1036,1143,828,350,46,0,0,42415,38061,1651,1489,1023,440,63,0,0,42503,37145,1557,1497,1058,913,41,42115,37620,1641,1296,1204,523,40,708,971,89,17,1031,42646,38103,1562,1181,1312,513,12,35905,33596,738,738,679,274,30,0,0,34695,32015,1133,696,555,265,14,564,469,71,14,47,0,35442,31423,1130,1015,853,720,28,35442,31423,1130,637,659,47,6,1385,34570,31895,1135,606,611,282,20,0,0,0,0,35115,32530,1097,534,694,249,10,395,478,32,10,36043,33143,989,689,951,261,5,490,712,42,5,21564,15970,5083,20532,15792,4740,12255,9108,3147,12601,8477,3523,21373,13384,6298,16982,11755,4695,16834,7651,9162,16730,12065,4624,16329,11428,3771,16646,12103,3781,16437,11762,3806,19422,12650,6323,22725,15480,6734,22210,15539,6479,22153,14143,7486,21784,14238,7530,20739,14052,0
8,BERK2,44737,38437,2225,3286,727,313,48,0,0,42767,35620,2891,3379,1015,279,36,0,0,43927,34186,3539,4439,900,806,37,42514,34846,3063,4093,1068,349,30,1759,719,30,30,2045,43730,34685,3690,4517,957,565,12,35251,31349,1356,1889,507,231,28,0,0,33720,29765,1518,1879,324,223,30,1315,259,49,30,10,0,35450,28979,2255,2771,661,629,21,35450,28979,2255,2073,527,63,5,1353,34045,29680,1718,1989,422,153,30,0,0,0,0,34730,29805,2033,2313,370,97,10,1629,280,22,10,34181,29170,2169,2196,387,172,0,1367,332,12,0,20535,15657,4401,19688,15642,4046,11055,8433,2622,11403,7559,3155,20202,13907,4771,16444,11970,3978,16289,7517,8755,16016,12132,3863,15509,11526,2915,15921,12146,3002,15647,11879,2973,18623,13017,5215,21942,16404,5017,21265,16208,4914,20771,14628,5658,20295,14666,5616,19426,13575,0
9,BERK3,42340,39532,1269,703,609,282,25,0,0,41243,37707,1457,959,777,212,20,0,0,42596,37932,1968,839,923,585,47,41298,37972,1533,865,590,225,7,694,502,60,7,335,42387,38467,1577,830,872,202,20,34439,32547,880,421,415,207,13,0,0,33510,31760,753,544,333,96,12,463,265,40,12,20,0,35876,32608,1366,515,638,441,30,35876,32608,1366,350,491,42,4,902,33620,31780,1016,477,223,112,12,0,0,0,0,35200,33015,1117,512,419,138,4,383,297,56,4,35072,33064,917,563,409,83,12,357,356,44,12,23940,17931,5392,22820,17406,5414,15187,11330,3857,15549,10171,4523,24042,16423,5770,20441,15067,4828,20305,9862,10414,20105,15375,4659,19588,14345,3905,19982,15186,3886,19658,14681,4008,22836,16003,6359,26708,19821,6313,26037,19514,6304,25750,18323,6661,24773,17899,6838,24378,15427,0
