ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,D1,170503,156581,5149,5485,2531,1315,153,0,0,165931,148900,6922,6142,3338,1220,158,0,0,167288,144311,8198,7263,3380,3062,169,165355,147330,7311,6668,3460,1523,143,3294,2549,292,63,4225,167161,146742,8194,7063,3708,1690,105,136981,127827,3342,3249,1831,993,98,0,0,134295,124585,3981,3278,1501,839,66,2441,1237,249,66,123,0,138745,122621,5517,4629,2502,2391,109,138745,122621,5517,3191,1892,211,21,4733,134785,124300,4594,3233,1580,881,72,0,0,0,0,136775,125395,5133,3558,1734,766,24,2505,1203,218,24,136932,125418,4915,3676,1991,769,27,2327,1566,137,27,88888,63794,22831,84684,62379,22305,54580,38639,15941,56060,33781,18519,89064,55966,25831,73846,50349,21077,73195,32026,41071,72679,52319,20220,70726,48395,16997,72206,51945,16611,71146,50108,17058,82945,53904,27143,96679,66758,27632,94442,66158,27388,94037,61443,30067,91966,60665,31226,88641,57953,0
2,D2,168454,132012,27718,5786,3980,1448,264,0,0,169771,126796,32615,6581,4800,994,359,0,0,167628,120573,32390,7581,5892,2753,325,169559,125843,33112,6570,4882,1035,342,3281,3681,198,0,3276,167012,122649,31885,8178,5753,1308,354,131277,107848,17205,3763,2813,1018,178,0,0,131875,104098,21179,3496,2491,534,0,2876,2074,175,0,112,0,135053,101841,22278,5311,4274,2106,240,135053,101841,22278,3075,3493,185,50,3659,132266,103755,21679,3706,2422,552,0,0,0,0,0,129201,101749,20558,3840,2398,546,0,2959,2031,107,0,129574,101056,21381,3684,2480,655,18,2974,2046,58,18,75286,44939,28539,74895,45533,29362,50270,29401,20869,52479,20528,25958,79794,41544,31983,62908,34071,26468,62080,17649,44285,62300,39348,22925,60194,34337,20936,61644,39162,18722,60459,36420,20022,72540,38092,32584,85598,48456,35049,83538,47551,34711,81453,43246,35950,79988,42747,37148,76725,45708,0
3,D3,164994,66448,62648,37206,4189,2644,568,0,0,165560,57509,73370,35726,4729,1736,316,0,0,168062,52778,77314,38730,5121,4233,593,165263,55293,74910,36485,4939,1631,280,27400,4179,252,14,2712,167575,52439,80309,38548,4832,2286,193,120630,56685,38696,24942,2888,1756,368,0,0,117532,48575,46457,19722,2006,792,8,18771,1856,234,8,277,0,127167,46413,52236,27433,3801,3007,437,127167,46413,52236,21008,3061,250,70,3488,118437,46926,48350,20188,2309,598,14,0,0,0,0,120378,44868,52232,20256,2307,720,0,19145,2067,163,0,119761,44138,52234,20306,2505,616,20,18709,1966,115,20,54455,41138,12319,56845,45516,11329,32373,24306,8067,34096,19411,10832,57875,41598,12855,38870,28304,9119,38645,16499,22011,38330,29925,8323,37426,26585,7968,38306,28308,6781,37586,28088,7187,47894,32905,13958,57997,40865,15958,56215,40263,15335,53875,34122,18343,52317,35375,16788,51049,36341,0
4,D4,164813,146080,7890,6203,4553,963,187,0,0,167220,139060,13338,8367,6875,1100,215,0,0,167192,135107,14438,8622,6902,2484,237,166743,139053,13628,8352,6164,1343,203,5589,4950,88,0,3159,165580,135776,14732,9288,6046,1675,299,129783,117044,5061,4231,3184,659,116,0,0,130748,113845,8020,4611,3627,480,0,4043,3193,117,0,282,0,135770,113147,9631,5951,5079,1877,175,135770,113147,9631,4195,4325,122,32,3898,131293,114488,8087,4764,3302,498,0,0,0,0,0,130527,112790,9135,4790,3126,519,15,3964,2894,14,15,131762,112339,9650,5491,3181,655,12,4319,2945,58,12,85930,49077,35052,83179,46244,36935,58594,32727,25867,61129,22184,32500,88364,43232,38392,71750,37398,31491,70841,17269,53321,71121,44051,27020,68760,39126,24723,70391,44974,22550,69115,41558,23956,82078,41583,38460,96901,54187,40514,94639,53467,39975,94683,49996,42451,93274,48429,44711,89547,55044,0
5,D5,164628,142355,7984,5734,8164,1546,180,0,0,167070,140358,9444,7084,9531,1692,550,0,0,167716,132584,11701,7756,12491,3093,306,167353,138823,10043,7250,10340,1656,619,3917,7946,205,278,5860,160609,132873,9647,6563,9621,1544,320,135677,118998,5450,4133,6573,1165,121,0,0,133375,117700,6002,3690,4658,971,53,2922,3806,343,53,404,0,141797,113977,8443,5918,10801,2399,202,141797,113977,8443,3753,9221,216,42,5526,133785,116835,6414,4027,5209,832,83,0,0,0,0,128555,112950,6081,3614,4805,870,52,2503,3874,76,52,135701,116696,7395,4292,6100,887,28,3190,4767,59,28,79266,58486,18796,78195,58826,19369,52415,39025,13390,53585,32224,17248,82929,55340,19854,68743,49713,16565,68294,33263,34926,68301,53429,14841,66236,45679,13775,67502,50118,12171,66766,48392,13052,76470,52963,21339,86356,62923,21034,85232,63100,20900,84147,58200,22880,83137,57849,25139,78387,62569,0
6,D6,158037,142893,6369,4679,3591,1142,142,0,0,163275,143610,8650,5282,5590,926,201,0,0,167231,138752,11717,7845,5203,2785,231,163832,142832,8777,6557,5333,1293,166,4429,4375,89,87,2932,167640,144284,9991,7628,5055,1496,160,121580,111940,3920,2846,2326,789,82,0,0,127156,115665,5064,2684,3168,446,60,2384,2782,81,60,136,0,133695,114018,7723,5182,3787,2068,156,133695,114018,7723,3727,3141,225,35,4148,126936,114710,5278,3212,3003,572,54,0,0,0,0,130284,116842,6132,3375,2995,757,60,2790,2491,120,60,131326,116511,6604,4109,3054,831,49,3309,2539,119,49,79518,41941,35712,78651,40207,38444,55687,27797,27890,57595,20415,33697,84184,37794,38628,68700,31789,33736,68043,14757,53024,68290,38859,29400,66185,33281,28325,67689,40959,24392,66593,37568,26198,79036,36845,39786,93753,48780,42368,92312,48992,41537,93454,45785,45488,92519,43283,49142,85174,54713,0
7,D7,175429,160288,8864,2905,2648,1202,147,0,0,181155,158208,12970,5735,3923,1137,369,0,0,181709,152991,15631,4997,3863,2822,199,181375,157928,13336,5883,3685,914,306,3322,2101,101,39,4229,181750,154602,15574,6954,3574,1346,203,132774,123472,5364,1652,1673,836,83,0,0,137805,125520,7312,2287,1826,655,34,1985,1470,128,34,113,0,144738,125128,10373,3095,2722,2123,159,144738,125128,10373,1841,2114,223,36,4301,138709,126177,7662,2601,1650,473,39,0,0,0,0,139569,124562,9446,2763,2075,607,10,2263,1583,138,10,141178,124258,10815,2608,2679,559,29,2008,2118,58,29,86128,43726,40399,84353,41423,42930,57183,26581,30602,59239,19070,36720,92531,39330,44850,73565,31874,38403,72868,14457,58213,72956,39442,33479,70570,33701,31912,72278,41703,28349,71061,38128,30215,86010,38050,45516,103370,51690,48910,101710,51393,49055,103445,48054,52989,102216,44758,57352,92613,57725,0
8,D8,149402,113772,11696,8755,14562,911,181,0,0,157783,108814,16543,12147,19703,1247,218,0,0,166976,106514,17986,14618,23468,2054,170,157513,105813,17731,12481,21411,1315,252,9293,19419,416,101,4036,165675,108229,17557,15100,22541,1206,205,114249,90483,7446,5707,9873,611,125,0,0,109080,85926,9086,5253,8063,597,40,4926,7822,281,40,142,0,131157,88973,12291,9793,16514,1485,122,131157,88973,12291,7957,15670,125,12,4722,108913,84469,9710,5611,8232,667,71,0,0,0,0,114779,88133,10034,7026,8749,625,44,6341,8059,164,44,114990,88187,9674,7158,9327,542,0,6270,8545,70,0,66367,38305,26741,65291,37301,27990,45057,24655,20402,46802,18167,26713,71814,40218,25980,57808,32221,23278,57670,15045,42519,57480,37999,19462,55356,32784,19225,56710,38663,16430,55968,36485,17660,67075,37586,27864,79942,50167,27814,78691,49827,28182,76502,44654,29458,75482,43193,32173,73228,49427,0
9,D9,149343,96542,27898,16435,9501,1577,266,0,0,151654,94131,28664,19739,10813,1601,193,0,0,167438,92795,36518,23729,13205,2861,304,152836,94529,30150,19315,10908,1530,169,13893,9651,193,31,3860,165969,96764,36488,20446,12985,2028,333,115452,79788,18044,10872,6947,1107,183,0,0,111209,77729,18194,9372,5149,655,24,8691,4780,274,24,214,0,133470,79579,25551,16642,10331,2118,217,133470,79579,25551,12918,9444,200,38,4419,112221,78416,18676,8800,5535,702,25,0,0,0,0,118632,81705,20972,8406,6768,654,61,7293,5889,96,61,119294,80020,22085,9699,6596,549,59,8610,5634,35,59,57653,36998,19480,60292,38898,21394,37887,23357,14530,39258,18696,18605,62416,39501,17976,49203,31026,16366,48951,16753,32046,48767,34491,14237,47256,29778,14041,48444,34595,11670,47688,33024,12674,57392,35630,20327,68502,46186,20557,67286,45850,20807,64149,40481,21568,63006,39557,23205,59856,44473,0
