ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1A,46235,43795,408,1556,322,225,26,0,0,44188,41350,562,1736,392,286,111,0,0,42812,39874,515,1175,435,604,58,42868,39927,515,1186,435,606,57,44361,41494,615,1676,444,285,67,1302,353,25,13,507,43239,40425,676,1355,449,227,80,36903,34949,288,1299,236,172,15,0,0,35818,33802,406,1329,153,160,10,1182,128,48,10,38,0,34722,32438,351,920,337,484,47,34722,32438,351,778,233,50,2,783,35914,33904,414,1304,179,165,14,0,0,0,0,35046,33207,395,1150,198,144,23,1040,158,28,23,34511,32810,319,814,238,324,0,735,203,62,0,18850,5525,12942,18753,4702,14051,20502,4005,15533,19430,4426,14305,15728,4407,10820,15865,2176,13497,15532,3717,11810,18043,3964,13701,21900,5135,16324,22727,5377,16817,22215,3955,16745,21684,5287,16367
2,1B,51070,45133,510,4705,492,278,38,0,0,49356,43103,845,4698,612,281,27,0,0,47008,39677,798,4777,693,965,52,44733,39270,738,2995,690,947,50,48661,42196,882,4778,607,278,25,3968,351,99,5,1135,46679,40253,926,4549,653,418,32,41499,36716,338,3913,362,205,28,0,0,40067,35475,505,3571,269,251,15,3383,168,70,15,33,0,38601,32910,550,3833,505,709,30,38601,32910,550,3407,394,78,11,1183,39714,34999,510,3659,309,238,12,0,0,0,0,38034,33502,547,3392,365,222,8,3095,279,61,8,37737,32891,561,3462,332,431,29,2937,266,142,29,20951,8119,12328,20087,7453,12634,20885,5891,13896,19920,7312,11702,16246,6459,9099,16344,2982,13116,16013,5455,10548,18327,5805,12029,21111,6774,13890,21948,6803,14566,21486,5454,14501,21058,7357,13641
3,1C,44001,39939,1121,2229,553,257,33,0,0,43712,37590,1521,3669,779,347,47,0,0,44906,38030,2152,3107,716,883,61,44980,38085,2153,3128,725,866,60,42947,36468,1278,3845,1056,282,42,2896,516,47,24,1628,43248,36814,1508,3389,1277,368,40,34703,31747,815,1643,358,188,21,0,0,34115,30323,659,2420,375,284,11,2170,349,78,11,68,0,35969,31109,1394,2261,512,646,38,35969,31109,1394,1928,397,46,19,1000,33664,30288,607,2290,511,247,5,0,0,0,0,33688,30595,675,1993,573,183,7,1729,314,20,7,34423,30286,968,2570,596,157,0,2228,238,8,0,19261,6678,12218,19855,6334,13521,20776,4511,15287,19859,5549,13582,15788,4619,10567,15904,2187,13494,15515,4288,11215,18063,4412,13221,21023,5326,15304,22415,5624,16308,21870,4381,16089,21598,5882,15680
4,2A,86446,74092,2477,7798,1618,617,87,0,0,90086,74323,3471,10023,2474,526,356,0,0,89013,70235,4670,9739,2603,1842,182,84500,69157,4410,6586,2602,1816,174,91045,74986,4256,9704,2227,552,125,8159,1497,81,56,1952,90825,73532,4954,9843,2183,786,127,67738,58297,1611,6377,1073,416,55,0,0,70001,58909,1772,7443,1226,356,80,6922,1001,82,80,319,0,71338,57282,3182,7618,1762,1373,102,71338,57282,3182,6828,1414,140,35,2248,71293,60709,1950,7339,856,379,117,0,0,0,0,71236,60295,2326,6977,913,496,99,6224,622,128,99,70453,59092,2662,6755,1287,490,86,6088,943,114,86,38050,15063,22336,38023,14419,23604,40827,12021,26357,39563,13518,24568,32111,11922,18827,32205,6092,25665,31493,11433,20047,36402,11725,23628,42815,15436,26372,46653,16453,28916,45944,12580,31153,45207,16576,28548
5,2B,39841,29267,2236,7629,701,394,71,0,0,39623,26882,3451,8447,932,612,72,0,0,43625,26267,4300,11153,1316,1159,90,43891,26370,4311,11190,1307,1095,83,40335,26610,3697,8961,1019,736,82,6530,673,88,53,2562,43430,27371,4220,11080,1054,533,95,29556,23316,1319,4325,487,274,42,0,0,28688,22096,1273,4570,451,264,6,4105,390,36,6,110,0,32620,21587,2595,6961,899,853,59,32620,21587,2595,5847,683,68,15,1631,29027,20623,1477,5303,602,276,5,0,0,0,0,30960,21182,1788,6780,558,160,8,6055,432,24,8,30236,19726,2257,7081,597,188,0,6275,434,22,0,13372,7607,5518,12893,7483,5410,14095,6733,6362,13246,7004,5458,9837,5631,3739,9792,3627,5950,9673,5568,4091,11810,6092,5294,14633,8040,6210,15242,8059,6681,14943,6718,7512,14682,8142,6503
6,3,101430,64885,12022,17724,6848,1076,192,0,0,112011,66713,16511,20719,8341,1386,306,0,0,125990,66505,22519,25748,10203,2911,283,126161,66559,22538,25827,10235,2609,277,113609,68065,16261,21842,8015,1101,200,17903,6492,268,130,4281,124343,71190,19693,23331,9837,1579,184,76355,51925,7902,11632,4719,743,138,0,0,76894,53162,6220,12722,3907,494,64,12209,3536,267,64,363,0,96136,55547,14694,17584,7196,2020,188,96136,55547,14694,15288,6218,161,71,3660,79597,54625,6980,13076,3897,441,95,0,0,0,0,86439,57786,8135,14449,5082,382,14,13500,4597,142,14,92227,57646,10225,17092,6235,503,17,15502,5811,123,17,43752,25856,17248,41414,24909,16505,48878,28401,16605,47379,27512,17576,41854,26959,13109,41810,18223,22998,41456,26684,14734,46934,27914,17359,60566,39732,19107,65657,42490,21019,65105,35648,27730,63842,42427,21257
7,4,113187,99365,4598,4867,3935,796,127,0,0,119443,100489,6638,6969,5334,823,79,0,0,126452,100717,8657,7394,6898,2624,204,126536,100783,8658,7438,6932,2605,205,121828,99430,7975,7702,6583,1084,134,5724,4689,168,30,3638,130053,102356,9175,10091,7879,1413,159,83627,75086,2773,3025,2378,521,77,0,0,88799,78789,2839,3726,2941,390,10,3368,2422,210,10,136,0,96077,79252,5480,4735,4458,1817,123,96077,79252,5480,3773,3618,137,23,3445,90094,78359,3432,4331,3517,417,25,0,0,0,0,96386,81444,4562,5783,4021,362,14,5207,3120,111,14,98428,81554,6052,5730,4504,398,22,4933,3621,64,22,59002,25068,32939,63606,26905,36701,67836,25566,37137,66373,26558,37451,57961,25719,29711,58202,13927,43638,57211,24905,32278,63769,25227,36461,75487,34783,38496,80551,36546,41465,79888,28125,49232,77881,36230,41497
8,5,128449,116592,3484,5254,2657,761,104,0,0,128185,112753,5399,6217,3689,955,196,0,0,133781,111978,6578,7445,4782,2583,188,133491,111969,6568,7204,4807,2557,182,130669,114113,5614,7062,3778,860,160,5026,2591,332,13,2762,134479,115364,6211,7702,4266,1115,131,96344,88462,2206,3616,1672,527,63,0,0,98075,89488,2391,3651,1699,499,4,3351,1518,244,4,310,0,104073,89360,4163,5240,3117,1789,112,104073,89360,4163,4376,2410,167,20,3313,99172,90028,2486,4181,1751,502,10,0,0,0,0,101704,91243,2854,4875,1939,580,15,4284,1504,135,15,102644,90492,3734,5377,2399,573,9,4650,1778,53,9,64846,22279,41345,65593,22434,43159,71881,21837,44494,70673,22723,46046,57868,20964,32327,58249,9623,47984,57248,20780,36440,65457,20838,42123,77477,29170,45497,78364,29556,46140,77851,21176,53910,75451,28547,45093
9,6,124723,94050,5789,21305,2605,2080,182,0,0,123519,86416,7955,25221,3175,1692,164,0,0,130703,80332,14211,29037,3583,4460,183,131282,80635,14226,29110,3605,4267,171,124763,84965,8392,27011,3519,1704,135,24143,2814,538,21,3551,129465,82800,11500,29942,3887,2181,38,96445,76561,3633,13571,1822,1371,116,0,0,91192,70788,2761,15155,1406,874,14,14745,1246,408,14,189,0,100708,66954,8774,19495,2575,3210,128,100708,66954,8774,17595,2015,628,29,4297,91877,69725,3282,16105,1710,938,20,0,0,0,0,95208,69093,4894,18132,2026,925,0,17228,1754,309,0,94638,67243,6040,18099,2084,1022,20,16760,1597,281,20,48634,21877,25686,48662,25331,23331,55686,22372,30876,55088,25746,27515,41098,19017,19082,41525,9953,31101,40754,18532,22196,47224,19393,26481,50089,20733,28160,50667,20130,29208,50108,16542,31348,48628,20105,27029
