ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,141306,128867,2039,8490,1367,760,97,0,0,137256,122043,2928,10103,1783,914,185,0,0,134726,117581,3465,9059,1844,2452,171,132581,117282,3406,7309,1850,2419,167,135969,120158,2775,10299,2107,845,134,8166,1220,171,42,3270,133166,117492,3110,9293,2379,1013,152,113105,103412,1441,6855,956,565,64,0,0,110000,99600,1570,7320,797,695,36,6735,645,196,36,139,0,109292,96457,2295,7014,1354,1839,115,109292,96457,2295,6113,1024,174,32,2966,109292,99191,1531,7253,999,650,31,0,0,0,0,106768,97304,1617,6535,1136,549,38,5864,751,109,38,106671,95987,1848,6846,1166,912,29,5900,707,212,29,59062,20322,37488,58695,18489,40206,62163,14407,44716,59209,17287,39589,47762,15485,30486,48113,7345,40107,47060,13460,33573,54433,14181,38951,64034,17235,45518,67090,17804,47691,65571,13790,47335,64340,18526,45688
2,2,126287,103359,4713,15427,2319,1011,158,0,0,129709,101205,6922,18470,3406,1138,428,0,0,132638,96502,8970,20892,3919,3001,272,128391,95527,8721,17776,3909,2911,257,131380,101596,7953,18665,3246,1288,207,14689,2170,169,109,4514,134255,100903,9174,20923,3237,1319,222,97294,81613,2930,10702,1560,690,97,0,0,98689,81005,3045,12013,1677,620,86,11027,1391,118,86,429,0,103958,78869,5777,14579,2661,2226,161,103958,78869,5777,12675,2097,208,50,3879,100320,81332,3427,12642,1458,655,122,0,0,0,0,102196,81477,4114,13757,1471,656,107,12279,1054,152,107,100689,78818,4919,13836,1884,678,86,12363,1377,136,86,51422,22670,27854,50916,21902,29014,54922,18754,32719,52809,20522,30026,41948,17553,22566,41997,9719,31615,41166,17001,24138,48212,17817,28922,57448,23476,32582,61895,24512,35597,60887,19298,38665,59889,24718,35051
3,3,101430,64885,12022,17724,6848,1076,192,0,0,112011,66713,16511,20719,8341,1386,306,0,0,125990,66505,22519,25748,10203,2911,283,126161,66559,22538,25827,10235,2609,277,113609,68065,16261,21842,8015,1101,200,17903,6492,268,130,4281,124343,71190,19693,23331,9837,1579,184,76355,51925,7902,11632,4719,743,138,0,0,76894,53162,6220,12722,3907,494,64,12209,3536,267,64,363,0,96136,55547,14694,17584,7196,2020,188,96136,55547,14694,15288,6218,161,71,3660,79597,54625,6980,13076,3897,441,95,0,0,0,0,86439,57786,8135,14449,5082,382,14,13500,4597,142,14,92227,57646,10225,17092,6235,503,17,15502,5811,123,17,43752,25856,17248,41414,24909,16505,48878,28401,16605,47379,27512,17576,41854,26959,13109,41810,18223,22998,41456,26684,14734,46934,27914,17359,60566,39732,19107,65657,42490,21019,65105,35648,27730,63842,42427,21257
4,4,113187,99365,4598,4867,3935,796,127,0,0,119443,100489,6638,6969,5334,823,79,0,0,126452,100717,8657,7394,6898,2624,204,126536,100783,8658,7438,6932,2605,205,121828,99430,7975,7702,6583,1084,134,5724,4689,168,30,3638,130053,102356,9175,10091,7879,1413,159,83627,75086,2773,3025,2378,521,77,0,0,88799,78789,2839,3726,2941,390,10,3368,2422,210,10,136,0,96077,79252,5480,4735,4458,1817,123,96077,79252,5480,3773,3618,137,23,3445,90094,78359,3432,4331,3517,417,25,0,0,0,0,96386,81444,4562,5783,4021,362,14,5207,3120,111,14,98428,81554,6052,5730,4504,398,22,4933,3621,64,22,59002,25068,32939,63606,26905,36701,67836,25566,37137,66373,26558,37451,57961,25719,29711,58202,13927,43638,57211,24905,32278,63769,25227,36461,75487,34783,38496,80551,36546,41465,79888,28125,49232,77881,36230,41497
5,5,128449,116592,3484,5254,2657,761,104,0,0,128185,112753,5399,6217,3689,955,196,0,0,133781,111978,6578,7445,4782,2583,188,133491,111969,6568,7204,4807,2557,182,130669,114113,5614,7062,3778,860,160,5026,2591,332,13,2762,134479,115364,6211,7702,4266,1115,131,96344,88462,2206,3616,1672,527,63,0,0,98075,89488,2391,3651,1699,499,4,3351,1518,244,4,310,0,104073,89360,4163,5240,3117,1789,112,104073,89360,4163,4376,2410,167,20,3313,99172,90028,2486,4181,1751,502,10,0,0,0,0,101704,91243,2854,4875,1939,580,15,4284,1504,135,15,102644,90492,3734,5377,2399,573,9,4650,1778,53,9,64846,22279,41345,65593,22434,43159,71881,21837,44494,70673,22723,46046,57868,20964,32327,58249,9623,47984,57248,20780,36440,65457,20838,42123,77477,29170,45497,78364,29556,46140,77851,21176,53910,75451,28547,45093
6,6,124723,94050,5789,21305,2605,2080,182,0,0,123519,86416,7955,25221,3175,1692,164,0,0,130703,80332,14211,29037,3583,4460,183,131282,80635,14226,29110,3605,4267,171,124763,84965,8392,27011,3519,1704,135,24143,2814,538,21,3551,129465,82800,11500,29942,3887,2181,38,96445,76561,3633,13571,1822,1371,116,0,0,91192,70788,2761,15155,1406,874,14,14745,1246,408,14,189,0,100708,66954,8774,19495,2575,3210,128,100708,66954,8774,17595,2015,628,29,4297,91877,69725,3282,16105,1710,938,20,0,0,0,0,95208,69093,4894,18132,2026,925,0,17228,1754,309,0,94638,67243,6040,18099,2084,1022,20,16760,1597,281,20,48634,21877,25686,48662,25331,23331,55686,22372,30876,55088,25746,27515,41098,19017,19082,41525,9953,31101,40754,18532,22196,47224,19393,26481,50089,20733,28160,50667,20130,29208,50108,16542,31348,48628,20105,27029
7,7,119261,100627,2814,9771,5841,754,99,0,0,124313,100099,3800,12045,8148,812,233,0,0,129415,96359,5223,15915,9352,2458,176,129596,96460,5226,15948,9401,2407,176,125295,98708,4147,12912,8925,959,168,11114,7591,63,30,3105,129252,97566,5241,16630,8887,1258,226,93809,81282,1773,6358,4100,522,60,0,0,96614,82237,2101,7470,4328,427,19,6856,4014,54,19,101,0,102454,79450,3307,10939,6669,1746,121,102454,79450,3307,9889,6011,171,38,3271,97684,82311,2382,7753,4725,471,40,0,0,0,0,99421,81316,2865,9729,4780,701,14,9133,4443,40,14,97126,76465,3295,11002,5475,717,4,10314,4962,78,4,63121,22401,39452,62487,23410,39077,66742,22796,39956,65865,23186,40869,56668,22999,29525,57219,10768,45926,56177,22436,33708,62668,22047,38588,73520,30096,41491,75839,30718,42742,75438,23236,49765,73726,28412,43138
8,8,120793,74836,5689,32247,8010,1158,174,0,0,121771,64977,7741,39266,10116,1135,348,0,0,128099,59087,9011,47388,11224,2402,163,128487,59191,9014,47361,11257,2277,159,121383,62976,8309,40234,10202,1423,340,37765,8753,212,85,2893,123938,60963,7028,43276,12086,1266,349,94095,62609,3809,21699,5766,791,115,0,0,86840,54279,2788,24054,5008,452,53,23612,4591,166,53,240,0,98961,50302,5927,33048,8393,1739,110,98961,50302,5927,31019,7738,249,30,3245,86968,52476,3487,25305,4880,512,60,0,0,0,0,90733,52431,3402,28190,5878,518,120,27261,5390,180,120,91340,50035,3779,30928,5722,618,108,29785,5239,174,108,53810,28365,24432,54071,31519,22552,57790,32508,21926,56969,32745,22187,46618,28973,14729,46737,18557,27667,46416,28966,17418,51664,29369,20639,55843,34399,20039,56054,34471,19946,55663,29255,24806,54552,33806,19326
9,9,114444,76840,4984,10070,22368,791,169,0,0,123367,73503,5567,11753,32361,844,143,0,0,130237,69920,7725,13445,37676,1634,184,130281,69938,7728,13436,37754,1567,183,125269,74309,6223,11426,33044,913,148,9199,29732,227,67,4941,128609,72235,7377,12539,35451,1183,370,83045,57758,3193,6675,15180,525,114,0,0,83579,57046,3007,7288,15661,282,44,6846,14986,167,44,305,0,97309,56085,5026,9154,25788,1126,115,97309,56085,5026,8013,24668,101,14,2962,83762,56760,3200,6778,16332,218,59,0,0,0,0,86333,55897,3657,7857,18203,509,114,7256,17273,132,114,89081,55871,4425,8360,19630,570,97,7614,18698,224,97,58023,28886,28250,60880,30868,30012,62382,33509,24156,60941,31269,27774,54235,31258,19541,54498,17142,36750,53464,30176,23233,59956,31627,26189,74286,46452,25653,74000,44758,25717,73898,34701,37781,70972,41681,27639
