ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,40635,38949,348,397,234,741,19,0,0,37518,35751,494,525,248,635,50,0,0,37641,35239,470,469,308,1003,32,36993,35043,510,546,244,645,39,271,92,382,18,599,36908,34685,485,574,248,806,98,32742,31562,217,278,147,541,11,0,0,30309,29114,312,270,89,460,4,231,61,282,4,57,0,30869,29303,293,290,195,664,24,30869,29303,293,198,146,222,8,641,30060,28845,311,288,127,438,4,0,0,0,0,30220,28920,298,293,139,525,4,127,78,245,4,29793,28384,375,318,185,515,0,112,95,81,0,21063,12644,7922,19168,11441,7727,20346,8730,10325,15959,1175,5540,15776,6728,7719,18776,7187,10611,20619,8931,11300,20582,6281,13271
2,2,42723,40588,368,308,276,1247,27,0,0,41171,38470,625,505,268,1397,10,0,0,39828,36700,539,398,351,1671,44,41345,38748,396,526,299,1415,12,376,174,979,7,667,40834,38253,540,469,319,1200,12,34181,32868,210,154,189,786,21,0,0,33161,31671,280,232,113,853,4,205,101,642,4,14,0,32177,30095,310,249,247,1124,20,32177,30095,310,153,176,600,3,793,33093,31624,255,216,102,887,8,0,0,0,0,32461,30950,384,255,74,791,4,228,38,498,4,32631,31027,440,181,70,870,0,166,38,468,0,21472,9846,11066,19458,9181,10277,20795,6776,12674,16206,899,7438,16125,5571,9333,19509,5893,12633,21606,7371,13841,21453,5177,15157
3,3,40684,39195,364,313,302,502,34,0,0,40017,37998,635,370,465,583,65,0,0,39736,36974,555,443,332,1038,39,39990,38224,593,362,310,539,79,184,126,151,0,704,39974,38282,474,408,144,408,40,31507,30587,203,139,192,359,16,0,0,31903,30601,420,183,172,484,0,144,34,183,0,38,0,31862,29888,349,243,251,808,33,31862,29888,349,141,177,128,13,1091,31896,30842,400,155,43,438,0,0,0,0,0,32400,31506,311,181,67,318,4,153,14,68,4,32089,31145,266,211,89,359,0,124,39,52,0,20400,10435,9537,19022,9517,9505,20312,7139,11605,16312,1114,7651,16132,6551,8677,19510,6635,11698,21508,8019,12950,21478,5896,13993
4,4,41731,40243,370,250,305,591,27,0,0,40384,38699,506,250,329,627,63,0,0,40798,37691,653,464,409,1195,54,40208,38399,588,228,355,654,28,177,164,186,11,668,39938,37741,480,320,377,665,23,32840,31899,218,108,191,423,18,0,0,32430,31525,273,103,141,386,8,74,60,247,8,24,0,33009,30878,415,264,242,867,40,33009,30878,415,126,160,174,10,1162,32555,31505,268,181,147,462,4,0,0,0,0,32455,31290,226,250,201,516,14,183,99,179,14,33359,32112,321,268,176,449,33,239,95,103,33,21631,9662,11431,20307,9021,11286,21681,6820,13325,17332,1132,8977,17228,6160,10080,20873,6318,13463,23142,7635,14940,23069,5711,16087
5,5,41139,39806,347,205,268,538,27,0,0,39715,38184,336,388,163,524,92,0,0,39549,36557,535,397,563,1056,61,39644,37735,416,398,338,621,17,140,239,117,0,939,39939,37585,517,391,414,675,30,33097,32196,230,109,179,386,20,0,0,32423,31524,263,117,78,422,60,65,58,127,60,4,0,32429,30204,353,247,384,834,41,32429,30204,353,154,310,122,11,1146,32212,31186,241,156,193,471,0,0,0,0,0,32461,31212,275,166,272,508,24,98,211,71,24,33675,32215,447,235,267,476,21,196,218,42,21,21819,11663,9539,20358,11008,9350,21978,8329,11760,18352,1579,7738,18284,8411,8934,21419,8219,11877,23366,9600,13054,23337,7202,14241
6,6,42504,39300,569,266,283,2125,37,0,0,40861,37076,802,580,279,2309,28,0,0,40704,36398,859,420,387,2397,44,40857,36947,869,556,296,2277,22,254,166,1679,9,875,41109,36626,1030,699,319,2289,49,34126,32075,324,126,190,1412,23,0,0,32664,30387,391,199,139,1493,8,136,103,1104,8,34,0,33388,30383,556,271,278,1646,31,33388,30383,556,153,164,1004,7,1023,32764,30406,466,213,155,1526,8,0,0,0,0,33154,30586,602,266,192,1503,14,160,115,1054,14,33850,31315,545,260,230,1452,17,176,99,970,17,22161,10971,10623,20373,10322,10051,21858,8200,12024,17796,1497,7894,17646,7719,8918,21162,7893,12202,23382,9376,13458,23315,7248,14808
7,7,37566,36092,396,266,491,369,11,0,0,37778,35612,646,450,787,282,222,0,0,38696,35575,681,521,726,786,45,38028,35829,610,554,817,343,126,260,628,178,8,459,38448,35985,542,594,624,327,65,30861,29849,266,160,323,274,10,0,0,30770,29657,364,206,249,229,14,106,241,69,14,23,0,32352,30082,474,342,532,606,31,32352,30082,474,231,382,115,5,929,31168,29931,371,168,415,244,10,0,0,0,0,31846,30418,388,317,434,247,0,235,297,134,0,31811,30130,588,324,392,325,0,228,212,143,0,22910,14107,8335,21306,13199,8107,22834,12580,8689,20335,2352,6229,20236,11913,7242,23071,12601,9093,25168,15088,9395,25206,12176,11110
8,8,38969,36222,414,429,621,1329,22,0,0,38548,35334,521,801,761,1281,69,0,0,38044,34083,702,601,921,1452,49,38325,34850,643,756,905,1329,37,351,545,797,0,1079,38652,34857,927,503,1144,1297,63,32309,30338,288,285,456,958,12,0,0,31854,29734,499,384,329,772,4,252,250,616,4,144,0,32030,28963,501,408,775,1145,31,32030,28963,501,250,579,525,10,1119,32242,29756,634,378,473,930,0,0,0,0,0,32339,29880,603,246,568,937,4,192,414,713,4,32729,30079,765,225,589,1020,4,193,384,562,4,20330,11935,8002,18490,10835,7655,19886,9188,9101,15855,2001,5791,15664,7966,6739,18833,8592,9051,20688,10261,9594,20633,8144,11023
9,9,38455,35695,544,827,711,739,42,0,0,37987,34250,689,956,1165,1088,22,0,0,38214,33715,854,1222,1033,1215,45,37990,34268,921,881,818,1289,0,617,518,454,0,1029,38195,33921,962,1256,743,1046,47,31303,29408,356,517,522,517,35,0,0,30335,28280,378,529,424,714,0,432,269,294,0,65,0,31399,28219,576,820,767,886,31,31399,28219,576,574,589,255,9,1084,30355,28455,478,438,334,658,0,0,0,0,0,30415,28265,521,687,291,623,10,553,202,264,10,31053,28882,592,778,266,516,5,620,225,168,5,18875,10658,7916,17715,10131,7584,19022,9334,8187,15321,1744,5352,15199,8186,6155,18390,9004,8274,20281,11015,8512,20261,8648,10293
