ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,107719,20896,42803,43883,1037,2120,201,0,0,100952,20481,45129,35043,730,1613,284,0,0,90509,16180,41620,32097,837,3195,163,98869,21148,43705,33840,670,1669,292,30145,322,447,120,725,2258,89478,16907,40303,32065,610,1982,233,74507,16419,25985,31677,698,1409,118,0,0,57816,15316,15783,25680,321,759,105,24974,167,337,82,0,63938,12714,26659,23805,623,2261,110,63938,12714,26659,22035,292,219,10,236,1773,57505,16181,15871,24364,281,815,120,0,0,0,0,0,53592,13293,15639,23602,298,793,55,22474,129,262,55,53068,13834,16826,21526,198,822,4,20474,141,189,4,33465,30515,2572,30034,28126,1908,23340,20598,2237,17490,15287,1759,17514,15488,1586,17167,14868,1609,20812,18136,2185,25192,21597,3335,24857,20886,3086
2,2,88173,69817,10653,5824,1126,1298,85,0,0,85625,61257,14111,7671,2315,1194,46,0,0,93168,61982,17437,9472,1910,2890,123,85032,60923,13746,7400,2579,1113,39,6038,1440,262,0,295,2329,91940,61378,18005,9967,2281,1710,7,67675,55942,6495,3796,793,898,48,0,0,62557,49470,6964,4245,944,815,0,4141,657,227,193,0,71913,50533,11427,6563,1409,2148,84,71913,50533,11427,5615,941,243,35,237,2882,62451,49583,6902,4216,924,607,0,0,0,0,0,0,66490,49387,9307,5990,1014,635,0,5586,708,109,0,64520,46746,9292,6548,942,824,189,5848,627,46,189,42133,25968,15341,38749,24345,14404,38384,19374,17095,32105,18633,12705,32209,18989,12114,31193,17318,12234,36928,20366,15421,44461,24052,19707,43767,23855,18585
3,3,80851,64354,3309,8516,4196,478,216,0,0,82129,66044,3521,7917,3862,735,78,0,0,92503,73241,4511,9006,4119,779,91,81680,65353,3304,8176,4199,415,55,7450,1986,121,4,381,3087,89804,71326,3326,8997,4909,565,54,54558,43902,2201,5410,2685,336,141,0,0,46868,38130,1391,5387,1557,328,4,5290,720,155,91,0,64206,50780,3023,6256,3023,570,44,64206,50780,3023,5751,1935,75,4,329,2309,46695,38149,1626,4989,1634,251,4,0,0,0,0,0,53543,44052,1889,5492,1760,298,4,5359,911,108,4,53526,45422,1928,4618,1306,229,4,4429,616,37,4,28023,20965,6514,27895,22322,5573,25786,18780,5842,20979,16313,4283,21116,16356,4226,20575,15613,4258,24633,18751,5304,30219,22941,6919,29432,22494,6238
4,4,98559,4723,1329,92461,333,901,77,0,0,95752,4616,1786,87990,402,1314,233,0,0,92435,3977,2275,85666,520,1227,121,95591,4919,1937,87480,354,1949,108,84950,71,524,16,517,2657,91268,4590,2279,83751,274,1411,185,71359,4004,819,66372,240,632,57,0,0,68067,3373,543,63292,118,689,14,62943,59,374,188,0,67194,3151,1425,62216,310,875,82,67194,3151,1425,60235,93,160,13,266,1851,69165,3832,901,63189,69,812,18,0,0,0,0,0,66886,3729,1202,60969,60,471,18,59854,50,148,18,64958,3941,1640,58402,88,472,34,57296,79,73,34,50437,49004,1157,43846,43410,436,36508,35195,833,27468,25767,1085,27456,26119,848,27012,25303,800,32181,30605,999,38013,36160,1535,37769,35143,1498
5,5,89665,11267,871,76943,831,911,71,0,0,93097,12170,1063,78571,914,861,14,0,0,90105,11728,1350,75845,904,1147,64,93122,11061,1184,77888,1636,821,16,75970,1198,238,0,1461,2009,92062,12306,770,76344,1698,1095,52,67876,9038,619,57696,623,668,47,0,0,71247,9879,619,59754,541,608,0,58793,427,225,124,0,69643,9668,927,58045,663,854,46,69643,9668,927,56182,432,136,11,404,1883,70223,9181,785,59044,727,594,0,0,0,0,0,0,69677,9944,573,57692,716,625,30,56818,588,194,30,69713,10338,772,57014,737,547,56,56078,594,175,56,51148,47861,2976,45486,42804,2682,44103,40557,2760,37455,33994,2826,37548,34522,2402,36774,33232,2354,41860,38130,3014,48257,43747,4124,47990,42842,4069
6,6,89143,78739,1871,5590,2570,682,97,0,0,92411,79165,2760,5946,4290,488,78,0,0,91847,77038,3062,5819,4107,1215,93,92274,78217,3236,6051,3906,530,72,5386,2577,119,0,218,2524,92224,76543,3853,6326,4195,743,89,71250,63902,1291,3851,1868,470,66,0,0,72065,63501,1721,4231,2201,350,11,4087,1845,87,60,0,75083,64119,2161,4424,2961,916,65,75083,64119,2161,3862,2360,102,9,240,2230,72084,63418,2104,4078,2065,420,16,0,0,0,0,0,72894,63291,2500,4120,2467,394,0,3825,1949,54,0,72682,61632,2645,5046,2641,414,0,4458,2078,50,0,56047,34214,20939,54627,31794,22833,55668,33431,19071,52459,33481,18334,52597,34365,17076,51290,31121,17229,56306,35698,19136,63407,41973,20541,63040,39790,22614
7,7,100469,17006,1086,72170,10255,1080,107,0,0,90483,19651,928,56004,13242,559,252,0,0,91202,23034,1331,51081,15329,1043,100,90696,20775,1256,54457,13223,566,261,53330,11996,313,129,477,2421,91892,23578,1055,50969,14205,512,197,72108,12536,752,52383,6395,746,74,0,0,58978,11049,629,41934,4847,356,69,41519,4508,232,134,0,65916,15724,849,38526,10484,750,65,65916,15724,849,37066,9478,125,14,329,2331,59339,11850,668,40985,5343,318,89,0,0,0,0,0,59229,13997,457,38093,6204,370,39,37602,5625,279,39,58683,15361,560,35716,6373,613,16,34931,5622,278,16,42648,41009,1318,36551,35716,835,29942,28169,1274,22346,20570,1214,22395,20777,1089,21950,20128,998,26674,24733,1373,32186,29742,2141,31868,28969,1961
8,8,105313,21589,1422,81475,917,1274,88,0,0,94664,23798,1342,67987,1289,1051,99,0,0,91113,21896,2009,65334,1289,1455,131,94196,24275,1370,66462,1779,1001,44,64564,1117,237,0,398,2235,90695,22861,1845,63832,1698,928,73,81294,18667,997,60862,707,946,69,0,0,74310,20683,929,51301,748,562,25,50705,618,157,218,0,72043,19462,1464,49580,976,1127,92,72043,19462,1464,47731,621,112,23,312,2318,74775,21571,995,50651,1105,591,0,0,0,0,0,0,71210,20603,1410,47747,961,543,0,46955,778,39,0,69685,20435,1378,46394,937,696,4,45457,771,51,4,56828,52610,3708,46722,43703,3019,43206,38395,3455,36307,32012,3500,36424,32673,2937,35695,31215,3013,40152,35706,3500,45146,40523,4106,44952,39472,4359
9,9,95943,10077,1533,82582,1918,1301,105,0,0,96269,20189,1906,70390,3736,832,54,0,0,91712,18978,2518,66301,3464,1400,142,96067,21297,2114,68233,4394,897,195,66453,3838,170,18,252,1923,89763,18216,2168,65854,3501,1019,260,77493,9560,1213,64952,1741,1018,85,0,0,77638,18530,1424,55312,1700,534,4,54709,1552,150,215,0,77775,18116,2004,53978,3222,1091,94,77775,18116,2004,51935,2766,179,18,405,2352,77937,19387,1661,54103,2189,539,4,0,0,0,0,0,73033,16610,1464,52776,1708,649,4,51894,1587,146,4,73561,17791,1749,51372,2046,718,18,50111,1839,150,18,46224,44662,1225,39037,38067,970,36054,33946,1348,30046,27643,1772,30086,28137,1332,29467,27009,1365,33329,31002,1616,37578,35260,1956,37295,33990,2326
