ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,295707,81684,51632,159522,3472,4661,377,0,0,275671,82738,56130,131912,5050,3579,416,0,0,266418,75587,56332,128126,4531,6947,435,272950,83603,54768,129041,5589,3624,406,121988,4428,865,144,1181,5974,261533,76161,55041,125339,4568,4511,317,219882,66219,31540,119155,2804,3291,241,0,0,190071,67114,21659,97236,2060,1917,113,95786,1769,693,417,0,202825,63803,36460,96672,3814,5147,305,202825,63803,36460,91808,2871,588,58,895,6342,190526,68316,22030,95811,2446,1899,129,0,0,0,0,0,184026,63324,23245,93353,2224,1907,79,90870,1798,474,79,182999,63864,24397,90246,2543,2257,224,87087,2149,351,224,124239,109355,13454,107753,95719,12034,92221,74223,15212,73490,59382,12310,73610,60389,11237,71956,57451,11304,84723,68086,14467,100136,79543,19384,99092,77388,18488
2,2,249567,203248,13664,23250,7636,2423,370,0,0,244563,195782,14881,24683,7531,2396,230,0,0,271667,208787,18770,29449,8736,4815,298,243916,193510,15063,25559,8254,1891,127,22957,4287,373,4,643,7079,268770,210707,17193,29757,8698,2382,152,182801,152913,8626,14729,5095,1654,248,0,0,166155,137459,7757,16425,3095,1208,94,15911,1635,354,188,0,201129,157273,12596,20306,6357,3606,192,201129,157273,12596,18205,4108,476,42,817,7612,166410,137214,8224,16621,3203,1123,4,0,0,0,0,0,184340,150304,10118,19043,3459,1282,14,17864,2118,231,14,181464,147610,10738,18526,3147,1475,15,17006,1835,72,15,110505,69945,38340,106203,70573,35630,101512,58191,38224,84781,54584,28540,85141,55179,27445,82698,51102,27951,97353,60418,34261,116777,72179,42971,114586,71353,40271
3,3,297952,29521,2932,254364,11592,3070,270,0,0,268409,36336,3059,213759,14540,2131,309,0,0,260249,36703,4150,202043,16885,3271,273,269063,38064,3338,211792,14867,2219,449,207845,13106,628,137,961,4984,259511,37632,2883,200740,16000,2278,428,216333,24061,2036,182921,7375,2185,195,0,0,194280,26068,1911,159302,5643,1051,100,158140,5230,424,506,0,194647,28341,2782,151230,11766,2429,184,194647,28341,2782,146153,10391,385,46,791,5758,193885,27399,1826,157130,6303,1003,100,0,0,0,0,0,186460,26999,1475,149648,7073,1346,45,147940,6403,522,45,185691,29026,1992,145366,7221,1721,32,142890,6320,499,32,139086,134243,3891,119705,117559,2146,100865,96038,3358,77760,72231,3877,77928,73320,3032,76453,70843,2975,89787,84312,3779,104385,97990,5502,103689,95436,5450
4,4,260177,200848,10733,40000,6531,3434,233,0,0,255857,193710,12493,41265,6492,3435,126,0,0,268307,185749,15738,50820,8175,7596,327,255764,192122,11977,42912,6949,3524,135,37879,5250,597,7,290,7642,266207,188972,14547,51446,7902,4224,166,198107,158856,6701,26277,4559,2386,161,0,0,196402,154992,8164,27293,3420,2481,0,26016,3185,422,268,0,211990,153025,10601,35970,5978,5700,225,211990,153025,10601,32952,4967,720,40,730,8955,196797,154718,7692,28345,3528,2388,0,0,0,0,0,0,203670,153842,8968,34085,3922,2810,25,31816,3231,383,25,203142,152175,9647,34449,4020,3080,69,31303,3156,376,69,129332,79130,47885,112397,67675,44722,126222,62648,57954,110519,62144,46232,110804,63803,43843,107484,58107,44440,124680,66606,54699,148461,77105,69219,146228,76171,66564
5,5,260434,185469,8240,46338,19093,2628,216,0,0,258106,177121,8611,45278,25646,2667,113,0,0,271314,171910,10661,55422,27473,5592,271,258483,174426,8902,48877,25169,3192,157,43216,22568,620,3,269,8479,269693,173410,10855,56999,27034,3532,253,196731,145613,5141,31766,13020,1831,150,0,0,188573,139577,4564,30559,12151,1556,0,29627,11277,476,352,0,213105,140905,7251,39903,20261,4199,181,213105,140905,7251,36985,18874,544,21,797,7728,188546,137540,4888,32273,12044,1917,0,0,0,0,0,0,197350,137908,5823,37915,13530,2090,0,35562,12358,323,0,198498,134107,6618,39887,15581,2195,37,36909,14262,384,37,131980,80826,48973,132548,76429,56119,128657,70776,51805,114082,68461,43629,114270,69922,41478,111576,64246,42807,127839,75119,49532,150868,90012,58859,149208,87404,58864
6,6,268815,40931,3758,223038,1427,2911,158,0,0,271017,34115,4881,228922,1169,3116,261,0,0,263550,28835,5684,226420,1705,4075,223,269653,32687,6689,225875,1600,4155,72,219093,1021,1329,24,2948,5861,265437,29800,5789,226805,1727,4435,186,199748,34148,2372,162159,995,2056,118,0,0,201244,28277,2256,168275,570,1926,18,166985,388,1033,455,0,199124,25137,3673,168063,1213,2973,147,199124,25137,3673,162552,635,504,29,967,5627,200593,27249,3589,166220,849,2290,27,0,0,0,0,0,197604,25844,3336,164927,692,1856,37,162148,596,636,37,195158,26658,3549,161525,770,1759,53,158249,667,456,53,142784,130948,10621,128575,119759,8816,115943,104813,8846,94576,84499,8160,94724,85883,6988,93062,82818,7043,107074,96431,8573,123769,111649,10973,123065,109065,10674
7,7,245283,124108,14375,96905,10483,2406,272,0,0,251727,119509,16645,101068,14449,3834,368,0,0,260872,122169,20125,100936,15405,4077,272,251554,117340,16690,100051,15442,3871,376,91081,12407,735,91,1897,11311,261121,123873,19351,99698,16160,3215,293,188913,100697,8854,71339,7754,1711,187,0,0,184618,95083,7040,74613,5867,2264,216,71704,5239,678,629,0,207372,101066,13290,78961,11818,3098,208,207372,101066,13290,74787,10526,402,67,1014,6220,185020,94791,7283,74791,6094,2351,241,0,0,0,0,0,193166,99955,8623,75864,6968,1775,60,71992,6479,334,60,194534,99610,9912,74986,8110,1734,13,70325,7339,175,13,136156,93968,40715,131049,87473,43576,132763,89961,38360,119472,81914,36071,119608,83437,34139,116933,78426,34911,130736,89863,38541,149006,104602,42859,148371,100925,45409
8,8,256450,203377,5871,23096,23111,1622,213,0,0,259442,190890,6810,26801,33641,1417,410,0,0,270122,188798,9288,27433,39623,3808,192,258508,188916,7817,25166,34394,1891,366,22009,30425,514,145,994,7688,268613,190932,9080,27611,37887,2440,436,198823,161861,3840,16645,15684,1048,152,0,0,188110,151190,3474,20571,11725,854,120,19701,10739,383,226,0,217039,156998,6418,21124,28639,2812,134,217039,156998,6418,19336,27110,313,28,757,6079,189834,151734,3987,19596,13120,742,144,0,0,0,0,0,199073,156488,4842,20193,15546,1118,155,18437,14420,299,155,196903,152993,5505,19689,16677,1238,132,17936,15461,167,132,146804,76744,67967,137911,70462,67449,146354,73765,65623,133989,74250,58121,134322,75565,55925,130769,68556,57623,146269,79486,63595,167568,94354,71012,166174,90610,73481
9,9,243873,191491,6275,12194,32720,1506,379,0,0,252664,188407,8214,12835,42587,1659,187,0,0,258993,183059,9501,13913,47804,3259,217,253186,187153,8617,11668,44279,1436,223,9301,40947,377,95,650,6047,258327,186030,8201,12460,47212,2118,261,187232,151184,4026,8156,22931,1025,285,0,0,176038,144569,3628,8744,18154,649,70,7889,17140,268,332,0,204503,149494,6425,10052,34982,2348,144,204503,149494,6425,8819,33197,263,24,579,5702,176648,143696,3919,7771,20217,725,99,0,0,0,0,0,181994,144723,4198,8226,23198,1164,114,7196,21678,242,114,184431,141740,4179,10597,25823,1258,228,9398,24084,351,228,123717,61810,59976,122421,57957,64464,121344,54567,61477,107802,54615,51784,108046,55241,50496,105145,49455,51867,120982,59061,59380,143288,71478,70147,141554,69113,70602
