ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1A,43550,40949,902,384,634,774,19,0,0,43227,39826,1203,658,764,904,29,0,0,42570,38247,1382,583,794,1371,77,42994,39387,1294,652,798,921,18,390,595,560,0,745,42497,38404,1377,710,795,906,0,32925,31453,487,171,378,466,9,0,0,32720,30980,571,249,391,534,20,193,365,340,20,22,0,32733,30050,822,329,491,846,48,32733,30050,822,188,399,291,18,869,32540,30760,638,231,393,518,0,0,0,0,0,32325,30265,734,276,456,583,0,238,440,322,0,32066,29759,983,347,446,512,15,199,436,137,15,22162,10294,10987,20383,8988,11395,16571,7788,7854,15980,7257,8115,15921,0,0,21721,6051,14008,18320,8288,9407,18196,7047,10371,18223,6619,10945,17899,6309,10785,17902,6280,10583,17970,6582,10793,20201,6949,12423,23450,7057,15864,23115,7501,14018,20174,6449,13035,17955,4912,12377,17700,5006,12686,17642,4775,11989,17688,5329,12349,17857,4369,12385,21204,6662,14035,23411,6620,16344,23003,8958,13377,22846,6226,16597
2,1B,43679,39737,2114,469,359,1190,31,0,0,43087,37897,2565,1135,477,1262,44,0,0,42605,36810,2406,1290,430,1631,77,42958,37413,2636,1220,483,1345,23,786,338,593,5,976,42591,36657,2672,1284,444,1415,91,33231,30943,1181,243,232,696,15,0,0,32114,29330,1294,515,223,760,8,446,191,537,8,32,0,32267,28748,1397,753,275,1018,41,32267,28748,1397,634,144,402,0,864,32118,29114,1523,509,206,767,4,0,0,0,0,31808,28720,1550,402,274,832,8,355,236,440,8,31378,28326,1501,495,238,828,5,302,173,303,5,21833,11433,9566,19989,9726,10263,14106,7249,6125,13604,6829,6324,13596,0,0,20483,6723,12112,16680,8448,7721,16544,7285,8533,16529,6837,9073,16235,6494,8933,16241,6453,8768,16280,6764,8880,18692,7363,10500,21772,7747,13587,21328,8060,11668,18358,6832,10876,15436,4952,9919,15210,4965,10235,15118,4746,9657,15116,5226,9878,15351,4435,9990,19194,6963,11759,21402,7021,13931,20974,8816,11551,20705,6658,14029
3,2A,41758,31379,618,537,463,9117,24,0,0,43074,31220,1030,1112,473,10044,39,0,0,42871,30297,1067,951,573,10141,47,43396,31680,878,1021,602,9778,54,370,250,7766,36,2405,43399,31188,1015,1030,530,10023,54,31469,25196,329,241,304,5511,16,0,0,32080,25338,476,321,137,5783,14,270,90,4952,14,4,0,32340,24491,685,585,382,6137,34,32340,24491,685,410,221,5172,4,1279,32142,25514,437,301,221,5711,10,0,0,0,0,32258,25239,519,356,247,5868,45,256,157,4780,45,32662,25377,578,426,294,5948,21,256,166,4895,21,21034,11276,9200,20071,10974,9097,14445,7679,6050,13850,7275,6123,13892,0,0,20063,7894,10236,16555,8837,7028,16526,7937,7670,16488,8028,7753,16371,7390,7974,16338,7444,7675,16295,7886,7837,18837,8569,9150,22308,10380,11394,21941,9029,10598,18840,8414,9465,16358,7193,8473,16271,7150,9097,16120,6486,8626,16167,7617,8533,16312,7297,8989,20294,9244,10354,22772,10378,11966,22456,11193,10472,22244,10253,11975
4,2B,41349,29235,656,253,206,11449,22,0,0,42231,29129,1030,540,446,11772,60,0,0,42590,28720,681,419,261,12569,72,42509,28664,1327,571,448,11905,64,163,253,8371,10,3337,42072,28421,1455,508,561,11580,85,30693,23380,266,85,115,6984,9,0,0,31204,23588,493,228,247,6708,31,117,195,5632,31,46,0,31919,23420,364,209,147,7642,34,31919,23420,364,54,89,6163,7,1710,31590,23625,636,240,217,6843,22,0,0,0,0,31327,23401,698,222,211,6769,20,93,162,5067,20,31123,23597,540,163,184,6617,9,43,128,4852,9,20947,10355,9969,20060,10066,9994,15191,7480,6960,14637,7049,7093,14681,0,0,20168,7026,11690,17723,8509,8525,17629,7440,9234,17645,7548,9392,17467,6853,9580,17436,6862,9298,17462,7394,9486,19641,7875,10875,22996,8967,13588,22673,8321,12612,19796,7650,11420,17947,6504,10764,17819,6368,11437,17708,5927,10855,17713,6883,10824,17879,6515,11348,21161,8070,12576,23184,8466,14340,22838,9528,12659,22609,8357,14239
5,3A,43805,40792,396,284,223,2176,41,0,0,42746,39085,563,361,205,2609,39,0,0,42417,37934,611,524,328,2667,66,42580,37809,677,347,264,2351,17,224,174,1658,2,1146,42014,37859,810,457,322,2251,36,35849,33894,222,157,150,1456,19,0,0,35407,33011,340,213,95,1751,20,150,72,1177,20,26,0,35341,32203,372,360,220,1856,34,35341,32203,372,220,149,1152,6,1139,35605,33287,414,236,101,1581,8,0,0,0,0,35026,32668,453,257,118,1513,8,144,87,1033,8,34933,32577,524,266,160,1365,0,149,82,888,0,26571,14868,10774,24674,13943,10731,20634,12068,7554,19833,11631,7577,20146,0,0,24706,10364,12348,21908,12506,8654,21826,11284,9547,21814,11274,9728,21564,10394,10070,21473,10434,9533,21428,10885,9757,23770,11466,11259,27037,12476,14003,26480,11967,12784,23839,11253,11701,21774,10370,10560,21662,9996,11654,21522,9554,10789,21623,10643,10963,21836,10007,11806,24882,11786,12467,26653,12106,13986,26244,13577,11922,26218,11746,14452
6,3B,40848,38946,445,464,353,692,31,0,0,41965,39529,742,559,353,807,29,0,0,42337,39034,533,543,516,1166,47,41635,39032,814,492,492,755,14,295,223,330,13,928,42181,39225,545,674,596,945,19,31793,30458,293,331,219,524,18,0,0,32573,31156,385,314,181,508,16,306,155,315,16,8,0,33397,31127,340,352,329,833,28,33397,31127,340,228,206,284,6,1132,32165,30655,394,372,238,458,6,0,0,0,0,32860,31208,324,380,307,630,0,310,232,381,0,33087,31338,402,279,331,718,5,203,249,352,5,24158,14678,8957,23832,14505,9327,17392,10522,6327,16936,10025,6491,17054,0,0,24428,11694,10793,21907,13652,7745,21797,12219,8806,21818,12145,9014,21525,11297,9279,21461,11227,8870,21286,11677,8930,23857,12715,10186,27193,14087,12588,26712,13410,11713,23773,12540,10422,21432,11482,9235,21304,10914,10366,21029,10245,9669,21175,11535,9626,21471,11083,10359,25134,13259,11245,27264,13936,12809,26878,15531,10683,26955,13431,13502
7,4A,37321,32932,1523,1071,995,938,47,0,0,39952,33800,1972,2378,1090,849,69,0,0,42472,33710,2272,3542,1076,1855,72,41351,34622,1969,2652,1253,1006,133,2220,788,612,100,1036,42400,34720,2117,3550,1115,1361,145,29544,26685,914,632,781,571,28,0,0,29914,26845,1017,1012,431,602,50,937,300,481,50,20,0,32226,26776,1347,2022,788,1160,49,32226,26776,1347,1764,583,533,13,1144,30740,27405,969,1055,528,661,100,0,0,0,0,31560,27577,1159,1418,589,698,110,1066,409,392,110,32199,27766,1208,1920,523,737,29,1562,390,292,29,18100,10629,7102,17600,10117,7483,10677,6347,3886,10281,5925,4011,10271,0,0,18153,8954,7313,14838,9659,4543,14746,8689,5217,14747,8426,5551,14539,8021,5555,14490,7751,5474,14482,8324,5538,16792,9405,6288,19623,11270,7827,19179,10099,6992,16312,9201,6201,13234,7638,5031,13104,7567,5527,13022,7090,5136,12998,7706,5276,13157,7023,5317,17421,9980,6749,20058,11294,8271,19558,11983,6783,19211,10561,8621
8,4B,39035,36517,740,318,301,1251,34,0,0,42045,38183,1229,581,406,1726,57,0,0,42530,37941,1111,655,406,2236,76,41108,37287,1282,583,338,1496,38,365,239,766,24,936,42247,38364,1305,547,516,1388,54,29127,27716,375,119,181,765,21,0,0,31049,28958,704,169,220,963,13,130,123,688,13,16,0,31956,29288,598,333,243,1284,46,31956,29288,598,224,145,513,10,1106,30737,28763,813,263,177,813,10,0,0,0,0,31448,29414,778,275,249,784,4,208,197,382,4,31683,29525,776,277,253,856,0,217,175,394,0,20805,10340,9834,20710,9400,11310,13876,6946,6290,13497,6253,6810,13397,0,0,21024,7139,12241,18049,9306,8079,17904,7915,9123,17928,7449,9766,17647,7243,9461,17588,7074,9318,17548,7348,9494,20188,8178,11049,23688,9089,14063,23200,8834,12541,20012,7885,11336,17307,6417,10269,17179,6359,10807,16670,5831,9987,17004,6531,10453,17246,5751,10497,21443,8331,12521,23916,8744,14669,23534,10286,12615,23267,8179,15068
9,5A,40992,39184,472,251,173,963,23,0,0,41980,39443,846,382,308,1069,33,0,0,42553,39113,764,428,302,1591,54,42363,39195,878,406,359,1297,50,229,210,661,5,1173,42814,38992,1041,636,405,1319,50,31642,30595,258,101,95,605,13,0,0,32389,31049,314,176,156,703,12,135,141,461,12,28,0,32998,30910,411,207,204,989,26,32998,30910,411,90,120,351,7,1046,32677,31137,312,199,197,781,8,0,0,0,0,33208,31428,429,254,158,861,0,191,98,388,0,34058,32387,329,285,147,874,9,163,68,257,9,23022,9334,13011,21978,8558,13420,17159,7097,9165,16663,6619,9545,16785,0,0,22636,6085,15081,19710,8037,11056,19663,6717,12098,19685,6755,12239,19434,6050,12423,19375,6179,12093,19410,6391,12383,21993,7046,14084,25693,7741,17459,25358,7541,16235,22496,6969,14811,21074,6270,14069,20960,6096,14851,20826,5763,14132,20852,6783,14062,20967,5772,14495,24448,7502,16380,27219,7869,18871,26848,9314,16873,26596,7596,18978
