ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,87229,80686,3016,853,993,1964,50,0,0,86314,77723,3768,1793,1241,2166,73,0,0,85175,75057,3788,1873,1224,3002,154,85952,76800,3930,1872,1281,2266,41,1176,933,1153,5,1721,85088,75061,4049,1994,1239,2321,91,66156,62396,1668,414,610,1162,24,0,0,64834,60310,1865,764,614,1294,28,639,556,877,28,54,0,65000,58798,2219,1082,766,1864,89,65000,58798,2219,822,543,693,18,1733,64658,59874,2161,740,599,1285,4,0,0,0,0,64133,58985,2284,678,730,1415,8,593,676,762,8,63444,58085,2484,842,684,1340,20,501,609,440,20,43995,21727,20553,40372,18714,21658,30677,15037,13979,29584,14086,14439,29517,0,0,42204,12774,26120,35000,16736,17128,34740,14332,18904,34752,13456,20018,34134,12803,19718,34143,12733,19351,34250,13346,19673,38893,14312,22923,45222,14804,29451,44443,15561,25686,38532,13281,23911,33391,9864,22296,32910,9971,22921,32760,9521,21646,32804,10555,22227,33208,8804,22375,40398,13625,25794,44813,13641,30275,43977,17774,24928,43551,12884,30626
2,2,83107,60614,1274,790,669,20566,46,0,0,85305,60349,2060,1652,919,21816,99,0,0,85461,59017,1748,1370,834,22710,119,85905,60344,2205,1592,1050,21683,118,533,503,16137,46,5742,85471,59609,2470,1538,1091,21603,139,62162,48576,595,326,419,12495,25,0,0,63284,48926,969,549,384,12491,45,387,285,10584,45,50,0,64259,47911,1049,794,529,13779,68,64259,47911,1049,464,310,11335,11,2989,63732,49139,1073,541,438,12554,32,0,0,0,0,63585,48640,1217,578,458,12637,65,349,319,9847,65,63785,48974,1118,589,478,12565,30,299,294,9747,30,41981,21631,19169,40131,21040,19091,29636,15159,13010,28487,14324,13216,28573,0,0,40231,14920,21926,34278,17346,15553,34155,15377,16904,34133,15576,17145,33838,14243,17554,33774,14306,16973,33757,15280,17323,38478,16444,20025,45304,19347,24982,44614,17350,23210,38636,16064,20885,34305,13697,19237,34090,13518,20534,33828,12413,19481,33880,14500,19357,34191,13812,20337,41455,17314,22930,45956,18844,26306,45294,20721,23131,44853,18610,26214
3,3,84653,79738,841,748,576,2868,72,0,0,84711,78614,1305,920,558,3416,68,0,0,84754,76968,1144,1067,844,3833,113,84215,76841,1491,839,756,3106,31,519,397,1988,15,2074,84195,77084,1355,1131,918,3196,55,67642,64352,515,488,369,1980,37,0,0,67980,64167,725,527,276,2259,36,456,227,1492,36,34,0,68738,63330,712,712,549,2689,62,68738,63330,712,448,355,1436,12,2271,67770,63942,808,608,339,2039,14,0,0,0,0,67886,63876,777,637,425,2143,8,454,319,1414,8,68020,63915,926,545,491,2083,5,352,331,1240,5,50729,29546,19731,48506,28448,20058,38026,22590,13881,36769,21656,14068,37200,0,0,49134,22058,23141,43815,26158,16399,43623,23503,18353,43632,23419,18742,43089,21691,19349,42934,21661,18403,42714,22562,18687,47627,24181,21445,54230,26563,26591,53192,25377,24497,47612,23793,22123,43206,21852,19795,42966,20910,22020,42551,19799,20458,42798,22178,20589,43307,21090,22165,50016,25045,23712,53917,26042,26795,53122,29108,22605,53173,25177,27954
4,4,76356,69449,2263,1389,1296,2189,81,0,0,81997,71983,3201,2959,1496,2575,126,0,0,85002,71651,3383,4197,1482,4091,148,82459,71909,3251,3235,1591,2502,171,2585,1027,1378,124,1972,84647,73084,3422,4097,1631,2749,199,58671,54401,1289,751,962,1336,49,0,0,60963,55803,1721,1181,651,1565,63,1067,423,1169,63,36,0,64182,56064,1945,2355,1031,2444,95,64182,56064,1945,1988,728,1046,23,2250,61477,56168,1782,1318,705,1474,110,0,0,0,0,63008,56991,1937,1693,838,1482,114,1274,606,774,114,63882,57291,1984,2197,776,1593,29,1779,565,686,29,38905,20969,16936,38310,19517,18793,24553,13293,10176,23778,12178,10821,23668,0,0,39177,16093,19554,32887,18965,12622,32650,16604,14340,32675,15875,15317,32186,15264,15016,32078,14825,14792,32030,15672,15032,36980,17583,17337,43311,20359,21890,42379,18933,19533,36324,17086,17537,30541,14055,15300,30283,13926,16334,29692,12921,15123,30002,14237,15729,30403,12774,15814,38864,18311,19270,43974,20038,22940,43092,22269,19398,42478,18740,23689
5,5,82983,78608,2004,674,422,1414,84,0,0,83401,77773,2749,963,545,1598,43,0,0,85402,77560,3313,1064,621,2368,160,83973,77029,2855,996,598,1975,57,480,386,825,12,2343,85705,77416,3278,1166,631,1812,110,63457,61009,1072,286,228,884,55,0,0,63245,60702,888,420,282,1001,16,280,228,637,16,34,0,65341,60549,1931,573,393,1495,91,65341,60549,1931,242,242,468,58,1719,63642,60723,983,439,327,1172,12,0,0,0,0,65088,61900,1144,513,299,1225,48,320,189,480,48,66522,62960,1441,581,257,1187,52,404,111,321,52,44363,18156,24799,41801,16431,25370,32363,13578,17097,31449,12510,17912,31588,0,0,43458,10993,29706,36541,14626,20855,36441,12043,22918,36471,12056,23204,36070,10670,23650,35950,11078,22929,35955,11349,23370,41391,12581,27227,48824,13670,34243,48174,13459,31526,42529,12405,28790,39761,10970,27359,39540,10677,28838,39295,10075,27387,39321,12145,27157,39534,9950,27981,46093,13186,31815,51386,13434,37054,50570,16862,32355,50136,13176,36924
6,6,80496,76972,854,751,523,1522,48,0,0,82125,77724,1119,1090,643,1711,16,0,0,84563,77994,1159,1114,836,2508,89,83433,78534,1249,1178,561,1662,50,620,335,723,35,1795,85629,79474,1469,1235,683,1804,46,62526,60495,489,327,325,919,29,0,0,64451,61871,689,435,379,1079,0,328,315,502,0,30,0,66746,62670,701,545,524,1569,52,66746,62670,701,326,328,591,15,1913,65558,62865,751,493,378,1086,35,0,0,0,0,67568,64538,895,566,383,1141,14,362,255,548,14,69102,65993,883,660,353,1119,21,306,241,533,21,45278,21081,23034,43787,19920,23867,34818,16389,17057,33742,15524,17312,34026,0,0,45901,15046,27456,40557,19205,19941,40381,16031,22395,40415,16253,22570,39993,14233,23399,39716,14667,22237,39742,15385,22886,44544,16859,25635,51027,18586,31438,50348,17650,29189,45012,16785,26559,41590,15480,24697,41316,14594,26699,40965,13757,25020,40341,16203,24119,41514,14832,26660,48333,17914,29146,53421,19053,33402,52558,21785,29278,52083,18518,33535
7,7,86660,82480,782,896,480,2215,66,0,0,85787,80257,1066,1402,803,2510,107,0,0,84730,77412,1187,1423,643,3426,100,85462,79412,910,1364,998,2484,134,702,540,1269,33,2312,85259,79240,885,1432,662,2400,85,68757,66236,446,405,296,1434,30,0,0,67909,64627,669,578,426,1567,25,408,353,941,25,75,0,67700,63041,684,766,411,2213,60,67700,63041,684,500,240,839,13,2233,68035,64888,528,546,502,1554,35,0,0,0,0,68292,65177,489,625,418,1642,18,411,226,980,18,68342,65191,522,643,342,1503,37,436,183,696,37,49854,31084,17122,46730,29276,17454,37254,23080,12443,36123,22666,12432,36572,0,0,46477,19945,22721,41089,24340,15197,40908,21741,16901,40903,21863,17281,40435,19831,18011,40244,20141,16760,39977,21055,17268,44392,21620,20564,49904,22251,26496,49004,21505,23855,44053,20654,21598,39289,18020,19462,39057,17526,21488,38681,16672,19468,38798,18976,19793,39293,17089,22169,45775,20847,23653,49478,20888,27523,48868,24301,23178,48775,20388,28345
8,8,84696,75715,1293,2998,1708,3451,77,0,0,84024,74132,1935,3322,2019,3085,120,0,0,85155,71602,2039,4466,2115,4619,164,84207,73894,2117,3494,1871,3262,113,2101,1176,1343,30,3521,85213,74150,2395,3453,2124,3212,113,69085,63284,794,1580,1307,2266,57,0,0,67892,61964,999,1760,1137,1943,14,1427,784,1115,14,111,0,69953,60400,1415,2916,1591,3210,110,69953,60400,1415,2261,1185,1509,25,2940,68140,61875,1066,1810,1104,2142,14,0,0,0,0,69511,62832,1290,1838,1169,2172,4,1441,834,1080,4,69477,62704,1269,1854,1291,2182,17,1383,987,915,17,51136,35006,15032,47737,33095,14642,31468,21641,8841,30348,20630,8962,30709,0,0,47617,28423,14467,42395,31100,9626,42237,28794,11317,42248,29020,11489,41716,27153,12034,41473,26574,11374,41256,28132,11518,45178,30038,12521,49412,33888,14226,48392,30679,13325,43750,29376,12144,37589,26163,9810,37384,26007,11311,36930,24011,10346,37202,26930,10234,37621,26499,11048,45084,30918,12478,49337,33712,14459,48465,34989,11712,48398,33077,15251
9,9,81905,77970,1840,720,504,990,72,0,0,82538,77276,2304,1348,623,1107,34,0,0,84812,77267,2869,1465,783,1902,100,82830,77035,2566,1462,748,1292,34,746,298,490,0,1645,84918,77936,2808,1517,765,1424,79,63989,61738,1043,314,305,625,41,0,0,63816,61219,1042,593,309,733,4,535,202,398,4,38,0,66221,61688,1727,740,476,1142,66,66221,61688,1727,546,300,375,21,1436,64177,61262,1193,688,318,797,0,0,0,0,0,66003,62577,1419,665,438,935,15,447,276,312,15,65574,62217,1370,723,398,801,20,425,298,240,20,47320,20567,25149,44342,18186,26156,32830,14546,16717,31957,13307,17701,31875,0,0,46383,13404,29637,39195,17796,20289,39021,15077,22470,39014,14320,23429,38547,13207,23635,38409,13463,22888,38506,13760,23331,43865,15267,26889,51264,16688,33615,50425,16555,30618,44490,14928,28083,40614,12695,26522,40312,12418,27856,40060,11722,26543,40044,13331,26678,40433,11265,26829,47255,15856,30291,51626,16301,34302,50768,20206,29202,50270,15126,35062
