ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,40705,38816,432,715,494,265,19,0,0,38636,36346,609,878,493,289,48,0,0,36931,34116,657,620,596,758,51,38329,35925,629,876,485,284,55,674,406,154,29,64,448,36903,34522,639,707,512,259,29,32635,31148,305,600,396,197,13,0,0,31050,29575,374,737,164,239,4,661,136,139,18,0,29079,27027,436,443,462,535,26,29079,27027,436,348,366,59,1,61,781,30870,29360,344,706,267,236,4,0,0,0,0,0,29590,28165,419,573,271,195,4,508,213,82,4,28917,27489,486,542,157,236,12,477,122,49,12,19446,7530,11262,16500,5280,11220,17546,4022,12670,17428,5824,10851,17461,5975,10991,17067,5216,11851,17148,5314,10986,14384,4386,9426,16734,4131,12147,18280,4368,13621,18168,4284,13538,17620,3656,13489,17708,3942,13308,17852,3189,14169,17659,3744,13481,17184,4059,12822,18046,4176,13694,17813,4464,12937,17781,3895,13554,17400,3528,13544,17438,3939,12849,17395,4002,12969,17352,3931,12734,17791,3611,13784
2,2,39246,37874,572,263,159,394,31,0,0,37841,35926,747,392,209,592,53,0,0,37183,34722,698,387,276,897,84,37659,35646,852,490,251,455,39,211,195,143,13,20,579,37344,35086,910,473,280,601,37,29458,28616,352,133,90,270,15,0,0,28345,27385,298,210,86,344,18,151,66,158,31,0,28187,26523,439,229,178,646,55,28187,26523,439,140,101,111,21,38,814,28170,27170,377,256,104,289,14,0,0,0,0,0,28070,26880,500,273,126,423,14,200,94,98,14,27927,26721,392,254,157,381,5,211,95,42,5,18516,6508,11142,15843,4643,11200,17148,3117,13234,17179,5482,10706,17194,5387,11259,16919,4339,12580,16942,4692,11357,14229,3562,10088,16272,3162,12630,17960,3254,14487,17851,3327,14145,17434,2822,14127,17446,3061,13971,17607,2528,14569,17370,2944,13966,17020,3124,13639,17982,3097,14735,17832,3627,13813,17780,3118,14329,17462,2717,14392,17483,3044,13749,17480,3149,13950,17413,3056,13563,17695,2673,14593
3,3,39378,35999,1827,629,637,343,45,0,0,38362,34182,1700,1243,891,341,71,0,0,37874,32238,1970,1833,971,858,60,38277,33816,1793,1541,886,282,30,1152,621,63,21,69,749,37792,33093,1934,1468,956,382,29,31119,28706,1219,442,536,240,35,0,0,29661,27695,786,490,315,283,49,368,222,121,23,0,30275,26143,1374,1254,805,679,25,30275,26143,1374,1060,634,66,9,47,942,29502,27475,866,579,358,197,4,0,0,0,0,0,29216,26996,989,571,391,256,15,467,228,91,15,28675,26425,1087,400,401,303,0,297,272,69,0,18327,7897,9795,15337,5719,9618,15972,4459,10753,15902,5594,9698,15927,5706,9814,15476,4879,10597,15571,5206,9645,13311,4397,8528,15183,4377,10429,16182,4641,11283,16102,4398,11460,15767,4073,11342,15831,4216,11272,15907,3606,11933,15750,4066,11342,15367,4068,11035,16075,4170,11734,15925,4195,11325,15832,3690,11805,15547,3657,11588,15576,3906,11128,15583,3918,11311,15568,3778,11115,15767,3518,11917
4,4,39269,37936,377,545,152,265,25,0,0,38192,36422,492,872,201,202,66,0,0,37294,35332,450,563,218,702,48,38109,36210,566,800,309,219,116,541,141,102,40,2,499,37323,35229,537,748,430,298,114,29488,28628,229,336,97,183,18,0,0,28669,27644,223,561,70,141,34,466,66,59,19,0,28186,26867,291,305,143,513,31,28186,26867,291,173,71,55,2,29,698,28681,27632,282,457,118,133,39,0,0,0,0,0,28023,27005,302,400,131,188,14,374,79,42,14,27949,26927,214,506,89,262,4,414,37,13,4,18564,7142,10716,16718,6027,10691,17752,3536,13527,17543,5481,11291,17602,5841,11316,16893,4768,12125,17158,5129,11202,14625,3690,10161,16594,3393,12770,18182,3525,14390,18016,3253,14503,17287,3086,13751,17447,3129,13900,17588,2348,14785,17350,3064,13895,16774,3059,13418,17764,3246,14349,17431,3246,13716,17374,2774,14252,16871,2704,13793,16965,3078,13213,16895,3184,13192,16864,3137,12851,17306,2581,14396
5,5,38948,36030,489,1904,250,299,49,0,0,38842,35528,637,1923,336,305,146,0,0,38880,34643,612,2073,334,931,76,38830,35335,626,2038,340,328,64,1413,217,107,41,70,1021,38881,35236,274,2503,302,350,34,29682,27833,298,1192,162,207,30,0,0,29685,27835,268,1206,160,192,29,1027,146,119,35,0,30014,27196,405,1277,210,699,44,30014,27196,405,1079,142,70,20,81,1021,29740,27820,264,1251,151,227,39,0,0,0,0,0,29960,27850,126,1606,180,225,10,1377,120,52,10,29742,27818,212,1303,153,226,0,1126,107,42,0,17774,6744,10692,16824,5701,11123,18171,4132,13388,18053,5878,11459,18115,5868,11855,17619,5284,12335,17789,5599,11437,15143,4221,10420,17820,4406,12986,19007,4407,14311,18915,4231,14433,18475,3982,14056,18609,4021,14205,18681,3265,14875,18505,4022,14074,18046,4051,13675,18930,4186,14566,18701,4213,14046,18647,3832,14447,18323,3691,14242,18456,3731,14091,18330,4140,13629,18298,3954,13460,18569,3550,14655
6,6,38512,35232,542,2196,238,380,30,0,0,37737,33951,733,2334,350,361,23,0,0,37644,32990,789,2305,358,1000,43,37567,33670,719,2418,359,422,15,1714,268,226,4,104,866,37577,33478,757,2344,431,388,64,29400,27153,313,1537,154,269,20,0,0,28913,26561,388,1587,149,244,4,1511,113,166,18,0,29267,25971,497,1632,221,745,28,29267,25971,497,1423,136,90,11,78,1061,28850,26407,434,1616,154,274,4,0,0,0,0,0,28925,26442,434,1563,159,308,8,1406,77,96,8,28812,26182,487,1521,276,272,8,1374,131,26,8,17146,6289,10399,15185,4808,10377,16741,3627,12393,16728,5579,10316,16746,5486,10809,16407,4780,11627,16557,5101,10670,14490,4102,9864,16243,3909,11841,17342,3951,13074,17267,3906,12934,16952,3462,13009,17084,3426,13251,17089,3088,13467,16955,3529,12989,16758,3804,12651,17570,3873,13525,17390,4173,12817,17379,3632,13427,17100,3389,13366,17080,3692,12666,17080,3819,12832,17070,3628,12722,17159,3455,13315
7,7,41038,39210,549,862,155,276,37,0,0,39929,37535,740,1139,249,339,41,0,0,38608,35722,724,815,276,925,43,39552,37110,766,1132,202,471,27,563,163,130,12,37,769,38267,35706,835,1149,270,373,37,31371,30208,302,542,108,212,23,0,0,30607,29182,435,614,108,249,10,436,104,147,8,0,30076,28049,417,554,164,718,26,30076,28049,417,418,107,90,11,48,936,30561,28948,482,704,102,359,16,0,0,0,0,0,29587,27967,526,703,136,294,12,601,94,95,12,29337,27615,621,669,121,234,13,607,68,55,13,19195,7409,11131,17007,5590,11417,18217,3718,13761,18128,6309,10971,18116,6178,11443,17728,4868,12860,17830,5375,11523,15243,4290,10415,17553,3968,13154,19140,3955,14957,19013,3919,14769,18542,3443,14682,18607,3585,14622,18723,3060,15229,18483,3591,14551,18156,3839,14032,19258,3845,15240,19015,4513,14073,18941,3734,14847,18559,3335,14826,18548,3762,13995,18631,3729,14486,18518,3729,13720,18875,3154,15324
8,8,34932,32670,900,649,341,438,40,0,0,38886,35615,820,1227,920,389,32,0,0,38420,34102,1378,961,497,1224,70,38808,35741,654,1158,836,491,54,561,311,96,37,5,1393,39066,35599,975,1222,608,568,54,26023,24620,524,388,221,314,24,0,0,28571,26877,412,703,332,219,4,580,241,61,25,0,29131,26225,857,571,345,911,44,29131,26225,857,429,205,125,20,82,1188,29248,27692,409,466,251,296,10,0,0,0,0,0,28875,27229,473,446,259,326,15,299,169,39,15,30304,28489,626,546,177,328,0,419,122,27,0,18761,7995,10416,17887,6872,11015,19085,5509,12576,19107,7826,10268,19112,7437,11093,18676,6210,12466,18803,6861,11000,16566,6197,9762,20026,6569,12791,22157,6937,14825,22095,7041,14524,21542,6056,14805,21605,6477,14489,21751,5810,15226,21534,6263,14586,21300,6779,14097,22569,6923,15326,22359,7528,14352,22285,6840,15010,21929,6255,15208,21955,6485,14579,21942,6755,14660,21886,6521,14415,22130,6225,15335
9,9,38643,35718,631,1749,207,373,36,0,0,38111,34601,986,1777,310,598,191,0,0,37840,34304,842,1181,314,1043,42,37390,34162,993,1627,319,435,126,1305,172,85,12,9,650,38057,34513,922,1601,307,587,72,29993,27620,412,1569,123,257,25,0,0,29862,27156,691,1474,132,428,35,1338,44,148,22,0,29117,26552,526,931,208,757,21,29117,26552,526,798,139,98,0,46,958,29165,26650,687,1346,205,323,10,0,0,0,0,0,29575,27181,550,1212,225,447,0,1110,197,92,0,28904,26869,533,1009,195,355,0,856,186,50,0,17548,6668,10325,15737,5025,10712,17555,3811,12860,17499,6114,10537,17549,6009,11119,17161,5232,11929,17212,5219,11010,14532,4447,9486,17017,4215,12287,18510,4282,13921,18444,4320,13708,17990,3681,13710,18032,3904,13536,18170,3222,14353,17959,3840,13659,17731,4202,13184,18833,4262,14336,18615,4716,13445,18542,4093,14011,18166,3728,14046,18163,4061,13127,18134,4299,13287,18109,4067,13056,18503,3733,14269
