ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,179487,165069,3659,5260,4790,916,173,0,0,182638,165569,4252,6858,5020,1336,153,0,0,184853,158666,5885,8091,7417,3663,189,182038,163928,4640,6279,4924,1339,185,4725,3923,399,13,268,4135,182076,158989,5367,7821,5588,1590,158,141732,132333,2355,3238,3219,674,105,0,0,142278,132572,2016,4551,2393,706,19,4233,2095,188,81,0,147175,129252,3880,5110,5244,2734,130,147175,129252,3880,4198,4280,218,31,372,4944,142028,131903,2329,4049,2723,846,14,0,0,0,0,0,141578,130068,2742,4592,3177,892,8,4082,2545,62,8,141046,128732,2919,4934,3429,797,28,4335,2635,61,28,100405,52314,46929,88680,42810,45870,96673,44776,46702,97071,52732,40824,96898,50889,43358,94999,43982,51017,95820,48058,43890,85831,47779,36003,96798,49694,44493,101396,53597,46053,101154,52206,47017,99384,47132,50297,99581,48015,48997,100053,45704,51601,99338,48093,48771,95863,50929,43003,97816,52123,43855,97707,54277,41095,97034,48993,46093,95534,48655,44939,95536,48428,43993,95411,49732,43434,95427,48072,44462,96827,49509,44419
2,2,156415,140981,3645,6283,4625,1056,157,0,0,171824,152455,4810,8338,5461,893,233,0,0,176200,148394,6274,9474,7079,3849,267,171443,150693,4926,9229,5387,830,142,6574,4519,88,32,301,4308,176237,151151,6099,9683,6379,1164,134,112303,102739,2187,3862,2904,697,92,0,0,126085,115755,2305,5349,2107,488,25,4425,1778,114,97,0,132995,114527,3905,6137,4710,2714,164,132995,114527,3905,5230,3984,208,72,315,4754,127846,116481,2504,5882,2388,544,30,0,0,0,0,0,132431,119622,3336,5896,2818,747,20,5301,2327,69,20,134819,119598,4028,7027,3311,723,20,6066,2658,51,20,82103,34193,47075,82031,29621,52410,89778,28434,57049,89838,36990,49383,90008,35913,51786,87858,29161,58697,88525,32120,52782,78851,32439,44401,91658,33757,55446,98706,36966,60119,98067,36164,60085,95683,31712,61754,95997,32748,60924,96418,30413,63339,95596,31643,61508,96700,36456,58389,102308,38541,62379,101504,41008,58172,100735,35486,63394,98568,34403,61931,98766,34751,60212,98483,36257,59803,98449,34391,60613,98839,35482,60513
3,3,178490,169511,2011,4438,860,1777,129,0,0,179769,169618,2430,5136,1035,1630,187,0,0,177838,161042,2820,5081,1343,5598,179,179343,167155,2746,4974,1131,1683,294,3919,876,399,172,302,3778,178804,163381,3189,4383,1527,2672,230,136949,130228,1268,3629,549,1300,85,0,0,139358,131958,1325,4086,572,1290,70,3769,495,417,128,0,139083,126412,1841,4082,868,4294,110,139083,126412,1841,3662,563,477,28,270,5830,139065,131423,1499,4007,719,1263,50,0,0,0,0,0,138633,130372,1837,3324,896,2017,50,2737,732,318,50,138648,130613,1767,3203,605,2165,36,2672,450,237,36,74966,36273,37040,66426,27207,39219,73983,18354,52542,73499,29981,39492,73792,28674,41766,71985,24275,47710,72872,27606,41449,63431,23149,37775,75549,21884,51305,82690,20222,61233,82148,22215,57796,80053,18759,59147,80158,19926,57886,80631,17480,60372,79782,19351,58247,79008,20144,57334,83950,19250,63861,82762,22485,58338,82233,18688,61699,80527,17816,61013,80559,18730,58260,80403,19448,58636,80228,18843,57705,81258,19466,59748
4,4,183572,134023,6851,32623,9307,1570,224,0,0,183730,133056,7450,30804,11292,1503,189,0,0,184241,128407,9328,30050,12622,3334,238,182556,130122,7597,31552,11637,1336,182,28857,9145,303,19,749,5775,182094,127580,7314,32732,12131,1470,171,150849,113894,4898,24053,7318,1207,168,0,0,144387,111790,3530,23031,5001,941,17,22323,4346,356,214,0,154270,110803,6795,23237,10152,2657,185,154270,110803,6795,21215,8618,258,53,660,5868,142770,110070,3886,22230,5272,989,18,0,0,0,0,0,143610,109213,4404,23034,5745,911,18,21970,4802,175,18,141283,106802,5049,22046,6100,958,24,20644,4921,152,24,99984,68711,30021,90852,60798,30054,92065,61670,25050,92697,65477,23920,92621,63869,25640,90425,59806,30619,91391,60652,25754,85466,63367,20143,94358,66854,24967,99656,72912,24923,99587,71124,26716,97740,66501,29053,97956,66995,28186,98252,65633,29918,97460,65312,29231,92643,67743,22920,93291,68777,22521,93414,69995,21103,92888,65852,25088,91305,65656,23662,91390,65146,22938,91305,66211,22606,91211,63864,24259,90750,65034,21122
5,5,196415,49246,5995,135238,6002,1931,206,0,0,185834,49656,6831,122490,6120,1450,194,0,0,180730,49287,8483,113168,7933,3157,211,183771,51472,6737,118756,6069,1313,102,114963,5060,335,55,906,4239,178632,52607,7186,111055,6523,2486,177,150960,45114,4282,96290,5057,1468,160,0,0,140974,44839,3307,88853,2934,826,29,87675,2595,295,433,0,145378,45387,6218,85159,6874,2534,176,145378,45387,6218,81579,5787,310,34,844,5219,140967,46401,3254,87298,3026,730,55,0,0,0,0,0,138214,47950,3482,82074,3267,1065,95,79923,2959,273,95,132460,46809,3758,77440,3069,1212,67,74933,2709,236,67,94548,86268,7523,84775,77973,6802,71517,63013,6099,71294,62766,6369,71252,62025,7074,69921,61576,8345,70658,60456,6547,60275,54445,4750,67892,59889,6502,69347,61513,6798,69059,59683,7794,67993,58217,8059,68166,58764,7414,68396,58011,8313,67999,57895,8010,58846,51192,6404,56714,49159,6413,56128,47796,6176,56009,47402,7138,55198,46956,6801,55349,46980,5825,55357,47666,5887,55168,46225,6586,54476,44660,5541
6,6,180886,162630,4103,10614,1832,2022,216,0,0,183707,163138,5147,11648,2199,2126,140,0,0,181225,156082,5792,11023,2199,4966,376,184167,162854,5248,11876,2433,2016,156,10329,1710,721,32,103,3170,181542,158544,5607,11610,2277,2548,117,139960,127477,2440,7493,1218,1479,145,0,0,141625,129415,2498,7410,729,1419,4,7084,607,806,240,0,141740,124605,3686,7235,1512,3714,240,141740,124605,3686,6453,1056,491,103,340,5006,142360,129495,2552,7912,880,1459,23,0,0,0,0,0,140550,127285,2713,7779,1068,1811,23,7240,831,226,23,141684,127760,3334,6866,968,2794,32,6074,723,229,32,88690,30933,56173,83324,25273,58051,86796,20436,62952,86788,29256,53975,86929,30551,54017,85443,25847,59596,85930,27056,55219,77173,22715,52096,87561,22691,62521,93350,23616,68298,93235,22192,69092,91175,19827,68950,92291,18715,71356,92005,19187,70120,91473,20057,69267,91134,22950,66485,95721,23892,70711,94833,26266,66445,94827,21047,71619,92653,20593,69950,92545,21549,66738,92388,22795,67039,92556,20710,67583,92216,22363,65972
7,7,163224,97509,21753,37353,5994,2351,395,0,0,173559,106127,21832,37514,7208,2934,197,0,0,176411,102945,24204,36617,8946,5218,542,174885,107995,20880,36781,7539,2921,189,32562,5799,465,86,668,6429,173499,106527,21330,35122,8309,3694,356,131018,84827,14529,26125,4732,1782,258,0,0,132473,91833,9971,25587,3128,1614,109,24395,2610,463,365,0,145162,90911,17192,26639,7143,4045,337,145162,90911,17192,23862,5814,468,143,561,6211,134493,94649,10231,24159,3478,1552,86,0,0,0,0,0,134430,93966,10455,23884,4305,1613,127,21924,3475,258,127,134368,93385,11340,23550,4428,1553,218,21006,3565,203,218,82455,57281,24138,73752,51038,22714,75526,52654,18708,76063,54567,18663,75675,53119,19602,74191,50898,23293,74398,49795,20264,70099,52376,16104,79208,57419,19535,85709,64060,20019,85329,62002,21452,83988,58952,22390,84362,60330,21335,84361,58313,23147,83966,58350,22686,79067,57993,19349,80185,58860,19812,79967,58996,18801,79667,57322,20581,78747,56355,20476,78900,56220,19385,78787,56941,19395,78709,55250,20436,79034,56860,19535
8,8,160975,136882,6563,13034,3247,1701,431,0,0,170095,140950,7767,14980,4451,2019,311,0,0,178186,139254,9888,17782,5338,5321,653,172722,141312,9023,15734,4708,1737,315,12740,3086,257,182,507,5634,178759,144319,9729,16510,5182,2476,694,116455,102178,3720,7559,1981,1105,248,0,0,122119,105603,4051,9199,2011,1034,39,8428,1592,399,234,0,132756,107749,5937,11231,3423,3766,347,132756,107749,5937,9621,2544,437,187,360,5921,124728,106619,5303,9293,2281,956,109,0,0,0,0,0,130388,110669,5619,10050,2432,1319,101,9050,1841,177,101,132893,110561,6172,11910,2392,1408,189,10718,1942,145,189,86094,37658,47427,84939,34994,49945,84532,32855,46894,84725,39404,41526,84692,37991,44129,83194,33142,50052,83280,34513,45020,76044,35656,38311,89576,39379,47398,98806,45202,51706,98335,43818,52478,95880,39457,53496,96359,41447,52263,96584,38160,55303,95888,39871,53060,95366,43904,49385,100834,47010,52256,99999,48133,49271,99357,45037,52249,97594,42376,52639,97845,43034,50440,97733,44702,50434,97719,42555,51115,98647,43738,52207
9,9,177350,55003,10232,109815,2195,2934,463,0,0,179852,55745,13520,107688,2656,2505,557,0,0,180309,51985,17693,104785,3397,5331,642,179712,54063,14080,108727,2748,2458,541,103194,1481,339,271,981,5297,181961,54434,16244,107406,2848,2983,641,131488,46241,6216,76964,1513,2061,244,0,0,131163,47272,5590,75934,880,1515,185,74458,685,326,373,0,137593,44881,11324,76421,2414,4019,406,137593,44881,11324,72201,1660,617,198,673,6039,130904,45740,5251,77533,970,1513,174,0,0,0,0,0,131236,46314,5394,76561,1096,1535,205,74556,729,275,205,130067,46137,7046,73574,1472,1286,58,71446,1038,150,58,94009,76801,16288,77129,63762,13367,73188,56779,13624,73015,58290,11970,72789,57568,12764,71736,56522,15214,71834,55462,12550,60627,48752,10417,70690,55529,13165,73430,58141,13899,73106,56303,14782,72206,54842,14730,72570,56953,13484,72483,54514,15216,72167,55241,14293,65049,50704,12805,64675,50011,13436,64236,49599,12318,64017,49369,12970,63471,48376,13260,63631,48501,11977,63567,49178,12189,63462,48059,12480,64212,50313,11894
