ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_ROFF_Total,E_18_SEN_ROFF_Dem,E_18_SEN_ROFF_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AUD_Total,E_23_AUD_Dem,E_23_AUD_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,25303,23933,405,746,66,144,11,0,0,25323,23439,813,894,79,176,0,0,0,23965,21818,503,866,139,552,15,24778,22743,619,1024,110,202,0,962,73,25,0,0,354,22867,21050,402,649,172,391,0,19349,18430,241,503,47,121,9,0,0,19581,18335,430,719,18,77,0,660,4,30,0,0,18942,17388,293,632,96,444,7,18942,17388,293,547,68,39,1,5,601,19044,17903,217,890,33,92,0,0,0,0,0,0,17512,16541,145,452,105,278,0,438,95,48,0,17849,16927,129,333,80,360,1,329,69,42,1,10799,2421,8077,10055,2031,8024,10711,1306,9165,7603,1020,6396,6733,1131,5602,7483,1275,6208,8591,1960,6490,8418,1614,6804,8456,1504,6952,8347,1362,6876,11472,1383,9928,11358,2068,8951,5818,546,5272,9044,1382,7514,6821,1615,5049,6743,1048,5695,6697,981,5716,6714,968,5746,6697,840,5857,6711,873,5838,9709,1392,8235,11285,1208,9993,11076,1298,9778,11106,1179,9927
2,2,24265,19234,865,3948,111,139,8,0,0,23759,18283,893,4401,129,135,0,0,0,23089,17241,1019,4249,195,413,21,24432,19022,828,4298,133,178,0,3923,54,3,0,3,595,23465,18125,989,3524,274,592,44,18361,14939,575,2687,70,111,7,0,0,18119,14570,393,2987,44,115,0,2904,19,4,0,0,17753,13768,561,2979,131,296,16,17753,13768,561,2872,96,31,9,24,392,18905,15375,467,2878,34,140,0,0,0,0,0,0,18289,14791,489,2472,39,369,0,2317,4,24,0,17781,14252,343,2589,126,381,3,2487,35,21,3,9856,3044,6604,9498,2594,6904,9482,2090,7195,6560,1334,5084,5997,1584,4413,6465,1568,4897,7303,1871,5338,7176,1526,5650,7191,1599,5592,7311,1698,5534,10183,2151,7887,10093,2707,7166,4349,669,3680,7823,1824,5893,5477,1610,3801,5358,1130,4228,5325,1154,4171,5344,1063,4281,5331,1044,4287,5330,1123,4207,8357,1835,6463,9677,1800,7791,9502,1741,7761,9533,1688,7845
3,3,25686,22517,528,2487,59,119,11,0,0,26565,23097,457,2499,343,109,0,0,0,25373,21411,601,2761,109,448,16,26188,22246,731,2307,388,108,0,1615,357,14,0,29,1204,26124,21677,790,2310,417,422,0,19764,17484,334,1844,39,93,6,0,0,20143,17867,250,1878,79,68,0,1676,51,3,4,0,19694,16798,410,2047,64,325,13,19694,16798,410,1922,49,48,4,16,447,19751,17645,243,1680,97,88,0,0,0,0,0,0,20171,17584,256,1823,161,321,0,1575,147,12,0,19819,16827,332,2039,114,508,4,1836,93,43,4,11278,2740,8243,10088,2384,7704,10434,1708,8544,7589,1274,6173,7285,1564,5721,7629,1545,6084,8320,2413,5773,8243,1868,6375,8227,1654,6573,8178,1670,6427,11264,1826,9309,11208,2415,8539,5261,539,4722,8842,1684,7054,6474,1847,4522,6423,1171,5252,6373,1231,5142,6400,1045,5355,6393,1037,5356,6405,1149,5256,9460,1655,7743,10949,1409,9468,10763,1471,9292,10849,1316,9533
4,4,23778,18919,1000,3743,48,129,8,0,0,23434,18353,1052,3969,147,79,59,0,0,23122,17834,1136,3810,57,286,8,23078,17978,1057,3935,152,100,41,3618,60,12,0,79,273,22750,17689,1045,3804,155,372,76,17774,14558,599,2528,30,97,7,0,0,17629,14308,500,2766,33,18,0,2641,29,8,10,0,17768,14048,699,2763,36,207,8,17768,14048,699,2654,20,19,0,35,293,17347,13963,503,2788,52,42,0,0,0,0,0,0,17051,13841,321,2682,4,124,10,2575,0,8,10,16939,13618,378,2565,27,339,10,2431,13,0,10,10452,2752,7470,9591,2375,7216,9831,1889,7785,7290,1258,5886,6779,1595,5184,7258,1593,5665,7784,1965,5671,7685,1570,6115,7654,1555,6099,7731,1629,6028,10792,1979,8699,10711,2516,7973,5867,691,5176,8380,1721,6573,6085,1722,4295,6018,1143,4875,6007,1155,4852,5990,1111,4879,5999,1069,4930,6003,1095,4908,8943,1722,7179,10255,1572,8618,10131,1580,8551,10157,1532,8625
5,5,25848,9561,670,15505,73,141,16,0,0,25892,10230,447,15045,24,242,116,0,0,23345,8126,873,13968,106,304,41,25709,9262,554,15724,16,174,142,15423,6,43,23,54,340,23842,9026,700,13796,69,245,37,19713,7729,410,11485,50,108,12,0,0,19834,8071,156,11367,17,196,13,11271,17,15,35,0,18730,6705,558,11183,76,239,35,18730,6705,558,10960,40,36,13,39,379,19589,6736,162,12409,9,147,22,0,0,0,0,0,18721,6905,352,11156,35,187,3,11021,24,14,3,18482,6708,309,11171,45,379,16,11073,39,58,16,12171,8508,3532,12022,8555,3467,10838,7154,3520,8220,5099,2976,7993,5609,2384,8266,5449,2817,6586,4256,2264,6486,4003,2483,6340,3852,2488,7758,4989,2694,11436,7101,4172,11382,7489,3761,5457,3051,2406,9127,5756,3262,6560,4035,2383,6364,3636,2728,6316,3786,2530,6325,3785,2540,6343,3730,2613,6320,3818,2502,9334,5622,3645,10210,5829,4301,10049,5621,4428,10020,5723,4297
6,6,20394,14422,876,4720,311,118,30,0,0,23787,14494,1241,7768,216,172,0,0,0,23733,13786,1084,7859,499,463,37,23525,13833,1133,7848,639,136,0,7329,564,26,0,27,615,24679,13649,1350,8847,688,190,3,14660,10862,520,3030,213,74,18,0,0,17039,11201,502,5145,91,92,0,5035,53,31,6,0,17739,10781,669,5578,338,321,22,17739,10781,669,5400,248,30,14,65,532,16760,10599,441,5571,74,93,0,0,0,0,0,0,18011,10643,658,6269,348,133,0,6068,287,25,0,18459,9908,701,7315,479,49,0,7121,422,0,0,8836,2763,5992,10256,3036,7220,8881,2975,5623,6775,2367,4245,5721,2461,3260,6628,2461,4167,4815,1870,2881,4778,1742,3036,4797,1682,3115,6348,2464,3783,9884,3928,5783,9867,4295,5365,4853,1747,3106,7496,2918,4439,4835,2043,2722,4803,1887,2916,4794,1902,2892,4790,1885,2905,4800,1875,2925,4799,1888,2911,8225,3343,4791,10123,3953,5926,9994,3935,6059,9977,3993,5984
7,7,21493,16212,593,4064,553,121,29,0,0,23907,14962,750,7369,775,138,0,0,0,24015,14032,1027,7650,858,450,31,26926,17291,1260,7480,834,146,0,7037,758,2,0,24,558,26358,16983,1101,7602,610,98,0,15626,12247,367,2591,349,82,15,0,0,16917,11517,389,4599,322,77,0,4540,306,17,10,0,18618,11460,702,5471,631,353,19,18618,11460,702,5311,542,33,12,34,524,19401,14128,508,4627,326,139,0,0,0,0,0,0,19796,13936,445,5127,391,84,0,5016,317,0,0,20343,13918,511,5750,222,133,0,5672,157,0,0,9238,2300,6878,7607,2200,5407,9646,2892,6469,7618,2502,4945,6466,2636,3830,7520,2632,4888,5495,2100,3336,5455,1868,3587,5488,1828,3660,6881,2574,4221,10444,4118,6158,10439,4458,5770,4581,1578,3003,7966,3063,4770,4944,2334,2556,4912,2153,2759,4909,2168,2741,4899,2165,2734,4916,2154,2762,4913,2152,2761,8594,3730,4782,10581,4655,5660,10447,4664,5783,10402,4632,5770
8,8,23920,17226,519,5989,79,142,18,0,0,23253,16468,657,5720,32,263,102,0,0,23708,16835,676,5712,93,333,30,23290,16380,605,6064,38,125,90,5846,33,7,31,5,375,23457,16276,863,6170,7,89,57,17861,13201,301,4218,57,103,14,0,0,17623,12868,281,4344,25,40,10,4341,25,10,49,0,18356,13442,399,4135,69,255,20,18356,13442,399,3979,43,43,6,46,398,17493,13210,216,3906,17,44,19,0,0,0,0,0,17674,13203,326,4039,10,73,18,3944,10,0,18,18487,13715,307,4342,10,90,0,4159,15,0,0,10218,3439,6656,9385,3198,6187,9783,2785,6818,7317,1927,5210,6858,2340,4518,7373,2152,5221,7171,2481,4567,7049,2096,4953,6999,2046,4953,7709,2318,5301,11275,3099,8009,11197,3545,7418,6062,1451,4611,9015,2633,6258,7440,2422,4849,7313,2088,5225,7298,2182,5116,7309,2132,5177,7318,2067,5251,7327,2124,5203,9882,2723,7075,11179,2637,8435,11036,2609,8427,11048,2617,8431
9,9,28784,9332,596,18631,203,153,43,0,0,27108,7513,598,18826,196,70,28,0,0,24472,6503,633,17054,138,182,21,26890,7421,681,18902,46,40,12,18478,38,12,0,6,261,25180,7002,418,17650,59,101,0,20734,7567,371,12612,163,113,35,0,0,19470,6030,217,13124,20,68,0,13114,18,33,7,0,18437,5461,416,12317,112,150,14,18437,5461,416,12060,85,23,4,71,317,19836,5869,401,13441,41,40,0,0,0,0,0,0,18677,5589,167,12784,38,74,0,12728,33,30,0,17716,5313,216,12127,38,88,0,12081,38,25,0,12763,8539,4009,12704,9005,3699,10621,7014,3445,7497,4438,2861,7552,5334,2218,7666,5049,2617,7311,4790,2390,6996,4438,2558,6879,4193,2686,7583,4999,2506,10541,6681,3692,10550,7112,3291,4587,2768,1819,8624,5545,2967,6728,4499,2073,6336,3763,2573,6360,3913,2447,6388,3940,2448,6336,3783,2553,6328,4000,2328,8515,5311,3133,8803,5172,3500,8629,5017,3612,8792,5401,3391
