ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_ROFF_Total,E_18_SEN_ROFF_Dem,E_18_SEN_ROFF_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_19_GOV_Total,E_19_GOV_Dem,E_19_GOV_Rep,E_19_AG_Total,E_19_AG_Dem,E_19_AG_Rep,E_19_LTG_Total,E_19_LTG_Dem,E_19_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_16-23_COMP_Total,E_16-23_COMP_Dem,E_16-23_COMP_Rep,E_23_GOV_Total,E_23_GOV_Dem,E_23_GOV_Rep,E_23_AG_Total,E_23_AG_Dem,E_23_AG_Rep,E_23_AUD_Total,E_23_AUD_Dem,E_23_AUD_Rep,E_23_LTG_Total,E_23_LTG_Dem,E_23_LTG_Rep,E_23_SOS_Total,E_23_SOS_Dem,E_23_SOS_Rep,E_23_TREAS_Total,E_23_TREAS_Dem,E_23_TREAS_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,44837,35858,1493,6778,547,238,39,0,0,51899,41526,1571,7945,648,249,1,0,0,55633,42497,2285,8402,1211,1080,76,53103,41871,1882,8529,485,263,1,8129,333,73,0,69,747,55599,42151,2045,10162,931,206,1,32636,26519,884,4760,348,165,23,0,0,38116,31025,608,6015,254,210,0,5890,201,88,6,0,41344,32001,1401,6160,800,842,44,41344,32001,1401,5906,621,76,11,97,1231,38447,31188,533,6371,246,194,0,0,0,0,0,0,40582,31975,701,7222,498,136,0,7117,274,28,0,42197,33002,1001,7038,859,175,0,6890,506,18,0,20518,5203,15111,22831,5670,17161,22271,4788,16834,17538,3778,13254,14688,4196,10492,17366,4133,13233,13830,4157,9487,13753,3175,10578,13749,3256,10493,17457,4344,12835,27676,6525,20700,27625,7536,19370,13259,2696,10563,20587,5024,15201,14448,4147,10121,14364,3384,10980,14331,3473,10858,14261,3419,10842,14349,3397,10952,14344,3383,10961,24145,5976,17925,30711,7162,22978,30320,6944,23376,30287,6939,23348
2,2,52176,29276,3524,18381,764,427,68,0,0,53113,25345,2994,23555,1068,345,59,0,0,55062,20153,3496,29695,925,930,91,54434,24148,3004,26526,745,298,29,25804,414,103,11,83,869,53909,22618,3011,27466,831,330,23,36600,22332,2184,11346,524,300,43,0,0,37631,20103,1402,15404,467,225,25,15288,384,90,38,0,40139,16551,2187,20109,665,662,49,40139,16551,2187,19629,514,44,29,132,1053,38788,18401,1250,18314,359,161,10,0,0,0,0,0,38253,16925,1184,19251,549,166,10,19038,319,103,10,39452,15550,1649,21529,499,180,1,21217,332,15,1,17783,7635,9985,18334,9050,9284,16041,7491,8086,11801,5741,5761,10231,5885,4346,11638,5847,5791,8426,4262,4013,8356,4071,4285,8339,3938,4401,11377,5957,5227,17887,9570,7908,17855,10344,7134,7175,3395,3780,13313,7034,6036,8345,4730,3489,8213,4344,3869,8205,4399,3806,8184,4415,3769,8203,4356,3847,8211,4412,3799,14230,7742,6313,16896,8697,7647,16617,8814,7803,16585,8902,7683
3,3,60178,41020,2921,15825,178,399,49,0,0,60992,41242,3270,16295,391,134,197,0,0,59005,39623,3004,15211,315,957,47,61718,40812,3076,17444,445,296,274,16427,305,76,26,170,842,59214,38836,3427,15742,440,598,56,44981,31509,1831,11336,116,290,33,0,0,45138,32149,738,12003,112,92,15,11822,70,17,36,0,45381,31159,1765,11609,200,717,31,45381,31159,1765,11224,106,77,8,100,942,45474,31579,688,12779,71,270,25,0,0,0,0,0,43274,30112,895,11653,156,411,4,11486,85,74,4,44001,30726,1113,11422,113,568,0,11108,64,163,0,27028,9523,17047,25097,9113,15984,25076,7317,17285,18148,4844,12874,17699,5723,11976,18279,5463,12816,18168,6518,11429,17988,5001,12987,17930,5051,12879,19094,5743,13161,27171,7480,19336,27108,8538,17914,13581,2743,10838,21641,6319,15055,16594,5699,10668,16349,4103,12246,16284,4293,11991,16249,4061,12188,16270,3984,12286,16297,4193,12104,23005,6290,16560,25889,6144,19503,25459,6063,19396,25616,5854,19762
4,4,59289,48717,1995,8125,199,339,22,0,0,59108,47688,2230,8867,327,325,59,0,0,56555,44347,2366,8573,328,940,35,59034,47163,2258,8812,361,414,41,8085,182,15,0,82,1249,56486,44814,2245,7829,504,1211,120,44625,37531,1260,5497,128,265,19,0,0,44650,37205,1013,6189,85,146,0,5960,52,12,10,0,43590,35132,1370,6111,216,689,26,43590,35132,1370,5858,150,58,10,59,953,44755,37225,1076,6214,96,199,0,0,0,0,0,0,42880,35625,902,5501,73,597,10,5214,34,32,10,42225,34948,784,5349,178,841,14,5114,73,21,14,25029,6753,17742,23603,5775,17828,24018,4526,19059,17072,3009,13703,15634,3646,11988,16881,3692,13189,18648,4516,13834,18358,3683,14675,18350,3723,14627,18600,3864,14547,25895,4719,20872,25669,6073,19010,12642,1563,11079,19983,4079,15661,14147,3852,10108,13936,2611,11325,13877,2663,11214,13880,2536,11344,13874,2416,11458,13879,2551,11328,21351,4103,17113,24703,3875,20641,24333,3830,20503,24390,3715,20675
5,5,58975,53723,1054,3793,135,286,20,0,0,58815,52490,1308,4319,383,274,6,0,0,58670,51486,1220,4481,241,1086,34,58692,52121,1357,4214,428,290,7,3337,368,88,7,33,1382,59115,51655,1402,3962,563,1009,6,45467,41690,650,2823,94,237,14,0,0,45432,41170,746,3200,93,217,4,2941,55,85,4,0,45880,40641,813,3293,154,834,23,45880,40641,813,3072,118,114,4,37,1081,45246,41262,598,3068,124,273,4,0,0,0,0,0,46120,41427,558,3068,286,724,0,2823,262,134,0,46636,41417,665,3172,282,1217,4,2905,246,103,4,25660,5845,19102,21992,4624,17368,24506,3329,20705,17611,2500,14726,16658,2949,13709,17614,3085,14529,19590,4971,14326,19384,3839,15545,19391,3342,16049,19310,3364,15735,26778,3583,22838,26602,4970,20982,13515,1209,12306,21211,3474,17454,16399,4210,11900,16258,2581,13677,16155,2561,13594,16208,2257,13951,16173,2147,14026,16199,2295,13904,22865,3479,19229,26239,2919,23145,25776,3140,22636,25968,2760,23208
6,6,55974,44582,1131,9590,540,257,34,0,0,57440,43786,1206,11029,980,364,2,0,0,58981,43265,1785,11952,1036,926,40,59374,44597,1413,11801,962,350,199,11219,736,123,199,253,830,58731,42658,1590,12729,915,196,166,41557,34051,686,6321,352,197,25,0,0,42818,34047,538,7546,480,194,1,7434,440,120,20,0,45316,34463,1086,8294,721,692,30,45316,34463,1086,7989,624,56,9,66,1023,44275,35148,556,7761,448,194,201,0,0,0,0,0,43745,34078,477,8338,501,200,165,8059,458,65,165,44836,34143,723,9214,307,343,244,8647,276,24,244,24183,5920,17990,23923,5898,18025,24262,5218,18511,19346,4316,14559,19007,5201,13806,19327,4793,14534,18496,6216,12130,18416,4851,13565,18500,4560,13940,19288,5167,13913,27648,6995,20231,27546,7852,19078,13523,2349,11174,22127,5838,15976,17301,6284,10880,17054,4372,12682,16947,4334,12613,17005,3905,13100,16984,4153,12831,16995,4341,12654,23816,6365,17292,27137,6436,20409,26670,6263,20407,26909,5806,21103
7,7,61346,34946,1212,24869,238,271,30,0,0,61350,33980,1546,25729,108,231,24,0,0,56427,30352,1507,23671,276,723,23,59262,32931,1414,24759,136,228,3,24165,102,71,3,19,568,55357,30543,1366,22984,137,487,25,45214,27309,745,16928,168,191,23,0,0,45356,26430,337,18349,24,135,3,18275,5,103,80,0,43252,24312,915,17335,187,543,16,43252,24312,915,16879,127,56,6,57,900,44080,25461,418,17860,39,135,3,0,0,0,0,0,41227,23558,297,16911,36,389,0,16589,16,60,0,39542,22585,387,16179,46,280,7,15744,46,11,7,27164,13097,13680,27484,13726,13758,23198,10119,12771,16928,6992,9676,17861,8824,9037,17127,7692,9435,17858,9009,8698,17639,8081,9558,17597,7544,10053,18045,8266,9640,25130,10866,13938,25139,11702,13017,11354,3813,7541,20434,9257,10990,16496,8942,7424,16194,7057,9137,16129,7277,8852,16243,6826,9417,16202,7117,9085,16200,7308,8892,21365,9369,11880,22979,9062,13710,22759,8927,13832,22754,8682,14072
8,8,60271,39305,1977,18696,175,279,29,0,0,60266,38332,2311,19220,191,162,73,0,0,59525,37923,2148,18481,252,828,39,60425,38570,2699,18663,190,190,54,18154,88,27,0,141,737,59612,37847,2678,18598,139,318,9,44886,30418,1148,13088,115,218,22,0,0,44886,30027,711,13917,101,66,16,13868,86,14,47,0,46202,30410,1339,13730,167,662,34,46202,30410,1339,13318,93,78,5,27,932,44859,30039,860,13876,62,98,0,0,0,0,0,0,44546,29560,838,13963,68,234,0,13475,24,73,0,44552,29178,858,13997,87,550,10,13491,58,62,10,29973,11851,17653,28184,11469,16715,27502,9492,17520,20558,6818,13358,20383,8147,12236,20705,7595,13110,22122,10219,11651,21909,8274,13635,21823,8411,13412,21485,8128,13169,29271,10031,18841,29223,11118,17601,16427,4887,11540,24248,8754,15222,19950,8573,11079,19690,6665,13025,19633,6981,12652,19649,6533,13116,19631,6522,13109,19639,6867,12772,25294,8729,16409,27187,8315,18616,26853,8197,18656,26930,8280,18650
9,9,50960,36426,1229,11868,1223,347,50,0,0,57158,39796,1499,14187,1373,284,135,0,0,58854,40343,2364,13181,2111,869,58,57408,39827,1609,14091,1542,322,180,13328,1126,233,0,142,1148,58223,40524,1428,14337,1532,310,0,41304,30633,918,8586,980,271,34,0,0,45118,33013,721,10613,538,155,9,10356,456,60,99,0,47932,33966,1661,9881,1709,665,46,47932,33966,1661,9491,1445,41,18,84,1226,45149,33853,762,9562,567,151,0,0,0,0,0,0,46279,34707,775,9919,637,267,0,9672,433,44,0,48322,35135,1483,10583,825,274,23,10351,661,62,23,20180,7985,11924,20742,8071,12671,20907,8105,11999,17215,6919,10022,15800,7487,8313,17070,7517,9553,16476,8236,8029,16288,6584,9704,16429,8108,8321,16974,7318,9405,24419,10156,13844,24357,10972,12940,12867,4580,8287,19623,8220,11088,15719,7231,8275,15523,5936,9587,15482,5963,9519,15550,5487,10063,15490,5705,9785,15491,5812,9679,21343,8636,12505,24230,9034,14793,24026,8510,15516,24057,8708,15349
