ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_CONG_Total,E_16_CONG_Dem,E_16_CONG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10726,10106,267,45,70,254,4,0,0,11350,10552,352,14,39,395,60,0,0,10816,9711,359,78,106,447,33,10823,9718,359,77,106,441,33,11441,10600,329,35,47,349,8,16,24,84,8,376,11370,10439,385,9,108,366,10,8610,8201,165,10,42,190,4,0,0,9099,8615,164,12,33,255,10,8,33,106,10,4,0,8854,8045,239,43,79,331,26,8854,8045,239,13,43,91,2,371,8929,8506,113,19,44,240,0,0,0,0,0,8921,8420,160,4,57,254,4,4,18,73,4,9217,8615,178,10,59,319,25,6,22,100,25,5052,1613,3102,5253,1156,3817,5342,1773,3331,5158,1177,3981,5103,1387,3716,5221,1385,3576,5307,1385,3674,5343,1576,3617,6188,1569,4513,6723,1581,4996,6719,1783,4936,6707,1684,4793,6645,1589,5056,6609,1506,4813,6624,1590,5034,5438,1270,3920,6471,1619,4791,7085,1539,5383
2,2,10714,10101,222,50,71,280,15,0,0,9846,9137,277,33,80,293,36,0,0,10894,9812,252,70,134,480,35,10904,9821,252,70,134,462,35,10213,9310,337,22,110,372,29,22,52,113,29,346,10873,9873,342,50,68,490,21,8503,8101,135,18,39,209,11,0,0,7966,7473,205,4,29,217,35,4,27,82,35,0,0,8744,7996,160,39,80,346,24,8744,7996,160,9,49,95,11,398,8509,7944,263,4,29,235,39,0,0,0,0,8795,8298,171,10,23,263,29,0,19,145,29,9370,8873,160,34,42,256,0,7,35,106,0,4973,1618,3105,4891,1039,3583,4978,1782,2993,4806,1076,3730,4746,1341,3405,4850,1292,3358,4989,1255,3507,4874,1544,3153,5692,1452,4127,6165,1457,4587,6144,1686,4458,6134,1525,4359,6060,1426,4634,6046,1387,4380,6066,1452,4614,4897,1097,3536,5871,1484,4315,6051,1283,4646
3,3,9201,8635,228,51,101,183,21,0,0,10294,9803,152,56,29,352,0,0,0,10760,9718,329,73,167,325,34,10764,9721,329,73,166,316,34,10598,10069,148,95,40,363,0,29,0,124,0,203,10986,10183,371,133,66,242,0,7427,7046,154,29,77,127,11,0,0,8620,8229,137,8,24,206,0,4,1,131,0,17,0,8873,8134,244,32,117,237,19,8873,8134,244,11,67,62,6,308,8985,8569,140,35,38,189,0,0,0,0,0,9034,8487,326,66,73,93,0,58,35,38,0,9353,8905,269,51,42,113,0,39,35,53,0,5173,2488,2404,5463,2468,2587,5555,3042,2320,5305,2188,3117,5251,2647,2604,5407,2443,2742,5561,2571,2825,5623,3284,2228,6555,3461,2949,7098,3754,3172,7107,3922,3185,7076,3733,3124,6961,3635,3326,6880,3393,3140,6938,3561,3377,5656,3037,2460,6782,3641,3054,7108,3557,3345
4,4,9495,8896,211,63,100,263,17,0,0,10949,10480,213,47,86,171,0,0,0,10768,9610,314,109,136,426,45,10774,9615,314,108,134,408,45,11048,10464,203,54,102,197,74,0,60,111,0,208,10651,9761,362,40,55,320,86,7287,6901,122,26,67,187,10,0,0,8739,8367,165,15,23,147,0,0,9,83,0,11,0,8472,7671,202,48,94,305,30,8472,7671,202,26,36,82,13,395,8498,8073,155,10,29,164,0,0,0,0,0,8106,7624,178,39,50,142,0,0,50,19,0,8307,7753,176,87,61,137,0,0,61,49,0,4493,1993,2315,4728,1792,2561,4833,2506,2139,4633,1621,3012,4580,2084,2496,4725,1948,2598,4840,2042,2635,4971,2712,2116,5709,2709,2862,6173,2875,3139,6199,3120,3079,6152,2898,3002,6051,2819,3232,6010,2650,3053,6041,2764,3277,4817,2347,2288,5954,2877,2977,6295,2831,3264
5,5,9587,9049,176,40,81,276,19,0,0,10080,9100,158,113,101,583,8,0,0,10904,9787,344,80,126,452,31,10919,9801,344,78,124,422,25,10240,9259,169,90,109,588,3,48,43,445,3,250,10609,9760,154,45,211,321,2,7365,7015,108,18,46,190,10,0,0,7724,7061,142,78,51,366,9,74,11,264,9,11,0,8487,7686,221,58,88,331,25,8487,7686,221,28,32,77,4,412,7970,7336,131,58,36,358,4,0,0,0,0,8226,7776,90,39,102,199,0,29,44,117,0,8220,7790,87,39,91,175,0,30,60,66,0,4579,1564,2774,4767,1068,3391,4838,1775,2847,4702,1049,3653,4672,1429,3243,4758,1254,3329,4843,1293,3394,5008,1743,3116,5829,1621,4080,6333,1672,4529,6341,1875,4466,6325,1722,4364,6243,1615,4628,6215,1583,4325,6235,1629,4606,4921,1362,3354,6109,1712,4296,6519,1664,4683
6,6,9023,8575,182,28,95,148,21,0,0,10192,9662,181,33,95,212,2,0,0,10932,9875,321,51,195,327,27,10934,9876,321,51,193,328,27,9901,9152,302,16,196,252,0,2,39,155,0,226,10359,9271,511,39,354,266,6,6802,6514,110,18,53,100,14,0,0,7548,7218,126,18,57,120,3,16,36,99,3,11,0,8419,7752,172,23,134,213,18,8419,7752,172,9,67,42,2,337,7381,6985,123,2,89,157,0,0,0,0,0,7918,7356,233,32,96,174,0,7,18,104,0,8438,7642,394,50,161,221,0,9,69,122,0,4546,1638,2713,5198,1468,3438,5316,2036,3120,5177,1271,3906,5114,1738,3376,5247,1547,3558,5341,1591,3606,5413,2145,3139,6286,2116,4053,6803,2250,4422,6831,2423,4408,6806,2225,4362,6716,2125,4591,6678,2093,4276,6706,2098,4608,5685,1909,3579,6677,2261,4319,7699,2436,5049
7,7,10108,9268,299,80,163,348,16,0,0,11083,10106,536,140,99,434,25,0,0,10718,9343,436,121,208,491,31,10736,9356,436,117,200,469,28,11778,10497,769,184,100,470,37,64,59,114,0,280,12386,11142,595,107,226,378,9,7792,7240,191,46,108,229,9,0,0,8674,8077,308,30,27,235,0,30,14,135,0,0,0,8366,7435,277,55,125,369,22,8366,7435,277,32,84,125,5,377,8970,8283,457,65,4,178,0,0,0,0,0,9494,8765,389,4,52,251,0,2,44,92,0,9561,8880,350,18,92,196,0,13,50,57,0,4364,1856,2292,4214,1458,2396,4276,2032,1988,4126,1374,2752,4084,1774,2310,4198,1624,2353,4265,1701,2353,4078,2002,1922,4730,1985,2600,5070,2033,2858,5056,2263,2793,5059,2052,2695,4963,2043,2920,4953,1933,2705,4950,2027,2923,3594,1566,1838,4799,2047,2660,4892,1947,2774
8,8,10133,9481,251,40,103,298,14,0,0,10808,9623,816,78,211,204,23,0,0,10711,9470,329,50,176,510,31,10727,9486,329,47,164,433,22,10515,9666,460,76,146,322,10,0,82,19,10,237,10666,9715,235,30,198,357,0,7656,7244,134,18,73,196,10,0,0,8028,7378,488,1,83,71,15,0,79,35,15,0,0,8330,7505,208,35,110,359,11,8330,7505,208,20,77,105,5,386,7959,7480,292,0,62,116,10,0,0,0,0,8300,7902,147,0,61,167,0,0,55,12,0,8984,8455,253,0,77,186,0,0,55,25,0,4302,1433,2671,4047,914,2877,4138,1510,2424,4025,856,3169,4007,1294,2713,4086,1068,2846,4142,1084,2878,4362,1630,2580,4865,1400,3336,5233,1417,3677,5207,1626,3581,5204,1430,3540,5145,1406,3739,5122,1315,3541,5133,1368,3765,4178,1204,2803,5155,1507,3539,5844,1529,4157
9,9,9773,9234,243,47,93,165,13,0,0,9342,8890,111,42,189,132,69,0,0,10914,9844,370,60,151,380,9,10916,9846,370,60,151,375,9,9346,8933,106,14,184,127,76,1,40,53,0,207,10050,9453,134,51,26,260,2,7322,6966,147,25,63,124,7,0,0,7299,6951,86,20,79,85,0,18,53,9,0,68,0,8374,7658,243,32,82,278,7,8374,7658,243,19,41,53,4,317,7612,7297,100,25,52,61,0,0,0,0,0,7906,7562,139,35,17,170,0,35,4,74,0,8465,7931,127,35,75,261,0,33,65,45,0,4439,1384,2829,4952,1105,3565,5057,1705,3169,4904,999,3905,4845,1390,3455,4992,1198,3639,5055,1269,3597,5031,1714,3155,5877,1660,4093,6352,1751,4462,6371,1937,4434,6349,1769,4364,6267,1683,4584,6242,1619,4360,6271,1664,4607,5038,1379,3420,6187,1772,4308,6747,1780,4800
