ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC3_Total,E_22_SC3_Dem,E_22_SC3_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC6_Total,E_24_SC6_Dem,E_24_SC6_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,81800,59430,2638,18661,670,653,65,0,0,82683,60762,3151,17687,501,785,49,0,0,82812,60304,3343,16107,1077,1828,210,83807,61765,3268,17458,649,859,32,16652,256,256,32,1369,83788,61212,3932,16247,651,1119,30,63837,47677,1622,13713,451,500,41,0,0,65266,49413,1434,13470,341,596,29,13120,233,279,29,15,0,66464,49823,2052,12268,733,1379,142,66464,49823,2052,11642,445,189,34,2135,66143,50311,1395,13327,428,667,35,0,0,0,0,65968,50610,1670,12573,421,644,14,12395,264,116,14,68047,52488,1666,12473,565,879,20,12196,302,59,20,40544,17813,22197,40247,17377,22870,27930,11287,15802,42268,15301,25467,41360,15072,25175,41582,15713,25082,40208,16238,23970,39618,16750,22868,40900,15339,24474,39877,17540,22337,39572,15362,24210,46146,17050,28219,48863,17993,30233,48256,17066,29371,48590,18837,29076,47571,17925,29646,47292,18673,28619,47834,17477,30357,47361,18683,28678,47006,17117,29889,45199,16550,27808,35163,11711,22623,35002,12276,22726,34905,11874,23031,34936,12020,22916,47073,16932,29285,50628,17507,32521,49825,18754,29305,49529,18167,31362,48991,17092,30513,49588,17657,30553,49360,18577,30783,49061,17066,31995,48577,13478,31825,49105,17902,31203
2,2,85064,50715,6298,26236,1443,916,107,0,0,91610,51262,8501,30024,1549,1211,214,0,0,90751,48834,9960,28612,1812,2245,91,92022,51678,7798,30747,1460,1152,205,28672,827,256,45,2489,92793,49667,9239,31589,1865,1861,166,64739,40786,3811,18837,993,622,60,0,0,67768,41919,1982,22346,636,688,24,21819,549,248,24,344,0,71471,40599,6332,21938,1330,1655,62,71471,40599,6332,20889,1005,314,27,2009,69318,42871,2131,22651,521,711,24,0,0,0,0,69826,41726,2917,23205,815,766,8,22572,711,89,8,68475,40857,3148,22424,1037,714,0,21668,904,106,0,43194,22791,19929,44012,24259,19753,30000,16066,12947,45920,24179,20034,45583,23735,20558,45766,25185,19808,44431,25515,18916,43674,25393,18281,44892,23351,20546,43980,26794,17186,43719,24105,19614,48965,26828,21175,51043,27902,22495,50540,27067,21469,50921,29430,20903,49848,28489,21359,49461,28907,20554,50075,27428,22647,49642,29045,20597,49165,26670,22495,47464,26200,20379,36360,19854,15734,36259,19314,16945,36039,20065,15974,36023,19890,16133,47917,26903,20090,50596,27502,22370,49568,30135,17421,49508,28788,20720,48834,26815,20698,49346,27903,20056,49210,29197,20013,48767,27027,21740,49158,27172,21364,48887,28031,20856
3,3,85163,58206,4612,19892,2150,897,217,0,0,83971,56749,5099,18602,3141,878,407,0,0,84906,56259,5280,18246,3578,1852,209,84552,56666,5351,18742,3173,601,379,17807,2671,265,61,1290,85451,56388,5622,19138,3496,893,532,65847,47092,2898,14180,1328,625,136,0,0,63340,45884,2078,13429,1245,535,91,13188,1127,316,91,183,0,67137,46643,3296,13565,2316,1361,138,67137,46643,3296,12660,1859,223,67,2172,64204,46505,2130,13597,1458,471,51,0,0,0,0,65114,46562,2242,13891,1745,471,71,13323,1394,124,71,66751,48083,2790,13522,1740,606,49,12770,1441,111,49,38234,16267,21549,39691,16045,23646,27202,10499,15705,41369,15484,24463,40908,14844,24530,41056,15625,24691,39909,16207,23702,39287,17599,21688,40306,15091,24202,39476,16925,22551,39115,15261,23854,44447,17556,25894,46586,18546,27312,46114,17879,26072,46417,19674,26077,45252,18623,26629,45220,20214,25006,45656,18016,27640,45237,19351,25886,44853,17823,27030,43147,17193,25062,32922,12537,19596,32807,12190,20617,32761,12178,20583,32764,12377,20387,45280,18776,25488,49413,19455,29379,48376,22832,23007,48499,20995,27504,47824,18778,27513,48450,20069,26863,48236,20673,27563,47894,18644,29250,42256,0,32580,47992,19881,28111
4,4,96487,48822,19284,27693,567,927,176,0,0,96923,48131,21068,26624,1205,704,184,0,0,83034,39829,18939,22872,650,1915,106,97841,47320,21170,28239,1189,769,222,25724,433,224,60,2761,82887,38734,19461,23214,1162,901,255,71726,39426,11352,20371,408,629,95,0,0,63501,39407,4010,19183,255,378,61,18926,183,213,61,258,0,62938,32750,11738,17299,487,1351,93,62938,32750,11738,16466,285,185,21,1358,64411,38737,4786,19890,324,420,65,0,0,0,0,54577,32210,4773,16353,485,596,190,15610,372,80,190,54900,32229,5427,16324,426,658,20,15482,381,45,20,33500,15430,17608,34013,15683,18330,21183,9225,11214,34160,14258,19273,33700,13879,18969,33878,14155,19368,32834,15033,17801,32373,15480,16893,33192,13831,18798,32656,16403,16253,32414,14417,17997,35689,14926,20260,36890,15089,21517,36426,14846,20220,36749,15849,20564,35977,15435,20542,35836,15842,19994,36194,14801,21393,35981,16121,19860,35662,14674,20988,34166,14107,19612,23766,8427,14898,23639,8287,15352,23634,8466,15168,23640,8547,15093,34239,13735,20013,36521,13684,22563,35706,15044,19289,35741,14605,21136,35327,13524,21082,35704,13950,20829,35629,14911,20718,35429,13543,21886,32853,5732,22755,35343,13903,21440
5,5,87507,46635,2674,36622,1079,1056,108,0,0,85625,45414,3363,35563,1491,1116,194,0,0,82953,43203,4357,32648,1215,2105,210,85700,45369,3523,35130,1681,1179,359,33265,1045,357,63,2046,83143,43625,4233,33138,1315,1567,307,67651,36962,1779,27725,714,791,77,0,0,66230,36480,1540,27031,521,646,23,26740,472,348,23,220,0,65833,35173,3166,25406,880,1523,146,65833,35173,3166,24291,588,368,42,1973,66515,36620,1686,26885,525,735,63,0,0,0,0,64675,35795,1870,25238,715,951,76,24710,667,383,76,63857,35899,2147,24285,708,683,56,23661,592,263,56,39213,22212,16554,38664,22377,16287,23101,12665,9947,37975,19184,17699,37181,18888,17421,37373,19154,17599,36216,19654,16562,35823,20173,15650,36797,18931,17025,36031,20644,15387,35809,19137,16672,40515,20346,19490,42455,21012,20928,41763,20113,20182,42225,21552,20094,41276,20954,20322,41215,21579,19636,41603,20693,20910,41306,21672,19634,40966,20131,20835,39259,19420,19176,29350,13328,15262,29214,13823,15391,29023,13545,15478,29082,13669,15413,39868,19010,20201,42361,19530,22352,41639,19808,20578,41372,19828,21544,40991,19179,20720,41513,19541,20820,41327,20298,21029,41133,19467,21666,41683,19475,20983,41051,19756,21295
6,6,72936,46580,7193,17135,1339,1741,276,0,0,89115,53969,10559,21684,2186,1975,692,0,0,90919,51674,12469,22508,2481,3339,601,90048,53492,11292,22379,2414,2047,870,19387,1319,861,223,3297,90597,52504,11983,23655,2288,1951,859,51144,34510,3962,11264,797,1049,119,0,0,61032,39807,4516,14494,1015,1134,59,14026,772,575,59,151,0,64871,39154,7353,15237,1447,2239,308,64871,39154,7353,13708,838,517,159,2820,61748,39398,5139,14925,1036,1242,118,0,0,0,0,62397,39037,5347,15785,1006,1129,134,15058,682,489,134,64562,39759,6541,15860,1257,1320,128,14996,612,383,128,24419,10590,13535,26305,11177,15128,16264,6616,8964,28861,10809,16903,28644,10875,16626,28684,11388,16563,28129,12011,16118,27842,12318,15524,28374,10763,16741,28104,13291,14813,27829,11338,16491,34587,13788,19869,37789,14857,22198,37523,14448,20932,37633,16036,20816,37054,15512,21542,36925,15855,21070,37174,14911,22263,37052,16438,20614,36768,14530,22238,33681,13410,19411,23164,8623,13898,23008,8779,14229,23085,8910,14175,23074,8821,14253,36761,14828,20970,41282,15780,24956,40641,18190,20184,40590,16976,23614,40306,15554,23088,40603,16335,22745,40489,17549,22940,40318,15744,24574,40409,15649,24760,40309,16499,23810
7,7,76612,47405,5894,22645,509,825,59,0,0,82640,50951,7099,23572,759,1727,159,0,0,83541,49845,8380,23093,918,1918,98,83794,51108,7227,24223,928,1436,97,21952,492,263,6,2456,84286,50859,7855,24050,1003,1409,30,57570,36951,3388,16690,347,570,31,0,0,60997,40594,1967,17454,339,534,4,17252,260,232,4,185,0,64664,40418,5209,17331,618,1400,65,64664,40418,5209,16447,396,245,18,1720,62065,40952,2114,18142,288,516,8,0,0,0,0,62965,41143,2589,18036,491,641,4,17454,343,221,4,66517,42794,3999,18143,503,901,40,17255,413,134,40,33570,16523,16631,34949,17010,17939,24686,11559,12037,37416,16226,19918,37177,16246,19762,37341,17317,19361,36387,17789,18598,35907,18474,17433,36715,16151,19787,36116,19398,16718,35933,16835,19098,42371,18965,22520,45165,19564,24961,44856,19356,23445,45140,21432,23127,44467,20771,23696,44207,21327,22880,44535,19586,24949,44335,21532,22803,44001,19184,24817,41652,18598,22250,32594,13925,17951,32391,14674,17717,32400,14395,18005,32366,14100,18266,45318,20459,23888,50518,21790,28099,49771,24966,22463,49629,23183,26446,49137,21509,26147,49734,22402,25975,49536,23807,25729,49210,21711,27499,49515,21632,27688,49072,22492,26580
8,8,84201,39360,4611,38454,1764,696,133,0,0,90322,41543,5240,41642,1551,560,82,0,0,83559,33915,6566,40461,1946,1462,138,92210,41348,5186,43401,1909,717,218,41141,1292,169,48,2836,86184,38098,4526,40640,2435,768,270,66423,34357,2950,27584,1388,517,99,0,0,70097,36190,2098,30396,924,418,30,29541,659,208,30,169,0,65552,29235,4409,29724,1546,1102,97,65552,29235,4409,28249,1157,198,39,1989,71165,35449,2179,32098,814,468,30,0,0,0,0,66551,32720,1816,30035,1118,586,0,29072,805,116,0,68994,33668,2251,31096,1228,538,0,30183,969,67,0,35213,22990,11885,36723,24168,12555,19380,12069,6710,37787,23821,12518,37298,22826,13287,37438,23563,13188,36386,23805,12581,35903,24074,11829,36641,22809,12827,36058,24457,11601,35817,22969,12848,38166,24512,12845,38910,25158,13123,38544,24244,12702,38780,25703,12474,38160,25291,12869,38020,25936,12084,38250,24703,13547,38010,25651,12359,37747,23917,13830,35736,23001,12009,21981,13551,7915,21873,14447,7426,21834,13396,8438,21814,13525,8289,34959,22626,11668,37311,23419,13417,36692,25001,10258,36303,23995,12308,35753,22727,11973,36344,23419,11854,36173,24064,12109,35816,22826,12990,26203,0,15876,35824,23353,12471
9,9,83968,56692,4592,20769,1678,665,107,0,0,88111,55545,5928,23333,2913,737,81,0,0,86684,52922,6402,23902,2342,1671,136,87751,55905,6340,22434,2659,743,135,21305,1935,327,64,1734,85012,52805,7014,22592,2041,946,131,63942,45137,2808,14603,1180,458,68,0,0,65153,44575,2056,16669,1295,444,60,16278,991,177,60,135,0,66721,42504,4137,17517,1643,1196,109,66721,42504,4137,16409,1310,185,36,1927,65240,45745,2021,15844,1051,411,65,0,0,0,0,63489,43353,2649,16190,921,336,60,15812,692,135,60,65108,44042,3147,16724,917,300,45,16087,672,77,45,39502,17270,21902,41246,17620,23626,25902,10642,14469,42746,18005,23177,42355,17238,23867,42512,18355,23521,41440,18625,22815,40966,19449,21517,41797,17210,23600,41096,19868,21228,40881,17716,23165,46374,20794,24726,48663,22094,25859,48357,21354,25245,48608,23292,24736,47839,22531,25308,47702,24028,23674,48054,21425,26629,47736,23359,24377,47397,21451,25946,44855,20282,23782,32905,14091,18170,32708,15398,17310,32721,13788,18933,32700,14067,18633,46086,21509,23714,49641,22067,26919,48722,25729,20960,48758,23764,24994,48073,21674,25042,48803,22745,24769,48602,23856,24746,48235,21640,26595,40339,0,30093,48216,22613,25603
