ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC3_Total,E_22_SC3_Dem,E_22_SC3_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC6_Total,E_24_SC6_Dem,E_24_SC6_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,206215,125519,6686,70886,2004,2172,198,0,0,205061,126319,8624,67201,2392,2590,244,0,0,199623,122974,9393,60490,2617,4636,447,205852,127150,8797,66451,2661,2679,392,62873,1633,650,96,4302,200707,123930,9829,61858,2403,3259,348,161376,100870,4384,53758,1337,1651,129,0,0,161010,102974,3521,51818,1118,1637,56,51074,992,767,56,323,0,160716,101719,6381,47403,1841,3468,302,160716,101719,6381,45384,1166,667,78,4792,162180,104070,3775,51253,1201,1746,102,0,0,0,0,158230,102670,4293,47691,1370,1995,98,46709,1097,550,98,158822,104644,4499,46229,1582,1793,87,44936,1094,370,87,97400,50974,45213,96431,50830,45601,61925,30629,29690,97895,44280,50512,95906,43744,49786,96415,45061,49619,93272,45884,47388,92082,47208,44874,94666,44095,48259,92576,48623,43953,91939,44196,47743,106127,48298,55967,112060,50401,60276,110459,48236,58210,111415,52260,57612,108824,50162,58662,108351,51696,56655,109554,49438,60116,108614,51952,56662,107622,47962,59660,103451,46474,55176,78755,32439,44415,78405,33506,44899,78029,32931,45098,78099,33141,44958,106164,46404,57938,113283,47599,64347,111405,49774,57885,110617,48872,61745,109389,46579,59774,110885,47923,59863,110380,49856,60524,109662,46899,62763,108163,37518,62667,109586,48287,61299
2,2,213612,128733,6610,72584,1745,4875,238,0,0,206940,125076,8276,67665,2348,5232,375,0,0,198557,120603,7951,62348,2146,6355,392,205914,124090,8558,67082,2576,5447,377,63496,1499,3097,174,4793,199759,120259,8764,63693,2377,5861,441,168936,106162,4129,54334,1201,3602,154,0,0,164435,104715,3076,52110,1038,3613,131,51121,823,2490,131,191,0,162322,102468,5104,48705,1528,4857,313,162322,102468,5104,46733,937,2390,84,4161,163770,104540,2914,51604,1168,3633,161,0,0,0,0,159470,102190,3484,48981,1055,3785,126,47638,820,2156,126,159363,102339,3706,47779,1158,4063,135,46279,871,2029,135,105994,52255,52503,106479,52146,54333,74097,35016,36493,107321,47861,56835,106154,46879,56260,106657,48813,56420,103929,50023,53906,102325,51824,50501,104808,47477,55285,103076,53916,49160,102400,48416,53984,111836,50112,59967,115399,50351,63911,114376,49880,60333,115095,53306,60697,113107,51848,61259,112471,53719,58752,113424,49674,63750,112751,53604,59147,112008,49383,62625,108011,47883,58552,81314,32617,47131,81039,33233,47806,80858,32542,48316,80882,32921,47961,108569,47581,59144,115107,47259,66706,113034,54458,53732,113257,50815,62442,112052,46879,62518,113223,49157,61184,112933,52001,60932,112143,46885,65258,107814,31539,67251,112166,48636,63530
3,3,210740,131606,13364,61706,3500,2025,453,0,0,206415,126497,15541,59523,4318,3032,625,0,0,200494,120946,14993,56548,5018,4074,439,205800,125305,15845,59243,4510,2887,784,54871,3197,705,180,5165,200880,121389,16144,57135,4871,2483,752,161682,106226,8219,44304,2263,1421,277,0,0,156750,103760,5934,43542,1928,1627,105,42564,1548,677,105,410,0,158711,100918,9520,42313,3384,2955,294,158711,100918,9520,40204,2570,463,140,4460,156865,103581,6237,43324,2033,1630,104,0,0,0,0,153700,100573,6739,42210,2502,1433,139,40969,1889,263,139,155137,101948,7310,41710,2592,1635,103,40159,1874,232,103,93778,41584,51239,96913,42110,54803,66858,28119,36112,97722,39022,55869,96525,37682,55555,97019,39121,56400,94339,40861,53478,93265,43250,50015,95271,38400,54743,93566,43547,50019,92880,39261,53619,103647,42867,58745,107789,44386,62059,106686,43139,58888,107436,46935,59230,105194,45126,60068,104875,47690,57185,105826,43363,62463,105099,46925,58174,104403,42938,61465,100155,41363,56981,74660,28227,44771,74371,27279,47092,74254,27558,46696,74221,27983,46238,102604,43042,57530,110254,43760,65337,107972,50467,52435,108324,47233,61091,107030,42878,61259,108268,45282,59750,107843,47338,60505,107178,42723,64455,98867,13118,68928,107259,44895,62364
4,4,225277,118442,22949,80456,3146,1913,304,0,0,226060,114109,26128,81662,4200,2114,380,0,0,216568,105949,26887,77671,3848,4593,388,226351,113344,26734,81674,4444,2091,352,76676,1985,642,57,6574,216554,105724,26968,78683,4061,2789,347,169774,95110,13791,58253,2149,1377,206,0,0,162850,93144,6785,60002,1457,1056,54,59129,1089,552,54,519,0,168123,87490,16845,58878,2801,3428,284,168123,87490,16845,56074,1994,544,73,4591,163775,92678,7589,60462,1644,1134,60,0,0,0,0,158105,87434,8710,58246,1681,1829,58,56634,1194,367,58,158696,86713,9567,58485,1852,2104,71,56439,1386,377,71,95601,46119,48611,97760,47864,49896,64468,30017,32533,96927,45040,49451,95982,44241,49457,96443,45934,49371,94336,46744,47592,92886,48674,44212,94822,43916,49274,93365,50967,42398,92845,45220,47625,101591,48024,51941,105025,48801,55164,104054,47815,52407,104736,51594,52039,103337,50561,52776,102777,51870,50907,103575,48451,55124,103151,52278,50873,102319,47249,55070,97100,45580,50095,67622,28903,37551,67198,30149,37049,67253,29276,37977,67239,29206,38033,97034,45291,50254,103257,45964,56295,101224,51190,46275,101467,48257,53210,100615,45276,53319,101548,47739,51316,101185,49928,51257,100760,45719,55041,101848,47764,51397,100518,46796,53722
5,5,224716,117408,11307,92028,3622,1746,280,0,0,231094,116161,13583,95917,4672,1501,262,0,0,219143,104177,15674,92637,4495,3847,303,232030,115950,14038,96271,4767,1851,439,92270,3311,672,139,5280,220263,108291,14192,91695,4741,2224,491,173034,96783,7005,66105,2692,1247,197,0,0,175215,96463,4833,70298,2358,984,155,68934,1739,454,155,333,0,170462,86233,10266,68781,3345,2827,216,170462,86233,10266,65583,2554,494,78,4681,175860,96672,4792,70881,2014,1150,120,0,0,0,0,167020,90471,5147,67649,2193,1195,100,66024,1581,330,100,170668,91835,6212,68833,2313,1128,80,66982,1768,232,80,100679,57588,42208,104786,60082,44704,62286,34147,26336,105419,58050,43956,104298,55911,45507,104716,58080,45098,102126,58918,43208,100908,60534,40374,102818,55928,44533,101257,61560,39697,100742,56915,43827,109637,61558,46118,113050,63341,48188,112219,61550,46529,112837,65781,45697,111187,64564,46623,110827,67456,43371,111537,62201,49336,110948,65907,45041,110210,61107,49103,104280,58480,44024,70381,36855,32131,70014,39333,30681,69980,36413,33567,69951,36870,33081,104276,58743,43723,111419,60386,49691,109510,66451,38908,109239,63199,46040,107875,59261,45771,109305,61307,45145,108963,63640,45323,108151,59427,48724,90798,15018,54629,108073,61082,46991
6,6,177794,122576,17897,31429,5757,2897,1031,0,0,195069,129013,24543,35346,7343,4063,1434,0,0,204576,129499,27641,34675,8499,6929,1778,198377,130601,25483,35120,7198,3999,1151,27094,3863,683,346,10115,203686,132749,27060,37102,8046,4504,1403,132851,95201,11782,21164,3916,2036,642,0,0,144825,100420,15785,22156,3296,1827,244,20033,2769,551,244,1389,0,157467,103466,19679,24134,5976,4893,1194,157467,103466,19679,20413,3926,832,638,7737,148005,102205,16429,22821,3580,1952,324,0,0,0,0,151375,104165,17046,22996,3874,1998,156,20508,2737,585,156,153506,104846,18268,20940,4112,4228,276,18200,2797,772,276,50373,19502,30290,50656,18440,32216,31455,10129,19839,57152,17516,37137,56132,17031,36194,56357,17996,36703,54213,18936,35277,53097,19355,33742,54878,17160,35434,53492,19989,33503,52959,17536,35423,66310,22144,41900,72235,24266,46078,71202,23344,42868,71478,25653,43838,69921,24605,45316,68903,25250,43653,69867,23914,45953,69223,25480,43743,68586,23646,44940,64338,21541,40775,44013,13544,29106,43901,13579,30322,43610,13518,30092,43761,13706,30055,70943,24266,44314,81681,25684,54960,79197,30722,42689,78102,27917,50185,76932,24936,48318,78507,26566,48199,77841,27541,50300,76769,24529,52240,70728,0,56248,77087,26792,50295
7,7,176154,143875,9685,18361,3148,1858,318,0,0,197489,160604,11170,20188,4232,2023,205,0,0,198476,154491,15249,19348,4958,4205,425,201445,163715,11457,21029,4045,2134,163,17567,2721,452,3,5104,199460,160816,11810,20414,4403,2363,95,141274,118551,6415,13198,2178,1358,218,0,0,156908,133278,4792,14721,2441,1449,4,13983,1869,438,4,395,0,162025,129954,10100,14666,3667,3210,327,162025,129954,10100,12993,2631,482,109,5215,160662,136719,4857,15125,2338,1467,4,0,0,0,0,158736,135246,4832,14617,2396,1300,10,12910,1703,309,10,162091,137170,6260,14614,2443,1473,33,12678,1673,226,33,87410,38510,47921,88941,37918,51023,58869,25401,30414,99012,40935,53108,97567,39290,53763,98005,46101,49044,94544,44293,50251,92500,41413,51087,95367,38005,53588,93020,43647,49373,91775,37902,53873,109939,49770,57038,117224,54532,60611,115885,50786,58741,116757,57960,56713,114107,54910,59197,112316,54062,58254,114295,52307,61988,113214,55346,57868,111810,49807,62003,107858,49783,55353,84877,39490,43390,84558,38855,45703,84270,39094,45176,84186,39174,45012,114027,55617,55316,124183,57764,64673,121188,69317,44435,121588,61741,59847,119840,54149,61131,121359,59257,58663,120511,59917,60594,119670,53738,65932,121287,53973,67314,120075,58547,61528
8,8,192089,133668,9242,44741,1375,4218,183,0,0,218329,156374,10809,45972,2091,5153,310,0,0,214542,153394,12084,40334,2194,6660,284,222965,159448,11491,45111,2256,5259,330,41470,1391,2668,215,5599,219222,157714,12157,42396,2235,6469,235,152853,111326,5701,32509,996,2952,123,0,0,175477,133322,4118,33485,1187,3323,81,32571,780,2247,81,308,0,179010,133642,7927,30570,1638,5017,175,179010,133642,7927,28636,1086,1987,71,5195,180508,137886,4557,33351,1338,3323,84,0,0,0,0,179879,137839,5626,31349,1362,3669,55,29926,953,1537,55,191082,148119,6413,30916,1555,3689,53,29531,1117,1562,53,90194,42779,46137,93624,43743,49881,63145,28709,31050,105035,42425,59251,103241,40951,58162,103716,44909,56548,100596,46938,53658,99116,44652,54464,101527,41007,57873,99367,46935,52432,98457,41498,56959,121346,50935,67969,131227,54362,75402,129737,52695,71208,130545,58721,70008,127736,55219,72517,126053,54724,71329,128045,53159,74886,127009,55819,71190,125434,51558,73876,121116,50932,67964,101274,40866,58254,101053,40460,60593,100811,40528,60283,100620,40269,60351,134033,57579,73535,149999,60065,88382,146517,72561,65224,146704,64301,82403,145063,57305,83710,146793,62542,80262,145968,62446,83522,144947,56776,88171,146549,56322,90227,145273,61425,83848
9,9,215182,125536,28178,57897,1022,4090,302,0,0,222166,129460,32639,55864,1509,4831,246,0,0,202791,117737,30536,48184,1626,6695,285,223534,130548,33080,55642,1565,4816,259,52079,915,2361,99,4340,206039,119283,31402,49608,1930,4442,328,163007,100355,16694,43263,701,2793,163,0,0,158196,105131,7426,42365,496,2860,105,41357,334,1736,105,268,0,156503,95517,18791,37432,1086,4733,188,156503,95517,18791,35721,598,1598,45,3872,160167,106106,8647,42054,530,2923,100,0,0,0,0,148706,97856,9472,37728,799,2589,210,36565,619,1455,210,150323,99725,9676,37327,838,2984,38,35866,653,1509,38,89088,40470,47405,89695,40158,49537,60551,26338,31341,93871,36975,54766,92471,36041,53696,92962,37883,53680,90044,39693,50351,88690,40263,48427,90952,36149,52977,89321,42642,46679,88666,37520,51146,100992,39799,59512,106032,40611,64392,104785,39827,60488,105615,43362,61095,103332,41912,61420,102943,42696,60247,103989,40022,63967,103336,43626,59710,102479,40018,62461,97772,38166,58112,70854,24654,44831,70534,24114,46420,70432,24694,45738,70365,24617,45748,100574,38308,60491,109055,38095,70033,106685,44219,57492,106403,41128,65275,105054,37475,64965,106470,39472,64005,106029,41215,64814,105080,37391,67689,98731,18664,71663,105023,39099,65924
