ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,12912,11811,265,93,80,713,15,0,0,17140,14709,570,626,112,1100,93,0,0,15976,12434,1206,853,414,1048,99,16771,14172,736,597,81,1087,96,521,61,287,47,35,919,16723,13992,754,794,133,873,202,9909,9224,170,52,41,451,5,0,0,12347,10994,255,216,61,794,30,181,47,321,0,0,11746,9471,738,531,277,681,55,11746,9471,738,456,209,278,38,27,529,11815,10492,258,204,42,752,25,0,0,0,0,0,11458,10293,261,264,70,503,16,265,69,134,16,11489,10306,215,291,60,562,0,295,32,343,0,5011,1593,3293,5901,899,4489,5842,562,4986,5778,681,4811,5152,1542,3573,5058,1071,3973,5475,948,4300,5722,1004,4527,5604,752,4260,5410,950,4452,5420,1047,4356
2,2,11663,11115,238,59,61,213,3,0,0,14468,13127,597,310,183,281,0,0,0,16452,14241,1008,310,209,609,28,13778,12370,552,330,148,402,25,207,84,180,0,26,347,14752,12894,802,210,285,536,14,9333,8990,141,24,42,143,1,0,0,10354,9716,222,143,76,208,0,109,47,138,0,0,12033,10671,617,169,127,388,14,12033,10671,617,104,79,143,2,35,382,9837,9166,223,126,59,247,0,0,0,0,0,0,10951,9859,453,153,101,376,3,104,62,133,3,10621,9300,660,152,59,419,0,82,16,161,0,5501,1709,3449,7383,954,5970,7322,593,6429,7251,907,6073,6591,1667,4899,6527,1122,5396,6932,866,5846,7675,1012,6480,7552,821,5748,7337,1108,6222,7348,1253,6075
3,3,13653,12151,348,337,121,762,27,0,0,15454,12595,1086,603,453,743,21,0,0,15796,12458,1229,824,279,1030,56,14449,11730,1244,408,421,600,59,286,251,441,55,2,436,15562,12496,1303,536,449,1033,69,10474,9504,226,216,87,468,12,0,0,11368,9829,533,441,64,472,13,423,34,364,28,0,11713,9520,829,496,196,654,26,11713,9520,829,359,126,321,10,23,525,10457,9209,530,226,114,410,65,0,0,0,0,0,11594,9982,740,222,136,551,25,136,77,223,25,11167,9498,626,424,149,487,0,313,109,224,0,5473,2253,3060,6591,1302,4506,6539,770,5382,6478,975,5093,5572,2035,3486,5466,1548,3901,6117,1382,4435,6451,1544,4659,6397,1206,4651,6273,1626,4631,6284,1682,4569
4,4,14046,8858,393,46,35,4964,17,0,0,14968,9352,695,141,73,4996,3,0,0,16469,9065,701,308,223,6486,61,15533,9816,860,188,106,4939,29,86,50,4326,26,13,379,15749,9899,1000,250,173,4897,58,10374,7120,193,23,23,3122,7,0,0,10857,7505,385,101,46,2860,4,83,25,2778,8,0,11916,7154,437,185,150,4107,34,11916,7154,437,107,111,3581,4,38,484,11277,7575,420,86,44,3074,26,0,0,0,0,0,11130,7474,417,148,80,2997,20,123,56,2913,20,10855,7465,267,127,50,2908,20,86,35,2700,20,5983,3013,2691,7194,2296,4299,7164,1664,5145,7118,2086,4780,6810,3223,3562,6745,2622,4112,6893,2295,4373,7376,2493,4741,7304,2168,4399,7126,2602,4516,7160,2767,4375
5,5,16112,14450,421,474,230,623,32,0,0,17667,14963,610,1136,408,482,60,0,0,16307,13249,815,914,457,886,33,16495,13951,676,791,523,584,60,509,426,327,60,0,549,16786,13785,841,1078,522,654,74,12980,11888,282,282,164,384,24,0,0,13552,11941,385,662,176,319,25,590,98,284,35,0,12869,10770,538,610,329,598,23,12869,10770,538,482,242,326,9,31,471,12414,11150,326,242,326,361,60,0,0,0,0,0,12755,10999,512,613,172,415,30,464,145,233,30,12694,10911,592,540,238,356,0,403,238,187,0,7490,3003,4378,7333,1813,4733,7299,960,6024,7205,1310,5559,6448,2602,3799,6323,1875,4434,6914,1826,4800,7142,2120,4765,7080,1615,5042,6898,2038,4838,6910,2187,4700
6,6,17369,16667,197,89,74,352,6,0,0,18181,16971,492,142,64,502,16,0,0,17293,15933,322,180,123,686,37,17908,16721,439,146,98,469,21,78,46,313,3,15,270,17719,16534,310,136,135,531,52,13785,13336,115,47,49,231,4,0,0,13906,13242,246,86,45,296,0,70,39,203,12,0,13436,12539,213,105,82,436,22,13436,12539,213,41,45,194,1,20,383,13602,12963,215,94,45,289,2,0,0,0,0,0,13224,12557,169,83,60,336,9,73,45,221,9,13279,12632,147,58,44,372,5,48,27,223,5,9169,3477,5237,9390,1707,6959,9455,954,8165,9423,1420,7740,8762,2840,5885,8730,1866,6852,8951,1545,7161,9620,1918,7494,9515,1488,7190,9336,2048,7283,9326,2298,6998
7,7,9991,9532,95,63,69,239,10,0,0,14716,13353,220,464,162,563,0,0,0,16986,14833,568,441,350,768,32,15922,14497,253,356,196,563,0,248,128,382,0,6,408,17060,15484,287,262,430,325,0,7246,7012,50,23,38,119,6,0,0,10925,10135,146,265,75,302,0,245,56,223,0,0,12718,11300,421,276,241,456,23,12718,11300,421,231,195,280,18,16,257,11785,11175,155,105,73,256,0,0,0,0,0,0,12489,11940,161,170,117,107,0,115,89,95,0,13095,12397,132,289,131,145,0,181,43,45,0,5272,1756,3425,7944,1564,5723,7938,957,6667,7848,1127,6473,7946,2739,5152,7768,1882,5872,8283,1885,5983,9154,2295,6607,9020,1933,5849,8704,2275,6409,8693,2585,6076
8,8,14284,13803,131,68,57,230,9,0,0,16896,15617,395,175,95,731,41,0,0,17385,16056,313,163,137,659,24,16029,14610,437,169,223,754,20,109,59,459,7,14,329,17431,15845,626,84,165,785,15,10433,10168,86,22,28,127,6,0,0,12109,11494,172,34,48,382,12,31,42,291,0,0,12602,11873,173,82,69,357,10,12602,11873,173,39,40,194,3,17,263,11552,11004,151,35,79,278,19,0,0,0,0,0,12612,11904,293,18,75,297,15,7,31,187,15,12572,11906,272,14,58,296,0,6,10,121,0,6444,2037,4146,9110,1260,7223,9083,836,7865,8990,1001,7702,8727,2335,6331,8634,1697,6913,9003,1478,7089,9700,1634,7813,9529,1449,6261,9274,1806,7455,9248,2110,7073
9,9,19709,4794,200,60,26,14792,11,0,0,20481,4576,128,161,37,15722,4,0,0,17327,4027,216,92,70,13069,31,20272,4458,511,134,31,15543,5,91,19,14520,5,60,599,17482,3807,363,175,88,13332,9,12971,3946,92,26,17,8943,5,0,0,13311,3809,76,99,18,9353,4,66,18,9025,8,0,11417,3376,122,38,40,7885,14,11417,3376,122,15,27,7499,8,9,361,13229,3723,166,75,14,9277,4,0,0,0,0,0,11359,3103,173,94,28,7982,10,72,28,7747,10,11289,3258,129,130,36,7829,11,40,32,7428,11,6509,4669,1625,5314,2801,1886,5298,2186,2795,5305,3061,2044,6882,5263,1601,6709,4438,2257,5670,3372,2121,5302,3159,2047,5260,2743,2291,5126,3146,1974,5149,3197,1940
