ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_SEN_SPEC_Total,E_24_SEN_SPEC_Dem,E_24_SEN_SPEC_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,39341,36306,1617,552,271,607,33,0,0,38694,34712,2212,716,299,840,14,0,0,38691,34048,2293,760,420,1133,33,38614,34382,2234,873,284,861,16,498,157,260,2,2,1079,38711,33986,2336,929,258,1007,27,30590,28595,1013,412,169,405,22,0,0,29450,27265,906,563,197,605,4,475,146,231,4,0,29984,26825,1478,582,288,776,23,29984,26825,1478,437,184,256,1,43,760,29305,27085,945,516,197,545,4,0,0,0,0,0,29335,26940,1046,515,139,681,0,448,55,271,0,29459,26806,1273,487,154,705,0,412,68,282,0,18343,7065,10510,16854,5978,10876,17579,4470,12074,14953,4475,9898,15028,4749,10279,12015,0,12015,16637,4525,11803,19522,5376,13739,18529,3339,14143,17289,4626,12602,19089,5221,13637,18844,0,11185,18713,4892,13821,18092,4310,13782
2,2,33824,32142,781,322,314,297,32,0,0,38357,35781,1027,641,552,306,185,0,0,40708,36517,1503,747,849,754,48,39217,36353,1099,630,524,271,178,228,339,107,63,165,864,41363,37316,1701,791,671,524,202,25610,24655,448,150,193,178,20,0,0,28662,27435,505,205,205,220,48,150,167,87,63,0,30860,28255,881,382,541,506,30,30860,28255,881,247,395,80,7,98,897,29657,28459,560,169,156,213,58,0,0,0,0,0,31352,29469,870,325,278,341,44,205,226,101,44,32605,30095,1110,508,521,276,21,340,432,63,21,16998,6723,9890,17345,6486,10859,18849,5962,11771,16701,6208,9850,16726,6607,10119,12276,0,12276,19025,6536,11968,23861,8821,14439,21824,5063,15466,21652,7614,13793,26079,9603,16088,25785,0,14015,25611,9057,16554,25302,8616,16686
3,3,35354,27225,4176,2500,1275,502,143,0,0,38461,27377,6192,3066,1608,649,203,0,0,38656,26520,6553,3000,1633,1169,161,38939,28052,5807,2753,1941,683,232,1845,1408,131,87,340,1268,39865,28517,6294,2435,1949,963,227,25069,20083,2464,1536,821,294,72,0,0,26571,20694,2968,1781,637,356,65,1618,568,154,79,0,28363,20655,3995,1908,1067,785,96,28363,20655,3995,1494,714,81,42,104,1278,27587,21792,2886,1603,749,355,84,0,0,0,0,0,28685,22558,3423,1316,876,295,95,1109,731,72,95,28379,22061,3530,1522,855,262,0,1251,647,33,0,13293,5623,7450,14104,5666,8438,15270,5746,8401,12897,5212,7180,12890,5591,7299,9534,0,9534,14573,5834,8232,17600,7974,9130,16041,4862,10096,15579,6616,8719,17293,7978,9076,16984,0,8078,17083,7669,9414,16999,7635,9364
4,4,38091,34035,1084,1058,1732,209,51,0,0,40012,35459,1391,1233,1846,246,34,0,0,41072,34448,1708,1497,2680,562,57,39461,34767,1882,1510,1348,140,31,1013,1033,37,4,9,717,39755,34244,1763,1643,1713,250,0,26853,24633,607,489,1025,103,27,0,0,27734,25911,594,394,714,97,8,319,667,34,40,0,29617,25671,967,799,1696,325,33,29617,25671,967,622,1441,31,12,63,810,27410,25211,853,659,554,71,8,0,0,0,0,0,28230,25515,992,712,820,113,0,596,741,8,0,28392,24853,1181,1167,997,103,5,946,872,7,5,20882,8081,12578,18625,7208,11417,22318,8304,12870,19806,7546,11702,19780,7962,11818,14946,0,14946,21488,8079,12865,25085,11214,13431,22393,5463,15648,22684,9085,13300,24761,11507,12971,24573,0,12498,24569,10400,14169,24741,10307,14434
5,5,38665,21802,12895,2992,751,766,78,0,0,40272,20088,16027,2996,1012,1003,87,0,0,40970,18092,18019,3398,840,1903,91,39681,18948,16348,3803,978,879,57,2679,630,97,7,9,970,41609,19476,17615,4530,751,1671,148,27823,18132,7395,1582,504,465,41,0,0,23691,17048,4649,1403,383,121,0,1073,293,66,65,0,29491,15422,10898,1927,627,1231,63,29491,15422,10898,1543,465,185,20,98,860,23122,16157,4675,1696,368,129,0,0,0,0,0,0,24493,16534,5550,1829,279,109,7,1533,224,25,7,24308,14990,6701,1914,323,207,17,1579,239,24,17,12420,7013,5153,12245,7000,5245,12186,6478,4959,10011,5674,3922,9994,5966,4028,6584,0,6584,11327,6334,4644,13693,8152,5204,12359,5735,5724,11792,6769,4877,12723,7433,5103,12436,0,4307,12521,7356,5165,12621,7409,5212
6,6,37925,31274,1539,2881,2090,305,53,0,0,39200,30839,2091,3763,2224,360,38,0,0,40726,29941,2559,4446,3019,819,73,39715,30881,2386,3872,2306,339,68,3302,1805,37,20,109,1176,40654,30840,2375,4709,2514,431,69,30804,26100,1017,1915,1656,187,38,0,0,29627,25376,1144,2245,691,110,4,2118,518,33,48,0,32980,25375,1755,2962,2239,555,47,32980,25375,1755,2562,1953,83,8,119,1125,30400,25658,1509,2196,823,151,4,0,0,0,0,0,31291,25603,1575,2946,819,183,10,2732,614,32,10,30814,25640,1688,2511,749,96,5,2257,614,5,5,19791,9495,10058,19774,8931,10843,19050,9212,8784,16966,8421,8050,16964,8890,8074,11591,0,11591,18204,8974,8759,21303,12015,8930,18292,6433,10678,19096,9896,8933,20849,11929,8635,20533,0,8240,20575,11261,9314,20742,11191,9551
7,7,37004,15754,17744,2607,608,1094,74,0,0,39591,15131,20071,3156,982,924,106,0,0,40454,14602,20853,3339,1068,2167,131,40069,16257,19490,2950,1217,953,95,2020,791,253,27,93,1143,38950,16120,18900,2625,1108,1261,136,26916,13647,10627,1871,496,682,48,0,0,22657,13529,5978,2032,601,430,29,1806,507,185,93,0,29954,13092,12903,2499,901,1433,105,29954,13092,12903,2036,624,222,24,94,959,23527,14899,5648,1727,738,400,23,0,0,0,0,0,23933,14877,6422,1482,726,329,14,1265,554,206,14,23242,14355,6179,1857,497,291,21,1567,346,176,21,7802,4886,2733,6511,4182,2329,8694,5571,2524,7069,4647,2093,7049,4873,2176,4134,0,4134,8064,5289,2510,10179,7037,2900,8748,4741,3310,8645,5745,2770,9598,6484,2945,9330,0,2502,9392,6450,2942,9532,6531,3001
8,8,39904,30595,2321,5300,1394,621,90,0,0,41201,29257,2693,6659,2528,200,104,0,0,40473,27552,3225,6271,2469,1180,70,42883,30376,2948,6511,2577,413,275,5470,2077,33,9,119,1853,43033,31120,3091,5742,2488,497,271,30521,24616,1403,3343,880,385,55,0,0,30044,24043,1388,3743,607,147,19,3517,529,46,72,0,31197,22668,2126,4034,1599,801,36,31197,22668,2126,3537,1357,175,11,118,1205,31039,25166,1601,3285,585,339,8,0,0,0,0,0,31536,25714,1576,3004,765,427,0,2649,626,45,0,30693,24567,1305,3635,671,400,5,3156,558,60,5,19258,11347,7573,17405,10144,7261,17666,10494,6017,15846,9989,5250,15807,10459,5348,9192,0,9192,16769,10302,5935,19961,13295,6220,15954,7164,7470,17662,11242,6121,19472,13161,6004,19152,0,5348,19241,12931,6310,19370,12835,6535
9,9,38867,27419,6175,3302,1548,766,85,0,0,38729,28101,4972,2855,2457,631,28,0,0,40306,27567,5791,3768,2414,1100,152,38941,27971,4790,3272,2510,649,31,2558,2140,99,0,90,1286,39617,28052,5352,3524,2377,543,70,31387,23689,3842,2356,1181,517,66,0,0,29341,24360,2044,1698,771,428,0,1488,646,145,89,0,33764,24499,3817,2754,2005,787,122,33764,24499,3817,2319,1592,191,26,130,1190,30303,24914,2204,1895,879,424,0,0,0,0,0,0,31309,25343,2413,2111,1096,246,18,1717,855,98,18,31771,25191,2561,2560,1042,204,21,1978,714,48,21,14308,8957,5051,12389,7720,4669,15286,9695,4604,14286,9636,4118,14295,10108,4187,7893,0,7893,14949,9841,4649,17845,12675,4812,14029,6889,5977,15348,10371,4719,16008,11341,4408,15739,0,4130,15847,11102,4745,15971,11091,4880
