ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BE1,3252,3123,36,23,48,18,4,0,0,3301,3119,11,89,41,41,21,0,0,3417,3181,42,35,55,71,0,3322,3146,35,77,28,36,0,59,28,0,0,0,54,3424,3352,22,11,0,25,0,2578,2495,28,10,25,16,4,0,0,2755,2650,4,70,10,4,0,70,10,0,15,0,2860,2696,22,26,33,49,0,2860,2696,22,14,10,1,0,24,93,2820,2705,35,60,15,4,0,0,0,0,0,0,2955,2915,14,0,0,25,0,0,0,0,0,2978,2883,37,0,29,29,0,0,13,0,0,2028,1060,938,1996,952,1044,2107,868,1094,2086,889,1108,2064,895,1087,1743,679,1027,2235,885,1290,2326,1076,1217,2313,1156,1099,2314,664,1617,2482,1138,1317,2448,976,1421,2419,1165,1252
2,BE2,6254,6034,66,41,70,41,1,0,0,6391,6128,133,62,44,50,0,0,0,6662,6204,138,61,82,112,2,6428,6132,74,29,153,46,0,0,128,16,0,0,78,6688,6339,64,142,117,23,0,5094,4968,37,14,41,32,1,0,0,5130,4965,70,20,20,50,0,0,0,20,0,0,5686,5361,92,33,64,88,1,5686,5361,92,12,45,8,0,8,160,5350,5170,60,20,60,45,0,0,0,0,0,0,5740,5490,54,90,80,24,0,45,80,20,0,5795,5636,39,40,74,6,0,35,74,6,0,3881,1971,1864,3952,1856,2096,4117,1709,2160,4107,1761,2232,4045,1706,2208,3235,1216,1976,4285,1714,2469,4407,2139,2208,4385,2324,1964,4381,1185,3137,4647,2242,2355,4596,1824,2712,4575,2345,2227
3,BE3,6539,6284,65,34,87,81,2,0,0,6534,6250,59,55,116,46,10,0,0,6988,6445,131,58,114,156,7,6542,6254,42,96,76,33,7,84,53,0,7,0,102,7017,6713,36,131,66,29,0,5307,5126,39,24,59,62,1,0,0,5375,5160,44,54,65,49,0,50,65,4,0,0,5739,5362,76,32,85,113,5,5739,5362,76,20,62,12,1,17,189,5425,5230,34,99,35,35,0,0,0,0,0,0,5765,5555,25,109,40,30,0,55,20,0,0,5850,5499,70,159,45,70,0,73,22,0,0,3750,1966,1731,3636,1873,1763,3797,1528,2008,3780,1712,1896,3729,1696,1851,2882,1120,1715,3953,1544,2287,4070,1813,2178,4029,2061,1882,4039,1087,2883,4385,1865,2463,4337,1611,2611,4290,2029,2258
4,BE4,7338,7053,98,55,69,60,10,0,0,7311,6938,146,38,183,41,1,0,0,7314,6747,146,87,111,175,8,7304,6970,94,52,180,33,1,0,145,0,0,0,95,7358,6913,243,177,123,13,1,5736,5568,52,21,46,42,6,0,0,5725,5605,105,20,0,0,0,0,0,0,4,0,5858,5471,87,31,83,125,6,5858,5471,87,15,52,5,2,10,216,5665,5580,35,30,19,4,0,0,0,0,0,0,5680,5565,60,35,19,14,0,0,4,0,0,6006,5838,84,0,29,55,0,0,11,4,0,3525,1744,1725,3596,1780,1816,3705,1272,2192,3690,1503,2008,3635,1411,2045,2710,858,1818,3898,1310,2468,4052,1609,2365,4011,1875,2022,4014,813,3133,4324,1634,2626,4343,1418,2828,4292,1865,2427
5,BE5,13231,12404,217,181,339,113,4,0,0,13985,13148,296,258,182,68,0,0,0,14117,12730,364,275,261,381,22,13928,12923,532,163,172,42,0,109,95,8,0,41,218,14209,13241,434,157,184,49,0,10576,10031,130,87,242,91,4,0,0,11367,10922,135,134,121,67,0,95,80,4,0,0,11692,10748,239,150,186,280,12,11692,10748,239,97,146,37,0,12,413,11330,10794,324,44,117,46,0,0,0,0,0,0,11630,10980,368,63,159,50,0,13,139,8,0,11537,10790,444,73,149,26,17,24,124,0,17,6745,3513,3174,6678,3318,3360,6987,2834,3691,6949,3172,3499,6849,2936,3612,5325,2035,3217,7377,2900,4284,7650,3556,3977,7517,3868,3508,7621,1993,5530,8165,3670,4408,8045,3163,4689,7999,3963,4029
6,BE6,13623,13079,148,82,211,113,5,0,0,13382,12786,183,116,250,74,0,0,0,14398,13301,291,161,215,301,16,13618,12869,173,169,253,49,0,121,104,22,0,0,331,14374,13228,307,163,507,85,0,10694,10360,83,48,124,84,4,0,0,10653,10308,138,49,109,46,0,23,45,18,0,0,11757,10995,179,75,152,241,7,11757,10995,179,41,101,22,1,38,380,10610,10251,108,93,155,28,0,0,0,0,0,0,11265,10745,201,94,218,18,0,85,174,4,0,11747,11050,271,127,196,81,0,110,187,7,0,8023,4030,3906,7831,3741,4090,8177,3230,4449,8109,3481,4309,7977,3245,4375,6342,2338,3924,8683,3330,5149,9061,4113,4836,8998,4515,4316,8934,2330,6500,9311,4159,5058,9197,3477,5606,9148,4430,4710
7,BE7,9854,9579,94,44,64,74,6,0,0,9983,9473,190,20,128,191,0,0,0,10809,10106,149,75,95,265,11,10032,9555,133,26,99,247,0,0,70,134,0,0,140,10844,10177,172,69,38,293,12,7624,7452,54,30,39,50,3,0,0,7805,7560,90,0,19,133,0,0,4,115,0,0,8861,8356,93,49,72,193,10,8861,8356,93,27,58,15,2,39,271,8120,7815,60,10,25,209,0,0,0,0,0,0,8840,8450,90,40,10,223,10,0,10,115,10,9088,8773,69,58,53,97,6,33,17,0,6,5656,2512,3064,5697,2318,3379,6155,2076,3721,6115,2225,3658,6065,2180,3620,4683,1444,3179,6563,2101,4291,6825,2588,4118,6798,2905,3745,6800,1419,5274,7362,2761,4538,7309,2293,4865,7247,2916,4326
8,CA1,10131,9743,106,73,120,93,10,0,0,10186,9785,240,1,36,142,0,0,0,9822,9099,176,61,185,194,10,10225,9684,246,1,67,243,0,1,67,127,0,0,98,10098,9521,138,10,159,224,0,8135,7869,70,37,86,74,7,0,0,7983,7646,184,4,20,123,0,4,20,0,0,0,8231,7669,138,54,127,146,7,8231,7669,138,22,107,29,1,26,239,8484,7958,234,4,55,220,0,0,0,0,0,0,8578,8107,138,4,118,206,0,4,118,80,0,8908,8549,14,9,179,165,0,4,179,110,0,5256,3215,1967,5019,2953,2066,5268,2717,2204,5197,2747,2235,5064,2481,2321,4039,2117,1871,5591,2764,2678,5849,3380,2380,5762,3539,2108,5731,2102,3559,5972,3372,2529,5876,2913,2820,5848,3501,2345
9,CA2,6162,5987,48,28,39,68,2,0,0,6399,6241,32,57,45,20,0,0,0,6994,6637,87,53,46,111,5,6689,6485,76,71,36,43,0,4,35,0,0,31,62,7439,7217,61,102,37,40,0,5144,5020,31,15,25,56,2,0,0,5624,5499,28,52,34,13,0,44,34,2,0,0,6092,5821,66,34,36,73,2,6092,5821,66,13,25,10,0,17,140,6003,5855,74,8,28,9,0,0,0,0,0,0,6666,6513,58,25,28,16,0,25,24,0,0,6682,6516,63,22,0,53,0,22,0,0,0,4423,2604,1744,4273,2466,1807,4433,2419,1698,4403,2434,1867,4346,2332,1893,3904,2131,1738,4732,2555,2078,4952,3069,1823,4921,3172,1692,4901,2121,2708,4961,3044,1849,4918,2713,2130,4882,3047,1829
