ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_17_GOV_Total,E_17_GOV_Dem,E_17_GOV_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_21_GOV_Total,E_21_GOV_Dem,E_21_GOV_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,240991,154120,47068,38392,3306,3506,320,0,0,233183,142588,51957,36845,3764,3356,295,0,0,236469,137884,58197,36080,3757,6496,397,229633,136357,56916,32022,3727,6460,389,231391,140601,52476,36291,3624,3118,252,29454,1944,964,0,5605,236664,140693,55790,36739,4434,4072,379,188021,127789,30998,27354,2312,2486,211,0,0,172935,119340,25346,24618,1908,1808,0,23134,1587,652,0,369,0,187403,118001,39267,25760,2750,4585,269,187403,118001,39267,21651,2157,683,31,5012,172030,118550,26006,23958,1803,1479,0,0,0,0,0,175215,119670,27725,24130,1721,1546,20,22442,1324,571,20,172220,116963,28919,22764,1702,1586,35,20881,1311,438,35,103335,54956,46582,96401,53052,43349,97116,44413,49579,55648,27983,26331,76620,32460,41449,84603,39853,42879,113707,54121,58360,109643,52384,54392,67332,27120,39749
2,2,230390,128695,38476,44355,22082,2509,309,0,0,223573,118766,43349,40965,23191,1786,722,0,0,231513,119131,45181,44319,23714,4114,690,232422,119281,45259,44672,23719,4113,690,222250,117277,43573,40686,22899,2289,349,32860,19843,386,81,7660,231012,120127,45980,41806,24457,3151,240,176718,105606,25288,31076,16217,1708,204,0,0,160400,99685,20086,26957,12549,815,71,25378,12143,312,71,617,0,183797,101994,31011,32260,18218,2994,471,183797,101994,31011,27760,16806,256,52,5165,159530,98989,19734,27056,12759,921,76,0,0,0,0,166765,102624,21838,27132,13657,865,74,25125,12772,153,74,169112,103008,23548,26164,13788,2250,47,24323,12587,492,47,98893,57789,39798,91370,55246,36124,97376,53019,41320,54942,31509,22176,78009,38690,36430,85722,46856,37010,116447,64238,50734,112906,62080,48589,66112,30649,35008
3,3,225608,180989,12405,27481,4956,2060,172,0,0,225106,174654,16318,28821,6085,1840,213,0,0,235844,173098,19932,32471,7342,4757,313,236205,173231,19952,32725,7353,4766,314,225175,172493,16032,30694,6055,1724,116,26037,4953,509,30,4834,235569,176539,18668,32062,7680,1934,257,170749,141001,7638,18393,3335,1437,109,0,0,170650,138930,8423,19145,3070,976,38,18097,2717,438,38,266,0,184500,140785,12862,22603,5283,3501,213,184500,140785,12862,19432,4259,471,27,6039,171735,138220,8471,20619,3388,1022,28,0,0,0,0,180794,143505,10303,21234,4570,1062,53,20101,4078,334,53,182082,142552,12173,21242,4794,1128,136,19557,4217,240,136,108499,57771,48922,104037,55069,48968,106818,48099,54464,62043,31862,28194,87242,37546,46172,95593,45380,47618,129151,61796,65241,127317,61081,63214,76477,31846,43944
4,4,231655,170888,14155,39758,8039,1808,223,0,0,228959,161860,18378,42430,8854,1989,236,0,0,233380,155526,20514,45955,10038,4067,356,233742,155681,20528,46177,10055,4072,358,228900,161559,19414,41559,9986,1711,168,33813,7344,329,47,5911,233342,160050,21883,43707,10810,2395,412,174908,133682,8812,27012,5623,1243,142,0,0,175015,130600,10324,28219,4883,756,20,26932,4528,263,20,343,0,183888,128124,13235,33219,7435,2878,252,183888,128124,13235,29594,6319,249,35,5587,174380,130315,11268,26389,5452,611,29,0,0,0,0,178824,130925,12806,28112,5896,824,49,26448,5376,108,49,180440,128208,14061,30598,6269,986,10,28363,5273,100,10,109808,64152,44213,103615,61514,42101,108414,55393,49656,57537,33339,22984,86551,43335,40278,95340,50825,42592,132471,69968,60818,130431,69568,58897,76927,36110,40296
5,5,239163,117592,55372,61714,9354,2517,407,0,0,233958,109761,61517,56465,10872,2337,277,0,0,236069,104926,65336,58396,11174,5043,611,237187,105055,65619,58516,11196,5045,612,233434,106953,62722,57770,10802,2019,301,49043,9358,138,18,4154,235803,105437,64588,59858,11282,2356,511,178987,96077,36200,42226,6643,1729,289,0,0,165875,89769,32350,36582,6123,825,35,35488,5901,95,35,354,0,180761,87811,44064,41685,8301,3638,440,180761,87811,44064,35906,7256,305,52,4692,166145,87504,33514,38364,5831,889,0,0,0,0,0,168240,88021,34551,39005,5800,771,75,37444,5240,39,75,167179,85181,36389,38022,6343,1134,70,35804,5459,46,70,100138,71931,26831,95876,71597,24279,94243,64623,26664,47323,33269,12919,72570,46997,22528,78708,53739,23243,106556,72239,32928,105269,72202,31554,55543,35107,19935
6,6,221011,160942,14826,27391,18684,1614,252,0,0,219992,149338,17967,31869,21771,1378,240,0,0,234536,148637,25636,34833,24491,3699,372,234823,148737,25659,34990,24503,3699,372,220474,146997,20304,31019,22630,1636,296,26107,19957,187,63,5719,234231,151601,25404,33350,23185,2014,244,171422,128593,9628,19631,13704,1121,158,0,0,164030,120060,9932,21487,11505,619,35,20381,10844,74,35,634,0,184527,122501,16560,25763,18304,2584,247,184527,122501,16560,22321,16899,167,54,5209,164404,119139,11323,21553,11407,668,65,0,0,0,0,171575,123845,12271,22645,11851,702,4,21078,11192,63,4,174106,123930,13725,22899,12336,743,49,21427,11764,48,49,110666,70496,38773,103580,66197,37383,107443,66966,36721,59327,38682,19475,89733,53719,32955,94870,60706,32325,128115,84032,42353,126264,82228,42783,75009,46529,27885
7,7,221138,143665,13091,53085,12125,2074,284,0,0,221169,136021,17783,55267,14597,2246,249,0,0,230129,131775,19637,58683,17503,3780,341,230455,131839,19657,58945,17506,3782,341,221618,134612,18859,55298,14696,2760,308,47217,12108,52,50,7849,230410,134198,21221,59078,16036,2689,345,168954,114158,8471,37752,8463,1461,184,0,0,166375,109815,10119,37588,7385,710,65,35783,6763,80,65,935,0,181640,109121,13133,44233,12727,2782,207,181640,109121,13133,39314,11132,269,58,7083,166015,108065,10878,37854,7566,833,50,0,0,0,0,172930,109855,12710,40668,8339,899,0,38083,7383,72,0,174932,107136,13932,42572,9394,1173,0,39630,8343,62,0,115331,73186,40919,109156,70345,38811,111629,68771,39070,64188,40162,23021,95796,56295,36375,99420,62595,35019,132162,86049,44467,129426,83961,43955,76834,46023,30359
8,8,227836,172789,18732,27953,10114,1889,318,0,0,224173,164919,19836,29581,12071,2675,501,0,0,230522,162757,22908,29924,13430,3963,483,225591,161570,22010,27021,13381,3945,477,224275,163320,19635,30619,12352,2035,505,24366,9233,84,113,6821,230530,166208,21267,29722,14040,2120,392,175227,135373,13092,20339,7156,1313,207,0,0,171146,131758,12009,19616,6120,883,74,18445,5586,80,74,804,0,182835,133141,15758,22435,9717,2867,363,182835,133141,15758,18814,8037,213,119,6116,172758,131752,12338,20798,6360,817,75,0,0,0,0,179278,136122,13652,20228,7881,675,69,18495,6819,55,69,179542,135196,14299,20451,7820,889,68,18015,6743,72,68,110319,58095,50737,106650,55751,50899,109127,52561,52459,62906,30823,30884,93109,42123,47921,97764,48210,47530,131300,67734,61653,127959,65244,60862,81418,36853,44079
9,9,218033,197068,11634,5379,3616,980,148,0,0,224275,197610,14671,7703,3964,1412,216,0,0,230473,194981,18910,8264,5070,3244,221,230665,195116,18924,8481,5099,3254,222,225963,197249,15443,7817,5330,1144,228,5108,4121,64,51,3641,231260,197955,17712,9123,5719,1098,407,180130,165932,7705,3458,2601,709,95,0,0,184574,168158,8475,4722,2307,712,25,4250,1989,78,25,314,0,195023,169780,13008,5657,3823,2432,156,195023,169780,13008,4197,2993,159,40,4396,186704,168375,9824,4592,3052,545,30,0,0,0,0,194058,172789,11551,5497,3463,517,10,4732,2855,23,10,197055,173642,13716,5351,3511,588,30,4558,2916,23,30,116456,47980,66715,107135,45266,61869,118243,38056,76676,70031,23616,44895,98533,32153,63492,107322,37233,67976,146043,53714,90412,141763,51914,87479,95592,30054,64882
