ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,28518,18798,5520,367,280,3932,44,0,0,27370,16135,6043,574,434,4448,72,0,0,28162,15643,6171,474,465,5874,76,28220,15980,6524,610,408,5114,69,290,274,3609,56,1290,29015,15389,7066,293,447,6437,59,20761,14682,3388,178,187,2437,26,0,0,19739,13066,3633,231,171,2638,50,161,129,2527,50,25,0,20833,12607,3960,252,312,3850,51,20833,12607,3960,107,226,3006,16,803,20228,13750,3617,215,113,2622,54,0,0,0,0,20776,13377,3894,53,127,3349,4,44,85,2906,4,21686,13016,3792,101,118,4593,12,57,98,3850,12,12077,3377,8612,12237,2600,9637,12645,2170,9253,12267,3018,9249,10338,2311,6215,10303,2388,7915,10268,2961,6812,12472,2800,9254,13995,3237,10440,13924,2992,10574,12739,2738,9603,11038,2338,8395,10931,2646,8285,9517,3022,0,10957,2623,7969,10867,2475,8392,10951,2701,8250,10850,2462,8388,10842,2450,8392,13009,2949,9805,14258,3462,10547
2,2,30962,13756,7488,436,207,9795,68,0,0,30477,12153,7049,588,319,11391,37,0,0,28237,10304,6798,476,306,11130,59,28862,11269,6800,596,497,10852,12,289,138,9738,0,618,28589,10914,6785,593,383,10753,13,22091,10965,4678,240,135,6367,41,0,0,21343,9615,4107,294,88,7238,0,231,67,6995,0,53,0,20683,8474,4452,273,226,7568,42,20683,8474,4452,144,152,6726,12,644,20306,8884,4151,200,100,6949,0,0,0,0,0,20107,8667,4068,286,102,6906,10,200,70,6533,10,20229,9243,3722,325,88,6795,18,161,75,6118,18,9726,3243,6406,9473,2824,6649,9521,2276,6174,9223,3077,6146,7523,2272,3902,7516,2390,5126,7478,2744,4329,9392,2827,6182,10710,3303,7135,10643,3141,7164,9575,2793,6416,8102,2294,5480,8001,2616,5385,7118,2821,0,8020,2477,5194,7949,2461,5488,7997,2647,5350,7952,2381,5571,7917,2447,5470,9913,3006,6676,11243,3346,7669
3,3,31543,18483,8758,266,198,4412,24,0,0,30482,16475,9298,381,293,4763,41,0,0,28323,14603,8154,300,276,5441,45,29376,15749,9596,418,379,3903,21,88,172,3152,0,558,27393,13969,9021,682,208,4066,13,22605,14354,5482,133,136,2768,16,0,0,21611,13216,5365,129,73,2835,15,59,69,2636,15,0,0,21091,11903,5434,139,191,3491,26,21091,11903,5434,54,109,2828,13,642,20802,12715,5367,106,97,2524,0,0,0,0,0,19782,11561,5281,332,38,2599,0,311,31,2418,0,19265,11767,4383,287,32,2763,11,255,22,2492,11,11212,3383,7746,10501,2480,8021,11333,1945,8348,10923,2852,8071,8956,2109,5422,8947,2163,6784,8910,2668,5843,11149,2466,8311,12778,2829,9676,12686,2634,9674,11484,2410,8715,9843,2028,7527,9718,2287,7431,8395,2564,0,9762,2232,7176,9698,2177,7521,9752,2384,7368,9669,2133,7536,9662,2168,7494,11803,2578,8993,12954,2974,9754
4,4,29127,4064,2752,253,158,22608,40,0,0,28428,3314,2940,216,255,22799,12,0,0,28168,2963,2331,316,336,22857,52,28796,3694,3274,348,214,22290,11,155,182,20903,8,569,27307,3472,3306,270,291,21006,13,19964,3247,1560,137,92,15187,16,0,0,20182,2866,1310,133,79,15777,10,118,75,15572,10,10,0,20298,2457,1528,205,239,16153,32,20298,2457,1528,114,178,15607,7,379,21004,2879,1674,279,75,16013,10,0,0,0,0,20222,2662,1880,137,85,15442,10,38,70,15234,10,20354,2503,1751,196,109,15855,2,55,89,15503,2,9395,5145,4154,8638,5024,3614,9040,4201,3492,8680,4843,3837,7379,3820,2033,7367,4184,3183,7281,4270,2557,9272,5087,3762,10797,6052,4447,10733,5926,4460,9441,5107,3911,7788,4112,3237,7635,4394,3241,7171,4503,0,7666,4096,3162,7623,4417,3206,7667,4494,3173,7560,4109,3451,7552,4209,3343,9771,5343,4154,10712,5398,4977
5,5,28323,2667,2910,218,302,22984,30,0,0,29021,2874,3599,320,446,22804,9,0,0,28631,2146,2781,305,468,23764,41,28652,2619,2889,330,305,23180,25,52,245,22365,18,442,28528,2431,3145,353,279,23824,22,19840,2210,1804,117,223,15812,15,0,0,20689,2226,1927,112,133,16276,15,92,98,16175,15,25,0,21044,1768,1848,186,341,17280,27,21044,1768,1848,99,280,16665,8,320,20638,2074,1666,61,88,16793,21,0,0,0,0,20859,1929,1580,105,105,17233,14,78,100,17125,14,20350,1814,1294,149,110,16961,0,105,105,16790,0,10597,7634,2828,9764,7371,2393,9922,6287,2118,9344,6723,2621,8489,5677,1237,8468,6120,2348,8328,6068,1780,10225,7057,2734,11844,8226,3280,11770,7841,3567,10527,7068,3012,9038,6171,2468,8799,5909,2890,8394,6144,0,8806,5759,2536,8730,6162,2568,8844,6320,2524,8655,5820,2835,8649,5781,2868,10756,7224,3279,11428,7274,3796
6,6,28765,4696,5851,253,187,18451,29,0,0,29192,3957,6446,307,166,19347,66,0,0,28185,4496,4673,292,275,19188,46,27980,3871,6502,136,120,18293,70,49,88,17017,14,428,27991,3725,6460,157,122,18420,67,20806,3983,4366,135,128,12496,19,0,0,21450,3437,4520,202,25,13244,4,95,25,13073,4,36,0,21052,3962,3409,212,204,13664,39,21052,3962,3409,115,143,13073,1,327,21005,3552,4530,73,17,12772,15,0,0,0,0,21076,3438,4398,44,8,13028,4,32,8,12856,4,21530,3723,3415,83,51,14242,12,61,43,14000,12,9750,6567,3026,8796,6113,2683,8928,5026,2749,8526,5551,2975,7769,4809,1681,7767,4907,2860,7651,5347,1957,9209,5678,3205,10678,6609,3798,10605,6211,4060,9386,5613,3440,8078,4744,3056,7901,4864,3037,7436,4957,0,7925,4623,2930,7828,4799,3029,7898,4720,3178,7815,4632,3183,7782,4665,3117,9671,5735,3735,10600,5900,4381
7,7,31041,9324,20532,510,280,1253,87,0,0,31213,7846,21670,204,217,1652,0,0,0,29884,7894,20373,476,319,1580,73,30181,7194,21827,129,301,1232,0,25,14,410,0,679,30782,6935,22453,284,361,1516,0,22162,7570,13733,302,180,797,48,0,0,21765,6722,13956,84,44,940,0,80,0,712,0,0,0,22194,6638,14385,291,219,1078,56,22194,6638,14385,157,64,349,11,471,21341,6384,14057,59,65,777,0,0,0,0,0,21420,6175,14421,155,45,623,0,120,0,199,0,21167,6524,13317,373,129,773,5,368,34,401,5,9947,5798,4076,8908,5070,3838,9311,3924,4094,9048,4831,4217,7921,3956,2595,7900,4095,3805,7899,4847,2727,9487,4538,4603,10771,4944,5573,10718,4707,5731,9608,4286,4992,8136,3387,4561,8059,3890,4169,7468,4060,0,8051,3710,4125,7999,3602,4397,8049,3620,4429,7985,3558,4427,7980,3713,4267,9890,4391,5325,10790,4532,6051
8,8,30038,12292,16019,649,379,1367,67,0,0,30541,11601,16992,692,859,1335,59,0,0,31124,11173,17517,762,459,2066,51,30864,12131,16810,676,804,1623,107,492,276,760,0,390,30857,11684,17139,562,583,1949,159,22661,10229,11147,439,246,957,33,0,0,22797,9817,11763,286,164,736,0,263,112,578,0,35,0,24155,9533,12750,534,323,1485,37,24155,9533,12750,316,156,690,5,572,23186,10077,11846,317,65,801,0,0,0,0,0,22883,9755,11728,246,99,983,0,173,50,668,0,24253,9844,12342,503,223,1150,65,383,208,796,65,12463,6167,6211,11589,5497,6092,12474,4634,6245,12178,5878,6300,11284,5078,4279,11259,5141,6118,11246,6349,4407,13012,5610,6961,14583,6189,8117,14510,5726,8490,13165,5268,7496,11590,4365,7032,11527,4893,6634,10513,5327,0,11525,4854,6376,11420,4573,6847,11508,4702,6806,11418,4541,6877,11401,4662,6739,13625,5471,7952,14946,5910,8767
9,9,27920,3260,5862,420,384,19386,35,0,0,27626,2345,5776,380,467,20206,20,0,0,28195,2493,5188,401,586,20812,52,28661,2334,6349,381,573,21175,88,270,474,18103,88,1020,27353,2282,6111,431,716,19586,26,18915,2782,3893,234,266,12342,19,0,0,18956,2138,3598,257,53,12952,20,213,53,12459,20,3,0,20241,2148,3735,269,453,14272,38,20241,2148,3735,166,372,13352,19,408,19312,2078,3654,194,102,13179,90,0,0,0,0,18424,2027,3561,187,178,12396,30,158,133,12054,30,18519,1888,3048,151,235,13159,54,101,192,12917,54,8547,5865,2543,7418,5250,2168,7734,4598,2070,7334,4928,2406,6428,4177,1177,6429,4486,1943,6338,4523,1511,7890,5153,2444,9179,5965,3012,9091,5727,3075,7985,5060,2650,6551,4227,2128,6423,4010,2413,6004,4253,0,6400,3968,2118,6335,4151,2184,6418,4352,2066,6294,3998,2296,6279,3995,2284,8226,5153,2916,9049,5157,3622
