ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_18_CONG_Total,E_18_CONG_Dem,E_18_CONG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,59832,28409,13778,11055,6734,868,1068,0,0,70138,27469,19705,15029,8567,1101,1040,0,0,74230,28377,20399,15828,9274,1929,1839,74327,28397,20415,15837,9275,1929,1839,70320,26959,19084,15751,8745,1031,1042,13143,6098,161,279,4412,77252,27454,21091,18689,9630,1702,1929,41873,21476,8355,7103,4682,550,608,0,0,47459,21781,9729,9726,5007,457,244,9050,4338,222,244,589,0,55360,22775,13579,11130,6875,1406,1179,55360,22775,13579,9662,5369,201,616,2842,47445,21502,9392,10171,5068,636,177,0,0,0,0,52156,22503,10746,11693,5647,696,390,11000,5105,96,390,58213,23903,13054,12319,6839,775,470,11641,6087,130,470,22315,13529,8450,24871,14475,10396,28579,15269,11578,28105,14922,11008,24637,13847,9784,24632,13565,9810,24518,13231,10073,24520,13681,9504,24154,13173,10325,24472,13207,10048,24442,13975,9754,27830,15179,11304,36535,20218,15522,27986,15459,11543,26427,14553,11119,26351,14144,11230,25561,14783,10060,26309,13838,11368,26310,14498,10833,26235,14211,10417,26128,14801,11327,32171,17536,13605,39341,20863,17778,38837,20645,15930,38246,21210,16139
2,2,65993,42779,7519,4820,10574,691,790,0,0,75227,44590,10496,6673,13108,718,502,0,0,74248,42581,10249,6466,14164,1282,1011,74288,42608,10250,6467,14166,1282,1011,73184,43612,10226,6567,12377,603,788,5082,9812,220,271,3231,72222,42422,10641,6629,11420,837,1392,49860,33496,4957,3291,7694,474,520,0,0,53259,34081,6208,4231,7806,428,153,3745,7086,193,153,528,0,58499,35116,7109,4647,10652,931,658,58499,35116,7109,3745,9284,170,283,2490,51858,33233,6218,4026,7255,347,182,0,0,0,0,52508,33238,6803,4026,7058,367,439,3615,6213,113,439,53973,33075,7126,4135,7976,445,626,3676,7250,81,626,27237,14191,12649,29836,13936,15900,33111,15333,16053,32513,14340,16226,29200,14339,14102,29205,14314,13937,29002,13204,14519,29032,14012,13757,28723,12869,15196,28975,13271,14467,28861,13883,14188,32330,15245,15869,41134,20001,20370,32362,15663,15815,30590,14825,15167,30551,14346,15511,29677,15168,13674,30404,13806,15729,30368,14822,14603,30284,14773,13883,30261,14650,15611,35879,17254,17794,42068,19506,21879,41401,19640,20096,40795,19802,20993
3,3,70299,33064,22961,10066,4025,1231,821,0,0,73788,29700,26529,12160,5473,1352,1235,0,0,74088,25713,28556,14101,5170,2350,1227,74341,25770,28651,14141,5171,2351,1227,76221,28219,29818,12832,5537,1438,1114,10350,3715,210,628,2881,74624,26327,30481,12411,5362,1343,938,52326,27714,14340,6819,3027,836,544,0,0,48806,24663,12126,7675,3057,580,520,7153,2758,314,520,290,0,56713,22507,19336,9807,4084,1806,856,56713,22507,19336,8356,3039,237,443,2508,49861,23443,14177,8121,2914,596,396,0,0,0,0,50440,22950,15007,8419,2882,436,322,7966,2510,140,322,48622,21308,15603,8234,2390,401,237,7724,1949,111,237,23393,13974,8863,23129,13987,9142,25075,13597,9967,24670,13093,9203,20526,11694,7876,20546,11406,7950,20409,11076,8165,20434,11561,7645,20062,10947,8505,20393,11053,8346,20347,11833,7921,23358,12861,9206,29079,16306,12093,21950,12185,8901,19291,10517,8085,19232,10217,8178,18524,10734,7209,19220,9798,8394,19218,10443,7880,19178,10240,7537,19011,10749,8262,23866,13035,9964,28877,15408,12909,28439,15113,11317,27902,15634,11411
4,4,60128,37187,10451,7883,4562,896,743,0,0,72247,41012,14535,10673,5238,1492,1272,0,0,73328,37324,16338,11375,7260,2165,1494,73440,37382,16345,11379,7260,2165,1494,75036,41073,14931,12913,5667,1602,1041,10349,3567,472,412,3878,77984,37297,18905,14027,6404,2476,1614,44202,29131,6569,5014,3191,577,452,0,0,51784,32321,8226,6660,3021,746,482,6222,2675,321,482,511,0,56762,31055,11198,7978,5326,1602,958,56762,31055,11198,6679,3838,223,462,3032,54082,32767,8511,8266,3186,767,299,0,0,0,0,56500,30969,11278,8805,3542,1086,472,8183,2916,404,472,59163,32082,11672,8552,5047,788,264,7941,4106,299,264,23646,12293,10864,26139,13282,12857,30558,13599,15094,30092,13512,14130,26961,12905,12938,26969,12766,12956,26829,12211,13177,26800,12775,12542,26426,12063,13672,26797,12202,13382,26733,13013,12930,29898,13776,14663,38252,17758,19710,29772,13859,14863,28073,12999,14230,28010,12587,14440,26930,13423,12738,27938,12075,14777,27931,12918,13982,27882,12881,13151,27766,13177,14589,33821,15615,17190,41237,18497,22025,40733,18475,20000,39974,18876,20206
5,5,68931,38911,11102,7482,11300,875,990,0,0,71644,36423,14004,8095,12145,982,1971,0,0,74060,34434,14666,10292,13856,1792,1335,74196,34495,14681,10302,13863,1792,1335,75104,37616,14333,9722,12671,890,1489,8016,10168,257,506,3818,73431,34967,14658,10906,13071,878,934,55409,33019,7771,5390,8852,613,668,0,0,51988,29541,8332,5410,6941,525,540,5056,6449,265,540,728,0,60889,30153,10741,7516,11348,1326,901,60889,30153,10741,6320,9823,180,405,2881,55513,30724,9144,6759,7422,534,402,0,0,0,0,55271,28739,9702,7477,7999,421,208,6591,7062,118,208,56353,27877,9540,8121,9285,533,195,7216,8186,263,195,26887,15300,11080,26429,14770,11659,28684,14927,12054,28073,14251,11503,23781,13305,9561,23761,13083,9576,23612,12511,9902,23614,13037,9348,23306,12255,10460,23599,12375,10131,23510,13128,9686,27018,14430,11283,34352,18591,15063,25914,14002,11039,23209,12448,10148,23188,12139,10276,22407,12596,9192,23090,11705,10454,23085,12315,9880,23019,12136,9584,22897,12366,10531,28502,15020,12666,34342,17238,16524,33695,17123,14819,33134,17615,15519
6,6,72605,9523,38544,22747,2252,1146,603,0,0,68473,7407,37442,21057,2379,1034,807,0,0,74026,7593,40288,23650,2515,2471,906,74559,7614,40544,23860,2516,2473,906,67776,7467,38000,19244,2721,1323,914,17569,1993,318,590,1654,70373,7948,41732,18187,2875,1984,927,48876,8234,22981,15993,1666,754,367,0,0,34302,6332,11318,14331,1230,422,533,14044,1128,216,533,201,0,51637,6595,25995,16662,1910,1772,588,51637,6595,25995,15282,1416,212,377,1434,34512,6324,12182,13415,1332,438,563,0,0,0,0,37538,6840,15481,12671,1218,511,443,12118,1112,215,443,39094,5723,17018,13273,1549,891,192,12435,1489,493,192,17111,15019,1778,17886,16252,1634,17278,14492,2069,16849,13505,1874,13043,10926,1492,13051,10647,1505,12960,10701,1565,12917,10647,1465,12644,10352,1740,12878,10563,1597,12912,10898,1519,15436,12676,1987,19754,15811,3526,13656,11126,2045,10865,8579,1820,10815,8389,1884,10557,8573,1676,10792,8152,1886,10818,8506,1748,10785,8227,1823,10697,8805,1892,14835,11430,2834,18872,13954,4554,18545,13285,3582,18211,13993,3642
7,7,64462,20481,23573,15672,4849,1132,1115,0,0,72791,17610,32221,18118,5332,1322,1243,0,0,73716,16570,31753,19329,5828,2383,1408,73952,16601,31847,19378,5830,2383,1408,74946,16826,33419,19558,5394,1399,1271,16422,4384,259,765,2799,76297,15319,34478,21816,5119,1863,1045,45393,16910,14348,10293,3534,734,686,0,0,43844,14955,13236,11059,3282,602,536,10467,3012,220,536,371,0,54579,14453,21417,13450,4524,1711,992,54579,14453,21417,12017,3502,136,540,2241,45722,14502,14340,12278,3123,641,613,0,0,0,0,47919,13656,16802,13289,2906,569,346,12711,2688,115,346,48590,14074,16439,13626,2702,630,655,12840,2477,113,655,20000,13702,5894,21693,15421,6272,23461,15420,6838,23042,14828,6107,19188,13068,5265,19171,12697,5318,19063,12587,5448,19056,12799,5122,18689,12411,5659,19028,12576,5496,19002,13123,5281,22026,14514,6370,28274,18461,9194,20641,13446,6435,17923,11268,5964,17864,11019,6062,17253,11445,5310,17832,10710,6115,17849,11214,5801,17806,10989,5678,17655,11533,6122,23180,14567,7777,29143,17737,10858,28730,17466,9252,28149,18105,9233
8,8,45267,19911,7926,4870,12431,629,811,0,0,65079,24171,12494,8946,20089,719,736,0,0,74347,23929,13664,10632,25507,1581,2373,74422,23949,13671,10636,25523,1581,2373,70440,25242,12144,10718,22981,623,930,8314,20272,106,405,3688,75649,24991,13410,12563,25157,1200,1260,34785,16534,5279,3263,9364,455,532,0,0,43197,18582,7024,4775,11941,344,297,4493,11372,153,297,229,0,57569,20043,9592,7290,19632,1197,1537,57569,20043,9592,6131,17634,171,740,2977,46915,19759,6874,5815,13456,283,337,0,0,0,0,51694,20420,8296,6756,14742,494,431,6251,14165,262,431,55798,19818,8841,7485,17318,482,807,6687,16442,158,807,12224,7509,4456,14389,8558,5831,19970,10923,7909,19508,10253,7583,17895,10566,6667,17905,10451,6641,17754,10039,6818,17773,10251,6520,17581,9957,7166,17712,9947,6881,17685,10377,6733,20727,11622,8171,31622,17555,13485,21967,12227,9041,20995,11495,8889,20971,11259,9020,20292,11455,8283,20866,10868,9025,20853,11440,8635,20809,11147,8541,20755,11487,9268,27878,14848,12197,37120,18732,17803,36308,18542,15661,35712,19163,16549
9,9,48711,23830,7841,4744,12238,621,916,0,0,69158,30788,13098,7573,17953,824,1593,0,0,74580,30148,13322,9379,21423,1595,1950,74654,30163,13325,9381,21431,1595,1950,71107,31406,11481,9783,18479,782,1568,8045,15089,100,481,4438,75013,31922,13322,10744,19360,989,1222,36815,19260,5197,2971,9074,410,576,0,0,46870,23494,7079,4765,10304,345,298,4170,9477,105,298,620,0,57417,24719,9105,6221,16493,1167,1222,57417,24719,9105,4981,14648,156,566,2953,48234,23902,6617,5873,10710,322,255,0,0,0,0,52438,24596,7990,6425,11869,525,165,5611,10866,380,165,54486,25060,7620,6715,13154,589,714,5985,12435,375,714,14043,8286,5509,16435,9264,7171,21825,11351,9178,21409,10592,8995,20002,11201,8095,20003,11074,8066,19868,10512,8340,19886,10882,7947,19666,10418,8703,19832,10499,8377,19814,11041,8168,22779,12141,9609,33733,18136,14982,24181,12943,10501,23408,12391,10496,23371,12128,10605,22704,12420,9650,23267,11605,10786,23248,12217,10236,23216,12047,9955,23148,12307,10841,29373,15243,13335,36893,18251,18059,36195,18079,16232,35630,18536,17094
