ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_18_CONG_Total,E_18_CONG_Dem,E_18_CONG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_LTG_Total,E_22_LTG_Dem,E_22_LTG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,112239,47064,28811,24451,12341,1763,2202,0,0,136543,47094,39789,35979,15547,2530,1990,0,0,148900,48032,43370,39774,17452,4220,3583,148592,47747,43353,39685,17436,4205,3582,140375,46707,41322,37865,15969,2523,1710,31886,11050,391,427,8107,151814,48017,46131,42117,17658,3595,3120,77777,35904,17525,15256,8585,1142,1292,0,0,88259,37306,18914,21270,8339,888,297,19916,7306,458,297,1436,0,109065,38797,28642,27062,12911,3016,2309,109065,38797,28642,23586,10116,413,1217,5651,91623,36967,20370,22979,9043,1114,243,0,0,0,0,100766,39012,23833,25418,9408,997,486,24021,8532,209,486,112633,42075,28120,26812,11534,1256,884,25536,10337,319,884,34786,22117,12132,39729,24841,14888,47666,27541,17169,46880,26588,16411,40273,24435,14109,40274,23968,14156,40097,23548,14547,40088,24110,13774,39497,23416,14980,40024,23396,14609,39978,24619,14169,46334,27264,16742,62895,37495,23949,46907,27805,17392,44216,25956,16881,44107,25312,17017,42720,26225,15318,44014,24737,17252,44027,25800,16463,43917,25213,16042,43670,26413,17257,55865,32542,21419,71133,40467,29370,70187,39730,25982,69047,41078,26187
2,2,144828,27874,93878,17992,5450,2446,1259,0,0,141728,23701,92268,20240,5542,3292,1389,0,0,148240,21964,96390,24267,5682,5268,1266,148928,22048,96799,24389,5685,5272,1267,142647,23578,92866,20578,5433,3800,1488,17471,4035,609,614,3143,140495,22708,92062,20210,5637,5352,1716,98306,24259,56980,12599,4188,1691,777,0,0,68962,21005,30063,13032,3168,992,461,12353,2796,433,461,528,0,106068,19599,64204,17064,4494,3836,821,106068,19599,64204,14867,3489,400,395,2590,70770,21207,31972,12672,3083,1133,518,0,0,0,0,72581,20307,34805,12341,3007,1262,682,11577,2572,376,682,73491,18649,35269,14259,3585,1228,444,13238,3122,293,444,25446,18642,6103,25517,20094,5423,27709,20395,5839,27054,19056,5245,20396,15080,4229,20347,14526,4296,20224,14377,4463,20143,14526,4126,19798,14401,4642,20185,14313,4545,20189,15073,4301,24630,17734,5455,32607,23032,8838,22357,15861,5564,18199,12457,4871,18151,11997,5111,17408,12231,4523,18099,11681,5056,18135,12346,4797,18084,11799,4822,17918,12367,5117,25152,16878,7213,32753,21086,11090,32089,20436,8799,31351,20978,8746
3,3,142450,61659,53255,17130,10079,2334,1655,0,0,149917,54343,60269,22766,12652,3864,2163,0,0,148276,49006,59602,25773,12864,4680,2395,148787,49118,59816,25842,12869,4681,2395,152463,53007,63585,23429,12755,3605,1915,18668,9856,552,1143,5034,148470,48987,62909,23604,12801,3853,1753,107127,52734,33806,11975,7845,1633,1089,0,0,94526,46385,24594,13959,7051,1178,891,13184,6399,677,891,580,0,114583,43304,40928,18227,10309,3595,1638,114583,43304,40928,15475,8317,474,851,4630,96777,45460,27500,14447,7074,1159,634,0,0,0,0,96791,43689,28584,15163,7031,987,523,14110,6128,347,523,95626,41463,29135,15432,6954,987,428,14222,6021,290,428,45997,27475,17416,44979,27256,17723,48035,26854,18323,47171,25856,16977,38955,22750,14445,38968,22122,14588,38704,21467,14966,38711,22281,14038,38109,21196,15757,38664,21388,15359,38587,22806,14602,44518,25147,16965,55374,31772,22403,41841,23858,16393,36806,20680,14874,36689,20068,15089,35325,20936,13289,36605,19321,15381,36612,20540,14362,36536,20132,13797,36201,20916,15285,45377,25385,18435,54667,29669,23929,53820,29202,20974,52709,30029,21207
4,4,137067,30004,62117,38419,7101,2278,1718,0,0,141264,25017,69663,39175,7711,2356,2050,0,0,147742,24163,72041,42979,8343,4854,2314,148511,24215,72391,43238,8346,4856,2314,142722,24293,71419,38802,8115,2722,2185,33991,6377,577,1355,4453,146670,23267,76210,40003,7994,3847,1972,94269,25144,37329,26286,5200,1488,1053,0,0,78146,21287,24554,25390,4512,1024,1069,24511,4140,436,1069,572,0,106216,21048,47412,30112,6434,3483,1580,106216,21048,47412,27299,4918,348,917,3675,80234,20826,26522,25693,4455,1079,1176,0,0,0,0,85457,20496,32283,25960,4124,1080,789,24829,3800,330,789,87684,19797,33457,26899,4251,1521,847,25275,3966,606,847,37111,28721,7672,39579,31673,7906,40739,29912,8907,39891,28333,7981,32231,23994,6757,32222,23344,6823,32023,23288,7013,31973,23446,6587,31333,22763,7399,31906,23139,7093,31914,24021,6800,37462,27190,8357,48028,34272,12720,34297,24572,8480,28788,19847,7784,28679,19408,7946,27810,20018,6986,28624,18862,8001,28667,19720,7549,28591,19216,7501,28352,20338,8014,38015,25997,10611,48015,31691,15412,47275,30751,12834,46360,32098,12875
5,5,122845,80761,21534,9042,10650,2051,1733,0,0,139140,84057,26768,12535,15440,2315,1565,0,0,149008,81861,30539,15951,18124,4395,2968,149239,81999,30563,15964,18124,4396,2968,146109,86305,28842,13178,16543,2020,2054,10720,11966,483,950,5858,150599,85297,32185,15004,17424,3697,2623,94402,65552,13979,6037,7716,1441,1121,0,0,104007,69318,16074,8024,8469,932,395,7419,7255,417,395,804,0,117770,68842,21315,11073,13683,3277,2043,117770,68842,21315,8725,10549,553,917,6176,109239,72054,17150,8447,9267,1002,609,0,0,0,0,111646,70836,19056,8827,10154,1211,664,7999,8491,478,664,117778,74176,18512,10562,11552,1483,573,9269,10197,584,573,52068,27859,23058,51733,26238,25495,59258,26948,28431,58307,26031,27259,52475,25994,24294,52462,25654,24230,52156,24223,25038,52199,25410,23915,51589,24072,26008,52075,24294,25214,51979,25757,24565,58472,27633,27831,76451,37083,37724,59339,28751,28421,56788,27515,27561,56672,26711,28008,54470,28147,24566,56509,25952,28082,56524,27346,26953,56386,26860,25928,56280,26874,28108,68127,32783,33209,82966,38700,42721,81784,38583,38625,79921,38459,39068
6,6,140538,81846,30663,15855,11753,1895,2004,0,0,147724,76267,39294,17270,13520,2264,2647,0,0,148675,71020,39209,20442,16458,4013,2614,148970,71130,39285,20466,16464,4013,2614,150430,74762,42078,17553,14048,2421,2437,14794,10770,775,1216,5374,151872,71648,45218,18000,15761,2369,2744,108388,68369,19672,10609,8795,1322,1293,0,0,105554,64017,18897,12051,8218,889,943,11290,7403,421,943,786,0,119028,62008,27474,14387,13014,3052,1756,119028,62008,27474,11943,10368,420,834,5313,108208,64321,20373,12451,8524,1223,931,0,0,0,0,107385,61584,21712,11894,9344,952,1194,10962,8216,380,1194,111618,63145,23117,11434,10745,986,918,10367,9090,293,918,60109,33389,25567,59377,32020,27357,63350,32036,27668,62272,31212,26154,53656,28989,22665,53676,28576,22746,53289,27180,23359,53347,28526,22025,52421,26712,24316,53256,27070,23867,53116,28795,22795,60118,31307,25993,74705,39890,33391,58529,31032,25610,53940,28571,23988,53798,27727,24438,52059,28989,21577,53650,26256,25420,53637,28452,23171,53508,28028,22169,53179,28294,24885,63778,33538,28410,74754,38093,35310,73702,37918,31848,72497,38595,33486
7,7,132881,59148,45904,14903,12748,2223,2022,0,0,139594,49333,54599,18365,15277,2565,2540,0,0,148212,48776,57055,24208,16969,4860,3180,148673,48887,57229,24262,16980,4860,3182,142817,48717,59088,18254,15006,2770,2717,14343,12123,1024,1630,4800,144682,46029,61358,20457,16224,4481,2518,102929,51724,30474,10231,9738,1593,1316,0,0,90761,44341,23447,11584,8434,1304,913,10863,7880,941,913,810,0,116702,43687,40451,16906,13589,3747,2198,116702,43687,40451,13793,11217,598,1189,5150,92524,43737,26341,10851,8638,1292,886,0,0,0,0,94098,41444,28522,12019,9205,1183,674,10921,8255,582,674,93641,39411,29481,13465,9007,1363,454,11828,7891,387,454,42544,27196,14308,42087,27641,14446,45910,27014,16106,45037,26018,14536,36826,22779,12264,36840,22241,12341,36610,21570,12793,36571,22119,12087,36049,21511,13393,36561,21553,13018,36503,22856,12495,42741,25465,14844,55311,33139,20961,40356,24375,14369,35351,21256,12746,35225,20707,12916,33782,21296,11393,35124,20074,13003,35147,21053,12420,35072,20479,12178,34911,21057,12833,44437,26182,16630,53994,30616,22471,53071,30065,19279,51976,30714,19149
8,8,134924,81690,18621,12302,21874,1566,1780,0,0,146871,81013,24500,14768,25253,1700,2473,0,0,148308,77015,24915,16758,28020,3074,2346,148484,77103,24931,16769,28029,3074,2346,148288,81228,24559,16289,25048,1493,2277,13098,19980,477,777,7049,145653,77389,25299,17535,24491,1715,2326,105269,66515,12728,8681,16546,1087,1188,0,0,105247,63622,14540,9641,14747,953,693,8801,13535,458,693,1256,0,119388,65269,17850,12163,22000,2257,1559,119388,65269,17850,10065,19107,350,688,5371,107371,63957,15362,10785,14677,881,584,0,0,0,0,107779,61977,16505,11503,15057,788,647,10206,13275,231,647,110326,60952,16666,12256,17261,978,821,10892,15436,344,821,54124,29491,23729,56265,28706,27559,61795,30260,28107,60586,28591,27729,52981,27644,23663,52966,27397,23513,52614,25715,24421,52646,27049,23105,52029,25124,25656,52574,25646,24598,52371,27011,23874,59348,29675,27152,75486,38592,35433,58276,29665,26854,53799,27273,25315,53739,26485,25787,52084,27764,22866,53494,25511,26183,53453,27137,24483,53303,26909,23467,53158,27016,26142,64381,32274,30460,76410,36744,38403,75096,36763,34915,73929,37417,36512
9,9,115904,56982,23837,11131,23548,1701,1785,0,0,145492,59503,33170,18440,34209,1893,2805,0,0,148821,56692,32497,19718,38943,3554,3392,149040,56749,32524,19723,38969,3554,3392,149318,61751,31919,20735,34301,1909,2647,17817,28609,419,998,7424,153423,59794,34592,22527,36216,2581,2365,90837,48209,16134,7514,18105,1192,1194,0,0,98825,48368,17596,10944,19338,954,703,9894,17853,337,703,1200,0,118316,48493,23228,13679,30996,2722,2215,118316,48493,23228,11291,27776,337,1075,5533,103339,50261,18392,12613,19832,888,684,0,0,0,0,108085,49300,20880,13063,22035,982,619,11857,20316,482,619,108122,48193,19190,13265,24071,955,1373,12056,22559,514,1373,37193,22059,14358,39059,22948,16111,46070,24653,18792,45095,23369,17780,40157,22886,15729,40157,22715,15566,39845,21500,16225,39876,22306,15412,39322,21228,17006,39799,21491,16360,39737,22637,15863,45955,25090,18688,64679,35443,28024,46699,25596,19604,43594,23649,18814,43525,23174,18984,42163,23724,17287,43329,22204,19299,43315,23416,18302,43249,22993,17886,43028,23511,19517,54750,29079,24119,68067,34386,32592,66708,34069,28992,65643,34992,30651
