ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,110668,84594,19297,4467,1659,1454,156,0,0,112776,85524,20809,3983,2597,300,49,0,0,132589,94173,28227,4672,3216,2925,141,132674,94199,28255,4702,3202,2858,137,111701,85509,19591,3905,2888,406,42,2771,2321,82,10,199,1223,131203,94957,26876,5344,3122,1931,103,87731,68966,13830,3236,1155,1065,101,0,0,82493,71867,6871,2611,957,143,4,2484,842,82,28,0,108010,80348,19939,3528,2343,2125,104,108010,80348,19939,2616,1721,711,19,511,2145,83418,72511,6806,2536,1362,115,8,0,0,0,0,0,96175,81116,9537,3046,1752,452,14,2660,1567,291,14,97356,81713,9855,3081,1969,535,21,2572,1703,316,21,59924,33053,26017,54611,29107,25504,59651,29918,27208,57477,35784,20632,51449,30781,20655,51659,29367,21230,50611,28421,21275,56815,32565,23265,71718,41275,29445,54197,29950,24243,57729,31496,25751,54783,29693,24893,55225,28742,26448,54331,28559,25766,54617,29658,24953,62246,34220,27768,69848,38156,30905,68085,38642,29264,67598,37145,30453
2,2,129243,107936,11617,6580,3047,799,126,0,0,127745,101181,15347,8810,2424,869,0,0,0,132163,100178,19444,7611,3739,2070,132,132272,100222,19459,7626,3747,1865,124,126622,100633,14887,8294,2442,758,4,6469,1852,233,0,497,2045,130536,101016,16335,8762,3577,922,69,98949,84141,7988,4589,2072,565,89,0,0,95673,81644,6578,5647,1400,494,0,5359,1293,256,39,0,105709,83333,13115,5556,2668,1475,90,105709,83333,13115,4351,2174,135,19,343,2239,95157,81115,6677,5511,1405,539,0,0,0,0,0,0,99020,82488,7763,6205,2212,415,4,5826,2035,74,4,100640,82746,10161,5204,2254,383,4,4575,2087,70,4,61555,29298,31528,52250,23979,28271,63823,23468,37899,60913,33005,26931,50457,23906,26530,50873,22185,27577,49869,21851,27080,58018,25787,31215,72813,30394,41398,56396,23031,33360,59497,23408,35586,56851,21609,35037,57512,20535,36939,56301,20725,35572,56227,20981,35240,64712,25237,39192,73832,28619,44495,71262,29426,41632,70462,27537,42925
3,3,132780,93173,22714,13712,3966,1809,175,0,0,134283,89647,27743,13795,3881,1270,64,0,0,132085,79693,30875,16198,4672,3043,223,132373,79776,30935,16239,4618,2729,191,135196,91119,27389,13599,3698,1469,108,10626,3142,531,5,480,1904,132244,86629,28582,13354,4765,1950,193,99640,73723,14833,8427,2779,1149,118,0,0,97615,73832,13864,7706,1425,753,8,7289,1212,593,62,0,103712,67102,21177,11081,3522,2200,142,103712,67102,21177,8554,2835,477,23,536,3008,97428,74393,13769,7201,1360,687,4,0,0,0,0,0,95219,71786,14104,6551,1826,656,18,5965,1702,413,18,96238,68445,15999,8753,2210,656,6,7801,2057,276,6,51214,28103,22456,42733,24147,18586,52718,21612,28910,49431,28766,19647,39624,20859,18754,40054,19766,19242,39100,19261,19015,46608,22939,22760,59298,27424,30970,40751,17164,23579,45700,19727,25580,41089,16658,24245,41782,15686,26063,40752,16055,24688,40623,15564,25048,49618,21005,28390,58864,24812,33538,56382,25366,30832,54893,22635,32258
4,4,131518,97091,14426,10809,9766,929,115,0,0,128870,86926,18324,11475,12666,350,175,0,0,132839,83741,21022,15638,12296,1982,174,132978,83777,21048,15481,12271,1733,157,127389,85170,17834,11773,13085,335,406,9369,11497,35,143,472,2871,131495,84912,19692,14454,13233,1066,142,102330,77147,9921,7802,7632,626,79,0,0,95080,69946,10848,7046,6837,103,58,6632,6319,10,234,0,108556,70672,15175,12501,9909,1501,114,108556,70672,15175,10050,9041,127,16,588,2887,95412,69386,11115,7594,6902,116,44,0,0,0,0,0,99137,70325,11735,8752,7727,357,29,7549,7156,37,29,98925,68271,12170,9477,8038,673,23,8034,7476,83,23,58607,33141,24798,48656,26588,22068,60252,29559,28151,57420,36134,20077,47107,27776,19320,47404,26141,20002,46504,25990,19665,54172,30166,22936,66909,35464,30421,48034,24123,23904,53129,26968,25640,48447,23527,24693,48916,22678,26196,48011,22793,25211,47902,23018,24869,57264,28476,28454,67236,32881,33292,64609,33407,30916,63658,31743,31915
5,5,137266,110450,15298,4539,7128,674,112,0,0,135256,100479,19877,6496,8396,1150,324,0,0,134041,95987,20877,6849,9452,1537,144,134158,96047,20905,6787,9562,1408,137,136936,97056,22242,8744,9639,850,213,6124,8225,165,33,514,2575,139990,95999,24963,10274,8958,1599,140,104407,85967,10309,2934,5149,455,80,0,0,101455,81155,11174,3693,4597,402,77,3375,4240,184,324,0,107073,79579,14726,4693,7223,1124,110,107073,79579,14726,3458,6484,93,21,531,2181,101252,78450,11834,4596,5716,303,31,0,0,0,0,0,103380,78627,13468,5044,5504,449,4,4594,5174,225,4,100454,74676,14446,4633,5968,513,16,4125,5532,227,16,58968,28406,29938,53395,25897,27498,62035,22584,37100,58629,32864,24649,45740,21990,23743,46211,20547,24582,45161,20166,24145,54625,24559,29088,70336,29179,40190,50567,19502,31055,55076,21237,33386,50971,18476,32271,51741,17437,34264,50557,17727,32818,50285,17417,32859,60341,22739,37285,71063,26216,43838,67915,27343,40295,66580,24614,41966
6,6,128273,28312,73587,25712,4444,2209,287,0,0,131056,29493,75446,24321,4522,3302,341,0,0,133800,22358,85353,22893,4926,4963,152,134144,22396,85505,22184,4772,4081,117,132406,25960,79290,24250,6781,1994,406,18757,5815,43,110,856,1580,137119,25400,85248,23530,7045,2456,502,93877,23597,51354,18099,3264,1511,224,0,0,74265,23116,33485,15031,2087,266,100,14788,2053,66,256,0,100573,19152,61292,17581,3742,3559,106,100573,19152,61292,14205,3186,179,14,888,1657,76648,20977,38342,13808,3103,204,109,0,0,0,0,0,80213,21623,42027,13123,3040,170,89,12721,2854,58,89,43821,13647,19789,7626,2402,258,24,7234,2275,36,24,34511,25224,8942,32276,25032,7244,36114,25357,9600,34046,26805,6561,26401,20535,5856,27127,20659,6018,26283,19955,5908,31519,23475,7580,39516,27524,11524,20614,12561,8050,27364,18547,8633,20945,12909,7925,21298,12430,8858,20740,12512,8223,20595,12272,8321,29198,18153,10898,37712,21795,15463,35463,21856,13403,33965,19751,14214
7,7,129007,105520,14972,5822,3004,806,97,0,0,124882,96181,19312,7272,3202,728,41,0,0,129805,98126,19843,7138,3906,1599,125,129904,98161,19864,7112,3919,1494,117,124318,96487,18284,6170,3364,762,64,4515,2544,171,0,127,2193,125710,98208,15749,7088,4060,602,79,98800,82718,10165,3878,2131,548,68,0,0,93027,77774,9303,4033,1553,301,0,3933,1346,123,88,0,104323,81898,13770,5103,2806,1094,91,104323,81898,13770,3937,2232,108,11,359,2008,94937,78401,9655,4459,1927,345,0,0,0,0,0,0,97979,81187,8712,5052,2653,299,0,4133,2264,124,0,97003,78377,9757,5413,3000,557,8,4311,2603,82,8,62417,29944,31758,58624,28153,30471,64356,25061,36489,61435,35189,25097,50691,25305,25374,51077,23283,26443,50056,23005,26034,58352,27339,29854,73212,32283,39785,54981,22766,32207,58911,24274,34093,55382,21781,33391,56049,20643,35363,54837,20619,34213,55026,19456,35560,63705,25695,37726,72800,29099,43010,70496,29684,40615,69411,24576,44835
8,8,133996,118150,7701,2105,5948,396,67,0,0,132289,112880,9574,2877,6870,335,72,0,0,132400,107474,12115,3497,8046,965,106,132444,107506,12121,3510,8087,940,105,130876,110709,10543,2823,6677,580,54,1738,5950,18,0,254,1668,131536,105917,13651,3609,8164,1122,192,100348,89580,5102,1458,4072,250,47,0,0,101825,90370,6021,1801,3341,179,0,1668,3160,67,168,0,106013,88399,8369,2351,5843,680,78,106013,88399,8369,1608,5128,64,7,543,1895,101428,89243,6805,1731,3306,210,0,0,0,0,0,0,101317,86946,8102,1879,3895,295,0,1377,3557,12,0,100669,84687,8610,2542,4510,213,9,1886,4202,8,9,68588,29598,38297,60562,24341,36221,71259,25625,42969,68432,36180,31223,55205,25133,30052,55563,23458,30965,54588,22884,30718,64161,27636,35467,80677,32627,46933,62086,24003,38074,65600,24774,40300,62474,22558,39716,63168,21423,41700,62011,21390,40608,61883,21631,40243,71189,26274,44603,80842,29248,50618,78446,30210,48005,77332,27751,49581
9,9,129150,111188,10354,3666,3868,496,67,0,0,126773,104416,14586,3970,4327,568,125,0,0,128462,100702,16192,5907,5107,1295,118,128532,100741,16204,5927,5103,1202,115,126516,103948,14490,4812,3794,824,131,3084,2838,83,8,281,1785,128419,101684,16327,5919,3816,930,57,98872,86495,7040,2451,2777,338,52,0,0,97830,84809,8200,1982,2566,220,7,1886,2390,69,103,0,102675,82971,11309,4119,3727,928,79,102675,82971,11309,3008,3035,78,6,397,1871,98292,85157,8496,2073,2220,325,9,0,0,0,0,0,100686,85502,9733,2920,2196,371,17,2749,1838,37,17,100231,84569,10325,3231,1808,300,15,2917,1527,16,15,63237,27466,35095,54894,23706,31188,64741,23155,39072,61630,34138,26540,49609,22929,26671,49689,21244,27346,48963,20747,27342,57973,25312,31715,73706,29546,43154,54454,20093,34350,58632,21795,36397,54864,19178,35498,55445,17903,37494,54477,17990,36474,54205,17518,36658,63598,22943,40417,73108,26147,46291,70796,26901,43712,69214,22948,46266
