ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CMPTR_Total,E_22_CMPTR_Dem,E_22_CMPTR_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,302143,238308,37044,14258,12035,2527,320,0,0,298638,223401,43522,16095,15763,1151,130,0,0,325301,230251,56329,18963,16161,5576,352,325503,230322,56376,19000,16144,5351,340,296286,223035,41993,14842,15993,1223,330,11580,13922,341,146,1014,4252,320353,232316,51692,18318,16857,3261,262,236233,189797,26165,10548,9127,1836,223,0,0,221335,183243,18452,10665,8190,616,13,10163,7619,317,211,0,264918,194363,39731,15232,12625,4115,246,264918,194363,39731,11918,11021,840,47,1140,5858,222383,183964,19141,10046,8334,645,43,0,0,0,0,0,239146,193414,22746,11557,10000,1091,18,10181,9248,398,18,242492,193132,25421,11588,10768,1201,48,9691,9962,431,48,150074,79873,68282,130223,66865,63358,151873,69962,75577,145572,87644,55211,124477,69882,54557,125203,65866,56437,122775,64622,55883,140450,74735,63141,175317,90752,82034,132136,66109,66016,141612,69782,70573,133349,64326,68514,134614,62010,72509,132178,61973,70191,132389,63759,68608,152882,75050,77112,174282,84717,87354,168678,86098,82020,166982,82039,84943
2,2,321031,263635,28632,12410,16548,1514,217,0,0,318406,256250,30560,11567,19133,748,182,0,0,320423,239652,41382,14297,22842,3713,299,320585,239721,41421,14259,22899,3330,282,317633,254127,32221,11925,19055,1673,206,8701,16025,478,24,1281,4776,319965,247677,35320,13631,21252,2666,270,240434,200795,19407,8570,11560,968,143,0,0,238445,204465,15845,6924,10779,281,30,6372,10174,58,178,0,255445,197963,28399,10357,16791,2565,220,255445,197963,28399,8061,14966,174,29,1107,4746,240495,203630,18670,7064,10274,545,25,0,0,0,0,0,242365,201630,20503,7674,11499,647,0,6803,10456,338,0,246650,199361,22572,9877,13497,739,55,8492,12276,323,55,162536,78904,82006,146341,66827,79514,167468,73050,87810,161716,93142,65821,131350,69056,62252,132017,65339,63858,129988,64026,63517,151810,76173,72944,189604,92404,94435,142475,65324,77128,152764,69844,81600,143490,63374,79631,144618,60708,83803,142507,60568,81911,141777,60948,80811,165175,74129,90142,188999,82744,103102,183204,84583,97919,180859,79970,100889
3,3,324023,240027,47627,25571,12052,3210,333,0,0,327154,228420,59917,27661,12788,2456,380,0,0,324968,212097,64502,31284,15535,5994,448,325503,212268,64616,31135,15574,5258,392,328442,228609,57958,30272,13647,2258,405,22855,11263,599,13,1098,6049,330250,221976,61695,32802,15066,4075,385,245285,188876,31687,16289,8586,2087,226,0,0,239570,186133,30143,15504,6239,1118,59,14442,5511,716,440,0,257751,177735,44734,21650,11804,4330,299,257751,177735,44734,16722,10102,701,48,1269,6440,240531,186119,29364,16506,7230,931,14,0,0,0,0,0,242671,183677,31819,17335,7983,1175,51,15742,7309,642,51,241318,176922,34804,18915,8833,1469,30,16840,8034,487,30,132250,69066,61615,114680,60284,54396,138299,55023,77716,130458,74955,52918,104716,53624,51066,105718,50518,52598,103307,49462,51797,122962,58983,61668,156611,70317,84018,111295,45959,65315,122440,51211,70182,112209,44110,67587,113841,41686,72066,111261,42447,68793,110763,41461,69278,133425,54648,78123,157133,63648,91770,150652,65549,84573,147600,59592,88008
4,4,314571,128147,112829,66834,12587,4307,582,0,0,317625,115546,124877,67929,13955,6867,689,0,0,324787,105331,140139,66104,16156,9229,466,325503,105421,140365,64993,15929,7643,411,317796,111675,128003,67139,15713,4633,778,55913,13212,606,124,1985,6267,326066,111303,134111,69302,17260,4962,1193,234743,104137,78186,46924,9019,2965,429,0,0,204629,94836,58670,42220,6802,1521,116,41132,6551,670,962,0,250035,89990,99660,49898,12153,6550,353,250035,89990,99660,42124,10644,512,36,2010,5059,209317,93589,63617,42167,7939,1467,128,0,0,0,0,0,217171,94911,68584,43056,8673,1435,193,41407,8190,460,193,168533,80235,46226,32030,8567,1069,79,30354,8160,330,79,105354,68181,36092,96204,65399,30805,109059,64253,41200,103262,74016,27363,80867,55409,25439,82341,54531,26272,80242,53113,25818,96037,62573,32020,121814,74127,46195,72905,39117,33778,88573,51527,36434,73783,39358,34080,74832,37828,36960,73202,38139,35051,73038,37547,35475,95771,52525,42770,119067,62509,54872,113183,63179,49400,109248,56869,52379
5,5,320298,254964,29649,6673,29004,1116,196,0,0,319856,235577,36154,9791,38584,1985,152,0,0,325387,221783,42267,9881,49432,2727,306,325504,221853,42294,9826,49526,2662,294,321259,233569,36694,9776,41298,1723,172,6543,38122,193,8,1584,4543,322532,223704,40005,9873,47053,1917,175,247030,200665,20424,4781,20966,688,121,0,0,240388,190640,21640,5467,21464,639,10,5184,20416,268,495,0,258804,183647,29859,7125,36426,1976,246,258804,183647,29859,5011,34148,185,36,1267,4651,241479,189674,21933,5377,23465,595,10,0,0,0,0,0,242034,184952,23661,5670,26577,643,69,5307,25565,214,69,241870,177592,27610,6879,28732,472,111,6249,27896,76,111,161686,78383,81702,141861,69538,72323,166000,72158,87733,159594,96786,60431,126815,67016,59760,125938,63096,60177,125337,61838,61260,148387,75131,70872,188313,89758,95981,134738,60683,74024,147585,66006,80454,135583,58340,76864,136689,54191,82376,134718,54646,80030,133697,55025,78640,159115,68512,89874,183688,76010,105262,177660,78321,98459,176023,77388,98635
6,6,306023,118009,85986,96516,10605,3605,555,0,0,312332,111204,96907,101224,12820,6959,316,0,0,324804,105840,108024,98088,15665,5891,497,325503,105877,108209,97141,15370,5072,439,312948,109413,97035,102442,14065,6119,374,87003,11089,337,74,1173,6823,326773,108849,102831,106384,15480,4690,623,232551,95517,60724,71438,7975,2495,411,0,0,200941,90053,37980,64866,6946,751,83,63160,6587,193,659,0,252926,87973,77389,76989,12149,4493,364,252926,87973,77389,68578,10278,405,64,2206,6033,205489,88951,41915,65400,7694,741,189,0,0,0,0,0,218378,89045,47272,70750,9446,937,158,68787,8786,94,158,220587,85114,50879,71451,11039,1415,178,69535,10290,149,178,128974,86565,41432,116534,79699,36835,129752,85564,39938,125007,93100,30138,101134,72392,28703,100577,70354,28611,100446,69574,29619,116464,81276,33617,143437,96611,45024,92685,57218,35441,108991,70349,37858,93734,57207,36251,94376,54953,39355,93184,55226,37926,92690,54859,37802,116298,72455,43361,139687,85418,52921,135005,85361,49133,134370,84074,50296
7,7,312330,225824,29286,9125,48083,1289,321,0,0,316852,210564,33427,9489,60953,1813,398,0,0,325409,198297,38062,9649,77039,2430,321,325503,198335,38083,9611,77086,2375,308,315862,206873,34512,8841,63559,1723,327,6421,59565,432,70,1990,6000,320738,204244,34459,9139,69388,2358,271,239194,176427,21264,6877,34474,895,243,0,0,224015,165635,16565,6275,34431,735,154,5901,33440,436,360,0,254784,162417,27476,7364,55600,1732,241,254784,162417,27476,5437,52919,211,46,1306,4972,222211,163654,16559,5883,35065,699,85,0,0,0,0,0,228942,163842,18144,5838,39867,798,69,5281,38696,332,69,229522,158966,19046,5795,44306,862,71,4998,43038,260,71,151490,80956,69163,130980,65742,65238,152091,80159,66475,146742,93804,50831,118237,70502,47676,116802,67434,47268,116662,65451,49266,137246,78992,56154,174379,96533,75571,123836,63662,60140,136103,70812,64233,124662,62315,61995,125446,57680,67650,123831,57908,65885,122532,59474,63017,146674,72569,73370,169234,79835,86807,164347,81255,82277,162498,84872,77626
8,8,325500,280600,26354,9719,9205,1263,214,0,0,316081,259698,34898,11621,10053,2093,439,0,0,325305,256958,40201,14036,12034,3143,276,325504,257065,40233,14065,12055,2961,265,314761,253385,37607,13273,10326,2222,609,9549,7865,445,71,880,4974,322858,257343,39247,14583,10805,1892,463,250721,219558,17883,6634,6663,838,154,0,0,243500,209898,19720,6746,5788,945,88,6440,5332,344,357,0,262114,213031,28292,10144,8771,2221,191,262114,213031,28292,7597,7167,192,30,1085,4720,243487,205898,21662,8449,6122,961,70,0,0,0,0,0,251724,213221,22159,9002,6470,688,30,7647,5713,121,30,248031,205852,25860,8742,6444,1057,0,7231,5783,88,0,161059,71004,88375,145559,63574,81985,166225,58816,100915,158557,87053,68912,128065,58609,69427,128533,54163,71381,126517,53080,71082,149229,64534,82120,189212,75643,110861,141463,52839,88591,151440,56187,94052,142459,50104,91872,143992,46795,97072,141307,47120,94153,140816,45392,95367,164266,59386,104206,188135,67481,118938,182138,69139,112504,178680,58619,120061
9,9,307109,196503,44193,43832,23599,1733,425,0,0,313711,175719,55631,54367,29823,1340,294,0,0,325310,176575,58478,53936,35265,3925,472,325504,176629,58510,53820,35217,3748,455,312060,170723,54978,55314,31403,1464,169,47653,27566,331,16,3350,7443,324111,172162,57695,56579,37343,1777,124,237556,158022,31483,31116,17402,1095,300,0,0,227457,140799,32160,35161,18039,539,95,34581,17285,372,760,0,256519,144213,42878,41599,26700,2913,347,256519,144213,42878,35720,24228,369,61,3022,6028,228678,137801,33879,37387,18601,547,18,0,0,0,0,0,237374,138787,35828,39115,22767,487,4,37760,22184,227,4,232404,135071,36818,35400,23759,630,21,33183,23222,59,21,144315,75876,67135,125351,68647,56704,147609,77120,65231,142074,93528,46589,112734,67224,45472,111944,64947,44966,111506,63427,46275,132003,76288,53742,167356,91380,73850,114558,56108,58423,128784,66002,61834,115646,55841,59464,116723,51921,64693,114901,52355,62517,114385,52123,62230,139556,68304,70588,164927,77904,84661,159730,80284,78485,159286,77112,82174
