ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_OtherAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_20_CVAP_OtherAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC1_Total,E_22_SC1_Dem,E_22_SC1_Rep,E_22_SC2_Total,E_22_SC2_Dem,E_22_SC2_Rep,E_22_SCC_Total,E_22_SCC_Dem,E_22_SCC_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_SEN_Total,E_24_SEN_Dem,E_24_SEN_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC1_Total,E_24_SC1_Dem,E_24_SC1_Rep,E_24_SC2_Total,E_24_SC2_Dem,E_24_SC2_Rep,E_24_SC3_Total,E_24_SC3_Dem,E_24_SC3_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,106148,52205,4831,46612,2293,1550,297,0,0,107934,54816,5996,44186,2573,2194,211,0,0,113787,55910,8407,44290,3837,2498,201,110794,55768,6726,44527,3051,1817,229,39304,2043,74,115,1124,5637,111718,57183,7713,42359,4149,1795,75,80403,43219,3046,31956,1825,1116,176,0,0,80628,46359,2303,29519,1499,1160,81,27595,1202,104,367,0,89538,48180,5684,31134,3198,1872,147,89538,48180,5684,28523,2392,247,30,571,3911,84570,48271,2661,30647,1984,1050,83,0,0,0,0,0,84488,49076,3080,29024,2563,992,0,26965,1871,53,0,86646,48942,4028,29790,3058,954,24,27494,2163,97,24,47162,37803,8719,45728,37434,8294,46083,36610,7534,44946,31620,11132,37812,32103,5709,37976,30517,6497,37510,30096,7414,42089,33486,7726,49430,40178,8519,38271,30981,6981,32391,27128,5263,32428,24716,7712,32359,25238,7121,32069,25512,6557,32304,25023,6934,31977,25421,6556,32228,26702,5526,32205,26120,6085,32224,26373,5851,32262,26459,5803,39652,31964,7468,46358,37196,8712,46052,37394,7468,44892,36645,8247,41215,33826,7389,40677,33069,7608,44101,35827,8274
2,2,109287,42124,6208,58631,2476,1435,175,0,0,120787,39147,10035,68348,2775,2115,335,0,0,121520,36075,10076,69578,5136,2739,208,121197,40759,9286,67399,2985,2245,373,62468,2414,483,216,419,5149,123553,40142,9163,70347,3840,2499,172,81170,35154,3917,40108,1822,971,106,0,0,83223,33143,2581,45051,1177,1283,86,43261,1092,438,372,0,90775,30958,6357,48897,3673,2005,146,90775,30958,6357,45745,3174,227,38,423,3853,85379,33741,2845,45576,1491,1167,95,0,0,0,0,0,85958,33391,2706,46838,1744,1335,25,44379,1621,102,25,87386,33749,3163,46797,2624,1233,24,44228,2442,46,24,49515,37733,11198,49797,40165,9632,48448,37024,9869,46888,32832,12024,37457,30701,6756,37519,29155,7590,37034,28625,8409,42830,32850,9194,50077,38728,10622,36852,28004,8553,28487,21963,6524,28533,19446,9087,28574,20126,8448,28330,20999,7331,28551,20346,7890,28264,20915,7349,28476,21754,6722,28424,21348,7076,28383,21316,7067,28428,21410,7018,37417,27932,9185,45313,33745,11139,44058,33550,9242,42606,32835,9771,37962,29236,8726,37435,28561,8874,41401,31616,9785
3,3,106025,53279,4640,45012,2933,1178,147,0,0,116422,51444,7171,51758,6274,1636,294,0,0,115383,48758,8817,50821,5777,2355,212,118055,51627,6401,53624,6077,1281,264,49032,4680,114,0,835,5366,114471,49716,6884,51339,6110,1487,141,82822,46665,3010,30491,2351,872,100,0,0,81911,44949,2318,31089,2614,985,0,29419,2044,214,504,0,88888,42635,5780,34834,4470,1745,144,88888,42635,5780,32431,3677,153,32,463,3717,82987,44634,2305,32567,2725,736,0,0,0,0,0,0,82042,44416,2437,31418,3143,483,0,29550,2411,20,0,80558,42354,3450,31439,2736,556,24,29360,2141,26,24,46964,37241,9114,46509,38158,8351,46354,36822,7610,44959,32225,10487,37396,32280,5116,37488,30874,5711,37028,30558,6470,41456,33413,7138,46151,37841,7616,35484,28873,6267,27803,23182,4621,27839,21251,6588,27830,21785,6045,27600,22174,5426,27802,21777,5735,27549,22060,5489,27773,22988,4785,27709,22573,5136,27654,22599,5055,27743,22710,5033,34721,27915,6584,40120,31728,8019,39378,31660,6727,38281,31064,7217,34728,28242,6486,34171,27572,6599,37326,30064,7262
4,4,99810,82572,2326,10475,4087,736,87,0,0,118135,91875,3718,14830,7237,847,171,0,0,121938,89485,4391,17839,8067,2076,152,120224,91987,4333,15559,8067,678,152,12100,5968,81,25,342,5399,123360,89593,3801,19301,9480,641,616,74987,63726,1392,6846,2712,499,49,0,0,86439,71408,2268,9054,2944,272,29,8355,2447,87,474,0,93822,71370,2914,12186,5632,1470,101,93822,71370,2914,10792,4867,110,20,426,3323,88056,72196,2524,9164,3547,257,25,0,0,0,0,0,89998,71562,1874,12060,3821,296,20,10496,3054,29,20,90042,68754,2014,13542,5010,368,67,11741,4287,31,67,57082,26786,29630,58752,27765,30987,61904,31314,27416,61509,24406,35017,55842,33139,22703,56256,30262,24885,55504,28819,26685,60472,31688,27637,72270,42125,29131,58654,32255,25806,54151,32312,21839,54211,26710,27501,54188,27962,26226,53501,28238,25263,53948,27477,25981,53363,28237,25126,53883,31128,22755,53653,29800,23853,53673,30202,23471,53821,30410,23411,63229,35901,26847,73043,42823,29450,72175,43449,26877,69976,41254,28722,64761,38363,26398,64085,37497,26588,68840,39963,28877
5,5,108908,71877,3677,30882,2153,1237,149,0,0,119175,69182,4540,41313,4229,1328,358,0,0,123578,65669,7095,43725,5282,2978,207,119496,66758,4591,43540,4719,937,280,40167,3588,108,28,169,4084,121778,65448,5968,43437,6159,1322,655,79987,56070,2235,19874,1443,830,87,0,0,86534,55226,2426,26164,1994,756,36,24582,1807,93,218,0,92851,53642,4445,29422,3742,2215,136,92851,53642,4445,26770,3213,188,31,455,4107,85770,54717,1899,26799,1955,658,30,0,0,0,0,0,85929,54293,2282,26102,2488,775,120,24314,2187,58,120,86928,52460,2726,28280,2294,734,29,26516,1867,40,29,50567,28293,21539,50654,30880,19774,51150,28024,20964,49954,24309,23312,40181,25777,14404,40353,23815,15545,39919,23226,16693,46073,26215,18847,55369,32173,22294,41249,23376,17491,33801,19941,13860,33806,16902,16904,33958,17471,16487,33650,18300,15350,33851,17522,15878,33558,18336,15222,33705,18982,14723,33701,18802,14899,33635,18984,14651,33761,19073,14688,43573,24756,18370,53299,30748,21969,51949,31184,18881,49936,29106,20830,44902,27039,17863,44086,26117,17969,48968,29066,19902
6,6,105175,76136,11021,12938,4676,1206,178,0,0,112042,77374,12200,17302,5245,798,33,0,0,116112,71404,15822,20635,6519,3071,180,111033,76213,11534,18444,5079,621,50,14545,4306,88,5,271,4076,115958,76237,12445,20809,6048,1563,472,75955,57962,6539,7809,3273,813,102,0,0,75249,59807,2928,9651,2429,476,10,8656,2201,81,74,0,86082,57140,10099,12744,4559,2169,123,86082,57140,10099,10755,3910,168,29,392,3589,76148,59732,3381,10156,2725,380,4,0,0,0,0,0,79615,60242,3945,11386,3322,562,99,9713,2869,97,99,78326,56136,5388,12447,3504,642,108,10631,3100,55,108,41582,22624,18242,40329,23310,17019,42350,22123,17818,41347,18450,20697,32925,20817,12108,33086,19142,13054,32701,18632,14069,38003,20873,16137,46041,26092,19082,34228,19187,14613,28239,16949,11290,28295,14296,13999,28317,14844,13473,27991,15136,12855,28219,14623,13261,27909,15176,12733,28011,15586,12425,28058,15754,12304,28047,16060,11987,28120,16037,12083,35747,20008,15390,42550,23490,18596,41717,24313,15899,39908,22088,17820,36748,21535,15213,36349,20933,15416,39468,22603,16865
7,7,98826,83938,2878,3957,7679,573,64,0,0,108989,89892,3723,5185,9819,642,21,0,0,116021,94774,4342,5519,9645,1258,215,107921,86827,4398,4992,11086,669,102,4041,8911,134,2,150,3454,109337,86761,4535,5644,11411,766,186,84443,72103,2238,3204,6557,426,52,0,0,86657,75900,2478,3732,3951,393,1,3302,3394,124,177,0,100185,82715,3411,4420,8158,964,182,100185,82715,3411,3512,7195,64,72,354,2862,86040,73739,2722,3837,4896,470,2,0,0,0,0,0,86994,73710,2892,4197,5564,408,0,3769,4468,27,0,88164,73088,3388,4596,6435,343,52,3784,5089,26,52,55815,33643,21398,56195,33184,23011,60856,39836,17817,60463,31642,26898,52520,37969,14551,52923,35434,16351,52252,34128,18124,56771,37209,18468,62157,44205,17062,52927,36524,15870,47668,34963,12705,47715,30627,17088,47487,31550,15937,46857,31150,15707,47305,30713,16222,46726,31038,15688,47169,33647,13522,47094,32644,14450,47114,33148,13966,47252,33384,13868,54151,37899,15972,60476,42667,17221,60333,43423,15768,58390,40874,17516,55694,39570,16124,55327,39096,16231,58167,40676,17491
8,8,101158,80212,4811,6987,8808,646,106,0,0,113155,84978,4724,11692,11472,1173,124,0,0,113396,81732,6754,10862,12038,1998,156,114780,86318,5205,11368,11683,1136,85,9336,9791,166,0,88,3884,115397,84515,6320,12757,11450,1525,87,80075,65408,3155,4570,6630,446,80,0,0,80953,67167,1950,6752,4279,582,0,5879,3618,230,281,0,89588,66830,4407,7407,9301,1459,111,89588,66830,4407,6122,8341,129,27,401,3331,81283,67827,2167,6547,3967,470,0,0,0,0,0,0,81676,67178,2490,7378,3961,466,15,6669,3302,109,15,80572,64763,3475,7123,4579,473,28,6348,3965,57,28,55462,29733,25001,55348,30318,25030,56437,33117,20170,56028,26501,27389,50772,34109,16663,51207,31520,18559,50501,30146,20355,54496,32759,20556,62428,41107,20274,51069,32196,18280,45790,30925,14865,45871,26464,19407,45762,27397,18365,45174,27628,17546,45582,26912,18248,45073,27591,17482,45420,29675,15745,45373,28823,16550,45394,29095,16299,45517,29373,16144,52866,34021,18420,59150,38777,19673,58820,39347,17963,56952,37172,19780,53479,35380,18099,52949,34784,18165,56427,36635,19792
9,9,104457,58199,7443,34823,4033,1026,189,0,0,120657,56510,9125,45732,9074,1281,254,0,0,121586,52182,10268,46922,10570,2487,129,124255,56258,10280,48142,9267,1436,484,44094,7912,185,14,368,5140,123532,53535,9634,51441,7677,1716,336,78574,47884,4792,22850,2856,722,112,0,0,79594,46444,3197,25389,3625,609,0,24444,3185,156,396,0,90901,44151,6540,31289,7458,1850,93,90901,44151,6540,29143,6721,151,19,566,3610,81921,46690,2982,27482,3427,590,0,0,0,0,0,0,81006,45361,2992,28104,3344,623,0,26752,2923,70,0,80612,43942,3320,27989,4236,562,10,26697,3824,73,10,47177,29301,17247,47942,31580,16362,48510,31566,14644,47644,26985,18502,40375,29480,10895,40552,27605,11980,40049,26974,13075,44982,29913,14070,52965,36800,15296,39949,26827,12684,32787,22828,9959,32868,19779,13089,32861,20553,12308,32551,21155,11396,32781,20401,11964,32468,21130,11338,32740,22424,10316,32627,21600,11027,32609,21774,10835,32673,21922,10751,40871,27365,13118,47689,31991,15170,46519,32143,12920,44710,31040,13670,40404,27887,12517,39874,27135,12739,43661,29719,13942
