ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_AUD_Total,E_18_AUD_Dem,E_18_AUD_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,41703,27595,1779,3581,215,9091,15,0,0,40780,25889,2229,3526,393,9373,380,0,0,38865,23181,2184,3608,262,10003,487,40914,25683,2235,3466,407,9566,456,2713,309,5767,444,3719,38750,23879,2218,3489,470,8833,557,31237,22108,978,2402,138,5797,12,0,0,30115,20993,877,2247,143,5900,54,2023,133,3793,54,43,0,29367,18986,1265,2395,179,6557,261,29367,18986,1265,2076,123,4279,254,2343,30125,20886,920,2209,146,5927,89,0,0,0,0,28569,19533,917,2271,190,5510,143,2089,166,3837,143,28056,19127,958,2222,193,5444,114,2022,142,3668,114,13682,3643,9756,12446,3027,9419,13740,2319,11054,13326,3057,9361,9809,3015,6563,9689,2469,7220,9068,0,7675,9724,2422,7069,9078,0,7625,12494,2573,9610,14772,2350,12250,14598,2487,11643
2,2,42391,27634,1438,1024,339,12405,50,0,0,41709,26051,1753,1292,462,12769,89,0,0,39281,22497,1726,1218,447,14064,37,41687,25762,1880,1323,494,12889,81,804,323,8920,23,3951,39538,24101,1953,1230,513,12380,78,31465,21934,743,586,206,8138,27,0,0,31450,21055,732,707,208,8731,16,588,193,5875,16,64,0,29959,18625,989,748,296,9524,25,29959,18625,989,448,223,6261,13,3324,31380,20915,699,741,250,8786,18,0,0,0,0,29815,19650,801,724,209,8407,12,528,191,5635,12,29943,19603,850,779,232,8439,23,518,157,5150,23,14112,4454,9466,13704,4134,9570,14437,3061,10888,14128,3640,9458,11482,4480,6695,11325,3508,7817,10556,0,8439,11358,3466,7514,10539,0,8215,13629,3504,9723,15386,3035,12113,15269,3327,11370
3,3,40405,30051,3189,1052,318,6055,53,0,0,41046,29472,3264,1241,394,7111,19,0,0,38945,26108,3240,1156,411,8342,72,40729,28916,3400,1269,390,7186,46,735,261,3933,25,3465,39467,27585,3496,1070,396,7154,63,30241,23854,1781,697,209,3782,34,0,0,29711,23471,866,801,164,4375,0,702,120,2597,0,60,0,29492,21240,1842,775,299,5335,47,29492,21240,1842,531,219,3081,18,2526,29553,23228,925,769,179,4434,0,0,0,0,0,28547,22188,999,575,175,4546,0,452,142,2762,0,28989,22114,1157,608,315,4706,20,438,256,2770,20,13611,4130,9291,12979,3824,9155,13752,2638,10621,13476,3183,9310,10243,3562,6420,10123,2940,7183,9491,0,7744,10155,2907,7001,9477,0,7580,12875,2978,9494,14996,2729,12026,14880,2831,11462
4,4,39193,20275,2630,894,337,15830,40,0,0,40897,19803,3015,1164,592,17235,125,0,0,39415,17297,3066,1124,462,18543,49,41020,19490,3192,1258,460,17672,70,565,289,12996,32,4439,39783,18321,3410,1201,602,17283,181,30004,17315,1515,577,267,10624,32,0,0,30778,16917,1014,683,151,11945,61,520,83,9480,61,138,0,30364,15051,1784,664,338,12836,25,30364,15051,1784,382,235,9170,6,3635,31161,16921,1152,763,109,12205,24,0,0,0,0,30522,16255,1262,697,212,11917,10,474,135,9042,10,30762,16477,1111,744,208,12019,9,507,138,9279,9,13782,5983,7621,11770,5047,6723,13594,4610,8116,13548,4359,8129,11478,5863,5140,11335,5079,6256,10653,0,6159,11383,4883,5943,10574,0,6559,13154,5123,7484,14624,5179,9055,14567,5564,8258
5,5,40806,26810,1057,196,440,12602,50,0,0,40593,25867,1338,418,459,12880,108,0,0,38785,23767,1377,459,486,12909,67,40546,25825,1345,358,499,12910,86,186,388,8739,72,3994,38643,23901,1484,413,541,12862,44,31637,22550,565,96,258,8260,23,0,0,32068,22250,590,199,200,8745,60,160,188,6078,60,33,0,31020,20633,856,281,326,8907,39,31020,20633,856,85,236,6055,19,3092,31891,22163,562,195,212,8712,52,0,0,0,0,30560,20580,672,229,244,8809,20,121,216,6542,20,31042,21039,794,284,279,8583,20,106,226,6133,20,15757,5499,10053,14736,4656,10080,15998,3510,11855,15896,3465,11488,13278,4391,8426,13121,3681,9440,12278,0,9891,13186,3459,9313,12283,0,9798,15465,3791,11220,17409,3686,13498,17342,3955,12683
6,6,39721,27212,907,1023,450,10618,61,0,0,39521,26728,1341,1198,582,10119,190,0,0,38889,24492,1197,1214,621,11745,78,39791,26425,1397,1031,618,10691,197,606,401,6724,75,4164,39561,25768,1545,1188,839,10521,164,29829,21836,503,669,257,6781,30,0,0,29872,21412,582,710,296,6755,56,615,285,4604,56,110,0,29877,20259,710,803,360,7858,37,29877,20259,710,459,262,4719,5,3425,30098,21354,639,691,263,7120,43,0,0,0,0,30162,21073,788,777,378,7177,22,522,338,4847,22,30418,21355,719,944,423,7062,0,565,381,4567,0,17093,5457,11449,15810,4614,11196,16803,3294,12733,16720,3147,12576,13605,4409,8686,13467,3741,9726,12918,0,10328,13530,3448,9666,12884,0,10288,15936,3670,11757,17654,3447,13897,17603,3826,12986
7,7,40494,27758,1696,489,333,10170,361,0,0,40662,27014,2145,640,434,10641,339,0,0,38785,24762,1936,695,359,10928,292,40028,26373,2084,652,394,10644,328,348,267,7734,206,2989,38678,25104,2129,752,405,10385,318,30862,22675,931,328,204,6655,189,0,0,30282,21739,962,379,190,7003,75,270,162,4967,75,54,0,30053,20636,1153,436,236,7424,164,30053,20636,1153,237,141,4721,127,2981,29946,21591,906,366,204,6903,60,0,0,0,0,28962,20698,959,380,224,6723,44,240,155,4827,44,28805,20536,931,341,154,6741,47,203,112,4561,47,14961,5428,9296,12775,4309,8466,14045,3236,10227,13893,3481,9442,11428,4412,6648,11300,3752,7548,10529,0,8259,11354,3556,7362,10509,0,8039,13455,3728,9244,15259,3392,11600,15135,4100,10117
8,8,37591,27435,1194,345,320,8547,48,0,0,38388,27305,1418,404,555,9172,139,0,0,38760,25075,1691,688,577,11010,75,38974,27182,1790,477,521,9344,146,159,337,5407,86,3995,38923,27103,1951,636,467,8981,106,27810,21469,663,158,195,5404,33,0,0,28857,21702,673,226,222,5855,73,167,209,3574,73,94,0,29010,20270,992,374,360,6992,44,29010,20270,992,154,269,3889,20,3361,29168,21752,873,269,200,5888,75,0,0,0,0,29009,21719,972,370,199,5652,28,190,199,3439,28,29955,21938,1187,352,275,6163,43,138,207,3789,43,15982,4781,11084,14635,4085,10550,16132,3030,12320,16090,2872,12280,13235,4298,8459,13104,3595,9509,12425,0,10042,13167,3274,9450,12395,0,9909,15437,3514,11414,17132,3411,13394,17087,3774,12539
9,9,34688,25451,1564,830,508,6596,72,0,0,37015,26640,2293,1010,692,6988,3,0,0,38924,24932,2628,1453,1026,9197,76,37509,26377,2146,1205,748,7642,14,669,458,4271,9,3577,39598,27418,2453,1124,891,8353,48,25535,19696,924,509,316,4172,44,0,0,27453,20994,1004,511,337,4553,0,430,264,2866,0,48,0,29763,20384,1639,937,644,6151,53,29763,20384,1639,610,523,3217,22,3219,27907,21034,876,648,394,4915,10,0,0,0,0,29589,21839,1226,546,426,5454,20,443,341,3651,20,30538,22424,1523,567,412,5518,19,465,371,3682,19,13788,3932,9784,13861,3593,10268,15757,3402,11441,15712,2851,11686,12562,4454,7693,12395,3601,8794,11749,0,9367,12472,3444,8631,11721,0,9009,15183,3896,10664,17391,4387,12568,17359,4586,11842
